reward_terms/foot_slip,est/vel_rmse,curriculum/cmd_scale,reward_terms/overrun,reward_terms/phase_contact,reward_terms/stop,reward_terms/stance_time,reward_terms/foot_ahead,time/time_elapsed,reward_terms/action_rate,reward_terms/coef_rate,curriculum/stance_ratio,curriculum/eff_scale,curriculum/swing_frac_mean,reward_terms/stance,ankle/ankle_spring_energy_peak,reward_terms/upright,reward_terms/vz,rollout/ep_len_mean,reward_terms/duty_sym,reward_terms/lat_vel,time/fps,reward_terms/motor_vel,reward_terms/ang_xy,curriculum/dr_scale,ankle/ankle_spring_trq_peak,reward_terms/stand_drift,reward_terms/stand,reward_terms/track_lin,reward_terms/fwd_speed,rollout/ep_rew_mean,curriculum/cmd_track_err,time/iterations,reward_terms/assist_pen,reward_terms/residual,curriculum/ent_coef,reward_terms/hip_roll,curriculum/swing_frac_min,reward_terms/torque,reward_terms/angmom,curriculum/ctrl_jitter_ms,reward_terms/energy,reward_terms/clearance,reward_terms/residual_rate,reward_terms/height,ankle/ankle_defl_peak,reward_terms/time,reward_terms/step_rate,curriculum/ctrl_drop_prob,reward_terms/air_time,reward_terms/track_yaw,reward_terms/alive,time/total_timesteps,train/entropy_loss,train/n_updates,train/loss,train/clip_range,train/clip_fraction,train/std,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/learning_rate,curriculum/eff_scale_progress,curriculum/ctrl_drop_prob_progress,curriculum/dr_scale_progress,curriculum/ctrl_jitter_ms_progress,curriculum/stance_ratio_progress
-0.25391567811673293,0.1955606600649562,0.1,0.0,-0.009947453203839536,0.0,-0.005021294368715543,0.0,5810,-0.05473040053545867,-0.36370329719423405,0.6905443839999998,0.04136832000000063,0.11759440104166667,-0.10395294396247207,0.0,-0.05659897657595899,-0.008950731516621695,1504.53,0.0,-0.013109717313335968,5836,-3.3423397338746684e-05,-0.03531686203923538,0.3545856000000056,0.0,-0.0061607987897979955,1.6222896866162904,3.156201564269205,0.0,1968.5727915599998,0.1387774517325806,1840,0.0,-0.10525825959104584,0.0096203008,-0.03293197069050682,0.03293185763888889,-0.00828692615674966,-0.01744765087898286,1.4183424000000224,-0.0003258623362841282,0.0005275808603659401,0.0,-0.003556155965985506,0.503159582822112,0.0,-0.004101562500000029,0.01772928000000028,0.0,1.999977654824249,0.0,33914880,-36.909623527526854,46262,623.7852172851562,0.2,0.219287109375,1.0014539957046509,0.9693450331687927,1322.8962097167969,-0.012646595148544293,0.01664229,0.00021525887999999997,0.1181952000000018,0.3545856000000056,0.3545856000000056,0.3545856000000056,0.1181952000000018
-0.3020761556831497,0.22289377225678875,0.1,0.0,-0.042112076294767986,0.0,-0.014040930193409117,0.0,5813,-0.05576438631935944,-0.3936841587855355,0.6905382399999999,0.04139520000000063,0.1395941840277778,-0.0789559897587506,0.0,-0.07957647058443927,-0.030745684760214196,1476.07,-0.005044063478326842,-0.01109849758571723,5837,-3.770981549453147e-05,-0.04813126752558849,0.3548160000000056,0.0,-0.006133080464023253,1.5668296619205322,2.909158279304324,0.0,1921.7858532799999,0.3971245911452403,1841,0.0,-0.10501076990556482,0.009616614400000001,-0.026301158915814405,0.06434461805555555,-0.00755535559018343,-0.04037471032540561,1.4192640000000225,-0.0003377470224193277,0.001681422244454174,0.0,-0.007232493995500734,0.5076212602649779,0.0,-0.004513888888888924,0.017740800000000282,0.0,1.9999727704818686,0.0,33933312,-36.90874824523926,46266,804.2056884765625,0.2,0.1332275390625,1.0013647079467773,0.9708157181739807,1425.5435363769532,-0.011553911556256935,0.014165044,0.0002152128,0.1182720000000018,0.3548160000000056,0.3548160000000056,0.3548160000000056,0.1182720000000018
-0.29131654380415006,0.22718760151972334,0.1,0.0,-0.021534054979308853,0.0,-0.0028934657166246325,0.0,5816,-0.057066352319824515,-0.3904052994462667,0.6905320959999998,0.04142208000000063,0.127197265625,-0.061098140848334946,0.0,-0.07721531854795181,-0.02602241184581473,1636.9,-0.00809795849505886,-0.011634789152704323,5837,-3.547084530092901e-05,-0.044044053619462425,0.35504640000000565,0.0,-0.01458830605748914,1.5873088347959816,2.886307940912996,0.0,2177.58273544,0.3799405476482146,1842,0.0,-0.10470502432270401,0.009612928,-0.028736846093168827,0.0634765625,-0.007789333650397776,-0.040226839616489395,1.4201856000000226,-0.0003275368127768934,0.0021917156168733813,0.0,-0.006342408103921372,0.5053428260064803,0.0,-0.004405381944444477,0.017752320000000283,0.0,1.9999680510084192,0.0,33951744,-36.90670871734619,46270,567.4442749023438,0.2,0.10906982421875,1.001104474067688,0.975502610206604,1341.2520080566405,-0.009366026287898422,0.012048885,0.00021516671999999998,0.11834880000000181,0.35504640000000565,0.35504640000000565,0.35504640000000565,0.11834880000000181
-0.2353370522582334,0.17482391443482848,0.1,0.0,-0.014761407448776012,0.0,-0.011528862847222222,0.0,5819,-0.05419248510481747,-0.35523101284637426,0.6905259519999998,0.04144896000000063,0.11385091145833334,-0.07326493517489924,0.0,-0.062394227084061865,-0.01779118047066146,1593.74,0.0,-0.010132789265037086,5837,-3.1393689497857324e-05,-0.036795469165562096,0.35527680000000567,0.0,-0.010906480800889448,1.6902147712976165,3.1417848055965463,0.0,2113.0138653699996,0.20207262777015017,1843,0.0,-0.10538850912890742,0.0096092416,-0.023819415647878154,0.024739583333333332,-0.00819267619659853,-0.02839707219260633,1.4211072000000227,-0.00031682894537156094,0.00069689120774659,0.0,-0.005294012549776355,0.5026906638626332,0.0,-0.004134114583333363,0.017763840000000284,5.4253323469311e-06,1.9999754522511932,0.0,33970176,-36.90300540924072,46274,491.9751281738281,0.2,0.11024169921875,1.0008618831634521,0.9800492525100708,1040.5855987548828,-0.011189767043106258,0.010945415,0.00021512064,0.11842560000000181,0.35527680000000567,0.35527680000000567,0.35527680000000567,0.11842560000000181
-0.2647063122358761,0.2110171962229008,0.1,0.0,-0.005807430512992883,0.0,-0.0035536024305555555,0.0,5822,-0.05473784620410891,-0.35690887321469883,0.6905198079999998,0.04147584000000063,0.12163628472222222,-0.07770815645828077,0.0,-0.0647186025035635,-0.014401411417424206,1656.34,-0.0012189826037616958,-0.011412219305699548,5837,-3.461261688912289e-05,-0.03969795690516401,0.3555072000000057,0.0,-0.0068011522636454965,1.7710271081763134,3.1087105140871016,0.0,2229.6222728,0.25253872791699206,1844,0.0,-0.10545459676529126,0.009605555200000001,-0.024076761078804302,0.03455946180555555,-0.007761870996408728,-0.02728553011520756,1.4220288000000227,-0.00032212470401451565,0.00046087359306179194,0.0,-0.004417699850249169,0.5066434853822513,0.0,-0.004090711805555584,0.017775360000000285,0.0,1.9999727723105316,0.0,33988608,-36.908063125610354,46278,484.96917724609375,0.2,0.13779296875,1.0014806985855103,0.976930558681488,944.2460693359375,-0.01277371778851375,0.013236163,0.00021507455999999998,0.11850240000000181,0.3555072000000057,0.3555072000000057,0.3555072000000057,0.11850240000000181
-0.2543059382081903,0.21687342177319752,0.1,0.0,-0.018786814512311997,0.0,-0.008707682291666666,0.0,5826,-0.054933518493453654,-0.3587229340607524,0.6905136639999998,0.04150272000000063,0.12841796875,-0.05470882972951179,0.0,-0.06097818886973055,-0.015156804499496376,1596.57,-0.010544286530105097,-0.010729117186373888,5836,-3.54236881157419e-05,-0.04370470735032902,0.3557376000000057,0.0,-0.01289885135807702,1.7318817543046352,3.1185892114245166,0.0,2129.93510845,0.1841845832892253,1845,0.0,-0.10550866958440464,0.0096018688,-0.020940588206555196,0.03477647569444445,-0.007778956143363081,-0.027587737608667888,1.4229504000000228,-0.0003338563522430301,0.0009147625698624159,0.0,-0.004402356950180347,0.5034997943174526,0.0,-0.004351128472222254,0.017786880000000286,0.0,1.999960462645355,0.0,34007040,-36.91032028198242,46282,365.00469970703125,0.2,0.1353515625,1.001357078552246,0.9799085259437561,830.5475448608398,-0.013330301002133638,0.012164297,0.00021502848,0.11857920000000181,0.3557376000000057,0.3557376000000057,0.3557376000000057,0.11857920000000181
-0.2836418127259504,0.22064903744302417,0.1,0.0,-0.03262860861816149,0.0,-0.01495225517363805,0.0,5829,-0.05590652409740281,-0.3785321919648522,0.6905075199999998,0.04152960000000063,0.11900499131944445,-0.07616292977192932,0.0,-0.06377718070544516,-0.02112928493714136,1681.03,-0.003113764210966706,-0.012651268968548658,5836,-3.535840077888493e-05,-0.03999310286943522,0.3559680000000057,0.0,-0.011345534115152243,1.6715984220795357,3.049659971268751,0.0,2281.69414858,0.23407993885119638,1846,0.0,-0.10498413568942783,0.0095981824,-0.028213793042746745,0.045952690972222224,-0.008075233632608429,-0.02758952226716506,1.423872000000023,-0.00033225903428907625,0.0021230221190675306,0.0,-0.005805768365773705,0.5044768789732279,0.0,-0.004242621527777808,0.017798400000000287,6.401907174020178e-05,1.9999733523472645,0.0,34025472,-36.90542087554932,46286,564.7821655273438,0.2,0.1248291015625,1.0010958909988403,0.9722066521644592,1151.5771118164062,-0.011008178238989785,0.012687686,0.00021498239999999998,0.11865600000000182,0.3559680000000057,0.3559680000000057,0.3559680000000057,0.11865600000000182
-0.279917861612783,0.2223464667957823,0.1,0.0,-0.008113163122065763,0.0,-0.0017215979136785285,0.0,5833,-0.05566872122658796,-0.3728467885580772,0.6905013759999998,0.04155648000000063,0.12706163194444445,-0.061290514186699147,0.0,-0.06562369642408628,-0.020676621777459565,1677.74,-0.00012093340957019243,-0.01154322501373678,5836,-3.523267273343865e-05,-0.043581991292590085,0.35619840000000574,0.0,-0.01903854868783076,1.615850697946056,3.0122412975492834,0.0,2283.05667316,0.26668419566145063,1847,0.0,-0.10531445005210588,0.009594496000000001,-0.03008553641667426,0.04660373263888889,-0.0075468113128625185,-0.03534339773368801,1.424793600000023,-0.00032700977499691377,0.00012169017488929572,0.0,-0.005362644773632298,0.5072912264896858,0.0,-0.004405381944444477,0.017809920000000288,0.0,1.9999553609106495,0.0,34043904,-36.90618057250977,46290,438.69696044921875,0.2,0.138525390625,1.001161813735962,0.9791845083236694,1115.8573852539062,-0.013296106032794342,0.0143316565,0.00021493632,0.11873280000000182,0.35619840000000574,0.35619840000000574,0.35619840000000574,0.11873280000000182
-0.22920233555220942,0.20905509536471292,0.1,0.0,-0.02059673654037743,0.0,-0.009819878472222222,0.0,5836,-0.0544002309643835,-0.36981695423756517,0.6904952319999998,0.04158336000000063,0.117919921875,-0.09361243822350251,0.0,-0.06983943263299938,-0.017023359316571472,1659.71,0.0,-0.011363421744413342,5836,-3.3391610730680634e-05,-0.037975132919008975,0.35642880000000576,0.0,-0.010880551511579614,1.6879778727551362,3.1084630095297956,0.0,2243.95841077,0.29290990285393986,1848,0.0,-0.105353544496423,0.0095908096,-0.02920460968926763,0.047037760416666664,-0.007766805823091239,-0.025011041440514765,1.425715200000023,-0.0003196235997741851,0.0013102031039795145,0.0,-0.00508941254735892,0.5050186523535302,0.0,-0.004166666666666697,0.01782144000000029,1.6275929131855567e-06,1.9999641743349281,0.0,34062336,-36.90748043060303,46294,300.0436096191406,0.2,0.13599853515625,1.0012425184249878,0.9846826195716858,821.5207550048829,-0.012213745468761772,0.012153538,0.00021489024,0.11880960000000182,0.35642880000000576,0.35642880000000576,0.35642880000000576,0.11880960000000182
-0.26755720320263787,0.1973895542904161,0.1,0.0,-0.03175415296943058,0.0,-0.008267679704456694,0.0,5839,-0.05557891007331909,-0.3638964550870858,0.6904890879999999,0.04161024000000064,0.1208767361111111,-0.09881611557827907,0.0,-0.059332068115488495,-0.013769795958162016,1601.18,-4.702332067910225e-06,-0.010831836664342233,5836,-3.39049850753279e-05,-0.035523652679549544,0.3566592000000058,0.0,-0.004374115441162523,1.7071248440975753,3.111683126767103,0.0,2138.85714308,0.23967002147106528,1849,0.0,-0.1052149729926118,0.0095871232,-0.032318161692108056,0.03515625,-0.007677872968353082,-0.024015941414623317,1.4266368000000231,-0.0003205508241368267,0.0019228462493673297,0.0,-0.00454806495578788,0.5041970595261946,0.0,-0.0043511284722222545,0.01783296000000029,2.224389269637565e-05,1.99997285145868,0.0,34080768,-36.90876369476318,46298,736.0015258789062,0.2,0.14990234375,1.0013707876205444,0.9722174406051636,1333.0169982910156,-0.01193748121149838,0.014582513,0.00021484416,0.11888640000000182,0.3566592000000058,0.3566592000000058,0.3566592000000058,0.11888640000000182
-0.25967962196538474,0.22613411721627272,0.1,0.0,-0.02587354573774915,0.0,-0.02101100795617741,0.0,5842,-0.05590753915956751,-0.379884032822967,0.6904829439999998,0.04163712000000064,0.1379937065972222,-0.1587747026537942,0.0,-0.06915896950852327,-0.016664591823131587,1619.1,-0.003687925071210441,-0.013812185738732271,5836,-3.501007536486159e-05,-0.041741527430458794,0.3568896000000058,0.0,-0.010174203514361489,1.5442666872162623,2.9621616235736687,0.0,2166.3758826400003,0.247396412105279,1850,0.0,-0.10525674147575917,0.009583436800000001,-0.029825710884926162,0.05908203125,-0.007785675961519818,-0.02606258877186006,1.4275584000000232,-0.00032532081829539833,0.0023222041305894993,0.0,-0.004160590406359469,0.5049050236603962,0.0,-0.004427083333333367,0.01784448000000029,4.7200456416855254e-05,1.999973384152704,0.0,34099200,-36.90737762451172,46302,529.0477294921875,0.2,0.14404296875,1.0012922286987305,0.9751141667366028,1113.6483154296875,-0.013812967936974018,0.012624012,0.00021479808,0.11896320000000182,0.3568896000000058,0.3568896000000058,0.3568896000000058,0.11896320000000182
