time/total_timesteps,curriculum/eff_scale,reward_terms/stop,reward_terms/alive,reward_terms/coef_rate,reward_terms/vz,curriculum/stance_ratio,reward_terms/hip_roll,reward_terms/residual,reward_terms/motor_vel,time/time_elapsed,curriculum/ctrl_drop_prob,curriculum/ent_coef,reward_terms/residual_rate,reward_terms/torque,reward_terms/assist_pen,curriculum/ctrl_jitter_ms,reward_terms/fwd_speed,rollout/ep_len_mean,reward_terms/energy,reward_terms/foot_ahead,reward_terms/ang_xy,reward_terms/foot_slip,reward_terms/overrun,time/iterations,rollout/ep_rew_mean,reward_terms/lat_vel,reward_terms/clearance,reward_terms/stance_time,reward_terms/phase_contact,reward_terms/step_rate,reward_terms/height,time/fps,reward_terms/action_rate,reward_terms/stance,reward_terms/upright,reward_terms/time,curriculum/sprint_dist_m,reward_terms/angmom,reward_terms/air_time,train/clip_range,train/entropy_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/std,train/value_loss,train/n_updates,train/loss
387072,0.001536,0.0,0.0,-1.5758141480161605,-0.034992713757371015,0.64964672,-0.008403054807583826,-0.06262478700077442,-2.059470536394611e-06,88,0.0,0.01,0.0,-0.00065421727881752,0.0,0.0,0.027473939921493645,768.09,-3.220216884524542e-05,0.0,-1.732541086426577e-05,-0.8222668393206849,0.0,21,-291.71175679,-3.9588203153202524e-08,0.006934304876059652,-0.5378874170112087,-0.6686146514530815,0.0,-0.02733203701975348,4360,-0.2161057285895993,-9.982447290037583e-05,-2.1997710837267764e-07,-0.5,25.2304,0.0,0.0,0.2,-34.09833126068115,0.08096923828125,0.00029981568,0.0111799035,-0.01079396775458008,0.38059717416763306,1.004744052886963,15.198311185836792,80,6.437469005584717
405504,0.0016128,0.0,0.0,-1.578969990127804,-0.017723042683232423,0.649629056,-0.005221079771670801,-0.06288619565256236,-1.9138645785732885e-06,92,0.0,0.01,0.0,-0.0008314068734412469,0.0,0.0,0.3292655554714362,825.34,-3.397501110557181e-05,0.0,-1.784455190417686e-05,-0.9477309362101631,0.0,22,-305.96967701000005,-4.147010194575626e-08,0.0017427890836551618,-0.553358170614552,-0.6881498992857003,0.0,-0.04148252813503197,4362,-0.21363817553494216,-8.511970922982039e-07,-2.6799185043708954e-07,-0.5,25.24192,0.0,0.0,0.2,-34.10287094116211,0.052197265625,0.000299806464,0.008975883,-0.011999909509904682,0.3924570083618164,1.0043073892593384,18.96541781425476,84,4.522171497344971
423936,0.0016896,0.0,0.0,-1.5735132377000287,-0.03019732087538105,0.6496113920000001,-0.008561957699414426,-0.06280537563697224,-2.284303047755663e-06,97,0.0,0.01,0.0,-0.000782432447690793,0.0,0.0,0.12337695480892465,1024.08,-3.557463216822679e-05,0.0,-1.7269689225967043e-05,-0.8352445395100647,0.0,23,-355.54560987,-4.229372506313803e-08,0.004847923331034454,-0.4927259939852067,-0.6742939493285016,0.0,-0.03813378812246163,4364,-0.21568477977480516,-5.5873288639919595e-06,-2.289996886697398e-07,-0.5,25.25344,0.0,0.0,0.2,-34.098969078063966,0.09345703125,0.000299797248,0.008218846,-0.010404620657209308,0.6231723427772522,1.0041197538375854,12.885849595069885,88,2.6418845653533936
442368,0.0017664,0.0,0.0,-1.5743269697191196,-0.0381995200479007,0.649593728,-0.011309304148953805,-0.06264525002957552,-2.5452724222376716e-06,101,0.0,0.01,0.0,-0.0007219041548703378,0.0,0.0,-0.019906351048124257,1326.29,-3.683428223784134e-05,0.0,-1.722887793933852e-05,-0.7519634813839047,0.0,24,-430.87088788999995,-4.531022980786639e-08,0.007609374767826477,-0.4218096400113104,-0.6622396261531902,0.0,-0.03150796391661678,4364,-0.21387407944049658,-3.5057144180686674e-06,-1.9884670678868553e-07,-0.5,25.26496,0.0,0.0,0.2,-34.09797744750976,0.0707275390625,0.000299788032,0.008207113,-0.009766210900852456,0.5335773229598999,1.0039607286453247,20.14862494468689,92,7.931049346923828
460800,0.0018432,0.0,0.0,-1.5784362809527608,-0.05762875112731752,0.649576064,-0.0143685497298121,-0.06293140305857399,-2.7077660969586723e-06,105,0.0,0.01,0.0,-0.000767191491077138,0.0,0.0,-0.17616057223195136,1414.33,-3.86947361405442e-05,0.0,-1.7177309386252418e-05,-0.712527723622052,0.0,25,-452.8208736600001,-4.677893337730867e-08,0.012509276124207401,-0.413750697423691,-0.6423005072316408,0.0,-0.04051157991763111,4366,-0.21559170926776425,0.0,-1.9927325379137426e-07,-0.5,25.27648,0.0,0.0,0.2,-34.09735164642334,0.05341796875,0.000299778816,0.00794096,-0.012492291314993053,0.5353748798370361,1.0038270950317383,25.905698204040526,96,8.714034080505371
479232,0.00192,0.0,0.0,-1.5770868292475062,-0.07558223802612325,0.6495584,-0.010433055706625761,-0.06261745204738195,-2.9123419114153135e-06,109,0.0,0.01,0.0,-0.0006944052497603067,0.0,0.0,-0.3377501617188969,1441.02,-3.984549413038683e-05,0.0,-1.653524828243684e-05,-0.6618727650765216,0.0,26,-459.4808075200001,-4.4466841518529115e-08,0.01911136546561528,-0.3581441569096771,-0.6227388663519542,0.0,-0.031611470534401755,4367,-0.21507718350517324,0.0,-1.7836982891318123e-07,-0.5,25.288,0.0,0.0,0.2,-34.08724365234375,0.04620361328125,0.00029976959999999996,0.007662979,-0.012148006143979729,0.5155277252197266,1.0028325319290161,33.18820104598999,100,16.819494247436523
497664,0.0019968,0.0,0.0,-1.575040275658642,-0.08955918555098445,0.6495407360000001,-0.012292012984664613,-0.06244032030583588,-3.0775640397557424e-06,113,0.0,0.01,0.0,-0.0007965352006347977,0.0,0.0,-0.3867907356295539,1694.31,-4.2111533085410264e-05,0.0,-1.6681024831168776e-05,-0.6438879171546764,0.0,27,-522.6110247700001,-4.516778036694944e-08,0.020472271720469074,-0.3391794597684768,-0.6193716766784161,0.0,-0.04981169554731418,4368,-0.21342340988651626,-5.144595473152183e-06,-1.837086691791726e-07,-0.5,25.29952,0.0,0.0,0.2,-34.08462219238281,0.0406982421875,0.000299760384,0.007343127,-0.01317085811169818,0.492825984954834,1.002770185470581,30.472600555419923,104,11.213030815124512
516096,0.0020736,0.0,0.0,-1.5748442378684269,-0.05671183138478394,0.649523072,-0.013075152506788564,-0.06275996293158881,-2.8496478543583207e-06,118,0.0,0.01,0.0,-0.0009054403989927574,0.0,0.0,-0.05416614817705596,1569.83,-4.313964890755418e-05,0.0,-1.6914354384152067e-05,-0.7790590466688,0.0,28,-491.50323480000014,-4.7496192240806304e-08,0.011465190918912948,-0.4907512050510074,-0.6561002215331053,0.0,-0.041664998846473233,4364,-0.2124270393781532,-8.835722219839649e-08,-2.1841424868495757e-07,-0.5,25.31104,0.0,0.0,0.2,-34.08670921325684,0.03851318359375,0.000299751168,0.007098931,-0.012695910723414272,0.43677592277526855,1.0029281377792358,42.806895065307614,108,22.326114654541016
534528,0.0021504,0.0,0.0,-1.5818380885122527,-0.06740380168053442,0.649505408,-0.012173602873644794,-0.06272048772130386,-3.296248312314604e-06,122,0.0,0.01,0.0,-0.0008226065483507264,0.0,0.0,-0.2649346213464585,1415.28,-4.4076353228692474e-05,0.0,-1.7147421879719744e-05,-0.6157688994771096,0.0,29,-452.96162756000007,-4.521315465185528e-08,0.014415877012467446,-0.4447047564786367,-0.6420835044110498,0.0,-0.04066201601293135,4364,-0.21567682388075993,0.0,-1.7725779655098875e-07,-0.5,25.32256,0.0,0.0,0.2,-34.08869876861572,0.05318603515625,0.000299741952,0.007807301,-0.012911577895283698,0.47146129608154297,1.0033512115478516,23.55689196586609,112,7.115249156951904
552960,0.0022272,0.0,0.0,-1.5790162166975419,-0.08146495796768585,0.649487744,-0.008768241767621454,-0.06268734206374688,-3.46824546085511e-06,126,0.0,0.01,0.0,-0.0008505882014932056,0.0,0.0,-0.32536708561364647,1213.55,-4.678819920967208e-05,0.0,-1.6597238940652244e-05,-0.6566621140272573,0.0,30,-402.72096171000004,-4.168633190072858e-08,0.019193129920368136,-0.37715554279081215,-0.6202921817797398,0.0,-0.041709082764598567,4365,-0.21432200072970248,-1.130496961965941e-06,-1.820767213711523e-07,-0.5,25.33408,0.0,0.0,0.2,-34.09422931671143,0.04766845703125,0.000299732736,0.0075874077,-0.012593706499319523,0.40069377422332764,1.003422498703003,32.47263011932373,116,11.83389949798584
571392,0.002304,0.0,0.0,-1.5718535622627883,-0.06176812955397374,0.6494700800000001,-0.009372522888878113,-0.0629379924899866,-3.231189593908353e-06,130,0.0,0.01,0.0,-0.0010038997382186708,0.0,0.0,-0.08361130069649808,1225.68,-4.7896676593058554e-05,0.0,-1.6825523471041662e-05,-0.7428321775981228,0.0,31,-405.73038559000014,-3.9982879920938325e-08,0.013007652092455274,-0.41198731348009054,-0.6509361414098811,0.0,-0.045407478663659843,4365,-0.21134197730466883,0.0,-2.114689245763302e-07,-0.5,25.3456,0.0,0.0,0.2,-34.08652210235596,0.04827880859375,0.00029972352,0.0076994137,-0.013207570964004845,0.3564479947090149,1.00274658203125,31.38102083206177,120,14.15266227722168
589824,0.0023808,0.0,0.0,-1.5784918530314167,-0.05633181348615855,0.649452416,-0.010644702736799424,-0.06291268551913134,-3.5323733841489997e-06,135,0.0,0.01,0.0,-0.0011326089261750245,0.0,0.0,0.03557676918132917,1017.08,-5.092122524037611e-05,0.0,-1.728250187858165e-05,-0.7442059979142897,0.0,32,-353.6641111100001,-4.20435261496504e-08,0.010555112935064096,-0.4206353241234966,-0.6563361408072041,0.0,-0.05811317715234362,4366,-0.21280696872016588,-1.4692010974683049e-05,-2.172686478701527e-07,-0.5,25.35712,0.0,0.0,0.2,-34.09312210083008,0.05721435546875,0.000299714304,0.009308333,-0.01441086622653529,0.3538728952407837,1.0038130283355713,21.358008337020873,124,7.263637542724609
608256,0.0024576,0.0,0.0,-1.5785536447652826,-0.04572614628316044,0.649434752,-0.010591385646786721,-0.06337471127761464,-3.3718213566250006e-06,139,0.0,0.01,0.0,-0.0011853592573622762,0.0,0.0,0.06390301195660425,1104.9,-5.2818872963624187e-05,0.0,-1.7346238178955816e-05,-0.8423842985375115,0.0,33,-375.56647851,-4.352453198916579e-08,0.009338918354953566,-0.5502032281785634,-0.6644331939872451,0.0,-0.04667584333861056,4367,-0.21461843356905763,0.0,-2.4452325908672965e-07,-0.5,25.36864,0.0,0.0,0.2,-34.09313449859619,0.0704345703125,0.00029970508799999996,0.009100264,-0.013916052156127989,0.3386763334274292,1.0034712553024292,22.64446439743042,128,9.475325584411621
