reward_terms/ang_xy,reward_terms/fwd_speed,reward_terms/energy,reward_terms/hip_roll,reward_terms/clearance,time/time_elapsed,ankle/ankle_spring_energy_peak,time/iterations,reward_terms/lat_vel,reward_terms/action_rate,reward_terms/imp_rate,reward_terms/residual,reward_terms/foot_ahead,reward_terms/coef_rate,ankle/ankle_spring_trq_peak,reward_terms/vz,reward_terms/stance,ankle/ankle_defl_peak,reward_terms/stop,curriculum/stance_ratio,reward_terms/stance_time,time/fps,reward_terms/assist_pen,reward_terms/swing_floor,reward_terms/air_time,reward_terms/height,curriculum/ent_coef,reward_terms/phase_contact,reward_terms/motor_vel,reward_terms/yaw_rate,reward_terms/step_rate,reward_terms/residual_rate,reward_terms/angmom,curriculum/swing_frac_mean,reward_terms/time,rollout/ep_rew_mean,time/total_timesteps,curriculum/pitch_assist,curriculum/ctrl_jitter_ms,curriculum/eff_scale,reward_terms/upright,rollout/ep_len_mean,reward_terms/overrun,curriculum/swing_frac_min,reward_terms/foot_slip,reward_terms/torque,curriculum/ctrl_drop_prob,reward_terms/alive,reward_terms/duty_sym,curriculum/sprint_dist_m,train/n_updates,train/clip_range,train/std,train/clip_fraction,train/loss,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/learning_rate,train/value_loss,curriculum/log_std_clamp
-0.195015418200796,5.210877435838776,-0.006791755271188135,-0.062309035508836264,0.24650837238497253,3135,0.0,1132,-0.07078010739666434,-0.09546164951360625,-0.009479162353066107,-0.10370841968552193,0.0,-0.15600508842296862,0.0,-0.06220119765287334,-0.05505659982468822,0.507239212726741,0.00018782668082854002,0.6300220160000001,-3.6620670774330697e-06,6654,0.0,0.0,0.000397677326367961,-0.0043354549519827,0.01,-0.1700544505122689,-0.0009649045926864226,-1.2595105022032203,0.0,0.0,-0.05593106983953625,0.6735568576388888,-0.5,1455.4121973,20865024,0.6525567999999999,1.0008576,0.0868608,-0.09726331934899768,2449.88,0.0,0.6405707465277778,-0.4614833157172769,-0.07309588494357563,0.012510720000000001,0.0,0.0,38.02912,154305,0.2,1.002428650856018,0.27049560546875,24.277114868164062,-0.01455624618101865,0.9900525212287903,-39.76164512634277,0.025805604,0.000286102272,112.9788911819458,
-0.17409304017265362,5.402436733939474,-0.006715191685009865,-0.05806839377321049,0.247356460896161,3138,0.0,1133,-0.08824100800137061,-0.0940598263074235,-0.009573284249939794,-0.10375947632376772,0.0,-0.14222163442646138,0.0,-0.05605379205299063,-0.04706717024882087,0.5036321443066256,2.2741607023435756e-23,0.630004352,0.0,6654,0.0,0.0,0.0004785149940289557,-0.0030199358079511904,0.01,-0.16140575454437148,-0.0009052153188478674,-1.2594743351445987,0.0,0.0,-0.053037333755081545,0.6756456163194444,-0.5,1449.4145756499995,20883456,0.6522496,1.0017792,0.0869376,-0.0842629039818386,2445.03,0.0,0.6440972222222222,-0.44938038891476545,-0.07406801382664191,0.012522240000000002,0.0,0.0,38.040639999999996,154309,0.2,1.0023220777511597,0.19918212890625,16.123262405395508,-0.019412163298693486,0.9899197220802307,-39.76037044525147,0.01862495,0.000286089984,71.5149953842163,
-0.17736745491448425,5.479659732823149,-0.006699318522905139,-0.06806032377810917,0.26380483375858127,3140,0.0,1134,-0.0697986202754162,-0.09515443724873739,-0.009386013999545197,-0.1037862257076751,0.0,-0.14887294488890254,0.0,-0.05868569771035254,-0.05416923560839363,0.499548585434825,1.1726879288444017e-22,0.629986688,-0.00034667845627862133,6654,0.0,0.0,0.00029730863106023107,-0.005245712854676034,0.01,-0.16449358274517992,-0.0009348922548296167,-1.2405748491667477,0.0,0.0,-0.05250092225022992,0.681640625,-0.5,1439.91722619,20901888,0.6519424,1.0027008,0.0870144,-0.08247256823085004,2435.49,0.0,0.6595052083333334,-0.44095081289151755,-0.07309952679552986,0.01253376,0.0,0.0,38.05216,154313,0.2,1.0021089315414429,0.18863525390625,9.896832466125488,-0.01934410963440314,0.9937065243721008,-39.756723403930664,0.021530315,0.00028607769599999996,40.33261127471924,
-0.18157175516512095,5.398277413861618,-0.006699295371252747,-0.069657393143284,0.25654936613394963,3143,0.0,1135,-0.07292197832265333,-0.09511058911663259,-0.009474614299828665,-0.10379690970590616,0.0,-0.14752172725805904,0.0,-0.0598011832041693,-0.08004267279198711,0.5020744521405905,9.714967958251068e-19,0.629969024,-8.0701523175877e-05,6654,0.0,0.0,0.00040581534267403185,-0.003972463897348131,0.01,-0.16761856354234145,-0.0009094986752698336,-1.2500067877029108,0.0,0.0,-0.05283390175075671,0.6730685763888888,-0.5,1455.01469725,20920320,0.6516352000000001,1.0036224,0.0870912,-0.0877119002295848,2451.96,0.0,0.65478515625,-0.447975634266848,-0.07373432121857541,0.01254528,0.0,0.0,38.06368,154317,0.2,1.002737283706665,0.22467041015625,31.44060707092285,-0.01322135260561481,0.9929981827735901,-39.76342353820801,0.024337579,0.000286065408,69.8428270816803,
-0.1682323515340335,5.493501649545764,-0.006644367583672969,-0.05721715736260316,0.2692941535990958,3146,0.0,1136,-0.0744824047792922,-0.09446394381560003,-0.00943601590393902,-0.10392623912394831,0.0,-0.13866513408538203,0.0,-0.054939958815081874,-0.044544240968631875,0.506840482195212,1.68707338084229e-41,0.6299513600000001,0.0,6654,0.0,0.0,0.0003651252902475082,-0.0033444014852125263,0.01,-0.1537384029194156,-0.0009212575198804623,-1.246294032806063,0.0,0.0,-0.0483237899923342,0.6878797743055556,-0.5,1445.4131742900001,20938752,0.651328,1.004544,0.087168,-0.08052870120018586,2442.61,0.0,0.6561957465277778,-0.4383612425465046,-0.07216462318710774,0.012556800000000002,0.0,0.0,38.075199999999995,154321,0.2,1.0025688409805298,0.2296630859375,9.366571426391602,-0.022511433297768235,0.9964784979820251,-39.766858863830564,0.027641663,0.00028605312,27.552260398864746,
-0.1752037633376807,5.5132296135589165,-0.00660724535225438,-0.06449494142776312,0.26908003779990053,3149,0.0,1137,-0.053900991571965096,-0.09422361064732442,-0.009614549353133599,-0.10384001076481993,0.0,-0.1367835086185144,0.0,-0.05824162808418411,-0.06244328411962103,0.5012706048849552,7.116741541570152e-35,0.629933696,0.0,6654,0.0,0.0,0.00025878852466121316,-0.0034599243693012797,0.01,-0.15420978181916475,-0.0009048764510593512,-1.229742632674369,0.0,0.0,-0.05303317158492181,0.6871473524305556,-0.5,1425.3196303099999,20957184,0.6510208,1.0054656,0.0872448,-0.07546015590873317,2419.12,0.0,0.6623806423611112,-0.43767952335303845,-0.07205860401841452,0.012568320000000001,0.0,0.0,38.08672,154325,0.2,1.0024001598358154,0.1737548828125,7.469144821166992,-0.016680062434170397,0.9919660687446594,-39.75918598175049,0.020394215,0.000286040832,36.758920669555664,
-0.18848145894977586,5.3549618617292,-0.0066376948725481175,-0.06944472754215873,0.2576921480867383,3152,0.0,1138,-0.06369390580134986,-0.09717455850551746,-0.009341141883569756,-0.1036036044498681,0.0,-0.16350597660273813,0.0,-0.059364188521682,-0.06564343791684168,0.5027884878531801,7.702567314432406e-11,0.629916032,0.0,6654,0.0,0.0,0.0004063578251387096,-0.003636625727769128,0.01,-0.16302590437907113,-0.0009225950231485755,-1.2483408046463074,0.0,0.0,-0.054551881835120226,0.6856011284722222,-0.5,1435.5035143300001,20975616,0.6507136,1.0063872,0.0873216,-0.0724385555839014,2433.67,0.0,0.6601019965277778,-0.4376067816455175,-0.0722448531566638,0.012579840000000002,0.0,0.0,38.098240000000004,154329,0.2,1.0027048587799072,0.26285400390625,36.218719482421875,-0.011299149401020258,0.9888576865196228,-39.76542358398437,0.02452487,0.00028602854399999996,86.55114440917968,
-0.1838923127148996,5.328749712586365,-0.006819123273837521,-0.06483328220818976,0.2564556352089903,3154,0.0,1139,-0.07702670737803866,-0.09575082259477098,-0.009707517826072916,-0.10379288541031294,0.0,-0.1536130105497184,0.0,-0.06165749216237093,-0.06903794712581526,0.5033800737463925,3.7653021700040816e-22,0.629898368,0.0,6654,0.0,0.0,0.0002609586582467374,-0.004271847518456493,0.01,-0.16001581010608376,-0.0009443958693677334,-1.253118791026963,0.0,0.0,-0.051482996739295434,0.6826443142361112,-0.5,1455.80677615,20994048,0.6504064,1.0073088,0.0873984,-0.08568329453409632,2461.05,0.0,0.6535373263888888,-0.44197570925851065,-0.07400392545088558,0.01259136,0.0,0.0,38.10976,154333,0.2,1.002647042274475,0.2591064453125,4.967779159545898,-0.021066561376210304,0.9983261823654175,-39.766192245483396,0.027935311,0.000286016256,15.514927434921265,
-0.19481933992394698,5.194918943156204,-0.006626339499535993,-0.06531597945219021,0.25226112650523985,3158,0.0,1140,-0.05725500967000157,-0.09663545539911234,-0.009436475099317538,-0.10372816345889581,0.0,-0.16570842137105338,0.0,-0.05951340634514969,-0.05264372086415556,0.5067729326182836,6.303896407413417e-28,0.6298807040000001,0.0,6652,0.0,0.0,0.0005219177789210031,-0.0032452879418654033,0.01,-0.16128743771705298,-0.000933973306758526,-1.2624216897760079,0.0,0.0,-0.05420903466643839,0.6843532986111112,-0.5,1480.4523440200003,21012480,0.6500992,1.0082304,0.0874752,-0.08507322486501918,2492.58,0.0,0.6514214409722222,-0.4275401820564705,-0.07253893375438551,0.01260288,0.0,0.0,38.12128,154337,0.2,1.0023170709609985,0.21923828125,10.470669746398926,-0.01468311701901257,0.9954307675361633,-39.75938186645508,0.022524402,0.000286003968,40.7713623046875,
-0.19812687206608617,5.16472053296728,-0.0066801473715093936,-0.07103590479608611,0.24849625559789482,3161,0.0,1141,-0.056028321804083486,-0.09682040037580208,-0.009356184853651039,-0.10376862318840027,0.0,-0.17520143236870286,0.0,-0.06070745627913495,-0.07353941979827235,0.5027535467092393,1.6186724563549658e-33,0.62986304,0.0,6653,0.0,0.0,0.00030327640706673265,-0.003962605549708249,0.01,-0.1532322476097261,-0.0009300525417477344,-1.2470791762183482,0.0,0.0,-0.05310810395115203,0.6848415798611112,-0.5,1508.16385401,21030912,0.6497919999999999,1.009152,0.087552,-0.08425623062459978,2526.29,0.0,0.6556532118055556,-0.43650603835360857,-0.07312001080346085,0.012614400000000001,0.0,0.0,38.1328,154341,0.2,1.0026212930679321,0.227734375,7.255013942718506,-0.020516155211953446,0.9975088238716125,-39.76575565338135,0.027653277,0.00028599168,20.59016795158386,
-0.20019716857544542,5.178544115646079,-0.006846803746124159,-0.07647731812653796,0.24609882545169814,3163,0.0,1142,-0.07814816973359448,-0.0968734636316392,-0.009544795193263528,-0.10356563611718149,0.0,-0.16772432894536152,0.0,-0.06233691585776508,-0.07780082997134644,0.5048309618749667,3.368745459938953e-27,0.629845376,0.0,6653,0.0,0.0,0.00022786420110302666,-0.00384742701519473,0.01,-0.16235304830818065,-0.0009508639848036305,-1.2583841571045609,0.0,0.0,-0.0554278841082626,0.6771647135416667,-0.5,1510.2008060999997,21049344,0.6494848,1.0100736,0.0876288,-0.09796211463567644,2529.02,0.0,0.6448025173611112,-0.4435147773818335,-0.07522022276744306,0.012625919999999999,0.0,0.0,38.14432,154345,0.2,1.001893401145935,0.21961669921875,4.397269248962402,-0.024016562767792494,0.9991369843482971,-39.75593204498291,0.02690208,0.000285979392,10.697768115997315,
-0.17412785423609492,5.412651094950505,-0.006544866565868426,-0.06311242462422431,0.2581141556551401,3166,0.0,1143,-0.06323823121487097,-0.09484666604421006,-0.009228707577570463,-0.1036278321569396,0.0,-0.14533784751707593,0.0,-0.0606330620971475,-0.067430497669924,0.5056593293135766,2.66915095888977e-13,0.629827712,0.0,6652,0.0,0.0,0.0003776037774514407,-0.0037383179778212893,0.01,-0.15199167059734797,-0.0008989156975746118,-1.2420764482486113,0.0,0.0,-0.05312331140053718,0.6803927951388888,-0.5,1513.2314326199996,21067776,0.6491776,1.0109952,0.0877056,-0.08011391056751344,2533.41,0.0,0.6571180555555556,-0.44202672300118534,-0.07222550608915529,0.01263744,0.0,0.0,38.15584,154349,0.2,1.002403974533081,0.250244140625,14.584836959838867,-0.018891551787965,0.9944002628326416,-39.75692234039307,0.027730253,0.000285967104,43.51782054901123,
-0.1722741966341876,5.450191331151274,-0.0065077259922675205,-0.06528612692727631,0.26163242762825156,3169,0.0,1144,-0.06046385013773887,-0.09342141276547918,-0.009334475171061517,-0.10383168583642789,0.0,-0.1389712805557198,0.0,-0.05592248134010675,-0.06917165896928013,0.5046214835680588,0.00024890943159454186,0.6298100480000001,0.0,6652,0.0,0.0,0.00022894930831777552,-0.0033941579024793908,0.01,-0.158235028284567,-0.0008952840472819645,-1.2289059329235208,0.0,0.0,-0.050559665061119,0.6822374131944444,-0.5,1506.6165269300004,21086208,0.6488704000000001,1.0119168,0.0877824,-0.07294903545789624,2521.78,0.0,0.65625,-0.44287721062296437,-0.07271244673350806,0.01264896,0.0,0.0,38.16736,154352,0.2,1.0020405054092407,0.28233119419642855,3.2451953887939453,-0.017076463230685995,0.9990686774253845,-39.757725306919646,0.038967684,0.000285954816,8.498424427849907,
-0.18433506365678123,5.371141849161231,-0.00672747739880058,-0.06986288433920008,0.27326136545698837,3172,0.0,1145,-0.05433874999335511,-0.09389648180126565,-0.009455556343949264,-0.10388169836511624,0.0,-0.14102921273496197,0.0,-0.06098598849222078,-0.06214045552252667,0.5032202875707912,0.00035017557850251216,0.629792384,0.0,6652,0.0,0.0,0.0003965922385557658,-0.0040185784443600445,0.01,-0.1490080656496891,-0.0009389115800388777,-1.2405645356729003,0.0,0.0,-0.052100507333626235,0.6889105902777778,-0.5,1529.6929697800003,21104640,0.6485632,1.0128384,0.0878592,-0.08539735250097048,2554.19,0.0,0.6507703993055556,-0.42566361651750645,-0.0732184827146941,0.01266048,0.0,0.0,38.17888,154353,0.2,1.0004628896713257,0.2373046875,34.59089660644531,0.005382007540902123,0.9902723431587219,-39.736595153808594,0.020404294,0.00028594252799999997,114.91640281677246,
-0.1775080107106037,5.5315213033288675,-0.006595088055741083,-0.06681976822921742,0.27371653372360316,3175,0.0,1146,-0.05575330785239366,-0.09397194098658784,-0.009224099460551312,-0.10381071766199694,0.0,-0.13394721044230004,0.0,-0.053844873186105,-0.07550829922882542,0.5033492382615897,5.612059932374719e-20,0.62977472,0.0,6652,0.0,0.0,0.0002473953516326017,-0.003342319386063602,0.01,-0.15381976215453658,-0.0009232431228396382,-1.2334124376072149,0.0,0.0,-0.05131383115185289,0.6798231336805556,-0.5,1521.28299184,21123072,0.6482559999999999,1.01376,0.087936,-0.07793530666276723,2541.11,0.0,0.6591796875,-0.4432914201259673,-0.07135880039174065,0.012672000000000001,0.0,0.0,38.1904,154357,0.2,1.0027663707733154,0.34196920955882354,38.117218017578125,-0.005919796202386565,0.9872861504554749,-39.76598156199736,0.043824583,0.00028593024,99.43574120016659,
-0.178675968021407,5.521752557457618,-0.006515037902089901,-0.06945287101197657,0.27831296356868784,3177,0.0,1147,-0.057718170389269643,-0.09228388275271954,-0.009370767194494601,-0.104030863457723,0.0,-0.13846951458698842,0.0,-0.05425645112135343,-0.07194780065952866,0.505109756011808,2.0264662418742037e-10,0.629757056,0.0,6652,0.0,0.0,0.00023979983072624437,-0.0037267407968856556,0.01,-0.16155125730552533,-0.0009255650356439411,-1.2264282695440558,0.0,0.0,-0.05075008139316639,0.6788465711805556,-0.5,1502.4746090199997,21141504,0.6479488,1.0146816,0.0880128,-0.06848949885574188,2516.94,0.0,0.6626519097222222,-0.44056863874869434,-0.06869320086558155,0.012683520000000002,0.0,0.0,38.20192,154361,0.2,1.0036633014678955,0.26103515625,8.582542419433594,-0.012634724681265651,0.9948716759681702,-39.77924423217773,0.03324283,0.000285917952,25.41147255897522,
-0.19105596087001983,5.402642449911808,-0.006786294252352534,-0.070845668406649,0.26608621725337733,3180,0.0,1148,-0.06726027264568063,-0.09414596098414679,-0.009461890987896158,-0.10397663044030964,0.0,-0.15037911919993313,0.0,-0.05663036397875498,-0.08341578291745734,0.5041981055132074,3.173401408345308e-29,0.6297393920000001,0.0,6653,0.0,0.0,0.00033637103559966717,-0.0035588456277359354,0.01,-0.15425190013866744,-0.0009657546437616796,-1.2352307901710289,0.0,0.0,-0.051715223338972834,0.6847873263888888,-0.5,1530.29894262,21159936,0.6476416,1.0156032,0.0880896,-0.07120601859966642,2549.83,0.0,0.6670464409722222,-0.429590461179751,-0.07104974529292644,0.01269504,0.0,0.0,38.21344,154365,0.2,1.0028810501098633,0.25321044921875,16.703828811645508,-0.011674141185358167,0.9910932779312134,-39.769331741333005,0.024920586,0.000285905664,70.20522918701172,
-0.19536263866739997,5.300601004251808,-0.006668831865442352,-0.08124519630163404,0.2644360541432051,3183,0.0,1149,-0.06479951793666697,-0.09390918334806837,-0.00934538188960355,-0.10394508968639045,0.0,-0.15355556303823528,0.0,-0.06142976676348392,-0.06852780548092408,0.506101271127371,7.695767692824763e-12,0.629721728,0.0,6653,0.0,0.0,0.0002544483059965488,-0.004333634951713622,0.01,-0.16283804773821228,-0.0009442360901698293,-1.2512012388156393,0.0,0.0,-0.050283782071823234,0.6805013020833333,-0.5,1559.17047909,21178368,0.6473344,1.0165248,0.0881664,-0.08276970950536294,2581.44,0.0,0.6527777777777778,-0.4349067863732699,-0.07035985379706476,0.01270656,0.0,0.0,38.22496,154369,0.2,1.0025542974472046,0.25565185546875,30.839868545532227,-0.010326363594504073,0.9936392903327942,-39.76488552093506,0.02697413,0.00028589337599999997,74.75439262390137,
