reward_terms/foot_slip,reward_terms/hip_roll,reward_terms/foot_ahead,reward_terms/clearance,reward_terms/motor_vel,time/time_elapsed,rollout/ep_rew_mean,reward_terms/residual,reward_terms/ang_xy,reward_terms/stance,curriculum/ctrl_jitter_ms,reward_terms/energy,reward_terms/assist_pen,reward_terms/fwd_speed,reward_terms/air_time,time/total_timesteps,reward_terms/residual_rate,curriculum/sprint_dist_m,reward_terms/time,reward_terms/vz,curriculum/ent_coef,reward_terms/torque,reward_terms/stance_time,time/iterations,rollout/ep_len_mean,reward_terms/angmom,reward_terms/overrun,curriculum/stance_ratio,reward_terms/step_rate,reward_terms/action_rate,reward_terms/lat_vel,reward_terms/phase_contact,reward_terms/upright,curriculum/ctrl_drop_prob,curriculum/eff_scale,reward_terms/height,reward_terms/alive,time/fps,reward_terms/stop,reward_terms/coef_rate,train/explained_variance,train/value_loss,train/loss,train/learning_rate,train/std,train/clip_range,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_fraction
-0.31945050003213415,-0.09483018941224909,0.0,0.24454374908240284,-0.0012226940110586205,5019,-58.38741220000001,-0.10788543237644359,-0.4721174657215433,-0.19512703591968344,0.0,-0.00969363961922749,0.0,2.7122842918150356,7.107191292258601e-05,22689792,0.0,39.1696,-0.5,-0.5778190535652118,0.01,-0.1398472460845188,0.0,1231,177.87,-0.26355044903273117,0.0,0.62827328,0.0,-0.03972445915613106,-2.8760383991199534e-08,-0.08308388648114183,-0.1577197932063153,0.0,0.094464,-0.14603110545205153,0.0,4519,0.0,-0.21722586266509059,0.9952353239059448,1.8482080757617951,0.47871291637420654,0.00028866431999999997,1.0012778043746948,0.2,-0.010174619359895587,21267,0.020162951,-34.06703701019287,0.177392578125
-0.311982343036476,-0.09649958738018519,0.0,0.24275822093289465,-0.0012212187827397392,5023,-58.99843663000001,-0.10801212702497053,-0.46936451546332925,-0.2051907809016429,0.0,-0.009702336527468236,0.0,2.663236061551907,0.00012261265267928442,22708224,0.0,39.18112,-0.5,-0.5801366740218215,0.01,-0.13954936614495772,0.0,1232,179.64,-0.26714670916129185,0.0,0.628255616,0.0,-0.04066177232355527,-2.9375046148393652e-08,-0.08181016454759397,-0.1505911736238529,0.0,0.0945408,-0.13811871000487908,0.0,4520,0.0,-0.2191614830569848,0.9968421459197998,1.0224558532238006,0.05383840203285217,0.000288655104,1.0016878843307495,0.2,-0.009704321122262627,21271,0.028737623,-34.07177257537842,0.225244140625
-0.31632078771049277,-0.09732583024937697,0.0,0.243156237754094,-0.0012108147495240944,5027,-58.92800873,-0.1077193270556826,-0.46436125321094734,-0.20540095985961782,0.0,-0.009627490181398838,0.0,2.681887702747945,0.0001812063176960995,22726656,0.0,39.19264,-0.5,-0.5843052886759295,0.01,-0.13837719465818246,0.0,1233,179.1,-0.2680745322411948,0.0,0.628237952,0.0,-0.0404473754200733,-2.8944354264004683e-08,-0.08097500796160129,-0.15963000333612382,0.0,0.0946176,-0.14189022499069778,0.0,4520,0.0,-0.21802108319846913,0.9986023306846619,0.591575776040554,-0.09637755155563354,0.000288645888,1.0025107860565186,0.2,-0.010833791841287166,21275,0.030644074,-34.08152275085449,0.27666015625
-0.31146124863040486,-0.09641794326901724,0.0,0.2423548022770764,-0.0012159947386246653,5031,-59.987618350000005,-0.10786454494998281,-0.4665250588806976,-0.20083171044387738,0.0,-0.009683327184025557,0.0,2.6647202654669604,0.00013346333677570024,22745088,0.0,39.20416,-0.5,-0.5821515517512655,0.01,-0.13923030466534855,0.0,1234,178.08,-0.26997104471255856,0.0,0.6282202880000001,0.0,-0.040187041358630875,-2.9163509743517965e-08,-0.08210949386753104,-0.15796588321272295,0.0,0.0946944,-0.14044620016701811,0.0,4520,0.0,-0.22042764441427776,0.9960927367210388,1.4749813318252563,0.11199641227722168,0.000288636672,1.0021452903747559,0.2,-0.006717364583164453,21279,0.021003198,-34.07913818359375,0.27205810546875
-0.3180233867057643,-0.09727884753518119,0.0,0.24005666884615534,-0.0012103241937675363,5036,-60.45099703000001,-0.10790532202173893,-0.47050784000645546,-0.20004198244388488,0.0,-0.00961666400856413,0.0,2.6266308535471996,3.9604948445533715e-05,22763520,0.0,39.21568,-0.5,-0.5773915388112366,0.01,-0.13784981415156775,0.0,1235,180.22,-0.27667558413598936,0.0,0.628202624,0.0,-0.04023151991158967,-3.2207443876843746e-08,-0.08247295549266753,-0.164178956166371,0.0,0.0947712,-0.14121745665525873,0.0,4520,0.0,-0.22376851316895355,0.993066132068634,3.0560471177101136,1.3591597080230713,0.000288627456,1.0013865232467651,0.2,-0.008440974575933069,21283,0.01830368,-34.0699462890625,0.18040771484375
-0.31285480545489414,-0.0966843054409743,0.0,0.24149071826789148,-0.0012182823594622996,5040,-58.93008995999999,-0.10803463909943394,-0.470462286491585,-0.20027119717878397,0.0,-0.00976818393161586,0.0,2.668333733188587,0.00010959185116613905,22781952,0.0,39.227199999999996,-0.5,-0.5815790543258627,0.01,-0.1414176106947134,0.0,1236,178.78,-0.2729176753694144,0.0,0.62818496,0.0,-0.04047926302003264,-2.9366716282465238e-08,-0.08374569982510503,-0.15370662132732799,0.0,0.094848,-0.14319677244349335,0.0,4520,0.0,-0.22035290699387405,0.9949265122413635,1.5294954746961593,0.07455962896347046,0.00028861824,1.0017608404159546,0.2,-0.01599487194325775,21287,0.02189834,-34.07213516235352,0.20423583984375
-0.3187639075976407,-0.09872692358615054,0.0,0.24215178965176223,-0.0012144698953228676,5044,-59.04235740000001,-0.10803721625481816,-0.4689505151525089,-0.21017950473457359,0.0,-0.009701472925152046,0.0,2.6600359407411975,6.130631663836539e-05,22800384,0.0,39.23872,-0.5,-0.5860849446421705,0.01,-0.14020637278431677,0.0,1237,178.94,-0.2746386072918692,0.0,0.628167296,0.0,-0.04003154385464254,-2.966818417384985e-08,-0.08048727820575004,-0.15076264993292454,0.0,0.0949248,-0.14405323603927267,0.0,4520,0.0,-0.2220174063346471,0.9967120289802551,0.9219026744365693,-0.0595935583114624,0.00028860902399999996,1.0020956993103027,0.2,-0.009910818422213197,21291,0.0254296,-34.07675399780273,0.22137451171875
-0.30529555728991603,-0.09523405734477185,0.0,0.24015345851023095,-0.0012041297806540912,5048,-59.40867817999999,-0.10792661066789283,-0.46600179796966745,-0.19947198589491444,0.0,-0.009658791430584547,0.0,2.668670376253391,0.0002105031356525918,22818816,0.0,39.250240000000005,-0.5,-0.5849683492212061,0.01,-0.14022103034784675,0.0,1238,179.98,-0.26782469903469497,0.0,0.6281496320000001,0.0,-0.03984622668315477,-2.8146941137394916e-08,-0.08205976811396673,-0.14969929408221805,0.0,0.0950016,-0.1402628305937141,0.0,4520,0.0,-0.2192744602616963,0.9987493753433228,0.5581992223858834,-0.09589460492134094,0.000288599808,1.0021817684173584,0.2,-0.012480123015120626,21295,0.036604386,-34.0807165145874,0.2969482421875
-0.30875333777892033,-0.09706905859817255,0.0,0.241509074167074,-0.0012192967821085356,5052,-59.09430052,-0.10805580690280105,-0.46639608137058797,-0.2067017952819286,0.0,-0.00968716050162294,0.0,2.658646402105433,0.0002137583311802397,22837248,0.0,39.261759999999995,-0.5,-0.5823599169201287,0.01,-0.13852500623641933,0.0,1239,180.43,-0.2674077080229016,0.0,0.628131968,0.0,-0.04006589725132177,-2.8903085469782192e-08,-0.07891076605498078,-0.15182567693134255,0.0,0.0950784,-0.13459269439324995,0.0,4520,0.0,-0.21869965804501165,0.9985257387161255,0.6593614399433136,-0.0870218575000763,0.000288590592,1.002404808998108,0.2,-0.010455895261839033,21299,0.03528226,-34.08204956054688,0.31650390625
-0.31648311085324665,-0.09694934425417562,0.0,0.24045791630557428,-0.0012319894726994904,5056,-59.80452786,-0.10786373741537184,-0.47370194155353335,-0.2047825802696199,0.0,-0.009806182893028228,0.0,2.64672584193426,7.541219626242916e-05,22855680,0.0,39.27328,-0.5,-0.587444568700042,0.01,-0.14116117252273286,0.0,1240,178.84,-0.27480941606551174,0.0,0.628114304,0.0,-0.040449585321512126,-2.9653540974252264e-08,-0.08098270883666531,-0.1570122044039081,0.0,0.0951552,-0.137576852239723,0.0,4520,0.0,-0.22474125395390543,0.9989405274391174,0.4826640124831881,-0.12054333090782166,0.000288581376,1.0018274784088135,0.2,-0.005641143303364515,21302,0.046147346,-34.07474054609026,0.31788853236607145
