reward_terms/action_rate,reward_terms/track_vx,reward_terms/hip_roll,reward_terms/progress,reward_terms/track_heading,reward_terms/overrun,reward_terms/pos_pen,reward_terms/stop,reward_terms/stance_time,time/fps,time/iterations,reward_terms/stance,time/time_elapsed,reward_terms/height,reward_terms/heading_pen,time/total_timesteps,rollout/ep_rew_mean,reward_terms/track_yaw,reward_terms/alive,reward_terms/lat_vel,reward_terms/ang_xy,reward_terms/yaw_rate,reward_terms/foot_slip,reward_terms/fwd_speed,reward_terms/track_pos,reward_terms/upright,reward_terms/time,reward_terms/air_time,curriculum/sprint_dist_m,reward_terms/vz,rollout/ep_len_mean,reward_terms/clearance,reward_terms/torque,curriculum/ent_coef,train/entropy_loss,train/std,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/value_loss,train/learning_rate,train/n_updates,train/explained_variance,train/loss,train/approx_kl
-0.00659391972184493,0.0,-0.18134712881131057,0.0,0.0,0.0,0.0,0.0,-0.00021333422012999718,123,366,-0.005226499186422006,11356,0.0,0.0,1405440,64.86267847,0.0,0.0,-6.384368456372488e-10,-2.796676695927847e-07,0.0,-0.15527433322690165,1.1422702544153998,0.0,-2.413785723797064e-08,-0.5,0.004333774700412276,100.0,0.0,160.15,0.14142046357723653,-0.06364142002617482,0.01,-24.940692126750946,0.9701510667800903,-0.01811664992419537,0.2452392578125,0.2,2.2509707994759083,0.00026496,1081,0.9903252124786377,0.550739049911499,0.025675911
-0.006602597985597541,0.0,-0.18705493428248524,0.0,0.0,0.0,0.0,0.0,-0.00011694233068255788,123,367,-0.0025137381814178566,11373,0.0,0.0,1409280,73.3259101,0.0,0.0,-6.498359694252835e-10,-3.615674257284268e-07,0.0,-0.18004376225406069,1.5358456683235255,0.0,-3.231995498429737e-08,-0.5,0.002902554093682735,100.0,0.0,160.77,0.1634348511117632,-0.058304466563540394,0.01,-24.92197060585022,0.9690919518470764,-0.013469254423398525,0.33123779296875,0.2,1.7568385861814022,0.00026486399999999996,1085,0.9936891794204712,0.531815767288208,0.026399348
-0.00659982864394535,0.0,-0.1830988128171711,0.0,0.0,0.0,0.0,0.0,-0.00019787022106746173,124,368,-0.004343909227088829,11389,0.0,0.0,1413120,99.41202916000002,0.0,0.0,-6.202082158713223e-10,-3.6783664285547123e-07,0.0,-0.19730891133669376,1.7570737953119058,0.0,-3.288914351667956e-08,-0.5,0.003880217293298922,100.0,0.0,163.66,0.16416117830344526,-0.05163376400839949,0.01,-24.907697200775146,0.9692102074623108,-0.013448924146359786,0.29583740234375,0.2,2.0713686235249043,0.00026476799999999997,1089,0.9911286234855652,0.6189635396003723,0.024955288
-0.006540969369232666,0.0,-0.17272444184886954,0.0,0.0,0.0,0.0,0.0,-0.00037112309038781963,124,369,-0.011891114404560928,11406,0.0,0.0,1416960,109.76258248999999,0.0,0.0,-5.44351255883245e-10,-2.549936043898437e-07,0.0,-0.1582089199966014,1.1603890571167657,0.0,-2.3794772356164443e-08,-0.5,0.004797873187528851,100.0,0.0,162.7,0.12113095580531072,-0.06096616739136904,0.01,-24.889253795146942,0.9674909114837646,-0.020877049755654298,0.29290771484375,0.2,1.6259437538683414,0.000264672,1093,0.9945803880691528,0.5946216583251953,0.026112761
-0.006646037290462235,0.0,-0.17654327371077966,0.0,0.0,0.0,0.0,0.0,-0.0003642983592400549,124,370,-0.008485337013415131,11422,0.0,0.0,1420800,91.34485151999999,0.0,0.0,-6.087421276800377e-10,-2.6883766946255467e-07,0.0,-0.14627975243527175,1.162959004299936,0.0,-2.448504209363334e-08,-0.5,0.005046900046210942,100.0,0.0,161.3,0.12943021699367135,-0.061020119846104004,0.01,-24.872663497924805,0.9668312072753906,-0.0031856307250563987,0.28399658203125,0.2,50.9951763600111,0.000264576,1097,0.8473837971687317,23.314268112182617,0.020821601
-0.006593006520938241,0.0,-0.17473543645302922,0.0,0.0,0.0,0.0,0.0,-9.084465065486714e-05,124,371,-0.004844271716666379,11438,0.0,0.0,1424640,84.23729881999998,0.0,0.0,-5.910837861601695e-10,-2.518151161520306e-07,0.0,-0.12248716062594595,1.0611419311646988,0.0,-2.178636099594888e-08,-0.5,0.004910042028910717,100.0,0.0,161.18,0.12940253621948986,-0.06212835394932139,0.01,-24.870576202869415,0.9667260050773621,-0.006425431158277206,0.21002197265625,0.2,18.062714457511902,0.00026448,1101,0.9379815459251404,3.495276927947998,0.016967313
-0.006718796098078544,0.0,-0.1802140181843795,0.0,0.0,0.0,0.0,0.0,-0.0002103464392317276,124,372,-0.006444356210397326,11454,0.0,0.0,1428480,63.07478072,0.0,0.0,-6.775084141328635e-10,-2.7143729552463435e-07,0.0,-0.15902249103037097,1.2230514888626267,0.0,-2.481925921352585e-08,-0.5,0.004765035113414558,100.0,0.0,159.52,0.15219000207973282,-0.06950582119951651,0.01,-24.866411447525024,0.9666230082511902,-0.013125422861776315,0.23590087890625,0.2,1.6623748131096363,0.000264384,1105,0.9926717877388,0.3022904098033905,0.022270542
-0.006705270475998482,0.0,-0.174998825049197,0.0,0.0,0.0,0.0,0.0,-5.6935612285871536e-05,124,373,-0.005357728095455137,11469,0.0,0.0,1432320,54.52051772000001,0.0,0.0,-6.477988261469576e-10,-1.96903240981834e-07,0.0,-0.09716018465784938,0.8280060849453624,0.0,-1.660351108167631e-08,-0.5,0.004751070802874827,100.0,0.0,161.32,0.11659679000392163,-0.06690811153933497,0.01,-24.857234795888264,0.9659750461578369,0.005033517683235307,0.2674153645833333,0.2,38.12829135855039,0.000264288,1107,0.9018230438232422,0.6324068307876587,0.038663823
-0.006690430164814246,0.0,-0.1785327282186804,0.0,0.0,0.0,0.0,0.0,-0.00016447935679061998,125,374,-0.006101925111787832,11485,0.0,0.0,1436160,49.44420285000001,0.0,0.0,-6.170061278822286e-10,-2.714871499430188e-07,0.0,-0.16898396556900955,1.2823065728813983,0.0,-2.5801728300511498e-08,-0.5,0.003793295199393803,100.0,0.0,162.25,0.13648142222572685,-0.0557518422298073,0.01,-24.855831742286682,0.965905487537384,-0.014563946751877666,0.268310546875,0.2,1.3054847158491611,0.000264192,1111,0.9947555065155029,0.2881677746772766,0.027675975
-0.0068861713342858915,0.0,-0.17786382197503547,0.0,0.0,0.0,0.0,0.0,-6.464041688311988e-05,125,375,-0.007314660101209866,11500,0.0,0.0,1440000,55.869267240000006,0.0,0.0,-7.218102268073418e-10,-2.5504321309859124e-07,0.0,-0.13957195115516868,1.1499137617447948,0.0,-2.193275957636971e-08,-0.5,0.0045323194898346615,100.0,0.0,161.87,0.13785903200789987,-0.06031806460748606,0.01,-24.83501615524292,0.9644177556037903,-0.005562126444419846,0.301953125,0.2,1.4657415747642517,0.000264096,1114,0.9950906038284302,0.49479109048843384,0.03081058
