reward_terms/stance,curriculum/eff_scale,curriculum/ctrl_drop_prob,reward_terms/ang_xy,reward_terms/overrun,reward_terms/residual,reward_terms/residual_rate,reward_terms/angmom,reward_terms/upright,reward_terms/coef_rate,reward_terms/clearance,time/total_timesteps,reward_terms/assist_pen,reward_terms/time,reward_terms/foot_slip,reward_terms/lat_vel,reward_terms/action_rate,reward_terms/energy,time/fps,reward_terms/stance_time,time/time_elapsed,reward_terms/motor_vel,curriculum/sprint_dist_m,reward_terms/air_time,reward_terms/fwd_speed,reward_terms/height,reward_terms/torque,rollout/ep_len_mean,reward_terms/step_rate,reward_terms/phase_contact,reward_terms/foot_ahead,curriculum/ent_coef,time/iterations,reward_terms/hip_roll,curriculum/stance_ratio,reward_terms/stop,reward_terms/alive,rollout/ep_rew_mean,reward_terms/vz,curriculum/ctrl_jitter_ms,train/learning_rate,train/n_updates,train/approx_kl,train/clip_fraction,train/entropy_loss,train/loss,train/explained_variance,train/value_loss,train/std,train/policy_gradient_loss,train/clip_range
-0.006561558635670188,0.0090624,0.0,-0.4255830182103034,0.0,-0.10327885611298811,0.0,-0.08944888260466821,-0.2363646319224356,-1.287315177700766,0.06466450454162297,2193408,0.0,-0.5,-0.47996057908687995,-1.5914197648811314e-07,-0.11327644916172323,-0.000683296691162245,4471,-1.2342485004208154e-05,490,-0.00013782402665842806,26.35936,0.0003016490631529854,-0.7335178122390325,-0.026372965720664207,-0.004931336716713262,149.05,0.0,-0.37526539995069386,0.0,0.01,119,-0.07463378731962024,0.647915648,0.0,0.0,-137.08103552000003,-0.18331561959483728,0.0,0.0002982600192,155594,0.04711636,0.2825927734375,-34.07158533732096,3.635011672973633,-9.740324974060059,8.46380615234375,1.0014153718948364,0.0055272702205305295,0.2
-0.005080582122312597,0.0091392,0.0,-0.4316090065643445,0.0,-0.10317754590292992,0.0,-0.08449280626594234,-0.22148939194269257,-1.281461621286746,0.061601477463485606,2211840,0.0,-0.5,-0.5031585906796853,-1.705705649175811e-07,-0.11089556296560905,-0.0006928789747010684,4471,-6.103393388912082e-06,494,-0.00014062005367576397,26.37088,0.00022081139225823185,-0.6503157479089477,-0.02142063268797896,-0.004970270964757831,132.2,0.0,-0.37851394698548746,0.0,0.01,120,-0.08136695800447061,0.647897984,0.0,0.0,-132.86045510999998,-0.16918839423877094,0.0,0.00029824527359999996,155596,0.048226833,0.2738444010416667,-34.06975491841634,2.7764828205108643,-14.769640922546387,6.799997488657634,1.0012658834457397,0.002891230358121296,0.2
-0.012850499907700902,0.009216,0.0,-0.43336077787681376,0.0,-0.10343065076345187,0.0,-0.095725568423976,-0.25507940396853274,-1.2735844751294574,0.06457111427323034,2230272,0.0,-0.5,-0.4740533195623541,-1.600251844622424e-07,-0.11072977047335082,-0.000694212695382376,4471,0.0,498,-0.00013968406546549387,26.3824,0.0001589623894283755,-0.7825180276210427,-0.026162294419536034,-0.005042599181752774,143.33,0.0,-0.3750324762271662,0.0,0.01,121,-0.08043441792534767,0.6478803200000001,0.0,0.0,-135.66756144000001,-0.17948374696966535,0.0,0.000298230528,155598,0.056984104,0.3170166015625,-34.069981257120766,3.1541824340820312,-10.77695083618164,7.50135072072347,1.0012881755828857,0.009145274525508285,0.2
-0.010986815878544047,0.0092928,0.0,-0.42226648321732113,0.0,-0.10297571323517783,0.0,-0.09881944357043816,-0.2552872977242732,-1.2733510835032702,0.06594462594244227,2248704,0.0,-0.5,-0.4559872701544352,-1.5315096939066913e-07,-0.10868553118384051,-0.0006741469802302546,4472,0.0,502,-0.0001365316146575879,26.39392,0.00013183574062875577,-0.731957288362361,-0.03177042006213354,-0.004924925918605375,112.34,0.0,-0.37312318119859117,0.0,0.01,122,-0.08629968401857607,0.647862656,0.0,0.0,-127.92224648000001,-0.20209731817247115,0.0,0.0002982157824,155600,0.04709746,0.2890625,-34.069013595581055,2.43432354927063,-13.336482048034668,6.296926975250244,1.0012080669403076,0.005682009815548857,0.2
-0.005755547104348748,0.0093696,0.0,-0.4215155205146785,0.0,-0.10326300766128982,0.0,-0.09371503193755544,-0.24303503006155472,-1.2790862963324683,0.06013068372924271,2267136,0.0,-0.5,-0.48664243241019745,-1.6246352887159722e-07,-0.11122701856634344,-0.0006881130981848007,4472,0.0,506,-0.00013872944685603105,26.40544,0.00012532529783331684,-0.7641734891459105,-0.02761338883064793,-0.00506383809063592,133.38,0.0,-0.37775020824817274,0.0,0.01,123,-0.08286561058969866,0.647844992,0.0,0.0,-133.18867903000003,-0.17966973975974065,0.0,0.0002982010368,155602,0.0591439,0.2952473958333333,-34.0701478322347,2.998833656311035,-13.361193656921387,6.628288110097249,1.0013552904129028,0.005652326392009854,0.2
-0.00562447917621906,0.0094464,0.0,-0.4523734875504939,0.0,-0.10367314908716839,0.0,-0.0947220637141148,-0.25420115803290666,-1.2767923639695389,0.06395179471063273,2285568,0.0,-0.5,-0.4693889515787127,-1.671246431068975e-07,-0.11033514339352356,-0.0007149509103589881,4472,0.0,511,-0.00013966801553778332,26.41696,0.0002577038507701622,-0.7568299511713666,-0.027999846832930678,-0.005465838257651346,141.38,0.0,-0.3644274900008468,0.0,0.01,124,-0.08746285983282859,0.647827328,0.0,0.0,-135.11345546,-0.18213162511451642,0.0,0.00029818629119999997,155604,0.04889839,0.2599283854166667,-34.07256062825521,2.783280611038208,-12.671191215515137,6.769562323888143,1.0014967918395996,0.003000619704835117,0.2
-0.005887090984300267,0.0095232,0.0,-0.42186654398460743,0.0,-0.10309340686564647,0.0,-0.09538526696748807,-0.24935741008747744,-1.2827591388245914,0.0626404842113118,2304000,0.0,-0.5,-0.4779176796216917,-1.562027232849452e-07,-0.11203149743169319,-0.000696243195050176,4472,0.0,515,-0.00014043906986749573,26.42848,5.750853839951257e-05,-0.7817365899285453,-0.027958304415478377,-0.005064540284420171,139.34,0.0,-0.3762530565525086,0.0,0.01,125,-0.07970502466968045,0.6478096640000001,0.0,0.0,-134.64750463000001,-0.1878384428883,0.0,0.0002981715456,155606,0.06137344,0.2685139973958333,-34.071954091389976,3.1181795597076416,-9.892909049987793,7.160239140192668,1.0014586448669434,0.0023176914546638727,0.2
-0.009907518212170577,0.0096,0.0,-0.4181745310831448,0.0,-0.10313786117569208,0.0,-0.08922779778289783,-0.2336732055434572,-1.2685140950980853,0.06122299650133851,2322432,0.0,-0.5,-0.47687968212117415,-1.5309121390716827e-07,-0.1106155192479961,-0.0007141931087560563,4472,0.0,519,-0.00014287768413415264,26.44,0.00020019502456610402,-0.6908777881172028,-0.0242655059704576,-0.0052277354513241715,117.94,0.0,-0.38769175981784443,0.0,0.01,126,-0.08686609191981143,0.647792,0.0,0.0,-129.32910081,-0.16744284842191068,0.0,0.0002981568,155608,0.06624198,0.3059488932291667,-34.07083829243978,2.439107894897461,-12.485004425048828,5.634404182434082,1.0013797283172607,0.006898647135434051,0.2
-0.011565491709412052,0.0096768,0.0,-0.4303228415178053,0.0,-0.10332371926055152,0.0,-0.10537099317196268,-0.2612453941807038,-1.266797683281202,0.06453207192598495,2340864,0.0,-0.5,-0.458290210472743,-1.5501758278925247e-07,-0.10848887805716714,-0.0007061253062179921,4473,0.0,523,-0.00014179658300221055,26.45152,0.00018988692964841094,-0.7525493623461295,-0.02798352973052917,-0.005273137550419071,127.64,0.0,-0.36889206125923163,0.0,0.01,127,-0.08751976213528354,0.647774336,0.0,0.0,-131.71262299,-0.18519800174391798,0.0,0.00029814205439999996,155610,0.051489137,0.2983805338541667,-34.071389516194664,2.5599653720855713,-11.3343505859375,6.310798645019531,1.0014060735702515,0.008183427543068925,0.2
-0.005670178400210263,0.0097536,0.0,-0.41146879476260306,0.0,-0.10300010316064401,0.0,-0.08879792441930547,-0.21218562715052205,-1.273647610801516,0.06057891053728015,2359296,0.0,-0.5,-0.4798751972273077,-1.56249951489987e-07,-0.11209877515111819,-0.0007310293383021324,4473,0.0,527,-0.00014840753196978393,26.46304,0.0001443139658982141,-0.6414028043310253,-0.022544455464356693,-0.005266064059518473,107.73,0.0,-0.3940007620656316,0.0,0.01,128,-0.08674135433984628,0.647756672,0.0,0.0,-126.76649057,-0.17306312876640173,0.0,0.0002981273088,155612,0.059116837,0.296630859375,-34.071876525878906,2.5429720878601074,-10.752946853637695,6.241357644399007,1.0014005899429321,0.00737188234537219,0.2
