reward_terms/energy,curriculum/ent_coef,reward_terms/action_rate,reward_terms/hip_roll,curriculum/eff_scale,ankle/ankle_defl_peak,reward_terms/air_time,curriculum/ctrl_jitter_ms,time/total_timesteps,reward_terms/angmom,curriculum/ctrl_drop_prob,reward_terms/stance,reward_terms/assist_pen,reward_terms/height,time/iterations,reward_terms/torque,reward_terms/lat_vel,reward_terms/coef_rate,reward_terms/fwd_speed,reward_terms/phase_contact,reward_terms/overrun,rollout/ep_len_mean,curriculum/stance_ratio,reward_terms/residual,reward_terms/duty_sym,reward_terms/foot_slip,time/fps,reward_terms/foot_ahead,ankle/ankle_spring_trq_peak,reward_terms/stop,reward_terms/upright,reward_terms/residual_rate,reward_terms/step_rate,reward_terms/alive,ankle/ankle_spring_energy_peak,reward_terms/clearance,reward_terms/stance_time,rollout/ep_rew_mean,reward_terms/ang_xy,reward_terms/motor_vel,time/time_elapsed,reward_terms/time,curriculum/sprint_dist_m,reward_terms/vz,train/clip_fraction,train/std,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/loss,train/explained_variance,train/entropy_loss,train/clip_range,train/approx_kl,train/value_loss
-0.030557172608235497,0.01,-0.08522924295484967,-0.059104861060815944,0.264032475,0.5103420822183418,0.0029155772580351266,1.8587961,63386226,-0.05631906603863798,0.02323495125,-0.012832513330532194,0.0,-0.0049669612661660326,238,-0.23842787752591535,-6.20893611664077e-08,-0.43247836812546614,5.177499516339494,-0.0371699828790861,0.0,3189.64,0.58927253075,-0.10207099995312133,-0.7639366417936669,-0.3596525053406762,4056,0.0,0.0,3.5039537891394695e-39,-0.07384217095450231,0.0,-0.018489583333332754,0.0,0.0,0.34345850277681245,0.0,1880.21160994,-0.42566914176966597,-0.005468914102022376,1081,-0.5,64.60487125,-0.04896429791274018,0.228369140625,1.001861572265625,-0.010391798568889499,0.00026831610299999997,13722,62.10911560058594,0.9667499661445618,-34.0762357711792,0.2,0.01590619,200.02561721801757
-0.030363213394743533,0.01,-0.08502713687575866,-0.055607095502515955,0.264109275,0.5042206775896718,0.003045785463958358,1.8597177,63404658,-0.04899878657579878,0.02324647125,-0.014571418520943766,0.0,-0.0036227146234212937,239,-0.23751919754470505,-5.992379230446255e-08,-0.42035901430537126,5.277185859605889,-0.03783053316740747,0.0,3223.73,0.58925486675,-0.10206796544571965,-0.7204990997931617,-0.3535898290947419,4056,0.0,0.0,2.730472824271854e-43,-0.06076068593738412,0.0,-0.01817491319444388,0.0,0.0,0.34947772784552283,0.0,1903.9983192299999,-0.42698946684881206,-0.005462070999256032,1085,-0.5,64.61639124999999,-0.046243150603855525,0.17474365234375,1.00160551071167,-0.014966866513714195,0.000268306887,13726,24.219707489013672,0.9889422059059143,-34.07192592620849,0.2,0.014739079,70.10510005950928
-0.0303528840192357,0.01,-0.08549082840689554,-0.05485742253898587,0.264186075,0.5059349546067647,0.002990447033274298,1.8606393,63423090,-0.062185696130275754,0.023257991250000002,-0.01144390158596407,0.0,-0.005481852124010245,240,-0.23699130506013188,-6.185908256127703e-08,-0.4319208637585774,5.174498470260609,-0.037397364232727465,0.0,3140.99,0.58923720275,-0.1018760913609003,-0.7470643927804556,-0.3690700076168859,4056,0.0,0.0,2.918855983658778e-38,-0.0778416432094118,0.0,-0.01841362847222165,0.0,0.0,0.346273855829045,0.0,1841.8231087400002,-0.4261371319543651,-0.005434624007656711,1090,-0.5,64.62791125000001,-0.05466137009661401,0.300927734375,1.0034892559051514,-0.01076106354012154,0.000268297671,13730,72.83264923095703,0.9534008502960205,-34.085486793518065,0.2,0.037341643,146.60134048461913
-0.030074806982832436,0.01,-0.08652392165809958,-0.055833337351114176,0.264262875,0.5072438652083551,0.0029741710847398886,1.8615609,63441522,-0.06685525151045539,0.02326951125,-0.017164079430648172,0.0,-0.0049855513625827064,241,-0.23640878052304787,-6.064202295887174e-08,-0.4328437442744121,5.0344514532712985,-0.03546065185429575,0.0,3206.52,0.58921953875,-0.10164071463742125,-0.7081101417277016,-0.36238809427794216,4057,0.0,0.0,1.4906920246139266e-38,-0.08235572502634701,0.0,-0.018370225694443867,0.0,0.0,0.3420424166247826,0.0,1887.0751861800004,-0.43454710526036255,-0.005352620637325002,1094,-0.5,64.63943125,-0.053710367099888884,0.2705078125,1.0034680366516113,-0.008696286065969616,0.000268288455,13734,45.957847595214844,0.9741865396499634,-34.0997802734375,0.2,0.01991726,138.86760978698732
-0.03036373558912799,0.01,-0.08530753671036512,-0.05685756572633709,0.264339675,0.5062128924211103,0.0030598913759200107,1.8624825,63459954,-0.05813626014565582,0.02328103125,-0.01531677437791468,0.0,-0.004020798282419866,242,-0.2387748402731863,-5.795128857398248e-08,-0.4333488304586938,5.083830950251721,-0.03408589627492398,0.0,3198.02,0.58920187475,-0.10181158066347644,-0.7007069391682262,-0.35162220849227466,4057,0.0,0.0,3.163331630261826e-43,-0.07428352858280528,0.0,-0.01828342013888832,0.0,0.0,0.3474314076445421,0.0,1887.92282256,-0.43290970480591306,-0.005373248811307727,1099,-0.5,64.65095124999999,-0.04840808125946216,0.19757080078125,1.001952052116394,-0.013474143424537033,0.000268279239,13738,84.5451431274414,0.974480390548706,-34.07645664215088,0.2,0.01819041,149.77088356018066
-0.03004717751240246,0.01,-0.08534790094830014,-0.05196904213362412,0.264416475,0.5039774762222157,0.003264426703228512,1.8634041,63478386,-0.045679719585874794,0.02329255125,-0.013227591188854174,0.0,-0.0032350455898148877,243,-0.23542525875245637,-5.813312919131123e-08,-0.41421647950089696,5.278957889711989,-0.03243291805462505,0.0,3147.51,0.58918421075,-0.10221789592136549,-0.7494882633377837,-0.3500101332861993,4057,0.0,0.0,0.0,-0.06093784773500155,0.0,-0.018153211805554993,0.0,0.0,0.35822395607844054,0.0,1857.7064455399998,-0.41641641878153696,-0.005387122039619222,1103,-0.5,64.66247125,-0.04186386224593117,0.19810791015625,1.0018352270126343,-0.012741169630317017,0.000268270023,13742,145.8773651123047,0.9291737675666809,-34.07586803436279,0.2,0.017243024,251.07416000366212
-0.030883653474038972,0.01,-0.08409768883381954,-0.05693929787833155,0.264493275,0.503728958914984,0.0031054642458911985,1.8643257,63496818,-0.04293679248421577,0.023304071250000002,-0.010472623118117657,0.0,-0.003476644972860857,244,-0.24253058745011394,-6.468595061696505e-08,-0.412709147409992,5.526353635267253,-0.035079717742473565,0.0,3220.47,0.58916654675,-0.10247093439752836,-0.8181666402956698,-0.35376815847710213,4057,0.0,0.0,4.2669221211273097e-47,-0.055286411414815134,0.0,-0.018554687499999414,0.0,0.0,0.3616266754772204,0.0,1908.2416043499998,-0.42326932542704365,-0.005541323415912282,1108,-0.5,64.67399125,-0.042460887775586265,0.18245849609375,1.001840353012085,-0.01310073334025219,0.000268260807,13746,78.51375579833984,0.8248862028121948,-34.07546615600586,0.2,0.018325081,191.75876846313477
-0.030929687521725837,0.01,-0.08540492793323733,-0.05381949371073955,0.264570075,0.5003943866304854,0.0030701995516816774,1.8652473,63515250,-0.06265135492514458,0.023315591250000003,-0.011734789924662115,0.0,-0.005311268732233126,245,-0.23985848966477638,-6.357046961844188e-08,-0.4297739566809887,5.211314731708254,-0.037533284893272845,0.0,3222.38,0.58914888275,-0.10201685836342916,-0.7552231976607052,-0.3636068806102415,4051,0.0,0.0,2.1087533159572732e-44,-0.08009680520958551,0.0,-0.01860894097222164,0.0,0.0,0.35303419681438714,0.0,1909.57917986,-0.4356462469489994,-0.005549016643713326,1114,-0.5,64.68551125,-0.05525426410417635,0.128515625,1.0012531280517578,-0.010447763558477163,0.000268251591,13750,79.7029800415039,0.8885401487350464,-34.06975746154785,0.2,0.014036365,227.2688415527344
-0.030524157484730103,0.01,-0.08532040208294639,-0.05197993569185588,0.264646875,0.5030701926990261,0.003162972797225747,1.8661689,63533682,-0.05393635167516876,0.02332711125,-0.010346971106457522,0.0,-0.00436437360123294,246,-0.23744425176821116,-6.141614998623315e-08,-0.43694675484220896,5.2984322286447005,-0.03563897978201765,0.0,3231.53,0.58913121875,-0.10210539849659513,-0.7523211939090245,-0.356648217951622,4052,0.0,0.0,3.328758213887356e-46,-0.06943323765635874,0.0,-0.018185763888888325,0.0,0.0,0.36056225646947604,0.0,1916.75953977,-0.4238882041286882,-0.005480143597177222,1119,-0.5,64.69703125000001,-0.047921090008866137,0.12109375,1.0011036396026611,-0.012142649851739407,0.000268242375,13754,100.97502899169922,0.9348325133323669,-34.066353988647464,0.2,0.014149887,298.6784729003906
-0.030282991575705114,0.01,-0.0865999671888248,-0.05384416652159605,0.264723675,0.504874991549052,0.002854270957565556,1.8670905,63552114,-0.05827572128391843,0.023338631250000002,-0.013496033895782848,0.0,-0.005005885579554354,247,-0.23709110423730634,-5.972336606344641e-08,-0.4387640650617112,5.055292900135061,-0.03626862993928509,0.0,3303.45,0.58911355475,-0.10200065379010219,-0.6958716926151499,-0.35913678351428024,4052,0.0,0.0,1.0382032998118352e-37,-0.07485691656069535,0.0,-0.018435329861110537,0.0,0.0,0.34314599004331225,0.0,1965.09444013,-0.42411443532784604,-0.005367187834113316,1123,-0.5,64.70855125,-0.05224480277801156,0.11876220703125,1.001242995262146,-0.013303025404457002,0.000268233159,13758,37.12252426147461,0.9754514694213867,-34.06783885955811,0.2,0.0119616445,115.03640060424804
-0.03025014196730863,0.01,-0.08435669786026118,-0.05245033744260879,0.264800475,0.5026111489833929,0.0031597176243344117,1.8680121,63570546,-0.05043237007032466,0.023350151250000003,-0.009199169731795834,0.0,-0.004408967225167023,248,-0.23798440947182042,-5.918905804705802e-08,-0.42506735967300163,5.464442391333612,-0.03561324932361847,0.0,3263.63,0.58909589075,-0.10239710146858945,-0.8090961181554092,-0.34288871672099286,4052,0.0,0.0,3.7206927170806667e-44,-0.06295278483444657,0.0,-0.018153211805554993,0.0,0.0,0.36467814092763107,0.0,1936.20628008,-0.40696582756991356,-0.005373383539622172,1127,-0.5,64.72007124999999,-0.047771630055588515,0.15546875,1.0019912719726562,-0.017482147202827036,0.000268223943,13762,21.754352569580078,0.9869630932807922,-34.07528820037842,0.2,0.015951633,62.928162002563475
