reward_terms/time,reward_terms/action_rate,reward_terms/stance,rollout/ep_rew_mean,reward_terms/foot_slip,reward_terms/residual,reward_terms/height,time/fps,time/total_timesteps,curriculum/ent_coef,curriculum/ctrl_jitter_ms,reward_terms/torque,reward_terms/overrun,reward_terms/hip_roll,rollout/ep_len_mean,reward_terms/coef_rate,curriculum/stance_ratio,reward_terms/lat_vel,reward_terms/energy,reward_terms/alive,curriculum/ctrl_drop_prob,reward_terms/residual_rate,reward_terms/phase_contact,time/iterations,reward_terms/fwd_speed,reward_terms/ang_xy,curriculum/eff_scale,reward_terms/air_time,time/time_elapsed,reward_terms/step_rate,reward_terms/motor_vel,reward_terms/vz,reward_terms/upright,reward_terms/clearance,reward_terms/stance_time,reward_terms/assist_pen,curriculum/sprint_dist_m,reward_terms/foot_ahead,reward_terms/angmom,reward_terms/stop,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/loss,train/value_loss,train/n_updates,train/explained_variance,train/std,train/entropy_loss,train/approx_kl
-0.5,-0.011780809768873154,-0.15421038386102032,-172.00258743999999,-0.2548187445345753,0.0,-0.06310966697213644,4244,114610176,0.0085401856,0.0,-0.09936757586120332,0.0,-0.08481378600000525,292.32,-0.3563000038322144,0.540182912,-2.7706009855683522e-08,-0.012082617798001407,0.0,0.0,0.0,-0.2381113695518409,6218,-1.4765625310298618,-0.21658179097616823,0.4774656,0.0014876283595286724,27003,0.0,-0.0020971579477504806,-0.20611563730836296,-0.2340755609654308,0.07841769818724988,-0.006179577496368438,0.0,96.61984,0.0,-0.07661634526241229,0.0,0.2,0.00024270412799999998,-0.013157045980915428,0.1247802734375,-0.12467247247695923,0.004752678284421563,24868,0.9811947345733643,1.0018391609191895,-11.358492660522462,0.015452417
-0.5,-0.012144544170006578,-0.14898350979761762,-171.21014422,-0.291337351066903,0.0,-0.06504432570085533,4244,114628608,0.008538342400000001,0.0,-0.10642070077416783,0.0,-0.0850300207754893,288.95,-0.36776505280492156,0.540165248,-3.141366234052094e-08,-0.012392099094351794,0.0,0.0,0.0,-0.2493552891476313,6219,-1.4697996667779252,-0.2270719014809213,0.4775424,0.0012727848208871568,27007,0.0,-0.0021093613614383564,-0.21635700890333964,-0.2464883980120651,0.07921956614451484,-0.009765862241490848,0.0,96.63136,0.0,-0.06902097926496764,0.0,0.2,0.000242694912,-0.010390093363821507,0.1021728515625,-0.12156815826892853,0.000983545885537751,24872,0.9934961795806885,1.001561164855957,-11.357539844512939,0.011776945
-0.5,-0.011867604400800104,-0.13833461849839812,-171.45173431999999,-0.2802444799085957,0.0,-0.06263051324976161,4244,114647040,0.0085364992,0.0,-0.10271092128914298,0.0,-0.08635442176158163,289.95,-0.34852895325584154,0.540147584,-2.924958078923875e-08,-0.01199925089127147,0.0,0.0,0.0,-0.2447244288242474,6220,-1.4920647138596739,-0.20053015573348248,0.4776192,0.001204968025882004,27011,0.0,-0.0020549161569252987,-0.20477287115973528,-0.21418382813055767,0.07553812522245797,-0.011874826091419285,0.0,96.64288,0.0,-0.07352645397830603,0.0,0.2,0.00024268569599999995,-0.011205365089699626,0.1080322265625,-0.11900252848863602,0.0008170871209586039,24876,0.9917342662811279,1.001133680343628,-11.35614104270935,0.013641308
-0.5,-0.01161725896092764,-0.1609322147090924,-170.41795553,-0.2765022188714675,0.0,-0.06489185443671704,4244,114665472,0.008534656,0.0,-0.10074676442700921,0.0,-0.08886407363040187,285.67,-0.3452012787795721,0.54012992,-3.1609943120114786e-08,-0.011949544484571311,0.0,0.0,0.0,-0.2515405030384056,6221,-1.5227368466659228,-0.21357405761114673,0.477696,0.0014051631636296709,27016,0.0,-0.0020527699645672384,-0.21571732120007972,-0.23061133655092336,0.07933677445050197,-0.005941268211851518,0.0,96.6544,0.0,-0.0749346889766536,0.0,0.2,0.00024267647999999997,-0.010512477986048907,0.09803466796875,-0.10994145274162292,0.0006336096761515364,24880,0.9943490028381348,1.0006287097930908,-11.354738521575928,0.011704568
-0.5,-0.01211256280110801,-0.15013865598918963,-171.00323354000002,-0.27332609907458194,0.0,-0.06310923647571305,4244,114683904,0.008532812800000001,0.0,-0.09900514952020803,0.0,-0.08782155495545613,287.99,-0.36660310777049887,0.540112256,-3.3013593427194456e-08,-0.012168398194055626,0.0,0.0,0.0,-0.23880606716123426,6222,-1.4756806365737578,-0.20770070206065414,0.4777728,0.0013118472448291464,27020,0.0,-0.002124360108903321,-0.2019047531878489,-0.22865391029103607,0.07521108758916772,-0.011126535333460197,0.0,96.66592,0.0,-0.07236570507602132,0.0,0.2,0.000242667264,-0.009895815420895815,0.08197021484375,-0.11478409171104431,0.000804630119819194,24884,0.9922450184822083,1.0011868476867676,-11.354255628585815,0.011157519
-0.5,-0.01194658706826899,-0.13853072501378094,-174.00751588999995,-0.2984659001200466,0.0,-0.061862227443429646,4244,114702336,0.0085309696,0.0,-0.10053852215234517,0.0,-0.08792786145882844,301.08,-0.3520017740056242,0.540094592,-2.8063428510352775e-08,-0.011959770606297038,0.0,0.0,0.0,-0.2676056706639342,6223,-1.3723900680651338,-0.2041317386326675,0.4778496,0.0014583315092345907,27024,0.0,-0.002062612471235167,-0.20083301506387413,-0.2148913542476751,0.07428036311411265,-0.03343649818917685,0.0,96.67744,0.0,-0.07562771044079478,0.0,0.2,0.000242658048,-0.010610956355230882,0.097412109375,-0.1176362931728363,0.0006652897704043425,24888,0.994359016418457,1.0014429092407227,-11.357034826278687,0.011594203
-0.5,-0.011630866131044668,-0.15172906590360438,-173.76100021,-0.27484658599539014,0.0,-0.062128919626362994,4244,114720768,0.0085291264,0.0,-0.09787207669475989,0.0,-0.08707213788259033,300.25,-0.3507066137842348,0.540076928,-3.025079052947201e-08,-0.012051513741002705,0.0,0.0,0.0,-0.2474284570278075,6224,-1.48527484687248,-0.21085721182944164,0.4779264,0.0015212655384352223,27028,0.0,-0.0021029547830256432,-0.19886916660797968,-0.22101995458605114,0.0731872751492904,-0.007431745952797226,0.0,96.68896,0.0,-0.07665730486217286,0.0,0.2,0.00024264883200000002,-0.011432778183370828,0.1111328125,-0.11376520991325378,0.016500392789021136,24892,0.9568339586257935,1.0013622045516968,-11.356137228012084,0.01308572
-0.5,-0.01172121872822253,-0.18479255519828758,-171.76074841,-0.2710769670635429,0.0,-0.0672946852584208,4244,114739200,0.0085272832,0.0,-0.09504181582903809,0.0,-0.09081194850261055,291.1,-0.34556512166368725,0.540059264,-3.134916564624329e-08,-0.011683117427214963,0.0,0.0,0.0,-0.23815016737649966,6225,-1.5774005717383277,-0.21523800530110626,0.4780032,0.0013433143321890384,27033,0.0,-0.002008830225707249,-0.2147085343608338,-0.2544263907464264,0.08079448292924851,-0.005955782752910939,0.0,96.70048,0.0,-0.08271885579016297,0.0,0.2,0.00024263961599999998,-0.010503342072479428,0.09954833984375,-0.11392122507095337,0.0011722947150701658,24896,0.9898091554641724,1.0011703968048096,-11.35626254081726,0.013486859
-0.5,-0.0124515009805636,-0.13923921569114273,-171.63331972,-0.28992932708967156,0.0,-0.05906090796826405,4244,114757632,0.00852544,0.0,-0.09974388604291072,0.0,-0.08661152246890569,290.63,-0.36895361281531913,0.5400416,-3.3620944363353936e-08,-0.012451236084970396,0.0,0.0,0.0,-0.25099715235751763,6226,-1.3522390894671745,-0.2114323503906353,0.47808,0.0013666431768797338,27037,0.0,-0.0021765223658046402,-0.195026643063835,-0.21175202660357553,0.0729541662745569,-0.014695057811978687,0.0,96.712,0.0,-0.06280624776047185,0.0,0.2,0.0002426304,-0.014474843570496887,0.12431640625,-0.12406104803085327,0.0004889499847195111,24900,0.9949264526367188,1.001182198524475,-11.355740547180176,0.015683692
-0.5,-0.0117934243817004,-0.1466090035411233,-172.28721568000003,-0.2865676945078222,0.0,-0.06201610248678761,4244,114776064,0.0085235968,0.0,-0.09697134189263121,0.0,-0.08584759208118911,293.66,-0.3597333588833012,0.540023936,-2.8432799481499055e-08,-0.011988953970583213,0.0,0.0,0.0,-0.2598195294812118,6227,-1.4473062967741546,-0.21087086059129728,0.4781568,0.001339516638027918,27041,0.0,-0.0020840234571014573,-0.20355846204552872,-0.22895376163611583,0.07668353224714854,-0.0167873422227179,0.0,96.72352,0.0,-0.08078394042202769,0.0,0.2,0.00024262118400000002,-0.011961660673841834,0.1354248046875,-0.1141844317317009,0.004033894592430443,24904,0.978823184967041,1.0011744499206543,-11.354936885833741,0.015536709
-0.5,-0.01232512884168488,-0.1485935805433755,-173.77953231,-0.2962666735550365,0.0,-0.05729803509118367,4244,114794496,0.008521753600000001,0.0,-0.09998139093300894,0.0,-0.08598064488873605,299.7,-0.3846190189863403,0.5400062720000001,-3.407765272704959e-08,-0.01232199354237642,0.0,0.0,0.0,-0.26729992041754946,6228,-1.355673261097752,-0.19973211311512185,0.4782336,0.0014409703144337982,27046,0.0,-0.0021467080591292325,-0.18652029062736356,-0.21116961870099574,0.07000937323721654,-0.02587464729246373,0.0,96.73504,0.0,-0.07140935942350599,0.0,0.2,0.00024261196799999998,-0.014275762159377337,0.11463623046875,-0.12300188839435577,0.00369202644797042,24908,0.9825330376625061,1.0017139911651611,-11.357074451446532,0.014445442
-0.5,-0.011863810121400994,-0.13575951316541865,-174.84499905000004,-0.28822276142868314,0.0,-0.060618199380631906,4244,114812928,0.0085199104,0.0,-0.09738102128476303,0.0,-0.08572481352641487,304.37,-0.3691928527560667,0.539988608,-3.261210799046436e-08,-0.011999417371863783,0.0,0.0,0.0,-0.2599298375439864,6229,-1.3868194891045775,-0.21197530876108284,0.4783104,0.001226669484620086,27050,0.0,-0.002088847989075017,-0.1967712893226726,-0.2545592385665266,0.07346138584767302,-0.028275505279048554,0.0,96.74656,0.0,-0.07795185415374395,0.0,0.2,0.000242602752,-0.012689254223369062,0.1234130859375,-0.11564117670059204,0.005149654322303831,24912,0.9827077984809875,1.0019869804382324,-11.358822679519653,0.014124155
-0.5,-0.012035175620277536,-0.16719646786745962,-171.62343923000003,-0.2679672301031451,0.0,-0.06846490897469826,4244,114831360,0.0085180672,0.0,-0.09928983719896817,0.0,-0.08725497674810126,290.84,-0.3536947589052025,0.539970944,-3.0348570501705865e-08,-0.011784805772458329,0.0,0.0,0.0,-0.24597094802068498,6230,-1.6037301228592076,-0.20002442009868432,0.4783872,0.001253796275705099,27054,0.0,-0.0020305111708812315,-0.2176700417404826,-0.2516045310136473,0.08032374967843632,-0.011409471600523425,0.0,96.75808,0.0,-0.08661788974367754,0.0,0.2,0.000242593536,-0.01295056976377964,0.1193359375,-0.12020077556371689,0.0035615649656392636,24916,0.982810914516449,1.0006487369537354,-11.354771518707276,0.014612888
-0.5,-0.011676227236852138,-0.15955723297573193,-171.22268129,-0.27377518523023125,0.0,-0.06344935455110284,4244,114849792,0.008516224,0.0,-0.09545743643143238,0.0,-0.08778793346444509,289.1,-0.3408087363530141,0.53995328,-3.159222337749309e-08,-0.01181490809441711,0.0,0.0,0.0,-0.25363988800403814,6231,-1.5031614591025042,-0.20026477444463173,0.478464,0.0012348075203287105,27059,0.0,-0.002057480349040016,-0.20540133626159202,-0.23380184997213405,0.07374918852173287,-0.011495466221175674,0.0,96.7696,0.0,-0.08501422521712175,0.0,0.2,0.00024258431999999998,-0.012783617526292802,0.10633544921875,-0.1173195168375969,0.0008020868495805189,24920,0.9919995069503784,1.0007562637329102,-11.351689767837524,0.012702869
-0.5,-0.011565336502357393,-0.17295730803606116,-170.16357466000002,-0.31189687166036933,0.0,-0.06554333605374757,4244,114868224,0.0085143808,0.0,-0.0966531023033698,0.0,-0.08655099042846773,284.68,-0.3539105295649147,0.539935616,-2.8015827236827966e-08,-0.011746747268419337,0.0,0.0,0.0,-0.2542465167571166,6232,-1.5673542621420908,-0.19541137654628005,0.4785408,0.001178383975962384,27063,0.0,-0.0020216919240195735,-0.21020985539635093,-0.2448314746637576,0.07471547706959138,-0.011002974169160653,0.0,96.78112,0.0,-0.08497661358260232,0.0,0.2,0.000242575104,-0.010803263075649739,0.1240966796875,-0.11291664093732834,0.0028439429530408233,24924,0.9809747338294983,1.0012621879577637,-11.355640697479249,0.015438208
-0.5,-0.01196135888218693,-0.14205699104331126,-171.83526249000002,-0.28671067424558516,0.0,-0.059876933894671525,4244,114886656,0.0085125376,0.0,-0.10146559574749531,0.0,-0.08541723353479273,291.68,-0.3677794755214368,0.539917952,-3.190597820525747e-08,-0.012239302545569285,0.0,0.0,0.0,-0.24949131735639865,6233,-1.4224133249688418,-0.21302073151767037,0.4786176,0.0012993688772742946,27067,0.0,-0.0021025797792986974,-0.19473105411681524,-0.20644022669836468,0.07512355363780056,-0.015207210127199586,0.0,96.79263999999999,0.0,-0.06923511047019909,0.0,0.2,0.00024256588799999995,-0.010204265988431872,0.103955078125,-0.11318451911211014,0.0029751753201708196,24928,0.9853828549385071,1.0013635158538818,-11.355743169784546,0.0120826755
-0.5,-0.01199327932430946,-0.15357974768025595,-171.45864393999997,-0.2791709506181016,0.0,-0.06500236104097551,4244,114905088,0.008510694400000001,0.0,-0.0993361050436686,0.0,-0.08665192063727097,290.03,-0.35363333602850816,0.539900288,-3.228649663955241e-08,-0.01199077239454049,0.0,0.0,0.0,-0.2626254724806143,6234,-1.434800963276666,-0.2070963469736906,0.4786944,0.0010780150284214567,27072,0.0,-0.0020809824396112574,-0.20964528738104937,-0.22450819769199148,0.07534454153124637,-0.01756656089209072,0.0,96.80416,0.0,-0.07468341140372124,0.0,0.2,0.00024255667199999997,-0.012848535343073309,0.10318603515625,-0.11684883385896683,0.0019021344429347663,24932,0.9924691915512085,1.001692771911621,-11.358029842376709,0.011196136
-0.5,-0.011688947864785955,-0.15603511131687034,-172.1191417,-0.2917098729490401,0.0,-0.0644513665853314,4244,114923520,0.0085088512,0.0,-0.10041908997326726,0.0,-0.08815026260268644,293.28,-0.3496181346848358,0.539882624,-2.940352598040304e-08,-0.011825091125162024,0.0,0.0,0.0,-0.25448858634929616,6235,-1.5223444455664317,-0.2085673988054026,0.4787712,0.0009884968619897133,27076,0.0,-0.002006182642406294,-0.20832572927340964,-0.2421021616332787,0.0773326011491432,-0.014040764513386724,0.0,96.81568,0.0,-0.08377072691592646,0.0,0.2,0.000242547456,-0.012488351931096986,0.1330322265625,-0.11921080946922302,0.004595353966578841,24936,0.9868178963661194,1.0011026859283447,-11.355892038345337,0.016037267
-0.5,-0.011334992727502186,-0.14797046446459922,-170.33569877999997,-0.2965885040874668,0.0,-0.0656922819901235,4244,114941952,0.008507008,0.0,-0.101413245140406,0.0,-0.08568829704385211,285.37,-0.36082627332764133,0.5398649600000001,-2.958609922307228e-08,-0.011837128738349917,0.0,0.0,0.0,-0.2542672156861545,6236,-1.507542577703697,-0.19832529521698783,0.478848,0.001175128567006646,27080,0.0,-0.0020227518648681404,-0.21137566900460908,-0.24120640001251153,0.07534000974543625,-0.012585685717769794,0.0,96.8272,0.0,-0.0833539858363783,0.0,0.2,0.00024253824,-0.007758025277871639,0.1111572265625,-0.11462206393480301,0.004184175457339734,24940,0.9467053413391113,1.0010335445404053,-11.355035495758056,0.014166352
-0.5,-0.0122540385873316,-0.16315702283656142,-169.71248288000004,-0.2710553507924924,0.0,-0.06572864342762014,4244,114960384,0.0085051648,0.0,-0.0961019009120328,0.0,-0.08664482862410403,282.82,-0.3517369626175009,0.539847296,-2.929582239769671e-08,-0.011634283199431487,0.0,0.0,0.0,-0.23895455559667356,6237,-1.6047943089335597,-0.19164710248131148,0.4789248,0.0011382365030133063,27085,0.0,-0.002000240114255637,-0.21463092075589513,-0.22329780318024983,0.07854917064171531,-0.006942516567909883,0.0,96.83872,0.0,-0.0880123111589416,0.0,0.2,0.00024252902400000002,-0.012693041970487684,0.116357421875,-0.11839770525693893,0.0017532720521558076,24944,0.9897741675376892,1.0013344287872314,-11.356301546096802,0.013940928
-0.5,-0.011698736463512056,-0.14196243541456022,-170.49322197,-0.2898778433233343,0.0,-0.06454280910806293,4244,114978816,0.0085033216,0.0,-0.10017506226428259,0.0,-0.08667919448106384,285.88,-0.33909451985651207,0.539829632,-2.941348853099381e-08,-0.01201416316654962,0.0,0.0,0.0,-0.2517645242341879,6238,-1.5594555899965252,-0.21560608629361375,0.4790016,0.0013471121071941322,27089,0.0,-0.0020565767172479156,-0.20591893664994793,-0.2309131909766264,0.07724253804787601,-0.007150439889907527,0.0,96.85024,0.0,-0.07804827484234547,0.0,0.2,0.00024251980799999998,-0.01138455313630402,0.11083984375,-0.11805605888366699,0.0006488148937933147,24948,0.9923186898231506,1.0014915466308594,-11.357094383239746,0.012663734
-0.5,-0.011886374933757986,-0.1432947808848106,-171.01007479000003,-0.2757043144392308,0.0,-0.06072810913591428,4244,114997248,0.0085014784,0.0,-0.09455025583650328,0.0,-0.08586173589012072,288.27,-0.359130308600877,0.539811968,-3.147679616814539e-08,-0.011925042568728422,0.0,0.0,0.0,-0.25272430250897965,6239,-1.4372108130302783,-0.2016078150404318,0.4790784,0.001129013149895602,27093,0.0,-0.0020747914720953566,-0.1977794924882763,-0.22631730529409058,0.0748300394462381,-0.011589183617616072,0.0,96.86176,0.0,-0.08124012632485306,0.0,0.2,0.000242510592,-0.008619395142886788,0.09620361328125,-0.11258608102798462,0.0009855224037892186,24952,0.9911715388298035,1.0007007122039795,-11.354178094863892,0.010525343
-0.5,-0.01191010839736411,-0.16456774384398573,-171.40944402000002,-0.27811670301719016,0.0,-0.06642188459458614,4244,115015680,0.0084996352,0.0,-0.1004740034229219,0.0,-0.08579598900828656,289.64,-0.3532055798894226,0.539794304,-3.1001876447305826e-08,-0.012003696924998834,0.0,0.0,0.0,-0.24311243991898732,6240,-1.5431655785330864,-0.21107237992401395,0.4791552,0.001022134066766335,27098,0.0,-0.0020702872458481314,-0.21170203006790278,-0.24292832178958795,0.07781706779023352,-0.012700563877135411,0.0,96.87328,0.0,-0.08204086807225408,0.0,0.2,0.00024250137600000002,-0.012202188721857965,0.11158447265625,-0.11815769970417023,0.0018483350810129195,24956,0.9907333850860596,1.0018643140792847,-11.357906103134155,0.01464204
-0.5,-0.012070629158170431,-0.17251511762884136,-171.01001565,-0.2956402466353396,0.0,-0.06152666404590829,4244,115034112,0.008497792,0.0,-0.099736580997772,0.0,-0.08841476218665179,288.1,-0.3556323829035692,0.53977664,-2.9335327414908008e-08,-0.012159529451935337,0.0,0.0,0.0,-0.24932944378676578,6241,-1.5313910582578147,-0.21329865596444444,0.479232,0.0014274072018451989,27102,0.0,-0.0020811867759277292,-0.1991417832150511,-0.22649525617268143,0.07649562679008876,-0.006898297477164306,0.0,96.8848,0.0,-0.07818092345114903,0.0,0.2,0.00024249215999999998,-0.012243060464970767,0.11878662109375,-0.11734788119792938,0.001267674079281278,24960,0.9876679182052612,1.0022609233856201,-11.359810876846314,0.015820373
