time/time_elapsed,reward_terms/stand,reward_terms/foot_ahead,ankle/ankle_spring_energy_peak,time/total_timesteps,time/fps,reward_terms/residual,curriculum/swing_frac_mean,curriculum/ctrl_jitter_ms,reward_terms/residual_rate,reward_terms/motor_vel,reward_terms/clearance,curriculum/swing_frac_min,curriculum/ctrl_drop_prob,reward_terms/assist_pen,reward_terms/stop,reward_terms/vz,time/iterations,rollout/ep_rew_mean,curriculum/cmd_scale,reward_terms/stance,reward_terms/overrun,rollout/ep_len_mean,reward_terms/duty_sym,reward_terms/foot_slip,reward_terms/height,reward_terms/time,reward_terms/track_yaw,reward_terms/fwd_speed,ankle/ankle_spring_trq_peak,reward_terms/torque,curriculum/cmd_track_err,reward_terms/alive,reward_terms/phase_contact,reward_terms/step_rate,curriculum/ent_coef,reward_terms/stance_time,reward_terms/stand_drift,reward_terms/energy,ankle/ankle_defl_peak,reward_terms/angmom,curriculum/stance_ratio,curriculum/dr_scale,reward_terms/track_lin,reward_terms/air_time,reward_terms/upright,est/vel_rmse,reward_terms/hip_roll,reward_terms/lat_vel,reward_terms/ang_xy,curriculum/eff_scale,reward_terms/action_rate,reward_terms/coef_rate,train/policy_gradient_loss,train/n_updates,train/std,train/learning_rate,train/entropy_loss,train/loss,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range,train/explained_variance,curriculum/ctrl_drop_prob_progress,curriculum/dr_scale_progress,curriculum/stance_ratio_progress,curriculum/eff_scale_progress,curriculum/ctrl_jitter_ms_progress
12740,1.5229030161057808,0.0,0.0,73967616,5805,-0.10467586366793741,0.09803602430555555,3.6532223999998132,0.0,-6.411565006491111e-05,0.0,0.08902994791666667,0.04566527999999767,0.0,0.0,-0.03248518168939603,4013,513.9215378299999,0.0,-0.04243706984260961,0.0,542.17,0.0,-0.24227334094200248,-0.01198913362693618,0.0,1.9999830168354475,0.0,0.0,-0.03030391723556301,0.31624262543924897,0.0,0.0,-0.002463107638888895,0.002,0.0,-0.03220326620133847,-0.0007780919184127578,0.5168984858073108,-0.05997043015147949,0.6756451840000021,0.9133055999999533,2.5774205923101348,0.0,-0.07733463378810759,0.4011515945612561,-0.027561956972938853,-0.00934325352078368,-0.04544859732077901,0.10655231999999087,-0.08884845565418775,-0.5179666619008326,-0.005520824302220717,55097,0.9991189241409302,0.00011512704,-36.868917083740236,1086.0543212890625,0.004509466,2238.6082397460937,0.0160400390625,0.2,0.9641328454017639,0.9133055999999533,0.9133055999999533,0.3044351999999739,0.3044351999999739,0.9133055999999533
12743,1.6060099102880359,0.0,0.0,73986048,5805,-0.10404421485371314,0.0961642795138889,3.654143999999813,0.0,-6.691153583700009e-05,0.0,0.08637152777777778,0.045676799999997665,0.0,0.0,-0.040355330001480144,4014,491.75051895,0.0,-0.0281881888642728,0.0,527.53,0.0,-0.28859058491003536,-0.011724177336613269,0.0,1.9999803371429554,0.0,0.0,-0.02965175673559731,0.5324821136158393,0.0,0.0,-0.002636718750000008,0.002,0.0,-0.015681684296333702,-0.00078067387192276,0.5153905681528268,-0.062387795108426874,0.6756390400000021,0.9135359999999533,2.67072416743882,0.0,-0.07974602325404201,0.4072274407027401,-0.03125051007529461,-0.009232623303262362,-0.052540421248083655,0.10657919999999087,-0.09127469147727812,-0.5322184529467483,-0.007289293425856158,55101,0.9991334676742554,0.00011508096000000002,-36.86871967315674,567.2063598632812,0.0055252374,1426.1604797363282,0.0230712890625,0.2,0.977075457572937,0.9135359999999533,0.9135359999999533,0.3045119999999739,0.3045119999999739,0.9135359999999533
12746,1.504563466596727,0.0,0.0,74004480,5805,-0.10440768451149735,0.10552300347222222,3.655065599999813,0.0,-6.989350723087214e-05,0.0,0.1051974826388889,0.045688319999997666,0.0,0.0,-0.03803771442522388,4015,526.63337032,0.0,-0.042247356872089824,0.0,540.59,-0.000236122796037401,-0.26693783228146356,-0.0113771220825748,0.0,1.9999744152230718,0.0,0.0,-0.031068127221994472,0.35740469542320286,0.0,0.0,-0.002777777777777787,0.002,0.0,-0.01722677825358117,-0.0007959462051939164,0.5168162915910861,-0.05800176830633863,0.6756328960000021,0.9137663999999532,2.547549370064447,0.0,-0.073037150920505,0.41360446499562514,-0.03459711807118883,-0.010245254078283677,-0.05123124392113628,0.10660607999999086,-0.0901592517495227,-0.5404873318935921,-0.007381411624373868,55105,0.9991722106933594,0.00011503488,-36.86998252868652,535.8652954101562,0.0062467484,1493.8694274902343,0.0292724609375,0.2,0.975886344909668,0.9137663999999532,0.9137663999999532,0.3045887999999739,0.3045887999999739,0.9137663999999532
12751,1.567624022899959,0.0,0.0,74022912,5805,-0.10428255642036519,0.10215928819444445,3.655987199999813,0.0,-6.482504111669606e-05,0.0,0.0947265625,0.04569983999999766,0.0,0.0,-0.041868731783505836,4016,676.8570720699998,0.0,-0.0673748646697034,0.0,622.28,0.0,-0.2609977427874479,-0.013907111105213718,0.0,1.999973031743347,0.0,0.0,-0.03013674102489459,0.4856858384334025,0.0,0.0,-0.002495659722222228,0.002,0.0,-0.03825054247621654,-0.0007981273492543686,0.5146222692941328,-0.08183061835907841,0.6756267520000021,0.9139967999999532,2.55308628467563,0.0,-0.09595191156462039,0.3879233969744104,-0.03522969458119008,-0.009199627892516517,-0.05072505039184891,0.10663295999999085,-0.08924148682826767,-0.5179252015691597,-0.007346498570404947,55109,0.9992427229881287,0.0001149888,-36.87042465209961,517.9653930664062,0.005761102,1350.8607360839844,0.02584228515625,0.2,0.9785429835319519,0.9139967999999532,0.9139967999999532,0.3046655999999739,0.3046655999999739,0.9139967999999532
12754,1.7438791834753917,0.0,0.0,74041344,5805,-0.10499790499383578,0.08024088541666667,3.6569087999998127,0.0,-5.642295826838221e-05,0.0,0.06949869791666667,0.04571135999999766,0.0,0.0,-0.028840637331131,4017,686.5927529300002,0.0,-0.05753601316247961,0.0,630.72,-1.3283879630117324e-06,-0.19096025130185987,-0.011052160155461106,0.0,1.9999658256128714,0.0,0.0,-0.032739175853593566,0.4236829178724505,0.0,0.0,-0.0018120659722222186,0.002,0.0,-0.01988690365819533,-0.0007713750154391762,0.5189226365109539,-0.04895371177406574,0.675620608000002,0.9142271999999532,2.78876672908632,0.0,-0.07148849707601707,0.3381856501332528,-0.029199781905944997,-0.005787184072624739,-0.03869589649662467,0.10665983999999085,-0.08534140814532656,-0.4709831031631552,-0.007111879892181605,55113,0.9992828369140625,0.00011494272000000001,-36.872589874267575,552.1109008789062,0.0067899125,1408.1158874511718,0.034765625,0.2,0.9799253940582275,0.9142271999999532,0.9142271999999532,0.3047423999999739,0.3047423999999739,0.9142271999999532
12757,1.8416319336680746,0.0,0.0,74059776,5805,-0.10526975432209523,0.07484266493055555,3.6578303999998125,0.0,-5.2684543593566684e-05,0.0,0.06819661458333333,0.04572287999999766,0.0,0.0,-0.03559876907985918,4018,644.23404343,0.0,-0.05313669635958858,0.0,607.06,0.0,-0.21810257968089597,-0.012665389341491605,0.0,1.9999650743553343,0.0,0.0,-0.031053746022116673,0.3083550506563645,0.0,0.0,-0.0021050347222222234,0.002,0.0,-0.027815260873480827,-0.0007430697332151085,0.5048224401771084,-0.05275815510752359,0.675614464000002,0.9144575999999531,2.8844158626248753,0.0,-0.07039568618629985,0.3583346525803759,-0.031020611546737447,-0.006884198016404162,-0.03854778226483088,0.10668671999999085,-0.08664008987140903,-0.5055473247786763,-0.0058282247628085315,55117,0.9992042779922485,0.00011489664,-36.87174949645996,617.0108642578125,0.0054053143,1327.85,0.02242431640625,0.2,0.9787711501121521,0.9144575999999531,0.9144575999999531,0.30481919999997387,0.30481919999997387,0.9144575999999531
12760,1.6612412949631579,0.0,0.0,74078208,5805,-0.10469652370637096,0.08075629340277778,3.6587519999998124,0.0,-6.0462655281139244e-05,0.0,0.06640625,0.045734399999997656,0.0,0.0,-0.03930117342421605,4019,769.47459042,0.0,-0.05049091608950956,0.0,666.87,0.0,-0.22678298330004049,-0.013117469164807492,0.0,1.999984758663651,0.0,0.0,-0.03115347238061476,0.3685473492654719,0.0,0.0,-0.0023220486111111146,0.002,0.0,-0.02970077067054215,-0.0007536189257268907,0.5101581644119942,-0.05744833000248953,0.675608320000002,0.9146879999999531,2.6843136431340424,0.0,-0.07866862827335422,0.37535334867444853,-0.026914276442220924,-0.00782498075713246,-0.04502541554320065,0.10671359999999085,-0.08597297216022139,-0.4903693662308321,-0.007763991307001561,55121,0.9990956783294678,0.00011485056000000001,-36.869693183898924,416.3510437011719,0.0060101957,1098.3912567138673,0.02689208984375,0.2,0.9833129644393921,0.9146879999999531,0.9146879999999531,0.30489599999997385,0.30489599999997385,0.9146879999999531
12763,1.5391991063496056,0.0,0.0,74096640,5805,-0.10487382897235159,0.08121744791666667,3.6596735999998122,0.0,-5.6501969430419254e-05,0.0,0.05544704861111111,0.04574591999999766,0.0,0.0,-0.03442884695780391,4020,771.7332078300001,0.0,-0.024787188675421474,0.0,670.74,0.0,-0.25976860722685374,-0.011767234842974489,0.0,1.9999671070295737,0.0,0.0,-0.030841467012736837,0.4971163833923284,0.0,0.0,-0.0022460937500000024,0.002,0.0,-0.028526041272220908,-0.0007371585617417328,0.509830788501037,-0.06691502506870257,0.675602176000002,0.9149183999999531,2.485103959403043,0.0,-0.09116553024159987,0.3735577146412883,-0.027506266947613604,-0.00768494900323809,-0.04634271081512895,0.10674047999999084,-0.08725881230848294,-0.5100759913032368,-0.0053144906356465075,55125,0.9991105794906616,0.00011480448000000001,-36.8685001373291,1063.4971923828125,0.004375587,2131.342987060547,0.01663818359375,0.2,0.9689553380012512,0.9149183999999531,0.9149183999999531,0.30497279999997384,0.30497279999997384,0.9149183999999531
12767,1.7043922624617582,0.0,0.0,74115072,5805,-0.10492191697178598,0.0954861111111111,3.660595199999812,0.0,-6.047480234464963e-05,0.0,0.09190538194444445,0.04575743999999765,0.0,0.0,-0.03530937010593729,4021,754.3441119199998,0.0,-0.039188046169606694,0.0,643.94,0.0,-0.22807593038572543,-0.012328238092952352,0.0,1.9999693919258297,0.0,0.0,-0.03175049081007634,0.3995631350910952,0.0,0.0,-0.002213541666666669,0.002,0.0,-0.024284599087180444,-0.0007689608791785111,0.5084089429982783,-0.06131966349777367,0.6755960320000021,0.915148799999953,2.620929359041861,0.0,-0.09075462999844616,0.3795108494118707,-0.02697774676821207,-0.006575759871017308,-0.04393353165865163,0.10676735999999083,-0.0845915026768409,-0.4962632015355352,-0.00743235744885169,55129,0.999139666557312,0.0001147584,-36.868507385253906,856.6554565429688,0.0073843943,1684.5600036621095,0.03828125,0.2,0.9763638377189636,0.915148799999953,0.915148799999953,0.30504959999997383,0.30504959999997383,0.915148799999953
12770,1.634537848843356,0.0,0.0,74133504,5805,-0.10467414996126684,0.09559461805555555,3.661516799999812,0.0,-6.150590661805991e-05,0.0,0.0920138888888889,0.04576895999999765,0.0,0.0,-0.027733243542869625,4022,608.4784978300002,0.0,-0.041977637997523395,0.0,563.57,-0.0004133690080635441,-0.22034475058090114,-0.010312081258051088,0.0,1.9999677604005264,0.0,0.0,-0.03192247566887062,0.3292131314700774,0.0,0.0,-0.0022243923611111136,0.002,0.0,-0.03517829435615028,-0.0007668767789610785,0.5199973701263805,-0.0522882198070678,0.6755898880000021,0.915379199999953,2.6273014194856983,0.0,-0.07543097821275539,0.37161745962710835,-0.02615903111716605,-0.008098441658260104,-0.040362960594815464,0.10679423999999083,-0.08676653418279348,-0.5022034655068996,-0.0082017287844792,55133,0.9991362690925598,0.00011471232,-36.86907444000244,357.11163330078125,0.0062365993,905.7172790527344,0.03175048828125,0.2,0.9868281483650208,0.915379199999953,0.915379199999953,0.3051263999999738,0.3051263999999738,0.915379199999953
12773,1.7283885131006016,0.0,0.0,74151936,5805,-0.10539211899470247,0.07052951388888888,3.662438399999812,0.0,-5.276544718526397e-05,0.0,0.054361979166666664,0.04578047999999765,0.0,0.0,-0.028361400836401422,4023,584.89003362,0.0,-0.04173050898450754,0.0,551.84,0.0,-0.21972468527373326,-0.011574715677364152,0.0,1.9999615117397218,0.0,0.0,-0.03308558161995145,0.3984213079693936,0.0,0.0,-0.0017361111111111067,0.002,0.0,-0.02344746295763652,-0.0007288518953119584,0.5111650550354881,-0.053956894730589386,0.6755837440000021,0.915609599999953,2.7507869087868326,0.0,-0.07369356858787833,0.3496282561760539,-0.0248843695433663,-0.0067596091664462975,-0.03633579517444426,0.10682111999999083,-0.08470138005355626,-0.4804955892185892,-0.005674077372532338,55137,0.9991007447242737,0.00011466624,-36.86892833709717,724.6567993164062,0.005062894,1762.0185852050781,0.021337890625,0.2,0.9739452600479126,0.915609599999953,0.915609599999953,0.3052031999999738,0.3052031999999738,0.915609599999953
12776,1.69227174909461,0.0,0.0,74170368,5805,-0.10444947455614068,0.09187825520833334,3.6633599999998117,0.0,-5.8872759058878925e-05,0.0,0.08555772569444445,0.04579199999999765,0.0,0.0,-0.032912194760282266,4024,474.8177876300001,0.0,-0.05125066201968984,0.0,493.19,0.0,-0.22297164054770058,-0.01301682041920958,0.0,1.99994671947715,0.0,0.0,-0.032617612025699454,0.39093189518134197,0.0,0.0,-0.0022677951388888912,0.002,0.0,-0.023950010008501728,-0.0007731845570193485,0.5161046796455572,-0.06398635391541281,0.6755776000000021,0.9158399999999529,2.705364486315797,0.0,-0.09101138806498105,0.37035398532576663,-0.02811459587761791,-0.00804508563839182,-0.04799366069216502,0.10684799999999083,-0.08924778091173145,-0.504607185301215,-0.007039882591925561,55141,0.9991270303726196,0.00011462016,-36.86780834197998,609.7896118164062,0.0056670997,1253.6130249023438,0.02127685546875,0.2,0.9808487892150879,0.9158399999999529,0.9158399999999529,0.3052799999999738,0.3052799999999738,0.9158399999999529
12779,1.6263107942620652,0.0,0.0,74188800,5805,-0.10383138481022627,0.09540473090277778,3.6642815999998115,0.0,-6.664245409446803e-05,0.0,0.0859375,0.04580351999999765,0.0,0.0,-0.03211719200896512,4025,550.0147132200001,0.0,-0.02886792025924379,0.0,536.41,-0.0001164990771780524,-0.2416260108930113,-0.012178150298586564,0.0,1.999970636624629,0.0,0.0,-0.03307763055668433,0.43059646276394975,0.0,0.0,-0.0025716145833333407,0.002,0.0,-0.018611691990451724,-0.0007819861637123677,0.5191056468690115,-0.05820951349137046,0.675571456000002,0.9160703999999529,2.7426387469896683,0.0,-0.07978327675906964,0.38399546656689254,-0.02679227209090644,-0.010947190509810622,-0.04720241559240915,0.10687487999999082,-0.09025096020211386,-0.5258838489934008,-0.005725520197302103,55145,0.9990826845169067,0.00011457408,-36.869021606445315,812.6525268554688,0.0052511143,2009.2582275390625,0.02066650390625,0.2,0.9703007340431213,0.9160703999999529,0.9160703999999529,0.3053567999999738,0.3053567999999738,0.9160703999999529
12782,1.422676640290173,0.0,0.0,74207232,5805,-0.1047460809680972,0.09016927083333334,3.6652031999998114,0.0,-6.0061656676065914e-05,0.0,0.07828776041666667,0.04581503999999764,0.0,0.0,-0.037791556204080166,4026,540.4378811700001,0.0,-0.031448360532129294,0.0,540.5,-0.00019658609157788935,-0.2731245437110519,-0.013134701577516275,0.0,1.9999811934478906,0.0,0.0,-0.028914422228512,0.3725292449030311,0.0,0.0,-0.0024739583333333393,0.002,0.0,-0.03357030968934184,-0.0007690011937881768,0.5208864316053428,-0.06058802018342116,0.675565312000002,0.9163007999999528,2.462857623497368,0.0,-0.09119814345010581,0.39056363577455516,-0.025976382696957526,-0.011122683338814207,-0.048593339426651866,0.10690175999999081,-0.08865542518480272,-0.5310081929496797,-0.006928757909918204,55149,0.9990441203117371,0.00011452800000000001,-36.8675952911377,858.19873046875,0.00554823,1808.5622680664062,0.02303466796875,0.2,0.9738574624061584,0.9163007999999528,0.9163007999999528,0.30543359999997377,0.30543359999997377,0.9163007999999528
12785,1.3059799310083284,0.0,0.0,74225664,5805,-0.10361305136921109,0.12296549479166667,3.6661247999998112,0.0,-7.245391603164146e-05,0.0,0.10606553819444445,0.04582655999999764,0.0,0.0,-0.044649048437224656,4027,622.2569233899999,0.0,-0.029081978707968317,0.0,591.88,0.0,-0.2923866967858435,-0.012689707357614613,0.0,1.9999670840980768,0.0,0.0,-0.02895149183494974,0.34138720312345894,0.0,0.0,-0.003276909722222239,0.002,0.0,-0.05040884077192127,-0.0008121420271511958,0.5107633549228054,-0.07815599532508652,0.675559168000002,0.9165311999999528,2.22453552852531,0.0,-0.10085521523406613,0.42892638334676103,-0.026911678142105367,-0.009619035491168439,-0.05793184126484682,0.1069286399999908,-0.09412756193328001,-0.5557507845738894,-0.006872454937547445,55153,0.9991766214370728,0.00011448192,-36.86807765960693,1058.52783203125,0.006188816,1939.0104187011718,0.030126953125,0.2,0.9701340794563293,0.9165311999999528,0.9165311999999528,0.30551039999997376,0.30551039999997376,0.9165311999999528
12788,1.575908172839065,0.0,0.0,74244096,5805,-0.10481044246797026,0.09130859375,3.667046399999811,0.0,-6.290042130174116e-05,0.0,0.06597222222222222,0.045838079999997644,0.0,0.0,-0.03835001991707513,4028,588.31057393,0.0,-0.03816165704679561,0.0,592.87,0.0,-0.25969139489834464,-0.011807119039910503,0.0,1.9999693999546488,0.0,0.0,-0.030996266876981662,0.3697803234895467,0.0,0.0,-0.002137586805555556,0.002,0.0,-0.0253328155859978,-0.0007757653029724226,0.517550913519141,-0.06526587034474836,0.6755530240000021,0.9167615999999528,2.5936560405349187,0.0,-0.08864696674766137,0.3882328410068994,-0.025213509615972577,-0.007629065213742718,-0.04520727549774161,0.10695551999999081,-0.08690052758901776,-0.5214394942804993,-0.006132726382929832,55157,0.9992535710334778,0.00011443584,-36.87143402099609,644.582763671875,0.004781178,1670.6078796386719,0.01907958984375,0.2,0.9729595184326172,0.9167615999999528,0.9167615999999528,0.30558719999997375,0.30558719999997375,0.9167615999999528
