time/time_elapsed,reward_terms/stance_time,reward_terms/overrun,reward_terms/foot_ahead,curriculum/cmd_scale,ankle/ankle_spring_energy_peak,reward_terms/torque,curriculum/dr_scale,reward_terms/residual_rate,reward_terms/energy,reward_terms/assist_pen,time/total_timesteps,reward_terms/foot_slip,reward_terms/track_lin,est/vel_rmse,reward_terms/stand,time/fps,reward_terms/ang_xy,reward_terms/clearance,reward_terms/motor_vel,rollout/ep_len_mean,reward_terms/action_rate,reward_terms/angmom,reward_terms/duty_sym,time/iterations,reward_terms/coef_rate,ankle/ankle_spring_trq_peak,curriculum/ctrl_jitter_ms,reward_terms/stand_drift,reward_terms/residual,reward_terms/stance,reward_terms/stop,reward_terms/air_time,reward_terms/vz,reward_terms/lat_vel,curriculum/swing_frac_min,curriculum/swing_frac_mean,curriculum/stance_ratio,reward_terms/height,curriculum/eff_scale,rollout/ep_rew_mean,reward_terms/phase_contact,reward_terms/upright,reward_terms/hip_roll,reward_terms/time,reward_terms/track_yaw,reward_terms/fwd_speed,curriculum/ctrl_drop_prob,reward_terms/step_rate,reward_terms/alive,curriculum/cmd_track_err,ankle/ankle_defl_peak,curriculum/ent_coef,train/n_updates,train/policy_gradient_loss,train/loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/std,train/clip_range,curriculum/ctrl_jitter_ms_progress,curriculum/eff_scale_progress,curriculum/stance_ratio_progress,curriculum/ctrl_drop_prob_progress,curriculum/dr_scale_progress
7972,0.0,0.0,0.0,0.0,0.0,-0.017515427108332406,0.43660800000001254,0.0,-0.0004839499852606471,0.0,47296512,-0.19432150097150677,2.17502616605797,0.19812040863673783,0.894108692935381,5932,-0.09341756747460289,0.0,-4.547066562011556e-05,382.97,-0.07661798264186027,-0.026862223099097002,0.0,2566,-0.4537508195081919,0.0,1.7464320000000502,-0.044990457880939444,-0.10544116529522092,-0.056296362578070074,0.0,0.0,-0.07240443943762173,-0.2792834291015674,0.06993272569444445,0.0812717013888889,0.68835712,-0.01897463528957341,0.05093759999999956,289.99888197,0.0,-0.17699919406371387,-0.07273261198352313,0.0,1.85221727722456,0.0,0.021830400000000628,-0.002484809027777784,0.0,0.2591250751862891,0.5073360520064103,0.0069439744000000005,66673,-0.00926240171538666,308.9086608886719,0.9620617032051086,0.0001818048,-36.8945816040039,0.0599853515625,0.008175917,901.4963653564453,1.0002602338790894,0.2,0.43660800000001254,0.14553599999999875,0.14553599999999875,0.43660800000001254,0.43660800000001254
7975,0.0,0.0,0.0,0.0,0.0,-0.0179899054747533,0.43660800000001254,0.0,-0.0004902034600889705,0.0,47314944,-0.17701275527705176,2.2945545444901794,0.17147237588008024,0.9507541778903918,5932,-0.09205145173800168,0.0,-4.259729265440338e-05,375.13,-0.07612484848223611,-0.022181817094964737,0.0,2567,-0.45019343036889226,0.0,1.7464320000000502,-0.04393793479917016,-0.10611637856559132,-0.017435054175493396,0.0,0.0,-0.0727468311831995,-0.26609675608160344,0.06391059027777778,0.07085503472222222,0.68835712,-0.020171446348207802,0.05093759999999956,260.81482843000003,0.0,-0.15999163235696554,-0.07819292218498565,0.0,1.8482114071551794,0.0,0.021830400000000628,-0.0019422743055555539,0.0,0.2541954898810726,0.5087323217428463,0.006940287999999999,66677,-0.011363852838985621,151.57530212402344,0.979595422744751,0.00018175872,-36.89692573547363,0.06824951171875,0.009672344,448.13472442626954,1.0005381107330322,0.2,0.43660800000001254,0.14553599999999875,0.14553599999999875,0.43660800000001254,0.43660800000001254
7978,0.0,0.0,0.0,0.0,0.0,-0.019045500840295687,0.43660800000001254,0.0,-0.0004974099657529363,0.0,47333376,-0.16577329092028414,2.4757566826288673,0.18766629275559407,1.0596893329188453,5932,-0.0861835423045881,0.0,-4.0998257598137777e-05,372.41,-0.07274366609123603,-0.021732298685709747,-6.134740130822436e-05,2568,-0.43226056290880144,0.0,1.7464320000000502,-0.03502145280237668,-0.10606819092084135,-0.026308370903031134,0.0,0.0,-0.057376510620818576,-0.2218152404584176,0.0680881076388889,0.07288953993055555,0.68835712,-0.016803974818679943,0.05093759999999956,248.04950299999996,0.0,-0.13484646074915652,-0.07317482389413757,0.0,1.8787925956290974,0.0,0.021830400000000628,-0.0019422743055555539,0.0,0.1921527665139831,0.5065676428792554,0.0069366016,66681,-0.010698396200314163,160.93328857421875,0.9814379215240479,0.00018171264,-36.89852638244629,0.0716552734375,0.010063824,463.86629180908204,1.0005486011505127,0.2,0.43660800000001254,0.14553599999999875,0.14553599999999875,0.43660800000001254,0.43660800000001254
7981,0.0,0.0,0.0,0.0,0.0,-0.01807575311117262,0.43660800000001254,0.0,-0.0004764225868802424,0.0,47351808,-0.1601427388695702,2.3719503170994396,0.17019605439877822,1.0051213182633056,5932,-0.08509505807765559,0.0,-4.044939647107641e-05,396.12,-0.07250673826326723,-0.02090849662018228,0.0,2569,-0.419097191049335,0.0,1.7464320000000502,-0.04021670400170176,-0.105856119996265,-0.018291707154507023,0.0,0.0,-0.06288623138744759,-0.2502193544973573,0.06461588541666667,0.06844075520833334,0.68835712,-0.018223397056977356,0.05093759999999956,295.50093025,0.0,-0.14863555711193158,-0.080086035975005,0.0,1.8681709506591038,0.0,0.021830400000000628,-0.0019314236111111092,0.0,0.239745031976741,0.5103987249278074,0.0069329152000000005,66685,-0.010412586378515698,210.46414184570312,0.9762383699417114,0.00018166656000000002,-36.896532249450686,0.07139892578125,0.008920568,611.7698776245118,1.0003867149353027,0.2,0.43660800000001254,0.14553599999999875,0.14553599999999875,0.43660800000001254,0.43660800000001254
7984,0.0,0.0,0.0,0.0,0.0,-0.01699908715087965,0.43660800000001254,0.0,-0.0004832149636391737,0.0,47370240,-0.17454883097991092,2.3282470610170236,0.16612486891386144,1.028712372499813,5933,-0.08723717351926424,0.0,-4.3389867486599516e-05,392.12,-0.07319177550219046,-0.019937339224261538,0.0,2570,-0.4461575055547054,0.0,1.7464320000000502,-0.03964250498497459,-0.10638385361073108,-0.014225509685251544,0.0,0.0,-0.06365794533977241,-0.25059175975491077,0.060492621527777776,0.06537543402777778,0.68835712,-0.017806891007427657,0.05093759999999956,295.23056381999993,0.0,-0.1495880281884315,-0.07314981297459361,0.0,1.8672893227217306,0.0,0.021830400000000628,-0.002018229166666666,0.0,0.23673863172256657,0.5081898402563421,0.0069292288,66689,-0.00934603568748571,188.9070587158203,0.9790128469467163,0.00018162048,-36.89574127197265,0.051123046875,0.0074882424,540.8440841674804,1.000415563583374,0.2,0.43660800000001254,0.14553599999999875,0.14553599999999875,0.43660800000001254,0.43660800000001254
7987,0.0,0.0,0.0,0.0,0.0,-0.018064122522654807,0.43660800000001254,0.0,-0.00048733871075874177,0.0,47388672,-0.1741815992498169,2.3172699644888026,0.18272191884682487,0.9473297786781446,5933,-0.09338605753333863,0.0,-4.326824201556335e-05,393.62,-0.0747087885612115,-0.020024997352679763,0.0,2571,-0.4601069159474071,0.0,1.7464320000000502,-0.040045276011664584,-0.10561578480971386,-0.020654084239694618,0.0,0.0,-0.06545787499729147,-0.25583125184119654,0.06239149305555555,0.0759006076388889,0.68835712,-0.01770820046599471,0.05093759999999956,288.21788015,0.0,-0.15198364227610836,-0.08126746147793466,0.0,1.8481286781900823,0.0,0.021830400000000628,-0.0021918402777777795,0.0,0.2461412989711365,0.5085265389027386,0.0069255424,66693,-0.010936218732967972,183.1094207763672,0.9797881245613098,0.0001815744,-36.89703140258789,0.072802734375,0.009260545,540.6806762695312,1.0004953145980835,0.2,0.43660800000001254,0.14553599999999875,0.14553599999999875,0.43660800000001254,0.43660800000001254
7990,0.0,0.0,0.0,0.0,0.0,-0.017518442702919093,0.43660800000001254,0.0,-0.0004633810747012446,0.0,47407104,-0.1532796132351936,2.4782477833616388,0.167264298376304,1.0723760001689024,5933,-0.08031166659231077,0.0,-3.7706496432436304e-05,387.23,-0.07216309369644794,-0.01830028683837906,0.0,2572,-0.4220829357643887,0.0,1.7464320000000502,-0.03781908736777819,-0.10635336961862374,-0.017007905133660333,0.0,0.0,-0.056763302269842386,-0.23259730439235204,0.05224609375,0.060980902777777776,0.68835712,-0.017186213886652136,0.05093759999999956,282.61930506000004,0.0,-0.13272801482748675,-0.08255192435611473,0.0,1.8807321913726232,0.0,0.021830400000000628,-0.001801215277777774,0.0,0.18694367623963232,0.506863135242619,0.0069218560000000005,66697,-0.010025622209650465,191.25880432128906,0.9788930416107178,0.00018152832,-36.897349166870114,0.06181640625,0.009137327,545.697232055664,1.0004401206970215,0.2,0.43660800000001254,0.14553599999999875,0.14553599999999875,0.43660800000001254,0.43660800000001254
7993,0.0,0.0,0.0,0.0,0.0,-0.018151986025176058,0.43660800000001254,0.0,-0.0004792792224891464,0.0,47425536,-0.17301575748359535,2.282178202232371,0.17356732445455245,0.9683352688609101,5933,-0.08993733996342484,0.0,-3.988052793742252e-05,412.57,-0.07671435034040121,-0.019784362889003572,0.0,2573,-0.4518327455042673,0.0,1.7464320000000502,-0.04739441971918019,-0.10591034504636515,-0.026041620018899404,0.0,0.0,-0.06772029524980719,-0.26594133872659104,0.06396484375,0.06865776909722222,0.68835712,-0.019308816706036715,0.05093759999999956,327.33822283,0.0,-0.161060272424873,-0.07917831164296313,0.0,1.8563071285085648,0.0,0.021830400000000628,-0.0019856770833333324,0.0,0.21951142104378243,0.5073762136415958,0.0069181696,66701,-0.008928275387734174,265.33966064453125,0.9769213795661926,0.00018148224,-36.895843505859375,0.0582763671875,0.009773608,635.4209259033203,1.0003535747528076,0.2,0.43660800000001254,0.14553599999999875,0.14553599999999875,0.43660800000001254,0.43660800000001254
7996,0.0,0.0,0.0,0.0,0.0,-0.018304119610580746,0.43683840000001256,0.0,-0.00046767461171369696,0.0,47443968,-0.14520785114325604,2.450221166780077,0.1587608302920095,1.0167272250674928,5933,-0.08102096143531627,0.0,-3.994327710551965e-05,407.21,-0.07391119244718664,-0.019099252220436787,0.0,2574,-0.43911820085179004,0.0,1.7473536000000502,-0.034646958812311425,-0.10638731425404842,-0.0038411461151114656,0.0,0.0,-0.05509548704940962,-0.22422517758054664,0.06163194444444445,0.06757269965277778,0.6883509760000001,-0.016152885405958353,0.050964479999999555,312.87339735999996,0.0,-0.13950222456996253,-0.07180994002025326,0.0,1.869437662152803,0.0,0.02184192000000063,-0.0017361111111111067,0.0,0.21531368772262555,0.5071784503188683,0.0069144832,66705,-0.011598449916346,175.76849365234375,0.9793961048126221,0.00018143616,-36.89572124481201,0.07119140625,0.008608664,512.6455963134765,1.0003793239593506,0.2,0.43683840000001256,0.14561279999999874,0.14561279999999874,0.43683840000001256,0.43683840000001256
7999,0.0,0.0,0.0,0.0,0.0,-0.018286091754921116,0.4370688000000126,0.0,-0.0004817356410890558,0.0,47462400,-0.1519156899215316,2.5007515605426445,0.15827501688599968,1.1336137914299949,5933,-0.0816526119954114,0.0,-4.1117697884567464e-05,403.88,-0.07429986399439621,-0.017758285398562768,0.0,2575,-0.4330379823447791,0.0,1.7482752000000503,-0.03506716863560755,-0.10591487205609734,-0.017487562166040575,0.0,0.0,-0.05789866755549036,-0.21585977485931646,0.0671657986111111,0.06976996527777778,0.6883448320000001,-0.016431179658641906,0.05099135999999955,298.15950119,0.0,-0.1317653575212523,-0.07607609561431967,0.0,1.8788363892960527,0.0,0.02185344000000063,-0.002072482638888889,0.0,0.2008986561306881,0.5102857667750987,0.006910796800000001,66709,-0.010017818422056735,274.8871765136719,0.9747319221496582,0.00018139008,-36.89422054290772,0.0775390625,0.009875346,649.1514663696289,1.0002490282058716,0.2,0.4370688000000126,0.14568959999999873,0.14568959999999873,0.4370688000000126,0.4370688000000126
8002,0.0,0.0,0.0,0.0,0.0,-0.01785482704353816,0.4372992000000126,0.0,-0.0004784756047019511,0.0,47480832,-0.15062938934060305,2.492187353633005,0.16373915825690005,1.1043065052893695,5933,-0.08107940410803134,0.0,-4.043380879917019e-05,438.19,-0.07561837390004392,-0.02205667324629544,0.0,2576,-0.44468008900065215,0.0,1.7491968000000504,-0.029839321587239637,-0.10594859085741194,-0.014154817714192192,0.0,0.0,-0.0538817604555573,-0.20792682358203052,0.05919053819444445,0.06928168402777778,0.6883386880000001,-0.016094604769543774,0.05101823999999955,366.90519509999996,0.0,-0.1274102233324156,-0.07429430547515987,0.0,1.8722919062626897,0.0,0.02186496000000063,-0.0017035590277777735,0.0,0.2390213308456445,0.5104731444123868,0.0069071104,66713,-0.008837531181052327,332.2617492675781,0.9755609631538391,0.000181344,-36.894165229797366,0.05738525390625,0.008480496,756.8555511474609,1.000380516052246,0.2,0.4372992000000126,0.1457663999999987,0.1457663999999987,0.4372992000000126,0.4372992000000126
8005,0.0,0.0,0.0,0.0,0.0,-0.017398137788445407,0.4375296000000126,0.0,-0.0004809478099622289,0.0,47499264,-0.17976121518400462,2.3298197272030823,0.17819216741766472,0.883033868450107,5933,-0.08716219644890323,0.0,-4.384251166115357e-05,415.6,-0.07425095293109692,-0.02568386616943961,0.0,2577,-0.4436782801410597,0.0,1.7501184000000505,-0.042089795802860624,-0.10585228669965983,-0.013014272253196,0.0,0.0,-0.06728486056123203,-0.2493713956556815,0.07628038194444445,0.0778537326388889,0.6883325440000001,-0.018929776278084145,0.05104511999999954,340.15270175999996,0.0,-0.14819459170530164,-0.07686001028606405,0.0,1.864732224211323,0.0,0.02187648000000063,-0.0022135416666666688,0.0,0.2657368806947581,0.5098898577477368,0.006903424,66717,-0.010406800740747712,242.4320526123047,0.9794720411300659,0.00018129791999999998,-36.89568405151367,0.051904296875,0.00861931,612.7113342285156,1.000351071357727,0.2,0.4375296000000126,0.1458431999999987,0.1458431999999987,0.4375296000000126,0.4375296000000126
8009,0.0,0.0,0.0,0.0,0.0,-0.017701847919159124,0.43776000000001264,0.0,-0.0004656115907149609,0.0,47517696,-0.15302640405015008,2.4156108244517434,0.15798334467448813,0.9293760718994142,5932,-0.08468539509206051,0.0,-3.968480968434537e-05,408.78,-0.07603222559519016,-0.023374257135057797,0.0,2578,-0.4801144484084339,0.0,1.7510400000000506,-0.02804938697469013,-0.10605339844299454,-0.014598578055863013,0.0,0.0,-0.057849869912566736,-0.22295064823867344,0.059624565972222224,0.0654568142361111,0.6883264000000001,-0.0168918531323133,0.05107199999999954,330.7903806400001,0.0,-0.1441121991058198,-0.0759376055168187,0.0,1.8715019526928418,0.0,0.021888000000000633,-0.0018771701388888863,0.0,0.210305959829655,0.5093598521802638,0.006899737600000001,66721,-0.010599500976968556,194.94842529296875,0.9798387289047241,0.00018125184,-36.89318218231201,0.07386474609375,0.009502826,537.8185394287109,1.0001883506774902,0.2,0.43776000000001264,0.1459199999999987,0.1459199999999987,0.43776000000001264,0.43776000000001264
8012,0.0,0.0,0.0,0.0,0.0,-0.017488671954194606,0.43799040000001266,0.0,-0.0004727210268108613,0.0,47536128,-0.16247391107603903,2.416854841014958,0.16659058694586262,1.0508123848647377,5932,-0.08743457396418518,0.0,-4.1367253169095014e-05,404.0,-0.07161758232039385,-0.021124455013397662,0.0,2579,-0.455133699495633,0.0,1.7519616000000506,-0.029720048840391682,-0.10605862089271251,-0.022253518372537737,0.0,0.0,-0.05880462394141783,-0.23646688969122703,0.06114366319444445,0.0651584201388889,0.688320256,-0.01627185864107724,0.051098879999999534,306.08969075,0.0,-0.13625530465933197,-0.07348731962651261,0.0,1.8664240527841958,0.0,0.021899520000000634,-0.001779513888888885,0.0,0.30792693978317726,0.5066294665055652,0.0068960512,66725,-0.01091454124543816,173.7955780029297,0.9825109243392944,0.00018120575999999998,-36.8920072555542,0.06807861328125,0.009453003,455.5992797851562,1.0002238750457764,0.2,0.43799040000001266,0.14599679999999868,0.14599679999999868,0.43799040000001266,0.43799040000001266
8015,0.0,0.0,0.0,0.0,0.0,-0.018378151108145137,0.4382208000000127,0.0,-0.0004896488614565176,0.0,47554560,-0.1571847640713118,2.4795880274495796,0.16505247546885998,1.092444845134719,5932,-0.07753911268826022,0.0,-4.120894048244541e-05,416.53,-0.0703171051454949,-0.019348692213049586,0.0,2580,-0.40817300512425425,0.0,1.7528832000000507,-0.03170804696658175,-0.10635945722263214,-0.017510908983955954,0.0,0.0,-0.04821673432987923,-0.2138183082512599,0.06255425347222222,0.064697265625,0.688314112,-0.014478478554500475,0.05112575999999953,331.86778050999993,0.0,-0.11641094999493523,-0.07827395563042354,0.0,1.882402237752502,0.0,0.021911040000000635,-0.0019856770833333324,0.0,0.1999302122635066,0.506570099475864,0.0068923648,66729,-0.009120223321951925,264.0028381347656,0.9787043929100037,0.00018115968,-36.89379596710205,0.07117919921875,0.009500518,638.0832656860351,1.0002491474151611,0.2,0.4382208000000127,0.14607359999999867,0.14607359999999867,0.4382208000000127,0.4382208000000127
8018,0.0,0.0,0.0,0.0,0.0,-0.01835191864694867,0.4384512000000127,0.0,-0.0004702918028639736,0.0,47572992,-0.1482554410956548,2.3828482923503507,0.163893521799277,0.9389543751673095,5932,-0.07754920804202131,0.0,-4.031517960154864e-05,432.58,-0.07374520097500929,-0.018301307346034957,0.0,2581,-0.4452407312977893,0.0,1.7538048000000508,-0.033001599059861886,-0.10615032633246367,-0.01591082049257851,0.0,0.0,-0.053989910973616065,-0.21680922361885405,0.06635199652777778,0.0666775173611111,0.688307968,-0.015667819660485704,0.05115263999999953,376.9232707,0.0,-0.1316599146982376,-0.0726013432486043,0.0,1.8816939114070368,0.0,0.021922560000000636,-0.001855468749999997,0.0,0.2759551136171533,0.5080767481367525,0.006888678400000001,66733,-0.008964038721751421,220.7343292236328,0.9793751239776611,0.0001811136,-36.893151092529294,0.049658203125,0.007977134,594.0845596313477,1.0001928806304932,0.2,0.4384512000000127,0.14615039999999865,0.14615039999999865,0.4384512000000127,0.4384512000000127
