reward_terms/torque,reward_terms/assist_pen,reward_terms/fwd_speed,reward_terms/foot_slip,reward_terms/upright,reward_terms/action_rate,reward_terms/clearance,reward_terms/time,reward_terms/coef_rate,reward_terms/residual,reward_terms/stance,curriculum/ctrl_jitter_ms,curriculum/stance_ratio,reward_terms/stop,curriculum/eff_scale,reward_terms/height,reward_terms/motor_vel,reward_terms/hip_roll,time/iterations,reward_terms/energy,reward_terms/phase_contact,reward_terms/lat_vel,reward_terms/overrun,reward_terms/angmom,curriculum/ent_coef,rollout/ep_rew_mean,curriculum/sprint_dist_m,reward_terms/stance_time,rollout/ep_len_mean,reward_terms/foot_ahead,time/fps,curriculum/ctrl_drop_prob,reward_terms/ang_xy,reward_terms/air_time,reward_terms/vz,reward_terms/alive,time/time_elapsed,time/total_timesteps,train/loss,train/std,train/explained_variance,train/clip_fraction,train/clip_range,train/value_loss,train/n_updates,train/approx_kl,train/learning_rate,train/entropy_loss,train/policy_gradient_loss
-0.23259955691160666,0.0,4.9488645030523175,-0.5348179805270459,-0.02734779754801596,-0.10374395911215802,0.1961893735578554,-0.5,-0.4234308304938848,-0.11630808130042133,-0.0005607502392291493,2.4302592,0.585667712,0.0,0.2797056,-0.0036440530485907516,-0.00868552771111996,-0.10014221537069605,3643,-0.04209262095065527,-0.17872436583329765,-2.775479906189318e-08,0.0,-0.06380435368305706,0.01,1373.7971479800003,66.95584,0.0,2570.79,0.0,4457,0.03037824,-0.35935965631067895,0.003497718358024334,-0.041909081498190545,0.0,15063,67147776,93.01840209960938,1.0010700225830078,0.9412316679954529,0.1100341796875,0.2,169.9303882598877,21810,0.012055367,0.00013217664,-34.06600551605224,-0.010750953434035182
-0.23065414306818402,0.0,4.794135637645537,-0.5352992861542013,-0.02674627288796924,-0.10474293031309351,0.18755695542025425,-0.5,-0.43127304477392314,-0.11627075980050045,-1.7136396760534393e-05,2.4311808,0.585650048,4.7912500893393746e-21,0.2797824,-0.0036483623322368566,-0.008659752765136601,-0.11208254244993188,3644,-0.041840496161051094,-0.1800317298482611,-3.201020632300191e-08,0.0,-0.06045842288672692,0.01,1423.2584442799998,66.96736,0.0,2649.74,0.0,4457,0.030389760000000002,-0.3555066164113471,0.0033620846095598405,-0.04019754609035805,0.0,15067,67166208,75.23859405517578,1.0010473728179932,0.9282264113426208,0.14573974609375,0.2,164.44573669433595,21814,0.014615553,0.00013213056,-34.06564521789551,-0.01177064428338781
-0.22625652617119363,0.0,4.565539654578152,-0.5419709479945006,-0.03615265614008139,-0.10431902391901639,0.17940770089726873,-0.5,-0.43511746554425407,-0.11590582020657808,-0.00017999994612539328,2.4321024,0.5856323840000001,8.899396539574937e-27,0.2798592,-0.005025443107577682,-0.008427507288613058,-0.11073461547800827,3645,-0.0408317920652518,-0.1868199882016432,-2.8420126263132717e-08,0.0,-0.06497221866235814,0.01,1468.8955829100003,66.97888,0.0,2730.58,0.0,4457,0.030401280000000003,-0.3559102254849324,0.003272566837646688,-0.04702796452533584,0.0,15071,67184640,90.69842529296875,1.0011496543884277,0.936735987663269,0.1447998046875,0.2,202.25582580566407,21818,0.013885686,0.00013208448,-34.06722507476807,-0.01044956585392356
-0.22913038177373485,0.0,4.618221241761298,-0.5444825695533526,-0.035448537252626804,-0.10488124073039551,0.1751598654631756,-0.5,-0.4234141013453642,-0.1159854598652903,-0.0015212179933985878,2.433024,0.58561472,1.1561147940551987e-32,0.279936,-0.004641175041106227,-0.008478485552247086,-0.10625991608277043,3646,-0.04127678457740434,-0.18511085266154031,-2.7604099184571105e-08,0.0,-0.06312313834138245,0.01,1425.8406945899997,66.9904,0.0,2672.02,0.0,4457,0.030412800000000004,-0.36257294725734096,0.003286130141027065,-0.0445219765052596,0.0,15075,67203072,113.83639526367188,1.0009238719940186,0.9416436553001404,0.14285888671875,0.2,270.0280990600586,21822,0.013250875,0.00013203839999999999,-34.06518039703369,-0.010184647608548402
-0.2270123579718195,0.0,4.6538335914259115,-0.5347488443262581,-0.040363863894185704,-0.10540998480559204,0.18436321323227434,-0.5,-0.43711025398676523,-0.11583273283123437,-0.001026124427166068,2.4339456,0.585597056,2.2169900028260995e-53,0.2800128,-0.005398536147872623,-0.008475830284315209,-0.1090447768850012,3647,-0.04097489514834767,-0.1853571921633881,-2.8796644974706967e-08,0.0,-0.06965344398178343,0.01,1388.94924835,67.00192,0.0,2620.75,0.0,4457,0.03042432,-0.3570396661972404,0.0032850453604219686,-0.05013910182113506,0.0,15080,67221504,113.47075653076172,1.000746250152588,0.946612536907196,0.08756103515625,0.2,244.67774353027343,21826,0.011838207,0.00013199232000000001,-34.06336421966553,-0.009965173405362293
-0.22719117052101565,0.0,4.663710337482285,-0.5441345802516556,-0.03455761228835659,-0.10564258012565689,0.1830196873399228,-0.5,-0.4425884405087151,-0.11596889749274197,-0.0009071952539140683,2.4348672,0.585579392,0.0,0.2800896,-0.004774946899946151,-0.008428345912244112,-0.11333346352350043,3648,-0.0408721526908189,-0.18227221120629633,-2.941000662877509e-08,0.0,-0.06506416024281649,0.01,1397.4818000400003,67.01344,0.0,2634.88,0.0,4457,0.03043584,-0.3576655341702747,0.0033821586823453093,-0.044821896765519745,0.0,15084,67239936,117.64631652832031,1.0006649494171143,0.9399799704551697,0.11907958984375,0.2,265.1294921875,21830,0.0140212225,0.00013194624,-34.061699295043944,-0.01089079910889268
-0.22789920909897843,0.0,4.659669483545149,-0.5483947437452674,-0.03718944597142008,-0.10593531847934212,0.18178588971546164,-0.5,-0.4320984824877139,-0.11607749602987237,-0.006230532586282254,2.4357888,0.5855617280000001,9.45795122383199e-32,0.2801664,-0.004799597247343383,-0.00845923993406932,-0.11294416315582002,3649,-0.04113024008379863,-0.1763165306448521,-3.072878995252677e-08,0.0,-0.06585234394209762,0.01,1435.12202168,67.02496,0.0,2701.67,0.0,4457,0.030447360000000003,-0.35715481260200754,0.0031412736570928246,-0.04914465844424013,0.0,15088,67258368,102.60761260986328,1.0010113716125488,0.9274666905403137,0.131103515625,0.2,307.36726608276365,21834,0.013563566,0.00013190016,-34.06521511077881,-0.012011097278445959
-0.23113431820925545,0.0,4.991446110488728,-0.5393220067476159,-0.025365425101063252,-0.1041216896638391,0.19150778682942635,-0.5,-0.42399450618600404,-0.11640078345445166,-0.0019005769079277772,2.4367104,0.585544064,3.2366076761053885e-29,0.2802432,-0.0033215043666111454,-0.008571322322351839,-0.09910502856320313,3650,-0.04162083945283705,-0.17450185072003602,-2.6948819817287556e-08,0.0,-0.061048124461956094,0.01,1424.4307602400002,67.03648000000001,0.0,2684.05,0.0,4457,0.03045888,-0.3452696746214366,0.0033447238707190585,-0.04237509368550311,0.0,15092,67276800,80.62100219726562,1.000732183456421,0.9672250151634216,0.10458984375,0.2,168.83925857543946,21838,0.013559098,0.00013185408,-34.06324920654297,-0.009579361148644239
-0.22920784320793613,0.0,4.900889690548992,-0.5522526993396853,-0.03801101779778307,-0.10563792016843677,0.20607032607050144,-0.5,-0.44056804505507574,-0.11610855047803674,-0.000987145851507308,2.437632,0.5855264,0.0,0.28032,-0.005667273887868221,-0.008463285649466476,-0.10925945412788395,3651,-0.041167054898608696,-0.18385373353407397,-2.966442039510463e-08,0.0,-0.06652688832979088,0.01,1372.9917523699999,67.048,0.0,2610.12,0.0,4457,0.030470399999999998,-0.36309348363229055,0.003283959884558701,-0.05018196062901891,0.0,15097,67295232,134.77734375,1.0006341934204102,0.9113695025444031,0.10521240234375,0.2,212.60398330688477,21842,0.012476857,0.000131808,-34.0610933303833,-0.010573910491075367
-0.2253234953824189,0.0,4.480308386524182,-0.5552651964909363,-0.04953320181888074,-0.10576220744917933,0.18775143500454722,-0.5,-0.45479289231746445,-0.11561423211718364,-0.007718024913275666,2.4385536,0.585508736,1.633360942496908e-26,0.2803968,-0.005351388973460372,-0.00825928429163495,-0.11650581466767004,3652,-0.04030570399123317,-0.19170273490329023,-2.977282839189594e-08,0.0,-0.07088193998202232,0.01,1451.7906982499999,67.05951999999999,-1.8445956003334788e-05,2742.16,0.0,4457,0.030481920000000003,-0.36282608726979165,0.0033159692021500734,-0.05398328804797585,0.0,15101,67313664,76.22119903564453,1.0006434917449951,0.960267186164856,0.10736083984375,0.2,165.31979598999024,21846,0.012055324,0.00013176192,-34.06147632598877,-0.01039958382025361
