reward_terms/residual,rollout/ep_len_mean,reward_terms/lat_vel,rollout/ep_rew_mean,reward_terms/motor_vel,reward_terms/alive,time/fps,time/total_timesteps,reward_terms/stance_time,curriculum/stance_ratio,reward_terms/stance,curriculum/ent_coef,reward_terms/clearance,reward_terms/energy,reward_terms/vz,reward_terms/ang_xy,reward_terms/phase_contact,time/time_elapsed,curriculum/eff_scale,reward_terms/hip_roll,reward_terms/stop,reward_terms/coef_rate,reward_terms/height,reward_terms/overrun,reward_terms/upright,time/iterations,reward_terms/action_rate,reward_terms/foot_slip,reward_terms/time,reward_terms/fwd_speed,reward_terms/air_time,reward_terms/torque,reward_terms/angmom,train/entropy_loss,train/clip_range,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/approx_kl,train/loss,train/explained_variance,train/std
-0.5297270226766969,59.36,-5.103451325147491e-09,-100.51771405000001,-0.0032805657909234804,0.5,3479,20128608,-0.016328369729712397,0.5729816480000001,-0.017075598394475835,0.01,0.08260662656389534,-0.01112670447327304,-0.1692113967495728,-0.351111266614754,-0.3710077870661959,1186,0.3348624,-0.03901569002438543,0.0,-0.5338889886480898,-0.07815214114796153,0.0,-0.2715426299212868,112,-0.0963894568773,-0.4386932414032312,0.0,1.2534721764765326,0.0015581599776245032,-0.12891122015879167,-0.15976188889964563,-33.939111921522354,0.2,36882,0.2891303168402778,-0.008356436103996303,0.0003,2.089634964863459,0.021081394,0.6744464039802551,0.9880752563476562,0.996560275554657
-0.5299815505829452,59.2,-5.350383090684342e-09,-100.2881859,-0.0032889072915324572,0.5,3479,20165472,-0.01658336078495874,0.5728403360000001,-0.015307276588343889,0.01,0.08216269087859367,-0.011162197433578094,-0.1706574960086045,-0.3527069793042757,-0.36966460607903345,1197,0.3354768,-0.03878592703310656,0.0,-0.533387969458488,-0.07748164628548222,0.0,-0.2681457699864546,113,-0.09684744988556489,-0.4380255124280902,0.0,1.2445107770674229,0.0014881729875924066,-0.12969165593935597,-0.15807881862042267,-33.94504366980659,0.2,36886,0.3030531141493056,-0.004454258486576792,0.0003,1.049797385931015,0.03283766,0.08278700709342957,0.9937871694564819,0.9971824884414673
-0.5297043698800483,59.64,-5.793342589034917e-09,-100.41644188000002,-0.0032800486594086286,0.5,3479,20202336,-0.016620524245404847,0.5726990240000001,-0.015581030980753585,0.01,0.08248307058667809,-0.011151850661002171,-0.1683171752454065,-0.35192362429260543,-0.37113580048081796,1207,0.3360912,-0.03911978456086748,0.0,-0.5319930190727788,-0.07688179503544722,0.0,-0.2696339832358843,114,-0.0967537482554743,-0.43747447606580414,0.0,1.2445888024793126,0.0015863718241841223,-0.1304006577568412,-0.15736812144978832,-33.94967767927382,0.2,36890,0.3080783420138889,-0.005954906991165545,0.0003,1.5846283435821533,0.026972411,0.36658740043640137,0.990835964679718,0.9976400136947632
-0.5294087259826444,59.37,-5.6632653762593285e-09,-100.37380791999998,-0.003289584593064776,0.5,3480,20239200,-0.015731311024865136,0.572557712,-0.014478440492422652,0.01,0.08352309737243972,-0.011200083203831058,-0.17323377382945304,-0.3525814746822224,-0.3677561632852446,1218,0.3367056,-0.03873937508492115,0.0,-0.5316445149051685,-0.078651414946479,0.0,-0.2736818158888034,115,-0.09687075606653169,-0.4317992029994972,0.0,1.2674420597004175,0.001484375278879371,-0.1306959414213385,-0.1578763541272252,-33.93896220280574,0.2,36893,0.2873065655048077,-0.0034619113340830575,0.0003,1.3762089289151704,0.03150275,0.342506468296051,0.992245078086853,0.9965846538543701
-0.5299793673199514,58.76,-5.475376821093605e-09,-101.32458926,-0.0033146070293668855,0.5,3481,20276064,-0.01706106204720628,0.5724164,-0.0149704311535988,0.01,0.08223291679084109,-0.011257181278839202,-0.1698201055169203,-0.35178078325872236,-0.3711887293985778,1228,0.33732,-0.03818461307725177,0.0,-0.5347289863038747,-0.07695952719653185,0.0,-0.2691812708663544,116,-0.09721045325455338,-0.43958827506506337,0.0,1.2430403926656401,0.0015315758080558023,-0.12993610227799254,-0.15838167222826105,-33.94886218176948,0.2,36897,0.3350965711805556,-0.0033075540688716704,0.0003,0.9408185614479913,0.02840422,0.10714742541313171,0.9946417808532715,0.9971910715103149
-0.5294838134341262,59.73,-6.099098329003061e-09,-100.39795550000001,-0.0033032637508837366,0.5,3481,20312928,-0.017188828818487108,0.572275088,-0.017121447907265063,0.01,0.0826327696561407,-0.011200747477673894,-0.167891643249959,-0.35450341442051597,-0.37296754400740567,1238,0.3379344,-0.03912729618560137,0.0,-0.5328873073399256,-0.07711253676631652,0.0,-0.2732801919102256,117,-0.09684392768605093,-0.43732757252337917,0.0,1.2452868176548257,0.0015928822362588511,-0.13007234918720537,-0.15947686342292278,-33.922227223714195,0.2,36898,0.21687825520833334,0.006808120291680098,0.0003,2.629365576638116,0.022514962,1.27397620677948,0.9856657981872559,0.9950742125511169
-0.5294387565726103,59.33,-5.192921938062364e-09,-100.42930297000001,-0.0033091002364237995,0.5,3482,20349792,-0.016715739062217634,0.572133776,-0.016001675370881457,0.01,0.08310440350884464,-0.011227978700509766,-0.1694644695976626,-0.3515168505353721,-0.37261499338451687,1249,0.3385488,-0.03871271465311494,0.0,-0.5331845877316803,-0.07683930122696171,0.0,-0.2700768715191272,118,-0.09654324618635167,-0.439121224962081,0.0,1.2518346171436803,0.001419813643830518,-0.1301520808478406,-0.15728758580073168,-33.95712863074409,0.2,36902,0.3591240776909722,-0.00284191736459939,0.0003,0.8659623877869712,0.035498712,0.02085748314857483,0.994557797908783,0.9980446100234985
-0.5293052240758723,59.36,-4.9165857872929645e-09,-100.70562060999997,-0.0033041104599221454,0.5,3482,20386656,-0.017185573553433642,0.571992464,-0.015921780090213656,0.01,0.0825172213121384,-0.011192443572638404,-0.1660355876221813,-0.35048877550056784,-0.37283674533983935,1259,0.3391632,-0.03884111193322101,0.0,-0.5328128250524785,-0.07554993256107177,0.0,-0.26805499120302784,119,-0.09643273487372678,-0.43991439280960476,0.0,1.2368482674192167,0.001729601025646035,-0.13013771284136047,-0.1574516869708532,-33.95022540622287,0.2,36906,0.3846842447916667,-0.0019346723501156601,0.0003,1.1223265594906278,0.036803413,0.18697738647460938,0.9934281706809998,0.9972884058952332
-0.5293029450861247,59.52,-5.166319428311451e-09,-100.00791606000003,-0.0033242526273268196,0.5,3483,20423520,-0.01556041279885297,0.571851152,-0.016073690265541923,0.01,0.08237230237598064,-0.01128907788662819,-0.16671215956502428,-0.35296916779765575,-0.3732937583280116,1270,0.3397776,-0.03900998399140888,0.0,-0.5325820653728208,-0.07637440487172685,0.0,-0.2689905337090679,120,-0.09685186360089908,-0.43622435301922924,0.0,1.2375903825675463,0.0017572702749425338,-0.1315782932133762,-0.15794728798448043,-33.94410260518392,0.2,36910,0.2904120551215278,-0.00703560805413872,0.0003,1.5146766834788852,0.03282474,0.3824799656867981,0.9912213087081909,0.9971705675125122
-0.5300026591322042,59.48,-5.640899355109958e-09,-99.83005424999999,-0.0033074845917494123,0.5,3483,20460384,-0.017326361215155985,0.57170984,-0.013978666246153845,0.01,0.0825311049187769,-0.011214972463108706,-0.16704033918588224,-0.3502924031775817,-0.3712155778822386,1280,0.340392,-0.03799574767562882,0.0,-0.5314937202719954,-0.07675694504014813,0.0,-0.2687522187697556,121,-0.0965242168543471,-0.43268673173492955,0.0,1.2477300021461386,0.0018869361034982528,-0.1303772804254086,-0.15711233981869704,-33.94117948744032,0.2,36914,0.3091769748263889,-0.006705859404367705,0.0003,0.8947812269131342,0.029860739,0.0964687168598175,0.9945787191390991,0.996634840965271
