time/total_timesteps,reward_terms/foot_slip,ankle/ankle_spring_energy_peak,reward_terms/fwd_speed,reward_terms/air_time,reward_terms/residual,reward_terms/overrun,reward_terms/time,reward_terms/vz,reward_terms/action_rate,reward_terms/assist_pen,curriculum/ent_coef,reward_terms/torque,ankle/ankle_defl_peak,reward_terms/motor_vel,reward_terms/alive,reward_terms/stop,reward_terms/foot_ahead,reward_terms/duty_sym,time/time_elapsed,reward_terms/angmom,reward_terms/stance_time,reward_terms/stance,reward_terms/phase_contact,time/fps,ankle/ankle_spring_trq_peak,curriculum/stance_ratio,curriculum/ctrl_drop_prob,reward_terms/step_rate,reward_terms/energy,curriculum/ctrl_jitter_ms,reward_terms/residual_rate,reward_terms/lat_vel,reward_terms/upright,curriculum/sprint_dist_m,reward_terms/clearance,reward_terms/coef_rate,reward_terms/ang_xy,rollout/ep_rew_mean,curriculum/eff_scale,rollout/ep_len_mean,time/iterations,reward_terms/height,reward_terms/hip_roll,train/entropy_loss,train/value_loss,train/clip_range,train/explained_variance,train/std,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/loss,train/n_updates
405504,-0.4935462221164555,0.0,-1.1689544395991018,0.00023654474838015935,-0.06044354368551129,0.0,-0.5,-0.16073124060402988,-0.21173471863665125,0.0,0.01,-0.0006524797348912725,0.5241232719298986,-9.932640285440559e-06,0.0,0.0,0.0,-0.001664032541475558,100,-0.18080075656969133,0.0,-0.0016875424776335547,-0.2544463857449777,4034,0.0,0.649629056,0.0,-0.021950954861110376,-7.196690671111654e-05,0.0,0.0,-3.975718810615829e-08,-0.1701092994006105,25.24192,0.06280015852574466,-1.56813708673783,-0.35278103495763297,-132.27497937,0.0016128,129.39,22,-0.02500416839603682,-0.043050193304230024,-34.069139671325686,279.5192184448242,0.2,0.259790301322937,1.0014674663543701,0.0036961727,-0.008969975891523064,0.000299806464,0.00771484375,124.1875228881836,84
423936,-0.49638207891033903,0.0,-1.1728737894891426,0.0002414274042368763,-0.060550408235604564,0.0,-0.5,-0.14983848778447312,-0.21179599026383894,0.0,0.01,-0.0006948237417713723,0.5200371410933061,-1.0623453974338065e-05,0.0,0.0,0.0,-0.0011133259928411891,105,-0.1763853480548376,0.0,-0.002236536758645372,-0.2501310630743324,4035,0.0,0.6496113920000001,0.0,-0.02160373263888816,-7.581395189337348e-05,0.0,0.0,-3.93644865330562e-08,-0.16079535477057252,25.25344,0.06205662821817807,-1.5443291968960615,-0.3479124935333104,-132.11964665,0.0016896,128.7,23,-0.02339372078908473,-0.041976448961206204,-34.07406921386719,249.97511367797853,0.2,0.22341758012771606,1.0017712116241455,0.0043753833,-0.009431808046065271,0.000299797248,0.01136474609375,110.44111633300781,88
442368,-0.525218422822405,0.0,-1.1627377030966224,0.0001974821692177405,-0.060561767270898015,0.0,-0.5,-0.1596843985549072,-0.21313729075579013,0.0,0.01,-0.0007296572151667489,0.5213691994396021,-1.085375321226388e-05,0.0,0.0,0.0,0.0,109,-0.19368105779373676,0.0,-0.0020888342462176603,-0.261991625896548,4036,0.0,0.649593728,0.0,-0.02229817708333258,-7.895444333860558e-05,0.0,0.0,-4.0041661882384724e-08,-0.16739019323905283,25.26496,0.06283970912339668,-1.5671039138164238,-0.35653969496465104,-132.61008881,0.0017664,130.72,24,-0.02261604233321081,-0.04191296273138543,-34.07307300567627,241.12809829711915,0.2,0.20613032579421997,1.0015735626220703,0.0048832465,-0.010022205003770069,0.000299788032,0.0142578125,115.83293914794922,92
460800,-0.5176537518322052,0.0,-1.1790462166864764,0.0001595047845815619,-0.060663227658461834,0.0,-0.5,-0.14708471709676715,-0.2151899096282533,0.0,0.01,-0.0007784420587804928,0.5210461947174484,-1.181637941684808e-05,0.0,0.0,0.0,-3.490127324243149e-05,114,-0.17292516683692752,0.0,-0.0026938101630237486,-0.2577949467205284,4036,0.0,0.649576064,0.0,-0.022677951388888118,-8.418173628893656e-05,0.0,0.0,-3.992786356738042e-08,-0.15461563408494633,25.27648,0.05971210379628115,-1.5466651511431466,-0.3637389925545367,-133.26144536,0.0018432,133.3,25,-0.022701175339259486,-0.04268708813160656,-34.06937732696533,218.4857376098633,0.2,0.16471290588378906,1.0013254880905151,0.005421781,-0.010701544978655875,0.000299778816,0.01767578125,96.98383331298828,96
479232,-0.5018407187610676,0.0,-1.2045849319447932,0.00021918352770929536,-0.060654785346353636,0.0,-0.5,-0.15987290297404771,-0.21404092806188868,0.0,0.01,-0.000764323924763041,0.5202344165945063,-1.201022469405642e-05,0.0,0.0,0.0,-0.00046090820601420477,118,-0.19107569092257548,0.0,-0.0011945750873716796,-0.2495537218203274,4032,0.0,0.6495584,0.0,-0.02195095486111038,-8.569409659323632e-05,0.0,0.0,-4.144774702341601e-08,-0.19416419684854488,25.288,0.06500179460463056,-1.5518685736352524,-0.3580215462897336,-133.94484718,0.00192,136.05,26,-0.026002644801652784,-0.043659291655912216,-34.07003612518311,205.27751617431642,0.2,0.1408713459968567,1.0016703605651855,0.0053408174,-0.010982950660400092,0.00029976959999999996,0.0168212890625,96.31031799316406,100
497664,-0.5197693432899286,0.0,-1.2180672138899251,0.00021375818566108742,-0.060576669314967746,0.0,-0.5,-0.1575677677533397,-0.21314745268619767,0.0,0.01,-0.0008212516162821908,0.5186390517047579,-1.21680996563636e-05,0.0,0.0,0.0,-0.0008474533733653059,123,-0.20047974686588005,0.0,-0.002499047132053278,-0.2770253391215377,4032,0.0,0.6495407360000001,0.0,-0.022016059027777046,-8.804996685990792e-05,0.0,0.0,-3.9296498000070036e-08,-0.19518592346545013,25.29952,0.0613759307932567,-1.5547946360224387,-0.3524236001191511,-133.31137963,0.0019968,133.46,27,-0.026490744411668654,-0.04306165362968283,-34.0718074798584,185.2035690307617,0.2,0.12704986333847046,1.0016539096832275,0.005288887,-0.011320078826975078,0.000299760384,0.017578125,78.53916931152344,104
516096,-0.47713308606014554,0.0,-1.2697522946285864,0.00015407943283207715,-0.061004518499207516,0.0,-0.5,-0.15702167760289762,-0.21666361156990727,0.0,0.01,-0.0008250497866209177,0.5190105365863964,-1.2559881635003837e-05,0.0,0.0,0.0,-0.0002599688636078989,129,-0.20839185174514493,0.0,-0.0016578658731650664,-0.24316515967123514,3987,0.0,0.649523072,0.0,-0.02214626736111037,-9.051080897704987e-05,0.0,0.0,-3.781942163551578e-08,-0.19831075828784067,25.31104,0.0642808914520872,-1.5611548528703527,-0.3453761958564065,-135.37970447,0.0020736,141.78,28,-0.02732828824783146,-0.04371312108338416,-34.07014465332031,172.48653106689454,0.2,0.12064218521118164,1.0016236305236816,0.0064988583,-0.011150487465783954,0.000299751168,0.0249267578125,75.5000228881836,108
534528,-0.49673853023481107,0.0,-1.2817618810601388,0.00016330252401530743,-0.06075294602533406,0.0,-0.5,-0.1547940781457865,-0.21395341480782418,0.0,0.01,-0.0008818000205259693,0.5215968299519602,-1.2864917475295663e-05,0.0,0.0,0.0,-0.00012974091822694108,133,-0.21683672767043122,0.0,-0.002184978668864622,-0.2754815057698685,3989,0.0,0.649505408,0.0,-0.022146267361110358,-9.437981348811458e-05,0.0,0.0,-3.921976715746082e-08,-0.20944337494089868,25.32256,0.06102537300048427,-1.5617604361554356,-0.36082192269193347,-133.92054687,0.0021504,135.89,29,-0.02911057475972957,-0.043084400857274566,-34.07507152557373,149.8072250366211,0.2,0.10624885559082031,1.00212824344635,0.0070737824,-0.013294838531874121,0.000299741952,0.02945556640625,67.90653991699219,112
552960,-0.506429656926351,0.0,-1.283049781440425,0.0001302079763263464,-0.0606037023616332,0.0,-0.5,-0.1544191983550093,-0.2140935234141382,0.0,0.01,-0.0008652488022878759,0.5238415936068249,-1.321326998394277e-05,0.0,0.0,0.0,-7.91776622562052e-05,138,-0.22179982280326677,0.0,-0.0015167618518843991,-0.27836109887058813,3991,0.0,0.649487744,0.0,-0.02258029513888811,-9.565797273799239e-05,0.0,0.0,-4.016366577631988e-08,-0.20804830222798554,25.33408,0.05962622343555092,-1.5609050742200208,-0.35089965923125227,-133.53998203,0.0022272,134.44,30,-0.02763370682814833,-0.04286268832938897,-34.07775382995605,142.22835731506348,0.2,0.10270702838897705,1.0019845962524414,0.007273273,-0.01260632174089551,0.000299732736,0.03050537109375,69.08378601074219,116
571392,-0.4837913180964496,0.0,-1.311783090379995,0.00019910977183220288,-0.060777668930725115,0.0,-0.5,-0.16739335287767879,-0.21223524188466567,0.0,0.01,-0.0009184582633332979,0.5205689300702188,-1.3776270626774005e-05,0.0,0.0,0.0,0.0,143,-0.236377992856938,0.0,-0.005049019672059277,-0.25847986646651755,3993,0.0,0.6494700800000001,0.0,-0.021321614583332642,-0.00010025945382447834,0.0,0.0,-3.964720575318949e-08,-0.23492022320473552,25.3456,0.06452060452662134,-1.5505543830257051,-0.3662666577177619,-135.28809656,0.002304,141.44,31,-0.03013268551022153,-0.04302896297843396,-34.07787914276123,128.6651569366455,0.2,0.0985916256904602,1.002243995666504,0.007198571,-0.013181517098564655,0.00029972352,0.03115234375,59.29545211791992,120
