reward_terms/coef_rate,reward_terms/lat_vel,time/time_elapsed,reward_terms/residual,reward_terms/energy,rollout/ep_len_mean,reward_terms/motor_vel,reward_terms/stop,reward_terms/clearance,reward_terms/foot_ahead,reward_terms/action_rate,time/iterations,rollout/ep_rew_mean,time/fps,reward_terms/phase_contact,reward_terms/hip_roll,reward_terms/time,curriculum/sprint_dist_m,curriculum/eff_scale,reward_terms/upright,reward_terms/angmom,reward_terms/foot_slip,reward_terms/stance_time,reward_terms/torque,reward_terms/stance,reward_terms/assist_pen,curriculum/ent_coef,curriculum/ctrl_drop_prob,curriculum/stance_ratio,reward_terms/fwd_speed,reward_terms/alive,reward_terms/height,curriculum/ctrl_jitter_ms,reward_terms/overrun,time/total_timesteps,reward_terms/ang_xy,reward_terms/air_time,reward_terms/vz,train/approx_kl,train/loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/std,train/value_loss,train/explained_variance,train/entropy_loss,train/clip_fraction,train/n_updates
-0.5838616353932178,-2.7487751540176235e-08,8209,-0.11092574498283385,-0.017551051381804437,1613.07,-0.003475964404674543,0.0,0.11261272834755497,0.0,-0.10215660275761024,2008,752.41301032,4508,-0.1388401690678146,-0.14980745153845806,-0.5,48.12064,0.1541376,-0.038492453227736506,-0.06155033681825555,-0.4640862284062637,0.0,-0.10549412687236681,-2.2872811971146326e-05,0.0,0.01,0.0014515200000000002,0.614548352,4.553963338149681,0.0,-0.008611436942071898,0.1161216,0.0,37011456,-0.2636477810874796,0.002548284893338051,-0.045811972074181626,0.015257992,153.9163055419922,0.00020751743999999998,0.2,-0.012653219234198331,1.0012428760528564,345.26456451416016,0.9423583745956421,-34.06742210388184,0.16260986328125,15150
-0.6030346016178811,-2.9002793674222366e-08,8213,-0.11045847620695853,-0.017387503335930827,1687.9,-0.0034449041711933064,0.0,0.10011804433238942,0.0,-0.10373798375777982,2009,799.2704507000001,4508,-0.13936562839396982,-0.1479182793553684,-0.5,48.13216,0.1542144,-0.03836545976422001,-0.06178765550437756,-0.46425407969630467,0.0,-0.10559255583274665,0.0,0.0,0.01,0.00146304,0.614530688,4.468233023081232,0.0,-0.009050194512608852,0.1170432,0.0,37029888,-0.2631430863523928,0.002268336849131932,-0.048935888548356746,0.0118292775,53.539859771728516,0.00020747136,0.2,-0.01612627391004935,1.0013253688812256,110.51955833435059,0.9720346927642822,-34.06950988769531,0.13203125,15154
-0.6166566867189616,-2.8137251066546e-08,8217,-0.11004323520789701,-0.017495091694427242,1675.78,-0.0034637397686507203,0.0,0.11579998513248639,0.0,-0.10527371592896095,2010,779.99976832,4508,-0.1461891231596622,-0.15080723212163438,-0.5,48.14368,0.1542912,-0.039471352733303676,-0.060504757012600656,-0.4806274527726214,0.0,-0.10586829557184455,0.0,0.0,0.01,0.00147456,0.6145130240000001,4.339174341182362,0.0,-0.008480979616974554,0.1179648,0.0,37048320,-0.2641542334534465,0.0023573124263849524,-0.048049876927456055,0.013155157,171.8692626953125,0.00020742527999999998,0.2,-0.014606718881987035,1.00146484375,241.15758743286133,0.9463486671447754,-34.070501518249515,0.13876953125,15158
-0.6031087837939518,-2.9224607570032132e-08,8221,-0.10999267958556641,-0.01727176999205128,1644.64,-0.0033815458481701163,0.0,0.12438303602307571,0.0,-0.10494855955168382,2011,753.4151316000002,4508,-0.14552590827266842,-0.15171867463498015,-0.5,48.1552,0.154368,-0.050541697861471876,-0.06443924675966381,-0.4815720030826077,0.0,-0.1050347729105844,0.0,0.0,0.01,0.00148608,0.61449536,4.259177355589507,0.0,-0.01089400945624664,0.1188864,0.0,37066752,-0.2632352809638914,0.002743596954840339,-0.056218105885273505,0.0136116175,82.00505065917969,0.0002073792,0.2,-0.013633844640571624,1.000921607017517,226.39577026367186,0.9552939534187317,-34.06535949707031,0.1393798828125,15162
-0.6036377915451588,-2.9958406443803965e-08,8225,-0.11060759496512343,-0.018014745230384013,1596.0,-0.003555995562753391,0.0,0.1299436643513613,0.0,-0.10293792123741678,2012,723.0495910100002,4508,-0.14077878048169182,-0.15235259564797976,-0.5,48.16672,0.1544448,-0.03882518027539179,-0.06445229417026045,-0.47581331717479575,0.0,-0.10856753266297935,0.0,0.0,0.01,0.0014976,0.614477696,4.660102386618603,0.0,-0.008825619807344759,0.119808,0.0,37085184,-0.2758679633666079,0.002660046784310705,-0.04925619774359471,0.01311934,97.3194808959961,0.00020733312,0.2,-0.012471199315041304,1.0009856224060059,277.3023284912109,0.95589280128479,-34.06344375610352,0.1443115234375,15166
-0.6100709534889198,-3.0244621688647936e-08,8229,-0.10956019058043445,-0.01740840605457086,1629.71,-0.0034371798370982248,0.0,0.11775355529833383,0.0,-0.1067242839093989,2013,741.5373964400001,4508,-0.14620791455844387,-0.14771962176534426,-0.5,48.17824,0.1545216,-0.04129457233065751,-0.06486596290994003,-0.4816980524450902,-8.951672094149722e-06,-0.1066296296827275,-1.8290903606994565e-06,0.0,0.01,0.00150912,0.614460032,4.378572846455138,0.0,-0.009913792855115098,0.1207296,0.0,37103616,-0.2603979634202151,0.002782116673188284,-0.05014673834027807,0.012861083,91.86880493164062,0.00020728704,0.2,-0.01344571437803097,1.0011637210845947,223.20127716064454,0.9527098536491394,-34.066250038146975,0.13734130859375,15170
-0.5971200920610564,-2.9530608976868006e-08,8233,-0.11031131340168215,-0.017353579303610398,1587.47,-0.0034461769135003986,0.0,0.11727026112481077,0.0,-0.10458878997140002,2014,712.3532045199998,4508,-0.1429843313488915,-0.1467080678226045,-0.5,48.18976,0.1545984,-0.03917124501704686,-0.06052483385358492,-0.4715673406992773,0.0,-0.10528446782864975,-0.000372198516208495,0.0,0.01,0.0015206400000000002,0.614442368,4.420792994821881,0.0,-0.0082612037826059,0.1216512,0.0,37122048,-0.2613264027027679,0.0025792091877924073,-0.04737947454913086,0.013726918,83.4445571899414,0.00020724096,0.2,-0.013130694511346519,1.0011590719223022,239.61616058349608,0.9517349004745483,-34.06606559753418,0.1304931640625,15174
-0.6150003270043018,-3.003874060935679e-08,8238,-0.11006023533855257,-0.017379361788010826,1602.89,-0.0034301626295829943,0.0,0.12137697785518393,0.0,-0.10499208145897058,2015,722.4502630500002,4508,-0.1430332182709887,-0.14864943025020907,-0.5,48.20128,0.1546752,-0.046690271983432605,-0.06586509614703971,-0.4785942902339252,0.0,-0.10656259657214356,-1.192139744994058e-08,0.0,0.01,0.00153216,0.614424704,4.437004212707555,0.0,-0.011050579440252999,0.1225728,0.0,37140480,-0.2632169281955139,0.0029578985154835712,-0.055950721974836276,0.015785506,67.1606674194336,0.00020719488,0.2,-0.015275802731048315,1.0015170574188232,171.6931900024414,0.9637680053710938,-34.069848442077635,0.177099609375,15178
-0.5842663446065886,-2.8613234754259786e-08,8242,-0.11016960041397302,-0.017342531640362244,1639.69,-0.003440574608676789,0.0,0.11586971719928069,0.0,-0.10437518095425946,2016,736.88200989,4508,-0.14051020715795898,-0.1467056527968732,-0.5,48.2128,0.154752,-0.04627301053951774,-0.06403217197637301,-0.4691735288340084,0.0,-0.10527415692638269,-1.5114882585659199e-06,0.0,0.01,0.0015436800000000002,0.61440704,4.326044456308913,0.0,-0.009008470840704708,0.1234944,0.0,37158912,-0.25977594624207134,0.002621526907508572,-0.05102470050088622,0.017283995,116.8802261352539,0.0002071488,0.2,-0.014283868460915982,1.0019965171813965,236.60108337402343,0.9536852836608887,-34.076765823364255,0.18997802734375,15182
-0.5954038976412086,-3.015428107420815e-08,8246,-0.11061377623758542,-0.017635208922697456,1669.81,-0.0035096174919288406,0.0,0.1114079606293658,0.0,-0.10315665143343954,2017,760.57262055,4508,-0.13908792244602547,-0.14474949204370352,-0.5,48.22432,0.1548288,-0.03584910850400204,-0.060734426585583194,-0.46054599778348504,0.0,-0.10710529220597292,-0.00014067271642944187,0.0,0.01,0.0015552,0.614389376,4.579110456312879,0.0,-0.008008739483404817,0.124416,0.0,37177344,-0.2620913014275856,0.002679578012450495,-0.046837987399526416,0.014441322,90.09920501708984,0.00020710272000000002,0.2,-0.014058848714921624,1.002817153930664,184.07023887634278,0.9659724831581116,-34.084791374206546,0.1742919921875,15186
