reward_terms/hip_roll,reward_terms/phase_contact,time/total_timesteps,reward_terms/action_rate,reward_terms/coef_rate,reward_terms/fwd_speed,reward_terms/clearance,reward_terms/overrun,reward_terms/lat_vel,curriculum/eff_scale,rollout/ep_rew_mean,reward_terms/alive,reward_terms/stance,time/iterations,curriculum/sprint_dist_m,reward_terms/residual,reward_terms/upright,reward_terms/torque,reward_terms/ang_xy,time/time_elapsed,curriculum/ctrl_jitter_ms,reward_terms/air_time,reward_terms/angmom,time/fps,reward_terms/assist_pen,reward_terms/vz,reward_terms/step_rate,curriculum/ent_coef,curriculum/ctrl_drop_prob,reward_terms/energy,reward_terms/motor_vel,reward_terms/height,reward_terms/time,reward_terms/foot_ahead,rollout/ep_len_mean,reward_terms/stop,reward_terms/stance_time,curriculum/stance_ratio,reward_terms/foot_slip,train/clip_range,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction,train/loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/std
-0.17541591490849667,-0.4926520516054284,227602656,-0.10086561546041149,-0.4399578871878218,4.775702554861714,0.10853878505165254,0.0,-3.429282424617178e-08,0.9482676,732.8321773600001,0.0,0.0,8008,100.0,-0.11285453382108328,-0.029027881644543063,-0.6920860563814587,-0.2753937071477297,35015,4.0,0.0023985453945998517,-0.05969902695888293,4215,0.0,-0.044615201709011953,0.0,0.002,0.05,-0.12030425153716916,-0.025101681854339905,-0.012494611568356767,-0.5,0.0,2159.19,0.0,-1.2342485004208154e-05,0.431898452,-0.4934195220253606,0.2,56510,0.016339807,0.000224138592,0.18792724609375,104.25241088867188,0.8712905049324036,263.623705291748,-0.017781108897179366,-33.69477138519287,0.9872034788131714
-0.1746195350971827,-0.4777114851781932,227621088,-0.09973150361122872,-0.4371815586242785,4.8674170905939285,0.1198918849325888,0.0,-3.4325425750463175e-08,0.9483444,729.9830965800002,0.0,0.0,8009,100.0,-0.11316543871511701,-0.024249321784901072,-0.6963733692147058,-0.27083651829815064,35019,4.0,0.0026269523659721017,-0.054083397162252245,4215,0.0,-0.04218593437383689,0.0,0.002,0.05,-0.1221214409353257,-0.02546260436473216,-0.011123951386650554,-0.5,0.0,2160.76,0.0,0.0,0.43188078799999996,-0.4843211466207015,0.2,56514,0.021320526,0.000224132448,0.21014404296875,91.87200164794922,0.9170998930931091,200.10787658691407,-0.019397967122495176,-33.69647483825683,0.9875757098197937
-0.17500904319333255,-0.4768385466328486,227639520,-0.10050891753424035,-0.45311248509493524,4.810896018307067,0.13411649720732155,0.0,-3.514073823008941e-08,0.9484212,711.27535509,0.0,0.0,8010,100.0,-0.11297671356914137,-0.03287199543270711,-0.6941718692858658,-0.28078535250223957,35023,4.0,0.002962238459278726,-0.06044501793204095,4215,0.0,-0.05092376026350218,0.0,0.002,0.05,-0.12232929861374513,-0.02588587317761667,-0.012978974897514976,-0.5,0.0,2118.32,0.0,-0.00030897237431620143,0.431863124,-0.49905729598047976,0.2,56518,0.019347439,0.00022412630399999998,0.20296630859375,111.68204498291016,0.8502969145774841,242.82152252197267,-0.017595285375136882,-33.70073299407959,0.987359881401062
-0.1765093778185346,-0.48654686391014057,227657952,-0.10059835603756505,-0.4551771164066656,4.73504911005493,0.13419709533903473,0.0,-3.6457432977387214e-08,0.948498,690.9628455200001,0.0,0.0,8011,100.0,-0.11293002327897164,-0.026292765995884232,-0.7055960929588481,-0.2796048186651195,35028,4.0,0.0030246300836248943,-0.05815409748658023,4215,0.0,-0.04246199055190315,0.0,0.002,0.05,-0.12395454317091012,-0.026421940248115974,-0.010694981495610031,-0.5,0.0,2070.86,0.0,0.0,0.43184546,-0.4982482179225878,0.2,56522,0.017117644,0.00022412016000000003,0.18480224609375,110.69194793701172,0.8830326199531555,218.24444961547852,-0.01987612640950829,-33.6943717956543,0.9870786666870117
-0.18161356991199654,-0.4773899907492637,227676384,-0.1012846743564802,-0.4584922015755588,4.747893517597037,0.12446641183641721,0.0,-3.592139361481015e-08,0.9485748,683.7360788900002,0.0,0.0,8012,100.0,-0.11299525696461969,-0.02840460313829477,-0.7002775743753472,-0.27736944924214296,35032,4.0,0.002708874830406987,-0.05714991741176767,4215,0.0,-0.04717145422547365,0.0,0.002,0.05,-0.12284891084768867,-0.026039464725051965,-0.012798083983073867,-0.5,0.0,2062.64,0.0,-6.103393388912082e-06,0.431827796,-0.5028423880877622,0.2,56526,0.023044711,0.00022411401600000002,0.23966064453125,130.83663940429688,0.8183408379554749,245.4933738708496,-0.01918703238479793,-33.69093189239502,0.9870307445526123
-0.18100821891542837,-0.4783863203007734,227694816,-0.10259230721551946,-0.4715052780069302,4.721386487576656,0.13478213150545107,0.0,-3.620679345371332e-08,0.9486516,671.0876627900001,0.0,0.0,8013,100.0,-0.11281900214102346,-0.03401399741882821,-0.6975739691723022,-0.2828664473038477,35037,4.0,0.002955728213742582,-0.06115551794414173,4215,0.0,-0.0509652481489509,0.0,0.002,0.05,-0.12224891217534381,-0.025850942795114264,-0.01240908184238217,-0.5,0.0,2038.86,0.0,-8.951672094149722e-06,0.43181013199999996,-0.5073536216219472,0.2,56530,0.022903709,0.000224107872,0.24818115234375,63.5012321472168,0.8883354067802429,191.62392311096193,-0.017715612082974987,-33.68920955657959,0.9870117902755737
-0.18007318598596045,-0.4816227966628198,227713248,-0.10142160197036919,-0.44010635896710343,4.8158434555807474,0.1274838813475376,0.0,-3.705727690851693e-08,0.9487284,711.39734473,0.0,0.0,8014,100.0,-0.11290221540222684,-0.03535346327698859,-0.6959089703812554,-0.28344402467285074,35041,4.0,0.0026882586729091904,-0.06050226845389775,4215,0.0,-0.05211062054188963,0.0,0.002,0.05,-0.12218643531862557,-0.02582920276333016,-0.013511530288108817,-0.5,0.0,2132.33,0.0,0.0,0.431792468,-0.48851901556864774,0.2,56534,0.022810927,0.000224101728,0.235302734375,82.96382141113281,0.9136276245117188,187.79909591674806,-0.02110920650884509,-33.68944072723389,0.9871346354484558
-0.1794460957933603,-0.48064349591934685,227731680,-0.09995106081699484,-0.43557527892591064,5.103058020303809,0.13475275768911477,0.0,-3.5877815633211076e-08,0.9488052,704.29869792,0.0,0.0,8015,100.0,-0.11341371049142215,-0.025755352290678026,-0.7170760228964571,-0.28215468556043316,35045,4.0,0.0029334843824876267,-0.057515794283332276,4215,0.0,-0.044035014893499064,0.0,0.002,0.05,-0.1267996903411767,-0.02657570116363011,-0.010910096516727657,-0.5,0.0,2117.35,0.0,0.0,0.431774804,-0.491668560871418,0.2,56538,0.023214236,0.000224095584,0.22794189453125,96.22454833984375,0.8988308906555176,205.47580490112304,-0.020050345128402113,-33.688823509216306,0.9871271848678589
-0.1768475741753491,-0.4861681631299851,227750112,-0.09948907534357877,-0.43704549292339223,4.895005501210652,0.13481421224964477,0.0,-3.5951113117436216e-08,0.948882,718.42940563,0.0,0.0,8016,100.0,-0.11302506888296178,-0.026060186987562284,-0.7066891378761228,-0.27885301591157785,35050,4.0,0.002902559638540778,-0.059051665567764026,4215,0.0,-0.04104997558194718,0.0,0.002,0.05,-0.12394673960188735,-0.026224685765462802,-0.011091761685574816,-0.5,0.0,2155.0,0.0,0.0,0.43175714,-0.49673231781381116,0.2,56542,0.01957512,0.00022408944,0.19287109375,40.1684684753418,0.8704102039337158,109.27827415466308,-0.01889887872384861,-33.68428401947021,0.9865164756774902
-0.18364834333329436,-0.48406797290201037,227768544,-0.10105559517094838,-0.4569057935880354,4.733901773433234,0.12726478363876648,0.0,-3.729607727998099e-08,0.9489588,707.48226078,0.0,0.0,8017,100.0,-0.11285765004612634,-0.03101567249664311,-0.7037874959279844,-0.28268297225033484,35054,4.0,0.0026079634068688997,-0.058247875341145235,4215,0.0,-0.04888507259955585,0.0,0.002,0.05,-0.12366015068080066,-0.026106750513537332,-0.012525333599103123,-0.5,0.0,2129.49,0.0,0.0,0.43173947599999996,-0.491079646045818,0.2,56546,0.02754927,0.00022408329599999999,0.29991455078125,95.5939712524414,0.8773236870765686,154.87057762145997,-0.01577444572467357,-33.66977672576904,0.9859613180160522
