curriculum/ent_coef,curriculum/ctrl_drop_prob,reward_terms/air_time,reward_terms/angmom,reward_terms/foot_slip,reward_terms/residual_rate,reward_terms/stance_time,reward_terms/assist_pen,time/fps,curriculum/stance_ratio,reward_terms/step_rate,reward_terms/phase_contact,curriculum/ctrl_jitter_ms,reward_terms/fwd_speed,reward_terms/stance,rollout/ep_len_mean,reward_terms/lat_vel,reward_terms/torque,reward_terms/hip_roll,reward_terms/overrun,reward_terms/motor_vel,reward_terms/action_rate,reward_terms/height,reward_terms/alive,reward_terms/residual,curriculum/eff_scale,time/iterations,reward_terms/coef_rate,reward_terms/vz,reward_terms/energy,reward_terms/clearance,rollout/ep_rew_mean,reward_terms/stop,time/time_elapsed,reward_terms/foot_ahead,curriculum/sprint_dist_m,time/total_timesteps,reward_terms/ang_xy,reward_terms/time,reward_terms/upright,train/value_loss,train/loss,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/std,train/entropy_loss,train/approx_kl,train/n_updates,train/explained_variance,train/clip_range
0.01,0.0,0.003564453030574239,-0.09295208587511185,-0.20518725954262046,0.0,-0.04371881530581353,0.0,4432,0.61829312,0.0,-0.0795777194292618,0.0,1.387486580720104,-0.04021068493588125,256.69,-2.2463535735432743e-08,-0.042526405326095224,-0.01601323510129434,0.0,-0.0008145810641546099,-0.03241636574880333,-0.0837952899196244,0.0,-0.106456259366984,0.137856,1796,-0.2501148909399211,-0.26203752176753614,-0.004592992483620098,0.03990921979014195,-92.59884800000002,0.0,7468,0.0,45.678399999999996,33103872,-0.14856220286962984,-0.5,-0.1419801557443988,0.02071883212774992,-0.3385098874568939,0.00028345728,-0.012825207435525954,0.249755859375,0.9677993059158325,-33.06848907470703,0.028895134,7176,0.9999294877052307,0.2
0.01,0.0,0.003467881841869611,-0.09194957698461158,-0.20263715350594794,0.0,-0.04542766085230849,0.0,4432,0.618275456,0.0,-0.07967083015705827,0.0,1.3736774988988105,-0.03564110449457288,260.16,-2.1483093338527194e-08,-0.042894680981910766,-0.015000201987289182,0.0,-0.0008218190208491194,-0.03253864917537534,-0.08281005580418571,0.0,-0.10654550552438238,0.1379328,1797,-0.25051503471689585,-0.25894073331376183,-0.004628907728829797,0.04039752334805548,-93.2108277,0.0,7472,0.0,45.68992,33122304,-0.14934529450501494,-0.5,-0.13881976957372244,0.03726928886026144,-0.33931416273117065,0.00028344806399999996,-0.012637578905560077,0.2310302734375,0.968166708946228,-33.07242603302002,0.02331555,7180,0.9998478889465332,0.2
0.01,0.0,0.003369140535748253,-0.0884531294703375,-0.18791625845724186,0.0,-0.04550131011799547,0.0,4432,0.618257792,0.0,-0.07901696344336723,0.0,1.3603890121878688,-0.04071819826759357,261.37,-2.1330186370108763e-08,-0.04207805107307785,-0.01566116906829647,0.0,-0.0007935487720004477,-0.032486685100310955,-0.07903791458989964,0.0,-0.10612780744851469,0.1380096,1798,-0.24359801980650037,-0.2483715115707377,-0.004513856198728916,0.038492409009460105,-93.39153664,0.0,7476,0.0,45.701440000000005,33140736,-0.14460061633601165,-0.5,-0.13205489494234882,0.02542967041954398,-0.3491031229496002,0.000283438848,-0.01400725553976372,0.2284423828125,0.9679757952690125,-33.07439975738525,0.021640243,7184,0.9999107718467712,0.2
0.01,0.0,0.0035156249068677425,-0.09228849563464066,-0.2004325248920704,0.0,-0.043275701349355385,0.0,4432,0.618240128,0.0,-0.07901460587488551,0.0,1.3759036099045818,-0.03915011202763154,258.85,-2.2163673801059087e-08,-0.04226180094057095,-0.01567604049633156,0.0,-0.0008028822256657726,-0.03220496314103555,-0.08195249221096916,0.0,-0.10607742801029744,0.1380864,1799,-0.25067474741895546,-0.25697466561479926,-0.004547656764809636,0.040897722830791815,-92.95960337999999,0.0,7480,0.0,45.712959999999995,33159168,-0.1457759424121738,-0.5,-0.13659091107934032,0.038892359286546704,-0.3374917805194855,0.000283429632,-0.012423807417508214,0.215625,0.9677747488021851,-33.0661226272583,0.020920925,7188,0.9998669624328613,0.2
0.01,0.0,0.0035156249068677425,-0.09312187085764864,-0.1994782026289533,0.0,-0.04184205535663447,0.0,4432,0.618222464,0.0,-0.0768719867655682,0.0,1.3815546680442132,-0.03959514755091485,257.37,-2.1817389972380265e-08,-0.04266897624099012,-0.01570738633001947,0.0,-0.0008101904398512528,-0.032382235878958034,-0.0832043521103992,0.0,-0.1063649452013829,0.1381632,1800,-0.24806666246798834,-0.2597885350664446,-0.004585943312230483,0.03989453277744384,-92.56215193999998,0.0,7484,0.0,45.72448,33177600,-0.148832045988183,-0.5,-0.13843931959571484,0.028182658180594445,-0.3477455973625183,0.000283420416,-0.015776516974437983,0.20025634765625,0.9674893617630005,-33.063182258605956,0.018876165,7192,0.9999060034751892,0.2
0.01,0.0,0.003537326216852913,-0.0948933633069457,-0.20604045941935153,0.0,-0.04148208391820339,0.0,4432,0.6182048,0.0,-0.07725786258133863,0.0,1.3961387235505227,-0.03820113433388341,255.03,-2.2704071309529264e-08,-0.04310333048032303,-0.01619840981754496,0.0,-0.000831091670015792,-0.0325258491476757,-0.08436213210153451,0.0,-0.1064401124410804,0.13824,1801,-0.25906424135529044,-0.26377259131937403,-0.004661411290877178,0.04233440930533462,-92.32757966,0.0,7488,0.0,45.736000000000004,33196032,-0.14942945563753982,-0.5,-0.14022987048637167,0.02067346964031458,-0.3475550711154938,0.0002834112,-0.015584462601691485,0.2089599609375,0.9676202535629272,-33.065352821350096,0.02047799,7196,0.9999264478683472,0.2
0.01,0.0,0.003466796783161246,-0.09430848946542109,-0.19729670650691292,0.0,-0.042370211923197426,0.0,4432,0.618187136,0.0,-0.0793827722825102,0.0,1.376779032426828,-0.038997516057908105,256.51,-2.255365578891682e-08,-0.04266131323206779,-0.015963515978927506,0.0,-0.0008081259393060094,-0.03208479662302622,-0.08358185094565954,0.0,-0.1063603271991685,0.1383168,1802,-0.2515178519669816,-0.2618101313446466,-0.004578385133911554,0.03991818839328227,-92.50928595999996,0.0,7493,0.0,45.747519999999994,33214464,-0.14911776701419163,-0.5,-0.14028978901178946,0.03500900883227587,-0.3356407880783081,0.000283401984,-0.011498155072331429,0.2214111328125,0.9679807424545288,-33.0675142288208,0.021871705,7200,0.9998695254325867,0.2
0.01,0.0,0.003564453030574239,-0.09406196156467321,-0.20489285302186688,0.0,-0.042774806052976705,0.0,4432,0.618169472,0.0,-0.08379838287262621,0.0,1.3868935490184962,-0.03932797054611437,255.79,-2.1851933584019696e-08,-0.0426699374852859,-0.015659094133970132,0.0,-0.000809703804264039,-0.03256568546319319,-0.08201259695388806,0.0,-0.10623245693945015,0.1383936,1803,-0.2520334740144208,-0.2565933408780979,-0.00456830703514793,0.04118320406677755,-92.53317367000001,0.0,7497,0.0,45.75904,33232896,-0.15111901658137655,-0.5,-0.13727257139191948,0.027646905463188886,-0.3416093587875366,0.000283392768,-0.011648873251397162,0.2157958984375,0.9678347110748291,-33.06583442687988,0.021326428,7204,0.9998981356620789,0.2
0.01,0.0,0.003613281154280735,-0.0958380540672643,-0.20374858294137785,0.0,-0.04224678517817261,0.0,4432,0.618151808,0.0,-0.08050152911190096,0.0,1.388357950869288,-0.03906511747535329,255.46,-2.1570246784942897e-08,-0.04293139788786762,-0.015816124005384194,0.0,-0.0008163827243238697,-0.03259610677120771,-0.08362283133775306,0.0,-0.10621994977510756,0.1384704,1804,-0.2523729170031911,-0.26242373970926125,-0.0046260893768801286,0.04112171825508223,-92.30500861,0.0,7501,0.0,45.77056,33251328,-0.15366844409554103,-0.5,-0.14006202424031464,0.022016898822039367,-0.3503202795982361,0.00028338355199999997,-0.012963149161078037,0.237060546875,0.9680815935134888,-33.07003898620606,0.025244767,7208,0.9999228715896606,0.2
0.01,0.0,0.003564453030574239,-0.09849323237003943,-0.21307454152134692,0.0,-0.041405858058068484,0.0,4432,0.618134144,0.0,-0.08356919887657016,0.0,1.3982154064748165,-0.03914457681274234,254.5,-2.307020143206233e-08,-0.043876758203404594,-0.016030720761668057,0.0,-0.0008393731184606948,-0.03277950926025732,-0.08452982913091983,0.0,-0.10649449190166804,0.1385472,1805,-0.2606101259565951,-0.26491889196872753,-0.0047079073759914115,0.04225898520559572,-92.22657113999999,0.0,7505,0.0,45.78208,33269760,-0.1555019896881732,-0.5,-0.1426202180035458,0.026411170791834592,-0.3403468132019043,0.000283374336,-0.013377796404529362,0.2173583984375,0.9678618311882019,-33.06460266113281,0.02360006,7212,0.9999088644981384,0.2
