reward_terms/overrun,reward_terms/stance,reward_terms/hip_roll,reward_terms/time,time/time_elapsed,curriculum/sprint_dist_m,reward_terms/stop,curriculum/ent_coef,reward_terms/alive,reward_terms/motor_vel,reward_terms/lat_vel,reward_terms/ang_xy,time/fps,reward_terms/vz,rollout/ep_rew_mean,reward_terms/energy,reward_terms/foot_slip,reward_terms/phase_contact,reward_terms/action_rate,reward_terms/coef_rate,time/iterations,reward_terms/air_time,reward_terms/stance_time,reward_terms/clearance,reward_terms/angmom,curriculum/eff_scale,time/total_timesteps,curriculum/pitch_assist,reward_terms/residual,reward_terms/torque,curriculum/stance_ratio,reward_terms/assist_pen,reward_terms/fwd_speed,reward_terms/upright,reward_terms/height,rollout/ep_len_mean,train/std,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/loss,train/explained_variance
0.0,-0.0014421829381575401,-0.04146546467241117,-0.5,6007,70.48096,0.0,0.01,0.0,-0.004082556087267789,-7.3111742831232005e-09,-0.3506700407139066,3031,-0.10008000271053913,-99.71203549000002,-0.02199999624933631,-0.6510677783736988,-0.4342269162707911,-0.15153288751041832,-0.7576838779788646,988,0.00012261268501687382,-2.8754274050394695e-05,0.15076144135463165,-0.1107588105436898,0.3032064,18210816,0.6967936,-0.2815204989595814,-0.2783029740773542,0.61967936,-1.1813051864144892,2.9429685523035776,-0.2668225520671774,-0.05478698528267132,68.89,1.0018177032470703,-0.012544344319030643,0.032645196,36994,6.5102444887161255,0.2830322265625,0.0003,-34.07265758514404,0.2,2.000973701477051,0.9385653734207153
0.0,-0.0012404970738216028,-0.041310303916759245,-0.5,6013,70.52704,0.0,0.01,0.0,-0.004103404556521861,-7.378958418019135e-09,-0.3517304439113827,3031,-0.10261789769508728,-99.46277346999999,-0.022175848972316177,-0.6570595527216558,-0.43582322955638336,-0.15162258154351888,-0.7598932335332317,989,9.765610836135845e-05,-3.038187019733919e-05,0.15121835608540676,-0.11163731717407896,0.3035136,18229248,0.6964864,-0.28166295501648675,-0.2794872862482478,0.6196486400000001,-1.1827097872764831,2.9663472133436652,-0.2709762652288194,-0.05636702529708981,69.66,1.0017540454864502,-0.01008977685123682,0.03217097,36998,15.599660873413086,0.30321044921875,0.0003,-34.07365169525146,0.2,5.836016654968262,0.8615058660507202
0.0,-0.0010538805477916025,-0.04093843566526657,-0.5,6019,70.57312,0.0,0.01,0.0,-0.004068823260802953,-7.246060134326407e-09,-0.3510201078666535,3031,-0.10322392695830412,-99.45330487999999,-0.022097630898546047,-0.6562847065733599,-0.4361018042343287,-0.15150232571851083,-0.7594135097921899,990,0.00010959185439989799,-1.5190935098669595e-05,0.149942295791831,-0.11102010871459823,0.3038208,18247680,0.6961792,-0.28159360718585574,-0.2800261354889324,0.61961792,-1.1851197551156036,2.955077119137091,-0.27067325519674024,-0.05744124994070886,69.52,1.001938819885254,-0.013684114743955433,0.028094804,37002,11.156443643569947,0.2927978515625,0.0003,-34.07672271728516,0.2,5.723472595214844,0.9017271399497986
0.0,-0.0011062700149863458,-0.041199855181325074,-0.5,6025,70.6192,0.0,0.01,0.0,-0.004086444242083146,-7.445422919040624e-09,-0.34753775314162993,3031,-0.10163275427292967,-98.51139608000001,-0.02213520927402361,-0.6478808827634812,-0.43049864833632867,-0.15179692864519176,-0.7557380090735432,991,0.00012261268501687382,-1.5190935098669595e-05,0.15278578127994882,-0.11097625254228746,0.304128,18266112,0.695872,-0.2815804103816685,-0.2805981531607513,0.6195872,-1.1823225836531315,2.9625209223764566,-0.26866273194113177,-0.055243382304797084,69.76,1.00166916847229,-0.013883040606742725,0.030303847,37006,13.042740058898925,0.3025146484375,0.0003,-34.07381744384766,0.2,7.324883460998535,0.8894628286361694
0.0,-0.0010945366269167472,-0.04127333140629603,-0.5,6031,70.66528,0.0,0.01,0.0,-0.004083277887150149,-7.142901624518802e-09,-0.34751513867686273,3031,-0.0990511273262264,-97.65638058999998,-0.022068040203517207,-0.6503606508942731,-0.4341386942438654,-0.15108880701801797,-0.7605656140908681,992,0.00015299461665563285,-3.580719931051135e-05,0.15130722989937823,-0.10982044635707268,0.3044352,18284544,0.6955648,-0.28149635019339864,-0.27959943790145736,0.6195564800000001,-1.179076353916755,2.934838386548209,-0.268301900718658,-0.05407292245216312,68.95,1.0018203258514404,-0.013102841819636524,0.027802527,37010,14.053740501403809,0.26851806640625,0.0003,-34.07354316711426,0.2,6.650566577911377,0.8779467940330505
0.0,-0.0012050900214752606,-0.04111004989355622,-0.5,6037,70.71136000000001,0.0,0.01,0.0,-0.004082153806680818,-7.406927090921438e-09,-0.34784235886887915,3031,-0.10116331864166783,-97.97351932,-0.02217229661342784,-0.6475728003885802,-0.432842417058429,-0.15137457725081505,-0.7598107792654056,993,0.000123697721088926,-4.448774658764402e-05,0.15291153330825452,-0.10976714413901495,0.3047424,18302976,0.6952575999999999,-0.28172738047761947,-0.28118005559993225,0.61952576,-1.179054821046015,2.959681963078241,-0.26917865116636813,-0.05506376477997983,69.38,1.0019261837005615,-0.012803860392887145,0.028450143,37014,14.373337459564208,0.27481689453125,0.0003,-34.076734161376955,0.2,5.199123859405518,0.8734889626502991
0.0,-0.0013559592984506768,-0.0406331933654734,-0.5,6043,70.75744,0.0,0.01,0.0,-0.004086284135271984,-7.254928245583993e-09,-0.3484649531189556,3031,-0.10112907314875243,-99.71667477,-0.022183091351770167,-0.6510219463488125,-0.4331238781590248,-0.15194584696510702,-0.7588957816287911,994,0.00014865432684827183,-4.557280529600879e-05,0.15274995036535122,-0.1106722267426144,0.3050496,18321408,0.6949504,-0.28140342568100646,-0.2811861450513556,0.61949504,-1.1782855698878043,2.9520853431087293,-0.2674894718364839,-0.054709189199387734,69.14,1.0016777515411377,-0.012764300039270893,0.030183237,37018,10.67699375152588,0.2683349609375,0.0003,-34.07356357574463,0.2,4.893764495849609,0.9017922282218933
0.0,-0.001159222495499235,-0.040234079532697455,-0.5,6049,70.80351999999999,0.0,0.01,0.0,-0.00406810760572113,-7.229426846274022e-09,-0.3474125653438318,3031,-0.10092671126522429,-97.57841432000001,-0.022115123370016587,-0.6543929988913478,-0.4364833009557068,-0.15158611916089448,-0.7591397942130279,995,0.00012152760043843753,-2.6584133997352586e-05,0.1502367701212684,-0.10912607863862142,0.3053568,18339840,0.6946432,-0.2818005277073225,-0.28130011397800686,0.6194643200000001,-1.180457131843211,2.9334244374094016,-0.268110726567748,-0.054897731332186575,69.77,1.0014303922653198,-0.010107131162658333,0.026517276,37022,14.164874982833862,0.2538818359375,0.0003,-34.070294570922854,0.2,5.87492561340332,0.8785805702209473
0.0,-0.0010902139990116766,-0.039751516106362794,-0.5,6055,70.8496,0.0,0.01,0.0,-0.0040864527620826955,-7.307318628607231e-09,-0.34776977124780667,3031,-0.10083390872568815,-98.48196054999998,-0.02219137481275533,-0.6565043194064977,-0.4377502375460549,-0.1514142438159856,-0.7627085681254777,996,8.57203623228189e-05,-1.5190935098669595e-05,0.15248105420376146,-0.10840914411768765,0.305664,18358272,0.6943360000000001,-0.28155881487670864,-0.281180185473715,0.6194336,-1.1781680166225987,2.949498854043796,-0.2674819763446921,-0.05483111535699897,69.69,1.0016140937805176,-0.011264974635560065,0.028516347,37026,18.13189043998718,0.26341552734375,0.0003,-34.07182388305664,0.2,7.868954658508301,0.8458685874938965
0.0,-0.0009434983174764806,-0.04053167144067215,-0.5,6061,70.89568,0.0,0.01,0.0,-0.004112042477577845,-7.375511924054059e-09,-0.34722721366333553,3031,-0.10218627872269093,-96.71613052,-0.022408507850414525,-0.6618504665789994,-0.43302772925910843,-0.1513251271793898,-0.7583019081576441,997,0.00014214387758531503,-1.5190935098669595e-05,0.15253551336601737,-0.10940516687183012,0.3059712,18376704,0.6940288,-0.2817230194637257,-0.2834772911573588,0.61940288,-1.1794571051390579,2.978114123910477,-0.26901551815472563,-0.055409123237301766,70.37,1.0015043020248413,-0.012762059085071087,0.030685693,37030,15.13163251876831,0.2803955078125,0.0003,-34.07099571228027,0.2,7.1368303298950195,0.8666787147521973
