time/total_timesteps,reward_terms/energy,curriculum/sprint_dist_m,reward_terms/stance,reward_terms/coef_rate,reward_terms/angmom,reward_terms/phase_contact,time/iterations,reward_terms/clearance,reward_terms/stance_time,reward_terms/motor_vel,reward_terms/foot_slip,reward_terms/torque,reward_terms/lat_vel,reward_terms/ang_xy,curriculum/eff_scale,rollout/ep_rew_mean,curriculum/ent_coef,time/time_elapsed,reward_terms/stop,reward_terms/upright,reward_terms/height,time/fps,reward_terms/time,reward_terms/air_time,reward_terms/hip_roll,reward_terms/fwd_speed,rollout/ep_len_mean,reward_terms/action_rate,reward_terms/assist_pen,reward_terms/residual,reward_terms/overrun,curriculum/pitch_assist,reward_terms/vz,curriculum/stance_ratio,reward_terms/alive,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/clip_range,train/std,train/n_updates
405504,-0.0003816632578870717,25.96768,-0.004656830957919178,-1.0024694411149861,-0.19815044030533635,-0.4599672770077633,22,0.04050615546898025,-0.0026139289984712377,-7.737597640687622e-05,-0.8700381216961408,-0.003335370399615393,-8.797353409810878e-09,-0.49006485384074616,0.0064512,-128.05669365,0.01,136,0.0,-0.08022382568178511,-0.015799199423990287,2967,-0.5,4.882807843387127e-05,-0.02432888291228524,0.5349790674106701,28.14,-0.1820025017654943,-1.6058105109424219,-0.25515834516790115,0.0,0.9935488,-0.07451235623385548,0.64935488,0.0,0.0003,2.714388608932495,6.71433424949646,0.050796516,0.009540708890805641,0.2804768880208333,-20.13715171813965,-34.067946116129555,0.2,1.0011355876922607,33490
423936,-0.0004039907218917339,26.01376,-0.004036200592592188,-0.9959145110971122,-0.20046879371617257,-0.4587347581787545,23,0.04210500134194773,-0.002766923154316222,-7.996927064201385e-05,-0.8676767083956478,-0.0035311855157999553,-9.260212341879701e-09,-0.4913552960363664,0.0067584,-129.01162869,0.01,142,0.0,-0.08847718903243618,-0.018069608091638618,2969,-0.5,7.920998096879985e-05,-0.026875272144855227,0.5306781829290437,29.11,-0.1828140278690883,-1.597090244666271,-0.25505485714959725,0.0,0.9932416,-0.07679019872458671,0.64932416,0.0,0.0003,2.539318323135376,6.647236108779907,0.051745705,0.011348102319364747,0.3177490234375,-15.404825210571289,-34.0688533782959,0.2,1.001218318939209,33492
442368,-0.00041750906893926287,26.05984,-0.005402211948546415,-0.9985217091951719,-0.19546105685196888,-0.4616251896804273,24,0.040610392941777415,-0.0014057048328039753,-8.363481700064858e-05,-0.8675930604159251,-0.0036901396647537887,-9.745409868934012e-09,-0.4815882502269694,0.0070656,-129.28467082,0.01,148,0.0,-0.07938539415177641,-0.01583083014415767,2971,-0.5,3.906242394198974e-05,-0.02640850354903664,0.5290893811483888,29.41,-0.18176058266826256,-1.589853554425078,-0.25392191498480965,0.0,0.9929344,-0.07253189509395178,0.64929344,0.0,0.0003,2.7501602172851562,7.217899322509766,0.042920873,0.0009452177910134196,0.3262939453125,-14.369192123413086,-34.07275724411011,0.2,1.0014787912368774,33494
460800,-0.0004360391030247292,26.10592,-0.00609122809756188,-1.001828885024925,-0.1968149396426579,-0.4610773626856678,25,0.04091444617486932,-0.0022428351561150825,-8.654973952855118e-05,-0.8722995825656911,-0.003878668478846863,-8.449051710611189e-09,-0.48592891656893045,0.0073728,-126.76881348,0.01,155,0.0,-0.08592470795285485,-0.016412476862868466,2972,-0.5,7.703986031831139e-05,-0.025466189949521083,0.5521431573464934,26.84,-0.17999097298207978,-1.5965555755600136,-0.25375576245532017,0.0,0.9926272,-0.0738749084499882,0.6492627200000001,0.0,0.0003,3.5610735416412354,10.479114055633545,0.02693304,0.015581307816319168,0.28692626953125,-6.335893630981445,-34.06076622009277,0.2,1.0005333423614502,33495
479232,-0.0004467564783539412,26.152,-0.004173539173687697,-1.005095567483526,-0.19466632462326636,-0.4647490432355371,26,0.04069637950058155,-0.0006852198970995636,-8.925746437815559e-05,-0.8718480607784239,-0.003982881078146079,-9.538586317451627e-09,-0.47940212353187434,0.00768,-127.15573956,0.01,161,0.0,-0.08507364960938149,-0.016350585040984293,2972,-0.5,4.123255429375503e-05,-0.025844579218998468,0.5515842660473751,27.23,-0.18006980866614467,-1.5834671346404177,-0.253500310482194,0.0,0.99232,-0.07216308324988728,0.649232,0.0,0.0003,2.655196189880371,10.374990510940552,0.036485337,-0.010713914292864501,0.3185791015625,-6.349043369293213,-34.0861873626709,0.2,1.0028551816940308,33499
497664,-0.0004691152853838189,26.19808,-0.005335045183996747,-1.0123917090473382,-0.19551862083225213,-0.4572442577309867,27,0.04252131899956382,-0.0008593731715033451,-9.279174506214875e-05,-0.8682313951290747,-0.004178412760791795,-8.583340579078572e-09,-0.48235710082516536,0.0079872,-125.38639919,0.01,167,0.0,-0.07963061597885332,-0.015357710299352031,2972,-0.5,5.2083254558965564e-05,-0.02647413065357687,0.5336178513961634,25.48,-0.17967977199312468,-1.5852182678554163,-0.25423657146959033,0.0,0.9920128,-0.07294205465849608,0.64920128,0.0,0.0003,2.146010637283325,5.756572593342174,0.05979474,-0.008969359353862026,0.32728160511363635,-10.071982383728027,-34.0777421431108,0.2,1.0019704103469849,33502
516096,-0.000480782994657754,26.24416,-0.0064994467721608915,-1.005691055006667,-0.19729047725202692,-0.4539638834297389,28,0.04106834251467424,-0.0015299452578700664,-9.625416997456681e-05,-0.8710576579840149,-0.004299321818894769,-8.482860205957068e-09,-0.4888080672098587,0.0082944,-127.72633532,0.01,173,0.0,-0.07991957116778668,-0.01544492027334714,2972,-0.5,8.029509788482553e-05,-0.025431065339961232,0.5092376860243892,27.78,-0.1801267647526352,-1.588918890656486,-0.2535253000978656,0.0,0.9917056,-0.07009524960972935,0.6491705600000001,0.0,0.0003,2.2736966609954834,7.043622334798177,0.025821319,0.011775173790132007,0.233154296875,-12.889921188354492,-34.05902989705404,0.2,1.0003875494003296,33503
534528,-0.0005029024104191863,26.29024,-0.00477598748951959,-1.0072684148447668,-0.19610634296599655,-0.452126343521426,29,0.04065911273687776,-0.002385521891281112,-0.00010042317772558453,-0.8588633691417976,-0.0045169294218536755,-7.981388129553395e-09,-0.48758603854163085,0.0086016,-126.60131405,0.01,179,0.0,-0.0819710514398139,-0.015652392375457888,2973,-0.5,9.440098721016612e-05,-0.02474563232160344,0.4971612174308528,26.7,-0.17902829289200584,-1.5888278112920649,-0.25407726259792285,0.0,0.9913984,-0.0721003091698964,0.64913984,0.0,0.0003,2.7741141319274902,6.8923144936561584,0.039356466,0.003648179641459137,0.313873291015625,-7.777239799499512,-34.07052755355835,0.2,1.0013929605484009,33505
552960,-0.0005228289617945192,26.33632,-0.0044696898288817885,-1.0047382245115488,-0.19368868764985933,-0.45345283413151655,30,0.04045793071174111,-0.0006781669314174602,-0.00010500364045319716,-0.8708282448053711,-0.0046733429894527485,-9.761075127441634e-09,-0.48180918880544765,0.0089088,-126.97697717999999,0.01,185,0.0,-0.07574824665799866,-0.014043645675219504,2974,-0.5,2.6041622428844374e-05,-0.024181768934847025,0.5064931124010663,27.07,-0.17963897857955294,-1.5832856624130422,-0.2536042126062884,0.0,0.9910912,-0.06863654250767406,0.64910912,0.0,0.0003,3.3929731845855713,9.691044449806213,0.02349028,0.011193607468158007,0.24688720703125,-6.506375789642334,-34.06170082092285,0.2,1.0005884170532227,33506
571392,-0.0005416071728584937,26.3824,-0.0036556710091829223,-1.012702692444438,-0.19532883101770798,-0.4553750320730077,31,0.039820462578989274,-0.0008599158415260414,-0.00010655799586856631,-0.8812082684901101,-0.004891591515534591,-7.777834642623294e-09,-0.48790284572107545,0.009216,-125.79423062,0.01,192,0.0,-0.0832387315041536,-0.01610060986053029,2975,-0.5,4.882809783642491e-05,-0.025557972893553566,0.5097823149285222,25.85,-0.18092226693007976,-1.587765724529577,-0.2537320924045805,0.0,0.990784,-0.07008683773096482,0.6490784,0.0,0.0003,2.0437238216400146,5.198849995930989,0.045681614,0.003481974359601736,0.24153645833333334,-12.338809967041016,-34.06619071960449,0.2,1.0009934902191162,33508
589824,-0.0005544940730496582,26.42848,-0.004730164337144333,-1.0137237705615048,-0.19611272879279584,-0.46076441277516955,32,0.03955957201626836,-0.0008685964825821833,-0.00010861941799488504,-0.873464078570026,-0.005051086304637934,-7.673799223034059e-09,-0.4882621635184863,0.0095232,-126.14659223000001,0.01,198,0.0,-0.08594414627972391,-0.016040077174903078,2976,-0.5,4.7743013257988627e-05,-0.025650841842755026,0.5193274155197732,26.26,-0.17742885836290948,-1.581819060999816,-0.25380851073819355,0.0,0.9904768,-0.06918445580036617,0.64904768,0.0,0.0003,2.252784013748169,5.62257194519043,0.049150188,0.00430296893630709,0.32216099330357145,-11.704935073852539,-34.06951468331473,0.2,1.0012474060058594,33510
608256,-0.0005719827836027303,26.47456,-0.005512180722097515,-1.020888128022614,-0.19106803527788507,-0.4612913872594919,33,0.04097065172933377,-0.0008349592875068387,-0.00011367315061280579,-0.8766788079410612,-0.005167500276977316,-8.380031010123464e-09,-0.4767600718756843,0.0098304,-124.83853198999999,0.01,204,0.0,-0.09558514675685953,-0.01830782226314519,2976,-0.5,5.099819908435974e-05,-0.028571166249736452,0.5231665453576391,24.91,-0.1783776306810351,-1.5888208896425555,-0.2536804786653743,0.0,0.9901696,-0.07313828482300905,0.64901696,0.0,0.0003,1.9884533882141113,5.825594186782837,0.040887583,0.004415309755131602,0.33837890625,-7.180812835693359,-34.07119131088257,0.2,1.0013940334320068,33512
626688,-0.0005912848339984992,26.52064,-0.006322663617488957,-1.0139090730854088,-0.19268003650998766,-0.4629361217557155,34,0.039504249575621306,-0.0007297076097327388,-0.00011777137713947062,-0.8809328443156459,-0.005317122773098194,-8.15712703198209e-09,-0.4782570210241842,0.0101376,-126.48915656,0.01,210,0.0,-0.07911599667330538,-0.014541897338792374,2977,-0.5,2.7126697306003836e-05,-0.02583241003646348,0.49607169512546523,26.54,-0.17695409503114765,-1.5759785701320816,-0.25351017633725287,0.0,0.9898624,-0.06853239615428129,0.64898624,0.0,0.0003,1.9564515352249146,5.68263308207194,0.04878819,0.006258918282886346,0.28125,-12.89682674407959,-34.06544303894043,0.2,1.0009427070617676,33514
645120,-0.0006088390318139208,26.56672,-0.007235125344406042,-1.017995713009678,-0.19442578800658492,-0.46397245351923594,35,0.0402286215709381,-0.0027929652957633757,-0.0001198234739249211,-0.8681721338757041,-0.005555698549880644,-8.080498441442977e-09,-0.480980920566597,0.0104448,-126.06762846000001,0.01,216,0.0,-0.087972609282835,-0.016652545548504472,2977,-0.5,0.0001106770230560667,-0.027637061311977112,0.4849440274715012,26.14,-0.17640771083287407,-1.5779080735479747,-0.2535359453957462,0.0,0.9895552,-0.07040968154613576,0.64895552,0.0,0.0003,1.8451073169708252,4.902249972025554,0.06496229,0.008787992876023054,0.3043212890625,-14.628951072692871,-34.06645266215006,0.2,1.0010424852371216,33516
