time/fps,reward_terms/overrun,curriculum/sprint_dist_m,time/time_elapsed,rollout/ep_len_mean,reward_terms/clearance,reward_terms/coef_rate,reward_terms/ang_xy,reward_terms/angmom,reward_terms/stance,curriculum/stance_ratio,curriculum/ctrl_jitter_ms,reward_terms/time,reward_terms/stop,reward_terms/assist_pen,rollout/ep_rew_mean,reward_terms/motor_vel,reward_terms/residual_rate,reward_terms/action_rate,reward_terms/foot_ahead,reward_terms/upright,reward_terms/stance_time,time/total_timesteps,reward_terms/foot_slip,reward_terms/air_time,reward_terms/residual,time/iterations,reward_terms/torque,reward_terms/step_rate,reward_terms/fwd_speed,reward_terms/height,reward_terms/vz,curriculum/ctrl_drop_prob,reward_terms/energy,curriculum/eff_scale,reward_terms/phase_contact,reward_terms/hip_roll,curriculum/ent_coef,reward_terms/alive,reward_terms/lat_vel,train/learning_rate,train/n_updates,train/clip_fraction,train/std,train/approx_kl,train/loss,train/policy_gradient_loss,train/value_loss,train/clip_range,train/explained_variance,train/entropy_loss
4214,0.0,25.2304,91,148.45,0.08311979319614511,-0.5260955612602665,-0.47024519221095484,-0.07579670149011772,-0.05276715768832291,0.64964672,0.0,-0.5,0.0,0.0,-136.04561956999999,-8.386729792419307e-06,0.0,-0.013305998158437056,0.0,-0.30035133280511117,0.0,387072,-0.4381921387973733,1.8988677766174078e-05,0.0,21,-0.00047745485700284747,0.0,-0.7219803314993648,-0.040486853118775236,-0.19615864934829177,0.0,-4.6649580415024616e-05,0.001536,-0.21284270822855442,-0.09970196510212517,0.01,0.0,-1.0391472514885837e-07,0.00029981568,16352,0.1413330078125,1.002004623413086,0.018292565,-0.05905091017484665,-0.017333674570545556,0.22165393829345703,0.2,0.0340266227722168,-11.357276105880738
4217,0.0,25.24192,96,157.36,0.08137002509242847,-0.4998461384246262,-0.46221159501255227,-0.06843326796189059,-0.03660669196889967,0.649629056,0.0,-0.5,0.0,0.0,-138.30114117000002,-8.976841933763704e-06,0.0,-0.012990418724801828,0.0,-0.3076588452960394,-1.41056047545539e-05,405504,-0.4571403008302483,1.62759970407933e-05,0.0,22,-0.0005023065100071664,0.0,-0.7369267117575172,-0.04167154207584334,-0.18965439396398387,0.0,-4.9650256433860766e-05,0.0016128,-0.21806608706699035,-0.09947661641467216,0.01,0.0,-9.116983628780667e-08,0.000299806464,16356,0.176318359375,1.002091646194458,0.021711176,-0.07664786279201508,-0.013991471799090504,0.23846255727112292,0.2,-0.12438178062438965,-11.359575223922729
4217,0.0,25.25344,100,149.61,0.08376203029237433,-0.5144603444135126,-0.4554431118800678,-0.07441150047401417,-0.05495412578310226,0.6496113920000001,0.0,-0.5,0.0,0.0,-136.34516688000002,-9.267924513035227e-06,0.0,-0.013152731972994375,0.0,-0.30909891145453294,-0.00010158889603594111,423936,-0.4281397211579189,2.2786378394812346e-05,0.0,23,-0.0005229533436998556,0.0,-0.7330659689769434,-0.041925351218078416,-0.1966158816927428,0.0,-5.1076143324860406e-05,0.0016896,-0.21409874574383406,-0.1027424326611523,0.01,0.0,-1.1084466755857723e-07,0.000299797248,16360,0.1843017578125,1.0011330842971802,0.01583807,0.023828983306884766,-0.008738913526758551,0.5387987554073334,0.2,0.11663144826889038,-11.355952882766724
4219,0.0,25.26496,104,155.68,0.08546647889479986,-0.516742494391916,-0.48564167847778417,-0.06608713072601158,-0.044130636721358495,0.649593728,0.0,-0.5,0.0,0.0,-137.92281937,-9.706445446184233e-06,0.0,-0.0132904457105815,0.0,-0.31486161972532334,-2.8482787052376403e-05,442368,-0.4383961493148633,5.588097459015747e-05,0.0,24,-0.000568934210076719,0.0,-0.71671028276716,-0.03938992918931214,-0.18990035265274896,0.0,-5.427440784446606e-05,0.0017664,-0.20974831193283222,-0.09829738291767431,0.01,0.0,-1.0281776476832718e-07,0.000299788032,16364,0.1412109375,1.0018290281295776,0.01735807,-0.07763723284006119,-0.015300286351703107,0.1742735654115677,0.2,0.020585715770721436,-11.357980537414551
4221,0.0,25.27648,109,147.9,0.0881537374050134,-0.4970651452163552,-0.48964359879393154,-0.08212485509262343,-0.047307762800073705,0.649576064,0.0,-0.5,0.0,0.0,-135.87510286,-1.0522118041111867e-05,0.0,-0.012843785132848819,0.0,-0.30613169505869614,0.0,460800,-0.4288160937138562,5.6423499093701444e-05,0.0,25,-0.0005817320411132374,0.0,-0.6892266518281047,-0.04121871594051562,-0.1993350621951331,0.0,-5.7608608982990807e-05,0.0018432,-0.21452068778467617,-0.0988484181897054,0.01,0.0,-9.977495353901379e-08,0.000299778816,16368,0.18111572265625,1.0018630027770996,0.022528648,-0.10777468979358673,-0.019995068991556765,0.10456377416849136,0.2,0.20091253519058228,-11.359349346160888
4223,0.0,25.288,113,148.19,0.08347928570165448,-0.5130650304624383,-0.4838405716229959,-0.0720422989774859,-0.03677549016345685,0.6495584,0.0,-0.5,0.0,0.0,-135.90991113,-1.0977703352555133e-05,0.0,-0.01346968414482753,0.0,-0.2938090016796853,0.0,479232,-0.44154671112039506,2.5499039717639487e-05,0.0,26,-0.0005970761138563788,0.0,-0.7234903531801964,-0.039315574371694785,-0.18748183799953128,0.0,-6.016277105808488e-05,0.00192,-0.22661417102446496,-0.08981232715478464,0.01,0.0,-9.58336137193233e-08,0.00029976959999999996,16372,0.20596923828125,1.0012695789337158,0.02279588,-0.0899658352136612,-0.01525532933883369,0.15792780444025994,0.2,0.47088533639907837,-11.355773401260375
4224,0.0,25.29952,117,150.75,0.08452374517594806,-0.5049557701447323,-0.47020606549734506,-0.07759805875182076,-0.05737933284359173,0.6495407360000001,0.0,-0.5,0.0,0.0,-136.64459974,-1.1370723127361636e-05,0.0,-0.012659075737294625,0.0,-0.30523490895518984,-1.3562061616943942e-07,497664,-0.4354264900592636,8.029506878099508e-05,0.0,27,-0.0006127510781223232,0.0,-0.745538405197893,-0.0406153963858653,-0.18938070215489428,0.0,-6.18721598548371e-05,0.0019968,-0.20599298905405275,-0.10060452722159005,0.01,0.0,-1.0081997356492213e-07,0.000299760384,16376,0.17921142578125,1.0014519691467285,0.015957689,-0.06657454371452332,-0.0065013051207643,0.2821905978024006,0.2,-0.10757052898406982,-11.355147743225098
4224,0.0,25.31104,122,158.76,0.08556161685124034,-0.48988742221113313,-0.46621371965232683,-0.07001560764535457,-0.05995154905902275,0.649523072,0.0,-0.5,0.0,0.0,-138.60907444999998,-1.185908190657831e-05,0.0,-0.012683052818656775,0.0,-0.3199458851004515,-0.00015299403781278266,516096,-0.4490458754848409,2.387143710317711e-05,0.0,28,-0.0006649268123434426,0.0,-0.7226956334355323,-0.04666880833090231,-0.2061423308347125,0.0,-6.46475562752737e-05,0.0020736,-0.21546830367012915,-0.10766602423481182,0.01,0.0,-1.0645223660000266e-07,0.000299751168,16380,0.18055419921875,1.0013830661773682,0.020049712,-0.08352161943912506,-0.014004592807032168,0.1682486616075039,0.2,-0.1430666446685791,-11.356649780273438
4225,0.0,25.32256,126,154.25,0.08338420630608441,-0.5025535882039232,-0.47674541508340934,-0.07058419974168426,-0.05565098999473496,0.649505408,0.0,-0.5,0.0,0.0,-137.45092296,-1.2273219699515963e-05,0.0,-0.013420322804066,0.0,-0.29328052053700143,0.0,534528,-0.4274819193101863,1.085049007087946e-06,0.0,29,-0.0006704912531218844,0.0,-0.751704246514064,-0.041114993580718066,-0.19493201698166476,0.0,-6.73099114419706e-05,0.0021504,-0.21128823760701315,-0.0948031313059699,0.01,0.0,-1.0959673343234916e-07,0.000299741952,16384,0.18638916015625,1.0017962455749512,0.023197798,-0.08395083248615265,-0.013255558232776821,0.1267898753285408,0.2,-0.20612943172454834,-11.357382822036744
4224,0.0,25.33408,130,153.93,0.08432710084714215,-0.48835031599058465,-0.46982348072452434,-0.07110646881246746,-0.06735023851067887,0.649487744,0.0,-0.5,0.0,0.0,-137.42145151,-1.2598185084375542e-05,0.0,-0.0129985831211668,0.0,-0.29469557936073776,-4.001143194424609e-05,552960,-0.4453850448511168,3.092442057095468e-05,0.0,30,-0.0007005656192217933,0.0,-0.7551468168478935,-0.03993458389266082,-0.18816696260981167,0.0,-6.980266529726551e-05,0.0022272,-0.22043723476873553,-0.09661324188753487,0.01,0.0,-9.499282586152177e-08,0.000299732736,16388,0.1918701171875,1.0009891986846924,0.023389269,-0.12744879722595215,-0.018573605350684374,0.061054368130862714,0.2,0.3723326325416565,-11.356218194961547
