reward_terms/coef_rate,reward_terms/foot_slip,rollout/ep_len_mean,time/time_elapsed,reward_terms/height,reward_terms/motor_vel,reward_terms/energy,reward_terms/residual,reward_terms/phase_contact,reward_terms/upright,curriculum/ent_coef,reward_terms/overrun,reward_terms/torque,reward_terms/action_rate,reward_terms/stance_time,reward_terms/vz,time/fps,reward_terms/foot_ahead,reward_terms/residual_rate,reward_terms/assist_pen,rollout/ep_rew_mean,curriculum/eff_scale,curriculum/sprint_dist_m,reward_terms/stance,reward_terms/lat_vel,curriculum/ctrl_jitter_ms,reward_terms/alive,curriculum/ctrl_drop_prob,reward_terms/fwd_speed,curriculum/stance_ratio,reward_terms/ang_xy,reward_terms/angmom,reward_terms/air_time,reward_terms/stop,reward_terms/step_rate,reward_terms/hip_roll,reward_terms/clearance,time/total_timesteps,time/iterations,reward_terms/time,train/loss,train/n_updates,train/clip_fraction,train/value_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/std,train/clip_range,train/entropy_loss,train/approx_kl
-0.13918603609511027,-0.4595114590893442,131.57,48,-0.026410361322327422,-9.500341266017218e-06,-4.067936664282237e-05,-0.10309635936924577,-0.1967005743067768,-0.5519990747318109,0.01,0.0,-0.00028256719171237374,-0.03572999592517094,-0.00014661927384117412,-0.18387069417488777,4198,0.0,0.0,0.0,-132.43129922000003,0.000768,25.1152,-0.02644192632637637,-7.50188623722774e-08,0.0,0.0,0.0,-0.8396603332181622,0.6498233600000001,-0.5301408575216952,-0.3736889997781127,0.0008127153527715968,0.0,0.0,-0.1307777085273275,0.08712263812505121,202752,11,-0.5,26.137266159057617,16234,0.0544921875,91.28010578155518,0.0002993856,0.7561672925949097,-0.006451759394258261,1.0007519721984863,0.2,-19.869490528106688,0.0072187474
-0.16010144614364777,-0.48140104198857325,131.38,52,-0.02622722683814423,-1.0152491047772187e-05,-4.40068573963953e-05,-0.1027842695638458,-0.19627292489758175,-0.4980739738844922,0.01,0.0,-0.00030613260480591556,-0.03736106943533459,0.0,-0.1738466535907905,4203,0.0,0.0,0.0,-132.42311039999998,0.0008448,25.12672,-0.030381801858067135,-7.472210557460327e-08,0.0,0.0,0.0,-0.7950123439214554,0.649805696,-0.534820823233614,-0.3624979431446864,0.000714516739309248,0.0,0.0,-0.13678956978116827,0.08156787058174692,221184,12,-0.5,20.762235641479492,16238,0.05477294921875,68.61986446380615,0.00029932415999999997,0.7563159465789795,-0.005427926848642528,1.0008682012557983,0.2,-19.870880603790283,0.007531029
-0.15654167329802926,-0.4734498751159445,145.12,56,-0.03008472108358547,-1.084956703235808e-05,-4.7973819445926163e-05,-0.10280535744120192,-0.19111783427141826,-0.5275754711676711,0.01,0.0,-0.00034493576759707134,-0.03806741014654031,0.0,-0.18078477466754075,4206,0.0,0.0,0.0,-135.81400453,0.0009216,25.13824,-0.026794818068070415,-8.223178008018952e-08,0.0,0.0,0.0,-0.8534074649483065,0.649788032,-0.5448669978682855,-0.3629399522063281,0.0006765393126342031,0.0,0.0,-0.12658854830517458,0.08790991269694359,239616,13,-0.5,19.075416564941406,16242,0.060498046875,62.990526008605954,0.00029926272,0.6734175682067871,-0.006261462974362075,1.0006866455078125,0.2,-19.869398021697997,0.0075458298
-0.16423435360472502,-0.47373704939387323,144.92,61,-0.030504861432446826,-1.1137792214219569e-05,-4.995874570028978e-05,-0.10242175947774007,-0.19394986021425697,-0.5230656075021132,0.01,0.0,-0.0003625996944573532,-0.03809036495982867,-0.00046278049477324303,-0.1707680227414742,4209,0.0,0.0,0.0,-135.76888947,0.0009984,25.14976,-0.04939066918875332,-7.683335949931272e-08,0.0,0.0,0.0,-0.8948667561706363,0.649770368,-0.5297225548234619,-0.34178338895786553,0.0006678587976946599,0.0,0.0,-0.14451039686719402,0.08181978610023373,258048,14,-0.5,18.11788558959961,16246,0.073193359375,65.61027164459229,0.00029920128,0.44775617122650146,-0.007593737542629242,1.000667929649353,0.2,-19.86854076385498,0.008770128
-0.20103709360131106,-0.47059482059797325,144.78,65,-0.030590560258492612,-1.176219295314162e-05,-5.432737502479007e-05,-0.10234103695115408,-0.17516951251661764,-0.4874348946306967,0.01,0.0,-0.0004087574032193021,-0.03878041631807419,-2.848226965094606e-06,-0.1852978814999336,4213,0.0,0.0,0.0,-135.70376831,0.0010752,25.16128,-0.055134153068267105,-7.457157222194894e-08,0.0,0.0,0.0,-0.8214364230221638,0.6497527040000001,-0.5409442028908971,-0.320187346430982,0.0005837660735576517,0.0,0.0,-0.14186549852260738,0.08225267342601872,276480,15,-0.5,13.287877082824707,16250,0.10867919921875,47.774632167816165,0.00029913984,0.4690455198287964,-0.008753938868176192,1.0009522438049316,0.2,-19.869684982299805,0.010801386
-0.2100826640705471,-0.464330215544731,148.24,69,-0.034873729388798055,-1.2209282280613937e-05,-5.777596520921122e-05,-0.10233640475573921,-0.17611071223066424,-0.4853467666073274,0.01,0.0,-0.0004512778833368192,-0.03914625475369415,-6.10346582511233e-05,-0.18149184823814493,4216,0.0,0.0,0.0,-136.61894977999998,0.001152,25.1728,-0.07921228483321396,-8.326012615424952e-08,0.0,0.0,0.0,-0.8545795062128094,0.64973504,-0.5369319949812954,-0.31587313902605385,0.0005436186135436097,0.0,0.0,-0.17058034189012247,0.08258508661403692,294912,16,-0.5,18.143795013427734,16254,0.18388671875,85.35346126556396,0.0002990784,0.12495231628417969,-0.0038934293726924805,1.0012261867523193,0.2,-19.872296047210693,0.010619683
-0.19336466609449998,-0.48381370895936904,141.76,74,-0.02982782247850329,-1.3393580711354583e-05,-6.194410863159322e-05,-0.10237560229896213,-0.17943506332620393,-0.506024587551151,0.01,0.0,-0.0004671832334144218,-0.039038275977757976,-2.1565475940911307e-05,-0.16326544243992863,4218,0.0,0.0,0.0,-135.01358062,0.0012288,25.18432,-0.039303448779611366,-7.796146380026666e-08,0.0,0.0,0.0,-0.8076177050563205,0.649717376,-0.5233026190361573,-0.2929926917432577,0.0004334841440949175,0.0,0.0,-0.14288694400545315,0.08108459324027914,313344,17,-0.5,13.74738597869873,16258,0.10120849609375,49.776677227020265,0.00029901696,0.09191650152206421,-0.011205898923799395,1.00139582157135,0.2,-19.874206733703613,0.010870112
-0.2003119317770654,-0.45569430080974943,143.14,78,-0.03235359049271592,-1.3499353221093595e-05,-6.316027606034404e-05,-0.10228771757733683,-0.17538670214432966,-0.4867658795817913,0.01,0.0,-0.0004953259844155811,-0.039327487549981714,-8.137625021239122e-07,-0.16014440230507507,4221,0.0,0.0,0.0,-135.35540759000003,0.0013056,25.19584,-0.08472808625632168,-8.713251572103229e-08,0.0,0.0,0.0,-0.7536782791575349,0.649699712,-0.537388780491652,-0.30418776626524147,0.0006108928258375576,0.0,0.0,-0.1728505771974054,0.0824338700697759,331776,18,-0.5,15.495330810546875,16262,0.14180908203125,59.016054725646974,0.00029895552,-0.004792213439941406,-0.005577668338082731,1.0013494491577148,0.2,-19.872342777252197,0.010271857
-0.2216448133277466,-0.4284815756430196,155.03,82,-0.028377943584304486,-1.4079200105448508e-05,-6.592575420758846e-05,-0.10221136641348585,-0.18948253095663017,-0.4722793420781907,0.01,0.0,-0.0005172746687132266,-0.04007277027043568,-0.0003411169228557911,-0.16043467354828847,4223,0.0,0.0,0.0,-138.28991855,0.0013824,25.20736,-0.09131051727436368,-6.869707193042729e-08,0.0,0.0,0.0,-0.7356463286078473,0.6496820480000001,-0.5249645585736515,-0.2703569956560734,0.0007850463637926927,0.0,0.0,-0.16961699944992314,0.08134504847758384,350208,19,-0.5,6.933570861816406,16266,0.14891357421875,26.85924973487854,0.00029889407999999997,0.018757224082946777,-0.012684247049037367,1.001991629600525,0.2,-19.877666473388672,0.014509654
-0.23267523502809512,-0.4131541420262771,153.14,87,-0.03746961474469046,-1.455626401222639e-05,-6.787231870461863e-05,-0.10228701788078404,-0.17909982512540373,-0.49038849528100553,0.01,0.0,-0.0005527280882257679,-0.03875886767082332,-2.4413133764432537e-06,-0.17336748107926445,4225,0.0,0.0,0.0,-137.79860835000002,0.0014592,25.21888,-0.12328308293705942,-7.310950807358624e-08,0.0,0.0,0.0,-0.7226416918855556,0.649664384,-0.5026333988342201,-0.2513892648303843,0.0007644300058018416,0.0,0.0,-0.1864505761714448,0.08482779215677587,368640,20,-0.5,8.574260711669922,16270,0.1990966796875,25.780924606323243,0.00029883264,-0.2394881248474121,-0.009474162611877546,1.0019598007202148,0.2,-19.877550888061524,0.015760073
-0.23428862187238694,-0.4124536726819495,146.01,91,-0.03748470177968722,-1.5085043876480217e-05,-7.23916646492014e-05,-0.102043259849196,-0.1771450168499752,-0.4774601390971431,0.01,0.0,-0.0005867256592891852,-0.03945030497729174,-6.605286681507196e-05,-0.1769751936647807,4227,0.0,0.0,0.0,-136.0461068,0.001536,25.2304,-0.10610049864095977,-7.235026612474815e-08,0.0,0.0,0.0,-0.6477149475879918,0.64964672,-0.48924398343994174,-0.223618800905007,0.0008512355658846597,0.0,0.0,-0.190775454963667,0.08208617855760203,387072,21,-0.5,8.689167022705078,16274,0.20615234375,45.9393666267395,0.0002987712,0.6595118045806885,-0.0062086005578748885,1.0019822120666504,0.2,-19.877982711791994,0.013935057
-0.23755632028391238,-0.40238317601771034,155.18,95,-0.03625905894193214,-1.6021797754339867e-05,-7.521695537199269e-05,-0.1023378067133469,-0.16901740611338162,-0.5070102292279531,0.01,0.0,-0.0005916327465859748,-0.03908754892524476,-1.7631585554530223e-06,-0.1752411332205649,4227,0.0,0.0,0.0,-138.29543861,0.0016128,25.24192,-0.13800932434264448,-7.957889279239005e-08,0.0,0.0,0.0,-0.6988291210755315,0.649629056,-0.5037595562115824,-0.2642180677808258,0.000629881590915223,0.0,0.0,-0.1978037234094551,0.08501171199160472,405504,22,-0.5,11.603678703308105,16278,0.134912109375,39.11104936599732,0.00029870976,0.5375221371650696,-0.010074040107429027,1.0023598670959473,0.2,-19.87876377105713,0.012908688
-0.22002389581662718,-0.41128377693206214,153.69,100,-0.030502289540085825,-1.7464388192038062e-05,-8.195770515897485e-05,-0.10217089998893783,-0.17854843676870175,-0.4665959180092666,0.01,0.0,-0.0006362269511709016,-0.039539776288852566,-1.1392985470592976e-05,-0.17120348378765884,4228,0.0,0.0,0.0,-137.95609613,0.0016896,25.25344,-0.08489933353785083,-9.139249343480818e-08,0.0,0.0,0.0,-0.7655721946394187,0.6496113920000001,-0.5017839049125289,-0.2676785234596169,0.0006521254383389734,0.0,0.0,-0.1629610679439331,0.08058902281903219,423936,23,-0.5,11.723274230957031,16282,0.159423828125,57.24319000244141,0.00029864831999999996,0.5749439597129822,-0.007373294490389526,1.0020283460617065,0.2,-19.87981958389282,0.012971709
-0.2298728413971364,-0.4119428385666441,158.95,104,-0.036991890720636224,-1.7487059967044534e-05,-8.386304964882991e-05,-0.10198694122173423,-0.20689726356252586,-0.4743615025669302,0.01,0.0,-0.0007120498597403384,-0.03949908473938812,-0.0013580956308740294,-0.17970539887557366,4230,0.0,0.0,0.0,-139.22818295000002,0.0017664,25.26496,-0.11855660590028566,-6.540274372690091e-08,0.0,0.0,0.0,-0.6653917265301348,0.649593728,-0.5016063082626756,-0.21150432622515813,0.0008181409664555556,0.0,0.0,-0.1903584506820597,0.08135987106970105,442368,24,-0.5,11.2033109664917,16286,0.15606689453125,35.14454908370972,0.00029858688,0.6843159198760986,-0.00944910601247102,1.0018532276153564,0.2,-19.876447677612305,0.015100846
-0.22724434099666668,-0.42764892645070235,148.12,108,-0.03198051755540598,-2.0532370654297147e-05,-9.509492130117898e-05,-0.10217872952258727,-0.19095442747538097,-0.4780682249949547,0.01,0.0,-0.0007456104445690856,-0.03982518889902062,-0.00020887495742903816,-0.16689746125358002,4231,0.0,0.0,0.0,-136.59538372,0.0018432,25.27648,-0.06934800754445401,-8.202351696319302e-08,0.0,0.0,0.0,-0.7412845570587538,0.649576064,-0.5147561248522853,-0.2415046366867863,0.0007752808192486151,0.0,0.0,-0.1483109529047527,0.08297332479710368,460800,25,-0.5,9.287567138671875,16290,0.1416259765625,40.89170055389404,0.00029852544,0.5495024919509888,-0.010528226266615093,1.0020756721496582,0.2,-19.87768688201904,0.012428677
-0.22775590164649348,-0.4107337718253198,156.44,113,-0.034160580998366524,-1.9144870603321485e-05,-9.075096439043804e-05,-0.10177613543547886,-0.17624732879051688,-0.4912939446221891,0.01,0.0,-0.0007454746025165207,-0.04089559721948474,-0.00013793853253850507,-0.180333710399513,4232,0.0,0.0,0.0,-138.64848152,0.00192,25.288,-0.08133750006789336,-7.106433391307821e-08,0.0,0.0,0.0,-0.7458375883458414,0.6495584,-0.5058740266799558,-0.23941130107767242,0.0004909929864677704,0.0,0.0,-0.1571601922925476,0.08228222605587353,479232,26,-0.5,10.139322280883789,16294,0.14940185546875,36.682944774627686,0.00029846399999999997,-0.1405402421951294,-0.01102894275682047,1.002297282218933,0.2,-19.88032112121582,0.014133704
-0.23373607140695554,-0.43170445698233145,150.25,117,-0.029990889560041836,-2.165196792096917e-05,-0.00010010161905105871,-0.10215907650691125,-0.20017116089852782,-0.4681645090831468,0.01,0.0,-0.0007668968474256355,-0.03961735279427728,-0.00011705062934197485,-0.1577097515189118,4233,0.0,0.0,0.0,-137.11404854000003,0.0019968,25.29952,-0.06634522874153971,-8.50170199625e-08,0.0,0.0,0.0,-0.7667074251873096,0.6495407360000001,-0.5037203530528923,-0.26396578619631694,0.0006467002030048105,0.0,0.0,-0.14982329027103003,0.0775945667143067,497664,27,-0.5,5.641192436218262,16298,0.1825927734375,20.218541383743286,0.00029840256,-0.12178146839141846,-0.015570752322673798,1.0040712356567383,0.2,-19.88780584335327,0.018500846
-0.2423892752023421,-0.424179098835224,155.24,123,-0.033783912005028824,-2.1807831926082195e-05,-0.00010150745720482099,-0.10158996803137935,-0.18769276648238262,-0.4605471123844375,0.01,0.0,-0.0008135609652896005,-0.041260914226954076,-0.00023206825588001974,-0.17397980610615185,4189,0.0,0.0,0.0,-138.33112135,0.0020736,25.31104,-0.10514189658050016,-8.112922121209717e-08,0.0,0.0,0.0,-0.7452664778384793,0.649523072,-0.507178623428696,-0.24512831560650772,0.0007655152100293586,0.0,0.0,-0.16956605967420718,0.08240927359693648,516096,28,-0.5,6.228273391723633,16302,0.2373291015625,21.408532238006593,0.00029834112,0.2270880937576294,-0.010411320417188109,1.0036230087280273,0.2,-19.89141492843628,0.01806153
-0.2423115969344304,-0.3900756227660481,143.31,127,-0.02971451654842737,-2.2629574543892042e-05,-0.00010471621224493211,-0.10197025971273496,-0.17513029428933127,-0.5185387411198802,0.01,0.0,-0.000821495201016645,-0.04001080551315142,0.0,-0.18070605800847953,4191,0.0,0.0,0.0,-135.39717679,0.0021504,25.32256,-0.07816079155977314,-7.107225025644719e-08,0.0,0.0,0.0,-0.6667079404738853,0.649505408,-0.5180665498329966,-0.2745515544719777,0.0005083541424634556,0.0,0.0,-0.1489111350746187,0.08496404735656496,534528,29,-0.5,5.324637413024902,16306,0.1969482421875,15.159841346740723,0.00029827968,-0.827027440071106,-0.011545894388109445,1.0034312009811401,0.2,-19.886898231506347,0.017117258
-0.22269824495248944,-0.42064679542460426,159.61,131,-0.034120316316879146,-2.5223736407167683e-05,-0.0001158007206436874,-0.10237983552130782,-0.18594971582479874,-0.4756917478479115,0.01,0.0,-0.0008758206348233441,-0.04002560487836015,-7.161410111520026e-05,-0.19049830209819374,4193,0.0,0.0,0.0,-139.37714086,0.0022272,25.33408,-0.06567864806572894,-7.840464819241596e-08,0.0,0.0,0.0,-0.783548854087247,0.649487744,-0.49031406092442203,-0.263773272060555,0.0006895603728480637,0.0,0.0,-0.14144112118920815,0.08544265785149835,552960,30,-0.5,4.150903224945068,16310,0.2212646484375,13.456188631057739,0.00029821823999999996,-0.13452565670013428,-0.013705638039391487,1.0033421516418457,0.2,-19.886574077606202,0.021577936
-0.23657990611407534,-0.38678313434361106,144.34,136,-0.030480981906237777,-2.4728614560864913e-05,-0.00011540419968744363,-0.10142776991451877,-0.16470531668800173,-0.48398025270907863,0.01,0.0,-0.0009331014324853539,-0.040958894433323484,-7.5952977769904665e-06,-0.17814415525219288,4195,0.0,0.0,0.0,-135.61138342,0.002304,25.3456,-0.08179733211573972,-6.960258541620185e-08,0.0,0.0,0.0,-0.619417523997395,0.6494700800000001,-0.49684886232935604,-0.24811060626268708,0.0006629762388507111,0.0,0.0,-0.15940308181704924,0.08604035904504244,571392,31,-0.5,11.791349411010742,16314,0.2762939453125,44.989263248443606,0.0002981568,0.551325261592865,-0.0033409734372980894,1.0023391246795654,0.2,-19.88130102157593,0.015460561
-0.22381207903497882,-0.3923262547987164,154.03,140,-0.03527836216934349,-2.7024310447144016e-05,-0.00012636695180265274,-0.10231861334721545,-0.17060519271905525,-0.48222582252209534,0.01,0.0,-0.0010182769250937297,-0.03924874784895763,-4.760704016209477e-05,-0.17558257293154067,4198,0.0,0.0,0.0,-138.01925403999996,0.0023808,25.35712,-0.0831681253671789,-7.631273010004293e-08,0.0,0.0,0.0,-0.6539322791046885,0.649452416,-0.5288280055176287,-0.2582867938315347,0.0007633449858985841,0.0,0.0,-0.16600070256440538,0.08612488496094493,589824,32,-0.5,7.473769664764404,16318,0.14124755859375,38.61074256896973,0.00029809536,0.7263635396957397,-0.0063356846920214595,1.0014269351959229,0.2,-19.87507963180542,0.010331019
-0.2313831457084359,-0.38533182504561847,153.36,144,-0.033199648036638774,-2.8249345120302135e-05,-0.00012853503219261553,-0.10188302469428973,-0.1709694944529792,-0.4954338001079115,0.01,0.0,-0.0010183954785603368,-0.04035198494082458,-0.0018732319100915145,-0.18070888287376624,4200,0.0,0.0,0.0,-137.86397289,0.0024576,25.36864,-0.04464879316242422,-7.68873553857717e-08,0.0,0.0,0.0,-0.715454867211706,0.649434752,-0.533858522678949,-0.2693138072495096,0.0004318567161034379,0.0,0.0,-0.14619205068237714,0.08452802609452859,608256,33,-0.5,7.748489856719971,16322,0.10870361328125,32.90510177612305,0.00029803391999999997,0.12158060073852539,-0.01177922491915524,1.0018033981323242,0.2,-19.87459316253662,0.010088248
-0.2197597064280105,-0.39992170326341797,142.02,149,-0.028755173524557236,-2.7777219162694637e-05,-0.0001295722953940549,-0.10179843656913602,-0.16451240143981138,-0.4580064661019201,0.01,0.0,-0.0010231198432341304,-0.040835092595363574,-8.0701523175877e-05,-0.17230984893521978,4202,0.0,0.0,0.0,-135.05411969,0.0025344,25.38016,-0.05977418431087506,-7.492033970278916e-08,0.0,0.0,0.0,-0.6689429673645627,0.649417088,-0.5013758770728772,-0.25243484198505306,0.0005056413259201994,0.0,0.0,-0.13860574925842198,0.08640704002637617,626688,34,-0.5,8.124204635620117,16326,0.15343017578125,33.235413646698,0.00029797248,0.40779411792755127,-0.009407585288863629,1.0021252632141113,0.2,-19.878964519500734,0.013924675
