reward_terms/fwd_speed,reward_terms/duty_sym,reward_terms/assist_pen,time/fps,curriculum/dr_scale,curriculum/stance_ratio,reward_terms/overrun,reward_terms/torque,reward_terms/phase_contact,time/total_timesteps,reward_terms/action_rate,ankle/ankle_defl_peak,curriculum/ctrl_jitter_ms,reward_terms/foot_slip,curriculum/ent_coef,reward_terms/energy,rollout/ep_rew_mean,curriculum/eff_scale,reward_terms/time,reward_terms/clearance,ankle/ankle_spring_trq_peak,reward_terms/foot_ahead,reward_terms/residual_rate,ankle/ankle_spring_energy_peak,reward_terms/ang_xy,curriculum/swing_frac_mean,reward_terms/stand_drift,reward_terms/step_rate,reward_terms/upright,reward_terms/height,reward_terms/stance,curriculum/cmd_scale,time/iterations,curriculum/ctrl_drop_prob,reward_terms/residual,curriculum/cmd_track_err,reward_terms/track_yaw,reward_terms/vz,reward_terms/stop,est/vel_rmse,reward_terms/angmom,reward_terms/lat_vel,time/time_elapsed,reward_terms/coef_rate,reward_terms/hip_roll,reward_terms/stance_time,reward_terms/air_time,rollout/ep_len_mean,reward_terms/alive,reward_terms/track_lin,reward_terms/motor_vel,reward_terms/stand,curriculum/swing_frac_min,train/value_loss,train/n_updates,train/std,train/loss,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/clip_range,curriculum/dr_scale_progress,curriculum/ctrl_jitter_ms_progress,curriculum/eff_scale_progress,curriculum/stance_ratio_progress,curriculum/ctrl_drop_prob_progress
0.0,-9.349798819983471e-07,0.0,5912,0.2601215999999976,0.6930634239999999,0.0,-0.006873460748518823,0.0,29896704,-0.06086910928858934,0.5074576253264986,1.0404863999999905,-0.37738552303090445,0.0040390912,-0.000364227020111989,115.11928405,0.03034752000000036,0.0,0.0,0.0,0.0,0.0,0.0,-0.13281562582496234,0.175537109375,-0.08039229881596499,-0.005761718750000052,-0.19362247758135023,-0.025617335417990505,-0.10827176402674471,0.0,1622,0.013006079999999882,-0.1056857171814818,0.3603991012400678,0.6415492166117738,-0.09264683034117548,0.0,0.17442143906290494,-0.09289331969823501,-0.18496890060822002,5056,-0.3417881584077745,-0.09737213446020418,0.0,0.0,377.11,0.0,2.2641315339857395,-4.629405325734995e-05,0.8452738048424728,0.1506076388888889,221.45795974731445,79976,0.9997985363006592,80.47403717041016,0.00022530431999999998,-36.87838001251221,-0.0150912135373801,0.9785241484642029,0.14366455078125,0.012931198,0.2,0.2601215999999976,0.2601215999999976,0.08670720000000104,0.08670720000000104,0.2601215999999976
0.0,0.0,0.0,5912,0.2601215999999976,0.6930634239999999,0.0,-0.006907506674514156,0.0,29915136,-0.06049401436049753,0.5059854123966016,1.0404863999999905,-0.3534826103893744,0.0040354048000000005,-0.00037692272753286253,151.94726898999997,0.03034752000000036,0.0,0.0,0.0,0.0,0.0,0.0,-0.13926802445641642,0.1798773871527778,-0.0741707458889995,-0.005848524305555609,-0.2056667502754036,-0.025079110783382208,-0.1502554302166501,0.0,1623,0.013006079999999882,-0.10569300265652833,0.2975150711551826,0.7158326837930532,-0.10098367779239686,0.0,0.18252209110005888,-0.09728520247358331,-0.2082118136192239,5059,-0.343863062505992,-0.10310491076423171,0.0,0.0,388.91,0.0,2.339595715539463,-4.9323534157921266e-05,0.902732525074287,0.15266927083333334,225.43336563110353,79980,0.9996534585952759,85.27721405029297,0.00022525824,-36.878664588928224,-0.018068917095661163,0.975777268409729,0.14339599609375,0.01370818,0.2,0.2601215999999976,0.2601215999999976,0.08670720000000104,0.08670720000000104,0.2601215999999976
0.0,0.0,0.0,5912,0.2601215999999976,0.6930634239999999,0.0,-0.006656020842622039,0.0,29933568,-0.0628515515818269,0.5066917673578593,1.0404863999999905,-0.40150273571856415,0.0040317184,-0.0003880010224492158,170.43739225000002,0.03034752000000036,0.0,0.0,0.0,0.0,0.0,0.0,-0.14589135789018212,0.18701171875,-0.09817915737421586,-0.006011284722222277,-0.23318764818381624,-0.02848787929056918,-0.14382071473540087,0.0,1624,0.013006079999999882,-0.10531410425219873,0.22743110646693201,0.6453965318632352,-0.11317304410781394,0.0,0.17467316949168304,-0.10846464310033999,-0.255549565996959,5062,-0.34655573538431633,-0.11595794927380826,0.0,0.0,396.26,0.0,2.2456797073923016,-5.040405393638305e-05,0.7463836066458213,0.15999348958333334,270.61672058105466,79984,0.9994814991950989,108.10149383544922,0.00022521215999999998,-36.876298141479495,-0.015905923361424358,0.9730865359306335,0.143603515625,0.013126671,0.2,0.2601215999999976,0.2601215999999976,0.08670720000000104,0.08670720000000104,0.2601215999999976
0.0,0.0,0.0,5912,0.2601215999999976,0.6930634239999999,0.0,-0.006965688701801759,0.0,29952000,-0.0642782303505277,0.5071462054172228,1.0404863999999905,-0.3705600959195199,0.004028032,-0.00039378667557091727,148.53232064,0.03034752000000036,0.0,0.0,0.0,0.0,0.0,0.0,-0.14209068740018346,0.17496744791666669,-0.06103064365185484,-0.005902777777777832,-0.20903468245787668,-0.02443438313528096,-0.1282193571449169,0.0,1625,0.013006079999999882,-0.10470161130000202,0.23350979641351505,0.7167652969924543,-0.0895550614584554,0.0,0.16880732617823122,-0.08898833446830431,-0.21859502567203812,5065,-0.35072669032665094,-0.09781035544809227,0.0,0.0,385.77,0.0,2.4450747345058317,-5.105115613398129e-05,0.9076253222598203,0.1615668402777778,225.47400665283203,79988,0.9996596574783325,70.58514404296875,0.00022516608,-36.876769828796384,-0.017075891431886703,0.9728021621704102,0.14005126953125,0.014180565,0.2,0.2601215999999976,0.2601215999999976,0.08670720000000104,0.08670720000000104,0.2601215999999976
0.0,0.0,0.0,5912,0.2601215999999976,0.6930634239999999,0.0,-0.007442744057001173,0.0,29970432,-0.06237451802858571,0.5059104035954232,1.0404863999999905,-0.38244030592426603,0.0040243456000000006,-0.0003954380314830238,131.81697223,0.03034752000000036,0.0,0.0,0.0,0.0,0.0,0.0,-0.14306006332433985,0.16886393229166669,-0.06918118559200781,-0.006011284722222277,-0.2363503361800201,-0.028328617185128288,-0.15445634598979785,0.0,1626,0.013006079999999882,-0.1052476464417898,0.4467777026376978,0.6517023708937283,-0.10079543520713548,0.0,0.17373277427854683,-0.09263445375271548,-0.26767814187444766,5068,-0.3605829064553603,-0.09896433984955616,0.0,0.0,364.77,0.0,2.2721059627864784,-5.0292711701090116e-05,0.826517578600114,0.1403537326388889,250.5540412902832,79992,0.999729573726654,87.72671508789062,0.00022511999999999999,-36.88003158569336,-0.013351977325510234,0.973699152469635,0.1138427734375,0.01192219,0.2,0.2601215999999976,0.2601215999999976,0.08670720000000104,0.08670720000000104,0.2601215999999976
0.0,0.0,0.0,5912,0.2601215999999976,0.6930634239999999,0.0,-0.007434045147925,0.0,29988864,-0.061170690406655,0.5064048993603462,1.0404863999999905,-0.3608863395198656,0.0040206592,-0.0003852601368775534,128.86979104999998,0.03034752000000036,0.0,0.0,0.0,0.0,0.0,0.0,-0.13934275910956936,0.16837565104166666,-0.084362359736943,-0.005989583333333388,-0.19713913538112893,-0.026310846341504587,-0.12371341867377922,0.0,1627,0.013006079999999882,-0.10586251005330978,0.375446724195895,0.6737673576108688,-0.09293910013706862,0.0,0.15400197421587333,-0.08809736973133298,-0.1905479700961982,5071,-0.35530670643635015,-0.10007553782293349,0.0,0.0,359.3,0.0,2.4522669462097095,-4.834553117945531e-05,0.9561768141737852,0.1184353298611111,199.87219619750977,79996,0.9997885227203369,69.03463745117188,0.00022507391999999996,-36.88093719482422,-0.017640283051878213,0.9777295589447021,0.137646484375,0.013876948,0.2,0.2601215999999976,0.2601215999999976,0.08670720000000104,0.08670720000000104,0.2601215999999976
0.0,0.0,0.0,5911,0.2601215999999976,0.6930634239999999,0.0,-0.007182614537728584,0.0,30007296,-0.0637426305636093,0.5075237911029193,1.0404863999999905,-0.3978809609132799,0.0040169728,-0.00039306227743932505,144.50222988000002,0.03034752000000036,0.0,0.0,0.0,0.0,0.0,0.0,-0.14309912469018815,0.1808539496527778,-0.08372516788173874,-0.006054687500000056,-0.21913078176941034,-0.025959872502218866,-0.1162240853858781,0.0,1628,0.013006079999999882,-0.10520144686328124,0.2875347979799342,0.6483778711385924,-0.09757646974395845,0.0,0.17730460764262707,-0.08242578227384666,-0.24116872604952347,5075,-0.34369492575882615,-0.11279549211703749,0.0,0.0,387.45,0.0,2.3569722394840156,-4.963774612334076e-05,0.8495468374057171,0.14420572916666666,266.17078018188477,80000,0.9998639225959778,103.86450958251953,0.00022502784,-36.88190116882324,-0.01503066865261644,0.9702593088150024,0.1196044921875,0.013745254,0.2,0.2601215999999976,0.2601215999999976,0.08670720000000104,0.08670720000000104,0.2601215999999976
0.0,0.0,0.0,5911,0.2601215999999976,0.6930634239999999,0.0,-0.0070532957913984045,0.0,30025728,-0.060722121790530985,0.507486789329021,1.0404863999999905,-0.3527090567817121,0.004013286400000001,-0.00038334314272102886,173.58347503000002,0.03034752000000036,0.0,0.0,0.0,0.0,0.0,0.0,-0.13984647988659304,0.1824273003472222,-0.0844914721316354,-0.005815972222222274,-0.1858258823658957,-0.02293172841295978,-0.1101487593448117,0.0,1629,0.013006079999999882,-0.10575599553813991,0.342653203860123,0.6685049618942162,-0.08934866259768329,0.0,0.1738592666419254,-0.09539337198678971,-0.16307223587717334,5078,-0.33720178069569917,-0.11497271755318805,0.0,0.0,417.85,0.0,2.30900247636631,-4.792340109915288e-05,0.9663000435359659,0.1396484375,227.54379119873047,80004,0.9998449683189392,83.52908325195312,0.00022498176000000002,-36.882546043396,-0.01768882990581915,0.9750542640686035,0.13360595703125,0.013730009,0.2,0.2601215999999976,0.2601215999999976,0.08670720000000104,0.08670720000000104,0.2601215999999976
0.0,0.0,0.0,5912,0.26035199999999764,0.6930572799999999,0.0,-0.007302361133852716,0.0,30044160,-0.061401614214356255,0.5068295362905467,1.0414079999999906,-0.3971350610019018,0.0040096,-0.00038698720442505033,171.12771181,0.030374400000000364,0.0,0.0,0.0,0.0,0.0,0.0,-0.13849056996785006,0.1810980902777778,-0.09780604195086108,-0.0057617187500000515,-0.22362025781225098,-0.026469469551351682,-0.2047323553593966,0.0,1630,0.013017599999999883,-0.10570090094128612,0.3548668310144348,0.6545234308137586,-0.10026936153670037,0.0,0.18061637248979817,-0.08879581084497196,-0.2535158659260608,5081,-0.3565347773575976,-0.12146272647043631,0.0,0.0,405.47,0.0,2.2700983636421945,-4.779256209209557e-05,0.7729587215048501,0.11957465277777778,216.01979446411133,80008,0.9995648264884949,80.55583190917969,0.00022493568,-36.880088806152344,-0.01692222317215055,0.978099524974823,0.1302001953125,0.013082934,0.2,0.26035199999999764,0.26035199999999764,0.08678400000000104,0.08678400000000104,0.26035199999999764
0.0,-0.0001249230128026766,0.0,5912,0.26058239999999766,0.6930511359999999,0.0,-0.007008012530550651,0.0,30062592,-0.060906239567708895,0.5044066564077712,1.0423295999999906,-0.349509397252695,0.004005913600000001,-0.00037907456048111434,165.63547123,0.030401280000000364,0.0,0.0,0.0,0.0,0.0,0.0,-0.13454050575636817,0.18465169270833331,-0.07935270979235373,-0.005740017361111164,-0.21788298897449018,-0.025383647483839478,-0.13268555685579067,0.0,1631,0.013029119999999884,-0.10564788408075926,0.20094720748803627,0.6761705263776823,-0.09651256382764327,0.0,0.17423676025629867,-0.08482303778261269,-0.20266850672396095,5084,-0.3356730360516103,-0.09428746073908885,0.0,0.0,414.11,0.0,2.307458951565783,-4.858114069810408e-05,0.8959154346359449,0.1491970486111111,245.48916625976562,80012,0.9996251463890076,100.91091918945312,0.00022488959999999997,-36.877309799194336,-0.015927558299154043,0.9723552465438843,0.1278564453125,0.013594198,0.2,0.26058239999999766,0.26058239999999766,0.08686080000000104,0.08686080000000104,0.26058239999999766
0.0,0.0,0.0,5912,0.2608127999999977,0.6930449919999999,0.0,-0.007011423668311046,0.0,30081024,-0.06363208848616017,0.5049580414776351,1.0432511999999907,-0.41123487977857265,0.0040022272,-0.00039158946081277045,155.19740917000001,0.030428160000000364,0.0,0.0,0.0,0.0,0.0,0.0,-0.14699692586137336,0.17643229166666669,-0.09702537363774234,-0.006054687500000056,-0.23632891942067447,-0.02923821782463805,-0.21061125396736596,0.0,1632,0.013040639999999885,-0.10510074359786511,0.36073961502308144,0.6619044008265926,-0.11049942312393088,0.0,0.1784701366607815,-0.09772377062215985,-0.2763542035258812,5087,-0.36880040463934155,-0.09968023298036408,0.0,0.0,418.7,0.0,2.1919883948620864,-5.129671268301008e-05,0.7874457424845969,0.15266927083333334,226.14281616210937,80016,0.9998347163200378,82.8006591796875,0.00022484352,-36.880598831176755,-0.016955245716962962,0.9755551218986511,0.120068359375,0.013749363,0.2,0.2608127999999977,0.2608127999999977,0.08693760000000104,0.08693760000000104,0.2608127999999977
0.0,0.0,0.0,5912,0.2610431999999977,0.6930388479999999,0.0,-0.007059312883112914,0.0,30099456,-0.06220557972405879,0.5072311980068356,1.0441727999999908,-0.35566674261381437,0.0039985407999999995,-0.0003824712549679908,149.09297174999998,0.030455040000000363,0.0,0.0,0.0,0.0,0.0,0.0,-0.145238192024021,0.1848687065972222,-0.07858660212802962,-0.005902777777777831,-0.21410225164072308,-0.025423878662580238,-0.13403843905239,0.0,1633,0.013052159999999886,-0.10584508787403664,0.3047961563033686,0.6848640116629423,-0.09418701193121252,0.0,0.16977950961426702,-0.0926557689163188,-0.2094119216245709,5090,-0.3534870866400951,-0.09791649397419529,0.0,0.0,411.76,0.0,2.3978272899120596,-4.8587333496645244e-05,1.003705247806533,0.15185546875,175.17411117553712,80020,0.9997822642326355,67.9013900756836,0.00022479743999999997,-36.88154354095459,-0.017687442724127322,0.9825296401977539,0.14508056640625,0.015048495,0.2,0.2610431999999977,0.2610431999999977,0.08701440000000105,0.08701440000000105,0.2610431999999977
