reward_terms/assist_pen,reward_terms/angmom,reward_terms/air_time,time/time_elapsed,reward_terms/action_rate,reward_terms/stop,reward_terms/phase_contact,rollout/ep_len_mean,reward_terms/stance_time,reward_terms/step_rate,reward_terms/overrun,reward_terms/fwd_speed,reward_terms/lat_vel,reward_terms/foot_ahead,reward_terms/residual,reward_terms/height,curriculum/stance_ratio,curriculum/ctrl_drop_prob,reward_terms/alive,time/total_timesteps,reward_terms/torque,reward_terms/motor_vel,curriculum/ent_coef,curriculum/eff_scale,time/fps,reward_terms/ang_xy,curriculum/ctrl_jitter_ms,reward_terms/energy,curriculum/sprint_dist_m,reward_terms/clearance,reward_terms/upright,reward_terms/residual_rate,time/iterations,reward_terms/vz,reward_terms/time,reward_terms/hip_roll,reward_terms/coef_rate,rollout/ep_rew_mean,reward_terms/stance,reward_terms/foot_slip,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/std,train/entropy_loss,train/approx_kl,train/n_updates,train/clip_range,train/loss,train/learning_rate,train/value_loss
0.0,-0.09056199055608449,0.00030490368953906,4641,-0.01928293353763167,0.0,-0.29144410950599925,317.97,-0.016077952409331273,0.0,0.0,0.9011057923424384,-0.05689454525039201,0.0,-0.1117041501489094,-0.061611958545171465,0.501057152,0.0,0.0,19445760,-0.10459614472677704,-0.002631316487814199,0.01,0.6475776,4189,-0.21923500275304245,0.0,-0.014619611959439956,97.85248,0.0638752057190311,-0.18426250110961,0.0,1055,-0.25437973767945543,-0.5,-0.02646563899232844,-0.06765016984228583,-120.80019188000001,-0.005402819602981952,-0.2841310567390616,0.9993801712989807,0.196875,-0.017526978335808963,0.9679220914840698,-19.232509899139405,0.022629293,68381,0.2,-0.18655318021774292,0.00023524224,0.09897937327623367
0.0,-0.0926340443712605,0.00034559368699168164,4645,-0.01962623479121161,0.0,-0.2935622445264492,316.56,-0.01616719700460736,0.0,0.0,0.9024397124824299,-0.05911994909295896,0.0,-0.11175206025127506,-0.06293605148880071,0.50091584,0.0,0.0,19464192,-0.10514120892058461,-0.0027514642874258786,0.01,0.648192,4189,-0.2243946042415263,0.0,-0.015068140776819098,97.9216,0.06451378018335702,-0.1891531529239633,0.0,1056,-0.261575782146348,-0.5,-0.028097526128073456,-0.06692524024508731,-121.35641743000001,-0.005551962231622174,-0.29382506142996945,0.9992275834083557,0.2271484375,-0.016569820838049053,0.9678353071212769,-19.233473110198975,0.025143817,68385,0.2,-0.17527738213539124,0.00023518079999999998,0.1161598764359951
0.0,-0.0918143656279315,0.00031195662450045347,4650,-0.019259531754114947,0.0,-0.29422396574266313,315.08,-0.01619337666973782,0.0,0.0,0.896392834014627,-0.05684560476875417,0.0,-0.11166109610722602,-0.0619403425590637,0.500774528,0.0,0.0,19482624,-0.10425629432579357,-0.0026519639908454953,0.01,0.6488064,4189,-0.2174271044369569,0.0,-0.014645603885729726,97.99072,0.0615540899720437,-0.18527845434001056,0.0,1057,-0.2563194660797871,-0.5,-0.02509738363685813,-0.068724504572591,-120.82027244000001,-0.003473729209384442,-0.2864729986287004,0.9947072863578796,0.179541015625,-0.007793152483645827,0.9672650098800659,-19.228389263153076,0.02245233,68389,0.2,-0.04129651188850403,0.00023511935999999997,0.6164090976119041
0.0,-0.08969590630099124,0.0003423384817627569,4655,-0.019565807840363745,0.0,-0.2981664974392448,319.18,-0.01542134993037002,0.0,0.0,0.8741830385201441,-0.05331821710528571,0.0,-0.11176305443160864,-0.06063591818643626,0.500633216,0.0,0.0,19501056,-0.10266775495599523,-0.00271554957449357,0.01,0.6494208,4188,-0.2196033752921625,0.0,-0.014788879830506372,98.05984,0.06470329845779893,-0.18222871940130417,0.0,1058,-0.2524688260602095,-0.5,-0.026883108738387573,-0.06760378077089893,-120.84223174999997,-0.004476554759791137,-0.284103935357552,0.9988553524017334,0.13709716796875,-0.014593501394847408,0.9678505659103394,-19.231891632080078,0.018358046,68393,0.2,-0.18280868232250214,0.00023505792,0.1292202528566122
0.0,-0.09202268214427761,0.0003298602144544323,4660,-0.0197935333657219,0.0,-0.28971884111765916,317.02,-0.014689608808516318,0.0,0.0,0.8937282024463526,-0.05672692628169759,0.0,-0.11179118504818268,-0.06178293192439807,0.500491904,0.0,0.0,19519488,-0.10611960412312273,-0.0027198918493885373,0.01,0.6500352,4188,-0.22199075233184706,0.0,-0.014977115106069852,98.12896,0.06229239657745235,-0.1846847980471114,0.0,1059,-0.2563400890370393,-0.5,-0.026719409123791164,-0.07219167431891726,-121.19923114000001,-0.0044686800410873055,-0.2856759590702233,0.999391496181488,0.1925537109375,-0.01706385043216869,0.9680579900741577,-19.236166763305665,0.021839935,68397,0.2,-0.1844344139099121,0.00023499648,0.1053354512900114
0.0,-0.09024800488086406,0.00031466928582328063,4664,-0.019592555938798075,0.0,-0.2872460093364985,312.9,-0.013077199143784432,0.0,0.0,0.9128869245643474,-0.057603011723492546,0.0,-0.11162271710018887,-0.0617314886639247,0.500350592,0.0,0.0,19537920,-0.1039972994308103,-0.002641492798883067,0.01,0.6506496,4188,-0.21802283649808002,0.0,-0.014610241261897187,98.19808,0.06223279053049217,-0.18668690542457714,0.0,1060,-0.2553855916242711,-0.5,-0.02650150753155696,-0.07189586114785401,-120.47325812,-0.004248798775089482,-0.28422420368688656,0.9951324462890625,0.160205078125,-0.006361658172681928,0.96710604429245,-19.228526210784914,0.016814034,68401,0.2,0.07453972101211548,0.00023493503999999998,0.6362049221992493
0.0,-0.09500528831936582,0.00032443489180877805,4668,-0.019559217869899392,0.0,-0.2991485117961775,317.41,-0.019436233303470846,0.0,0.0,0.9221094614516399,-0.05842139590287952,0.0,-0.11166868387828593,-0.06441935914119186,0.50020928,0.0,0.0,19556352,-0.10449431584390434,-0.002681051618388523,0.01,0.651264,4188,-0.22170463539503735,0.0,-0.014815730214781504,98.2672,0.06484100077268683,-0.19669091350779747,0.0,1061,-0.26562867192195627,-0.5,-0.027124953400989638,-0.07305998579366245,-121.14939147,-0.003296920993481147,-0.29226731709139964,0.9981684684753418,0.1181640625,-0.013284492096863687,0.9675104022026062,-19.22861318588257,0.017511945,68405,0.2,-0.15247325599193573,0.00023487360000000001,0.18586641177535057
0.0,-0.09207076028299765,0.00034179596696048975,4673,-0.019764923915493622,0.0,-0.2920908428284109,315.58,-0.0144277011519686,0.0,0.0,0.8824048949301927,-0.0565023117375336,0.0,-0.11187751602098156,-0.06216947162839334,0.500067968,0.0,0.0,19574784,-0.10772127471231535,-0.0027658950730129975,0.01,0.6518784,4188,-0.2233639861752781,0.0,-0.015218496434936486,98.33632,0.06704930999349956,-0.19234563160569668,0.0,1062,-0.25996791275047293,-0.5,-0.027257534203223095,-0.07210623756517572,-120.85959863000002,-0.0032721037738845456,-0.28820230829164367,0.998871922492981,0.2009033203125,-0.01634597408119589,0.9678899645805359,-19.232959747314453,0.023563173,68409,0.2,-0.1742013543844223,0.00023481216,0.15379933267831802
0.0,-0.08971580685854112,0.00034179594755793613,4677,-0.01959397398649583,0.0,-0.2858296582475904,315.98,-0.015187247690240232,0.0,0.0,0.8793801447525166,-0.05431510020783379,0.0,-0.11181279950831402,-0.06052991365341563,0.49992665599999997,0.0,0.0,19593216,-0.10470294697877389,-0.002721476866296127,0.01,0.6524928,4188,-0.2186264180432335,0.0,-0.014909810469368583,98.40544,0.06241720258937273,-0.18261415558858102,0.0,1063,-0.25196047510784303,-0.5,-0.02628213965316519,-0.06865750441161289,-120.26060166999997,-0.002704585136670669,-0.2788572771804849,0.9992548227310181,0.22451171875,-0.017096707108430566,0.9677672386169434,-19.232433223724364,0.025539855,68413,0.2,-0.1845795065164566,0.00023475071999999998,0.1106879573315382
0.0,-0.09400742309537057,0.00031087154638953507,4681,-0.02004428664038513,0.0,-0.2882772886239062,317.76,-0.015470856087631546,0.0,0.0,0.9309672085030558,-0.05575482185425382,0.0,-0.11172940670570955,-0.06370349302317149,0.49978534399999996,0.0,0.0,19611648,-0.10415192451812832,-0.002611863677998905,0.01,0.6531072,4188,-0.21779215030232157,0.0,-0.014534524053708139,98.47456,0.06442124666620526,-0.19231490996022294,0.0,1064,-0.26105517020887814,-0.5,-0.026515288230019068,-0.06917842413126025,-120.34551970999999,-0.0035664100250228144,-0.2889170621586043,0.9995691776275635,0.2181640625,-0.016740790964104236,0.9679597020149231,-19.232339286804198,0.025583103,68417,0.2,-0.19442343711853027,0.00023468927999999997,0.06975596062839032
