reward_terms/stance,reward_terms/pos_pen,reward_terms/air_time,rollout/ep_rew_mean,reward_terms/upright,reward_terms/progress,reward_terms/alive,reward_terms/ang_xy,reward_terms/action_rate,time/total_timesteps,reward_terms/height,reward_terms/heading_pen,curriculum/cmd_vx_frac,reward_terms/track_heading,reward_terms/lat_vel,reward_terms/clearance,reward_terms/stance_time,time/iterations,reward_terms/track_yaw,reward_terms/hip_roll,reward_terms/track_vx,time/time_elapsed,reward_terms/torque,reward_terms/yaw_rate,curriculum/ent_coef,rollout/ep_len_mean,reward_terms/fwd_speed,reward_terms/track_pos,reward_terms/foot_slip,reward_terms/vz,time/fps,train/n_updates,train/loss,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/std,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl
-4.849528422194569e-05,0.0,8.091518455850226e-05,380.96047448999997,-1.3736443078131572e-08,0.0,0.5,-6.787158032244187e-08,-0.028292213671265394,6823936,0.0,0.0,0.852096,0.0,-1.4775456908397405e-09,0.021674718812825167,0.0,952,0.0,-0.018694514191775088,0.0,6453,-0.07392133189664381,0.0,0.01,990.01,0.025937604487781263,0.0,-0.004057863355838564,0.0,1057,3792,0.34101641178131104,0.2,-0.0026169018310611136,0.03505452536046505,0.9963213801383972,0.6825361847877502,-5.352973639965057,0.00012958080000000002,0.803969256579876,0.0065873694
-3.773548320744314e-05,0.0,0.0,376.24874452999995,-1.4732071047895791e-08,0.0,0.5,-7.340606470481024e-08,-0.029433300866947492,6831104,0.0,0.0,0.852992,0.0,-1.4904249557404195e-09,0.02253158877123637,0.0,953,0.0,-0.018946009497018374,0.0,6461,-0.09445251892466097,0.0,0.01,990.01,0.009214989740634436,0.0,-0.001355414745722368,0.0,1057,3796,0.3397877514362335,0.2,-0.0021650323815265438,0.04990641260519624,0.9972200393676758,0.6825049519538879,-5.351623892784119,0.0001294016,0.8437843695282936,0.0059998203
-2.387648142005717e-05,0.0,0.0001506696654749768,377.24251029,-1.3116572631166159e-08,0.0,0.5,-6.781123872190117e-08,-0.028579757295733112,6838272,0.0,0.0,0.853888,0.0,-1.4852588684696718e-09,0.02343779006743856,0.0,954,0.0,-0.01812269394892495,0.0,6468,-0.06758180626972907,0.0,0.01,990.01,0.007301476650814581,0.0,-0.005002967063486093,0.0,1057,3800,0.2420579493045807,0.2,-0.0015497182066610549,0.036977131851017475,0.9975008368492126,0.6825399994850159,-5.350029349327087,0.0001292224,0.6551317274570465,0.005393125
-6.983781951118503e-05,0.0,0.0,379.51917971,-1.2912833748272235e-08,0.0,0.5,-6.335404939152162e-08,-0.02834307786152257,6845440,0.0,0.0,0.854784,0.0,-1.4245967004107996e-09,0.022143914875083954,0.0,955,0.0,-0.01810348231373244,0.0,6476,-0.07675466998067748,0.0,0.01,990.01,0.010008916402905476,0.0,-0.0011408671121832961,0.0,1057,3804,0.32413429021835327,0.2,-0.00178395067632664,0.0850830078125,0.9965558052062988,0.6826137900352478,-5.349037051200867,0.0001290432,0.7353685945272446,0.008126446
-0.00032866370448460946,0.0,0.0,378.89462167,-1.3472798672053206e-08,0.0,0.5,-6.807837547015918e-08,-0.028168810013738024,6852608,0.0,0.0,0.85568,0.0,-1.4414752017626214e-09,0.0226241437296856,0.0,956,0.0,-0.017245260051972074,0.0,6482,-0.0813366479875595,0.0,0.01,990.01,0.00746379587880047,0.0,-0.0043669887501069865,0.0,1057,3808,0.2850445806980133,0.2,-0.0015896979020908475,0.07121785497292876,0.9969778060913086,0.6826453804969788,-5.348207116127014,0.000128864,0.6860857903957367,0.00586293
-0.00011910252485388029,0.0,0.0,392.07053038999993,-1.370549000615267e-08,0.0,0.5,-6.863684890550008e-08,-0.028130046836416258,6859776,0.0,0.0,0.856576,0.0,-1.4033894442988835e-09,0.020726423533225968,0.0,957,0.0,-0.017631432601187498,0.0,6490,-0.09736523535812273,0.0,0.01,990.01,0.019025794957020226,0.0,-0.0015009457642298472,0.0,1056,3812,0.2755075991153717,0.2,-0.0026958753733197227,0.05275472098583123,0.9961041212081909,0.6826302409172058,-5.3468745946884155,0.0001286848,0.7561262175440788,0.008234358
-0.0001636722932269068,0.0,2.790167595126799e-06,396.99478253999996,-1.3203764468646319e-08,0.0,0.5,-6.530635498615438e-08,-0.028172431157887107,6866944,0.0,0.0,0.857472,0.0,-1.3868390534146628e-09,0.02213363404897552,0.0,958,0.0,-0.017678519110903908,0.0,6497,-0.08932931607438656,0.0,0.01,990.01,0.017412842250029946,0.0,-0.001265329558397567,0.0,1056,3816,0.4037969708442688,0.2,-8.779202289588284e-05,0.054280599346384406,0.9973133206367493,0.6825881600379944,-5.344952762126923,0.0001285056,1.0137336999177933,0.008152576
-0.0004970573300366759,0.0,0.0,401.5457538099999,-1.3912902307341237e-08,0.0,0.5,-6.939500065588793e-08,-0.027929181132450163,6874112,0.0,0.0,0.858368,0.0,-1.3513815397240678e-09,0.02271381796582626,0.0,959,0.0,-0.017432340324614135,0.0,6505,-0.10663544970863313,0.0,0.01,1000.0,0.01105791306034119,0.0,-0.0012393411022167558,0.0,1056,3820,0.37235015630722046,0.2,-0.0018502465445635607,0.027821858569950564,0.9974272847175598,0.6826729774475098,-5.343882739543915,0.0001283264,0.8122151046991348,0.0067734094
-0.00010308703469394639,0.0,2.2321415599435568e-05,404.46884575999997,-1.502254548845114e-08,0.0,0.5,-7.777116152756463e-08,-0.029177669218529236,6881280,0.0,0.0,0.859264,0.0,-1.410177271724855e-09,0.023556619300433512,-0.01493442217386993,960,0.0,-0.030893123270962112,0.0,6512,-0.07092079776093194,0.0,0.01,1000.0,0.011351086848653014,0.0,-0.13798438027067988,0.0,1056,3824,0.28094053268432617,0.2,-0.0012061222114425618,0.0022481282176158857,0.9970079660415649,0.6828437447547913,-5.343854546546936,0.0001281472,0.6591886058449745,0.0024870927
-0.00017672165634191245,0.0,0.0007589284796267748,387.69854433,-1.501819344238881e-08,0.0,0.5,-9.287335013344393e-08,-0.029542088534426254,6888448,0.0,0.0,0.86016,0.0,-1.3817583501557495e-09,0.024532523457753145,-0.03429965728511369,961,0.0,-0.04987444042834509,0.0,6519,-0.05470622822064196,0.0,0.01,1000.0,0.009570113441248963,0.0,-0.11835311388923807,0.0,1056,3828,33.28278350830078,0.2,-0.000456130578641023,0.003265380782977445,0.986594021320343,0.6829672455787659,-5.344011902809143,0.000127968,62.1991491317749,0.0026080266
