reward_terms/angmom,reward_terms/vz,rollout/ep_rew_mean,time/fps,reward_terms/energy,reward_terms/air_time,rollout/ep_len_mean,curriculum/ctrl_drop_prob,reward_terms/time,reward_terms/phase_contact,curriculum/ctrl_jitter_ms,reward_terms/torque,reward_terms/motor_vel,reward_terms/assist_pen,reward_terms/foot_slip,curriculum/eff_scale,time/total_timesteps,time/iterations,reward_terms/height,reward_terms/action_rate,reward_terms/coef_rate,reward_terms/upright,reward_terms/hip_roll,reward_terms/clearance,curriculum/ent_coef,curriculum/stance_ratio,reward_terms/stance,reward_terms/ang_xy,curriculum/sprint_dist_m,reward_terms/stop,reward_terms/lat_vel,reward_terms/residual,reward_terms/fwd_speed,reward_terms/alive,time/time_elapsed,reward_terms/overrun,reward_terms/stance_time,train/value_loss,train/loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/std,train/entropy_loss,train/clip_range,train/n_updates
-0.15909589006151642,-0.3146813048591986,-163.33947688,4439,-0.0005810688333020996,0.00014973922710244855,254.33,0.0,-0.5,-0.5117412756897912,0.0,-0.005885394664837933,-8.242415366771586e-05,0.0,-0.8135903809533759,0.01152,2783232,151,-0.03513056437062028,-0.15103116617590662,-1.411380919927988,-0.38452567017086625,-0.15411079300336866,0.033539959490553696,0.01,0.6473504,-0.016159624307983823,-0.45869908962414413,26.728,0.0,-5.710372316335471e-08,-0.09797451551757963,-0.9224750030881914,0.0,626,0.0,-0.0040280331223685704,0.05155026875436306,-0.3741034269332886,0.029527178,0.263525390625,0.0002993088,-0.029291583597660063,0.6005852222442627,1.0032590627670288,-34.0921932220459,0.2,6750
-0.14225071991941468,-0.3052312859655723,-165.66052082,4439,-0.0006033990708717239,6.727406677479546e-05,263.19,0.0,-0.5,-0.5061628538602495,0.0,-0.006177364954716023,-8.601716348113973e-05,0.0,-0.7808536748535784,0.0115968,2801664,152,-0.035366691538980186,-0.1522167302919799,-1.4093661369004455,-0.38652176288783147,-0.1523447750578893,0.032304319759578044,0.01,0.6473327360000001,-0.003931844759155759,-0.47783478748493674,26.73952,0.0,-6.063047587708252e-08,-0.09798452912506594,-0.9982569074498654,0.0,631,0.0,-0.002056333661635613,0.05365258120000362,-0.3732525706291199,0.02870066,0.2568603515625,0.000299304192,-0.028744328464381397,0.6156169176101685,1.0024337768554688,-34.082918357849124,0.2,6754
-0.15501506849985466,-0.310959804218756,-164.36417390999998,4439,-0.0005982407258821548,5.316820655328532e-05,258.48,0.0,-0.5,-0.5039686886990267,0.0,-0.006127766843874427,-8.345660232874861e-05,0.0,-0.7835148151499994,0.0116736,2820096,153,-0.03840874993939228,-0.15185501000420873,-1.4012040378197335,-0.40025479981936735,-0.15354296619955796,0.035077157233005335,0.01,0.647315072,-0.008896970196901754,-0.46552150059942243,26.75104,0.0,-6.08514023083365e-08,-0.09761982917661004,-0.9904658664672126,0.0,635,0.0,-0.002209190529861694,0.041233382932841775,-0.3842768371105194,0.02929994,0.25667724609375,0.000299299584,-0.029993225820362568,0.3246157169342041,1.0029001235961914,-34.08608055114746,0.2,6758
-0.14993860781224153,-0.3093092653948754,-163.3191579,4439,-0.0006110644892460956,7.703968246156971e-05,254.66,0.0,-0.5,-0.5115055571157301,0.0,-0.006212148034759707,-8.725153784526993e-05,0.0,-0.801108989909836,0.0117504,2838528,154,-0.03467617326475801,-0.15185999805560244,-1.4194948251971755,-0.35489061629466057,-0.1534491827513857,0.03081452478056732,0.01,0.647297408,-0.017128205505635725,-0.48770996138930517,26.76256,0.0,-5.611986263056339e-08,-0.09804780357879456,-0.9006537522170986,0.0,639,0.0,-0.0014329630163653444,0.04339052643626928,-0.3815157413482666,0.031417146,0.2724853515625,0.000299294976,-0.029249960370361806,0.3282943367958069,1.0028932094573975,-34.08778419494629,0.2,6762
-0.1530523980132191,-0.29951492776624034,-164.46846005,4439,-0.0005914012192710818,0.00015841988109362623,259.27,0.0,-0.5,-0.5153778866403642,0.0,-0.006059249781849392,-8.425460796108037e-05,0.0,-0.8077410384226305,0.0118272,2856960,155,-0.03530494041638726,-0.15180950030604234,-1.416618469560281,-0.39389894603721287,-0.16593998201170454,0.028766020272160322,0.01,0.647279744,-0.028962406270177283,-0.4709230324177056,26.77408,0.0,-5.646509709848027e-08,-0.09810647915824094,-0.9580008907895908,0.0,643,0.0,-0.005055868296444209,0.049954055435955526,-0.37550264596939087,0.028857484,0.2758544921875,0.000299290368,-0.0283638923894614,0.6485185623168945,1.0021860599517822,-34.080390739440915,0.2,6766
-0.15695585098951254,-0.33068125420466576,-162.06794337,4439,-0.0006109454620327104,9.874104095312457e-05,250.47,0.0,-0.5,-0.4935342290885065,0.0,-0.0063016377456417225,-8.808558612211748e-05,0.0,-0.7828344441950617,0.011904,2875392,156,-0.034063781809715726,-0.1506400952653863,-1.408367521654512,-0.3844814728117198,-0.1720427090263989,0.03405517477291849,0.01,0.6472620800000001,-0.017732485929435125,-0.4849569301112008,26.7856,0.0,-5.5644083497068694e-08,-0.09855763893114036,-0.8452384343518271,0.0,647,0.0,-0.0010025996566077487,0.046113445982337,-0.37715691328048706,0.02984587,0.2777587890625,0.00029928576,-0.026733107294421642,0.43816113471984863,1.0023627281188965,-34.08075084686279,0.2,6770
-0.14489969959136162,-0.28487873692529886,-163.12011478,4439,-0.000619477278108527,9.060307962095572e-05,254.36,0.0,-0.5,-0.5047559119215683,0.0,-0.006397549190110043,-8.950704438686291e-05,0.0,-0.7832254920461234,0.0119808,2893824,157,-0.036137635540297676,-0.15298582505133682,-1.4088876389550624,-0.39941275582793334,-0.1536380969040042,0.0327760791631876,0.01,0.647244416,-0.02800747789569042,-0.4822118015117865,26.79712,0.0,-5.166940772264769e-08,-0.09799649596047393,-0.8962710601996942,0.0,651,0.0,-0.0020774922175203553,0.09189346171915531,-0.3565610349178314,0.02755953,0.24964599609375,0.00029928115199999997,-0.023491832427680492,0.7379076480865479,1.002652883529663,-34.084591484069826,0.2,6774
-0.1652128806306533,-0.3015609611769443,-161.01938588,4439,-0.000621574694309282,9.440078671711187e-05,245.93,0.0,-0.5,-0.5162702700302236,0.0,-0.0063163937329332575,-8.997148182036191e-05,0.0,-0.8131914679488895,0.0120576,2912256,158,-0.03225099717732718,-0.15130983063977585,-1.4200668848721598,-0.4064984630859411,-0.1541940151545241,0.03493630832831332,0.01,0.647226752,-0.01562039467824708,-0.5033596435771447,26.80864,0.0,-5.332320834710703e-08,-0.0981624372847789,-0.8060239583415653,0.0,656,0.0,-0.0014516795231934844,0.06452554147690534,-0.37092286348342896,0.026992073,0.251318359375,0.000299276544,-0.028457096451893447,0.6907868385314941,1.0030384063720703,-34.0904842376709,0.2,6778
-0.15766114057698066,-0.2988236337826373,-161.45181079,4439,-0.0006253537391677395,0.00010470897541381419,247.13,0.0,-0.5,-0.5139282149782167,0.0,-0.006531225114541164,-8.895702376056925e-05,0.0,-0.7977367904143284,0.0121344,2930688,159,-0.032879491471216424,-0.15174639180975524,-1.4297321928057913,-0.39603771268824134,-0.1467410167903963,0.03420010716969702,0.01,0.647209088,-0.022911484693196038,-0.49605473739336275,26.82016,0.0,-5.4694698960973884e-08,-0.09823979950357634,-0.8074554374776701,0.0,660,0.0,-0.0035278187392072547,0.05996326301246881,-0.3694942593574524,0.02607454,0.255224609375,0.000299271936,-0.027489489380968735,0.6990122199058533,1.0024871826171875,-34.082832145690915,0.2,6782
-0.16116441340500506,-0.3055511374688497,-163.75571471,4439,-0.0006318865293530461,9.928357515794535e-05,256.89,0.0,-0.5,-0.5010242516169992,0.0,-0.006421588398917291,-9.16101998597757e-05,0.0,-0.8107205246087141,0.0122112,2949120,160,-0.03299693414170063,-0.1499203427169481,-1.3986295010402665,-0.42871638412918817,-0.15087485970848136,0.03457567449951298,0.01,0.6471914240000001,-0.015331489721677725,-0.5066409566917278,26.83168,0.0,-6.04208243867357e-08,-0.09790018316221678,-0.6966984886789945,0.0,664,0.0,-0.0017518369374253477,0.044963464699685575,-0.37516355514526367,0.028472817,0.24364013671875,0.00029926732799999997,-0.03148400776553899,0.6945575475692749,1.0027282238006592,-34.08631267547607,0.2,6786
