reward_terms/duty_sym,reward_terms/residual_rate,reward_terms/fwd_speed,reward_terms/track_lin,curriculum/ent_coef,reward_terms/motor_vel,reward_terms/stand_drift,rollout/ep_len_mean,ankle/ankle_defl_peak,reward_terms/alive,reward_terms/clearance,reward_terms/action_rate,ankle/ankle_spring_energy_peak,reward_terms/ang_xy,reward_terms/time,reward_terms/stand,reward_terms/foot_slip,reward_terms/hip_roll,curriculum/cmd_track_err,curriculum/cmd_scale,rollout/ep_rew_mean,reward_terms/stance_time,reward_terms/foot_ahead,curriculum/swing_frac_min,reward_terms/upright,time/fps,reward_terms/energy,time/total_timesteps,curriculum/ctrl_drop_prob,time/time_elapsed,reward_terms/assist_pen,reward_terms/step_rate,curriculum/eff_scale,reward_terms/track_yaw,reward_terms/phase_contact,est/vel_rmse,curriculum/swing_frac_mean,curriculum/stance_ratio,reward_terms/residual,reward_terms/height,reward_terms/vz,reward_terms/overrun,ankle/ankle_spring_trq_peak,reward_terms/torque,reward_terms/lat_vel,reward_terms/air_time,reward_terms/imp_rate,curriculum/ctrl_jitter_ms,curriculum/dr_scale,reward_terms/stance,reward_terms/coef_rate,reward_terms/angmom,reward_terms/stop,time/iterations,train/std,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,curriculum/dr_scale_progress,curriculum/ctrl_drop_prob_progress,curriculum/stance_ratio_progress,curriculum/ctrl_jitter_ms_progress,curriculum/eff_scale_progress
-0.00054515092097959,0.0,0.0,2.0677353421133797,0.00915065344,-1.5830934092876537e-05,-0.060609183372240034,9527.9,0.5043324784365618,0.0,0.012427263045548349,-0.24844567852374322,0.0,-2.2325022341292933e-05,0.0,0.4164737888163633,-1.0214584842099665,-0.07772595303449328,0.21714669148179597,0.8999999999999999,4377.51706183,-0.009252641096180823,0.0,0.11778428819444445,-2.427204585871892e-07,5871,-0.00017600149476010502,5400576,0.003144959999999988,919,0.0,-0.013400607638888604,0.007338239999999968,1.9998104134590575,-0.2108658170252175,0.4589475089343763,0.20616319444444442,0.698322688,-0.07056260245010842,-0.0009571098815960981,-0.011761755453730875,0.0,0.0,-0.002743569486286461,-3.22637410800637e-08,4.503031313005421e-05,-0.04001359277657599,0.251596799999999,0.06289919999999975,-0.008658760376519801,-1.2717928541281704,-0.10169024234003961,0.0,293,1.0016032457351685,0.9526628255844116,-42.589406394958495,87.59834289550781,0.014086209,0.10380859375,1168,178.3038101196289,0.2,-0.029167081078048794,0.00028923571199999997,0.06289919999999975,0.06289919999999975,0.02096639999999991,0.06289919999999975,0.02096639999999991
0.0,0.0,0.0,2.177865999223116,0.00914770432,-1.587402020304024e-05,-0.043780112438267564,9527.9,0.5003799028204522,0.0,0.012506360304641882,-0.2482969451953423,0.0,-2.2239918767990692e-05,0.0,0.5168359607414041,-1.015326710772211,-0.08015764519715075,0.18022024691161778,0.9999999999999999,4386.103355540001,-0.006985662944821848,0.0,0.12413194444444445,-2.4378656700925243e-07,5869,-0.0001769978094666387,5419008,0.003156479999999988,923,0.0,-0.012673611111110868,0.007365119999999967,1.999817374012895,-0.18940362570934322,0.42255662671224875,0.19737413194444442,0.698316544,-0.07008188900279731,-0.000825273063478076,-0.012395636460601059,0.0,0.0,-0.0027028935474731216,-3.177195150608819e-08,8.137974267204603e-06,-0.04006180724598447,0.25251839999999903,0.06312959999999976,-0.013082641297214793,-1.274178785023485,-0.11326111865707207,0.0,294,1.0016933679580688,0.9673491716384888,-42.590867614746095,56.23265838623047,0.015426422,0.1104248046875,1172,114.65976791381836,0.2,-0.032571618247311564,0.000289198848,0.06312959999999976,0.06312959999999976,0.021043199999999908,0.06312959999999976,0.021043199999999908
0.0,0.0,0.0,2.1582526976812724,0.0091447552,-1.5289853502311892e-05,-0.022965071947560464,9460.33,0.5036685776727279,0.0,0.013047496013222543,-0.24612301504791942,0.0,-2.134172878858666e-05,0.0,0.717370990513389,-1.0163671280867455,-0.07144357855112396,0.2123816546575114,0.9999999999999999,4386.87031489,-0.0018001241276376983,0.0,0.1115993923611111,-2.4072764700728385e-07,5870,-0.000169741167179797,5437440,0.0031679999999999885,926,0.0,-0.012087673611110893,0.007391999999999966,1.999827181435656,-0.1553296283651081,0.43464517698610344,0.193359375,0.6983104,-0.07015540168570397,-0.0009291819716143145,-0.012429746281915163,0.0,0.0,-0.0026553632108401123,-3.0216202317461565e-08,8.843304304819967e-05,-0.039908291276342364,0.25343999999999905,0.06335999999999976,-0.0071804365791352,-1.2583524354128666,-0.09641187431565709,0.0,295,1.0012409687042236,0.9610533118247986,-42.58527030944824,89.78842163085938,0.015725551,0.12940673828125,1176,165.71756553649902,0.2,-0.031232591409934684,0.000289161984,0.06335999999999976,0.06335999999999976,0.021119999999999906,0.06335999999999976,0.021119999999999906
0.0,0.0,0.0,2.168240963453948,0.00914180608,-1.447369583854412e-05,-0.02229118865689904,9460.33,0.5002108741595461,0.0,0.009946955154848466,-0.24996010889440118,0.0,-2.0472464949819527e-05,0.0,0.7743439184296923,-1.0030691480417753,-0.07163623988230562,0.20663280238206005,0.9999999999999999,4413.92275456,-0.0008627611581080904,0.0,0.11810980902777778,-2.3450681965933288e-07,5870,-0.00016218250151820967,5455872,0.0031795199999999886,929,0.0,-0.012315538194444219,0.007418879999999966,1.9998332727473693,-0.1374621766769826,0.4332309098272467,0.19178602430555555,0.698304256,-0.0705172593153298,-0.0009235179754882969,-0.01190832667215523,0.0,0.0,-0.002542103007769339,-2.984825150245518e-08,3.526469420952102e-05,-0.03970220334858274,0.2543615999999991,0.06359039999999977,-0.010166792567244658,-1.2679645117706888,-0.09354078593424008,0.0,296,1.0011003017425537,0.9632860422134399,-42.583069038391116,85.28225708007812,0.01343258,0.09725341796875,1180,184.31018447875977,0.2,-0.02630314133130014,0.00028912512,0.06359039999999977,0.06359039999999977,0.021196799999999905,0.06359039999999977,0.021196799999999905
-0.0008589834854073998,0.0,0.0,2.276667320867197,0.00913885696,-1.3920540453702347e-05,-0.037697018805422006,9437.58,0.5022285310476969,0.0,0.00935451204291085,-0.2516938400248598,0.0,-1.968879815819647e-05,0.0,0.9558080690381074,-1.0456208664738784,-0.06422674958702587,0.24003811144090523,0.9999999999999999,4391.67847067,-0.0018206044333055615,0.0,0.12022569444444445,-2.2618669852162116e-07,5870,-0.0001556137724412886,5474304,0.0031910399999999887,932,0.0,-0.011642795138888691,0.007445759999999965,1.9998405614295731,-0.1249294877148747,0.4275136055649614,0.1696234809027778,0.6982981119999999,-0.07028623933149761,-0.0006761790645742404,-0.010230268710446855,0.0,0.0,-0.0022790882884397216,-2.6821952401765797e-08,4.3402707281832896e-05,-0.03964845971613923,0.2552831999999991,0.06382079999999977,-0.013009657640567059,-1.2664031415918098,-0.0930484345093969,0.0,297,1.001086711883545,0.974981427192688,-42.58198013305664,62.980262756347656,0.017481297,0.1278076171875,1184,134.7401039123535,0.2,-0.03732701200060547,0.000289088256,0.06382079999999977,0.06382079999999977,0.021273599999999903,0.06382079999999977,0.021273599999999903
0.0,0.0,0.0,2.243387200887149,0.00913590784,-1.4135987922819281e-05,-0.051170051950707035,9484.73,0.5012373586255051,0.0,0.011886832840043415,-0.25014502013356155,0.0,-1.9169883560260593e-05,0.0,0.9979156240337753,-0.9785010370642063,-0.06398168457264003,0.23590344817187803,0.9999999999999999,4412.9681547,-0.0026916418670831868,0.0,0.12098524305555555,-2.296669481486221e-07,5870,-0.00015631327902136273,5492736,0.0032025599999999893,935,0.0,-0.011794704861110911,0.007472639999999965,1.9998459360316394,-0.1277188206507695,0.4147612775300646,0.18296983506944445,0.6982919679999999,-0.07032659222395407,-0.0007702045458961473,-0.010773349520781947,0.0,0.0,-0.0023401730726643265,-2.748415946563803e-08,5.425335580690039e-05,-0.03975884771626884,0.2562047999999991,0.06405119999999978,-0.012728143834459619,-1.2786830254103525,-0.08147744607596652,0.0,298,1.0011166334152222,0.9665026664733887,-42.58298892974854,74.5189208984375,0.016326526,0.1428955078125,1188,188.48373107910157,0.2,-0.031094439374282957,0.000289051392,0.06405119999999978,0.06405119999999978,0.0213503999999999,0.06405119999999978,0.0213503999999999
0.0,0.0,0.0,2.1466543739868844,0.00913295872,-1.4065011762354364e-05,-0.04443791103502689,9370.57,0.501321555609169,0.0,0.012519699461141122,-0.2492462460888895,0.0,-1.995710738951971e-05,0.0,0.9116659980290327,-0.9778441188479827,-0.07338297244745837,0.2567629908957916,0.9999999999999999,4342.760407909999,-0.006749940127418894,0.0,0.1203342013888889,-2.3672555048924772e-07,5865,-0.00015753368171037647,5511168,0.0032140799999999894,939,0.0,-0.011935763888888685,0.007499519999999964,1.99984196846101,-0.1400037385598359,0.4150778359646027,0.1916775173611111,0.6982858239999999,-0.0706080847963853,-0.0010127847040685514,-0.010748920966088179,0.0,0.0,-0.0023935164551355487,-2.799073657126483e-08,4.8285528060255776e-05,-0.03937751366557561,0.25712639999999914,0.06428159999999979,-0.005426323663825519,-1.2683676285990666,-0.1012816977771635,0.0,299,1.001098394393921,0.9656275510787964,-42.582326126098636,73.1641845703125,0.012817407,0.1052978515625,1192,191.59552307128905,0.2,-0.028695647849235683,0.000289014528,0.06428159999999979,0.06428159999999979,0.0214271999999999,0.06428159999999979,0.0214271999999999
0.0,0.0,0.0,2.2175465914062076,0.0091300096,-1.5250318340143493e-05,-0.07315598922423036,9362.01,0.5045204372213387,0.0,0.015851467951857413,-0.24512532900887798,0.0,-2.1532122166945298e-05,0.0,0.7380851213293824,-1.0374470379483527,-0.07166938579749486,0.24813506935302465,0.9999999999999999,4374.730677889999,-0.005577382010718186,0.0,0.11713324652777778,-2.4328539295695005e-07,5865,-0.00017328871555432224,5529600,0.00322559999999999,942,0.0,-0.012499999999999763,0.0075263999999999635,1.999820569599326,-0.1624498370412172,0.42770721837062725,0.1874457465277778,0.69827968,-0.07071363653412872,-0.0012974483042941594,-0.012805861399476674,0.0,0.0,-0.0027501515426304585,-3.0579901117789465e-08,6.727415408628683e-05,-0.03977596924954983,0.25804799999999917,0.06451199999999979,-0.00991996769610335,-1.2652132425786027,-0.11249668718112142,0.0,300,1.0013259649276733,0.962217390537262,-42.58464584350586,95.34161376953125,0.012975368,0.0995361328125,1196,228.00833053588866,0.2,-0.02802465474233031,0.000288977664,0.06451199999999979,0.06451199999999979,0.021503999999999898,0.06451199999999979,0.021503999999999898
0.0,0.0,0.0,2.082694284139983,0.009127060480000001,-1.5016508418349343e-05,-0.09965197183423453,9262.73,0.5001017191996715,0.0,0.013092775402740182,-0.24859587618602014,0.0,-2.08150538655708e-05,0.0,0.5763487820837985,-1.0215748138740395,-0.07753508838402884,0.2653342566561681,0.9999999999999999,4360.59926892,-0.005556221750642483,0.0,0.11637369791666667,-2.3693521793174243e-07,5864,-0.00017136499984530802,5548032,0.00323711999999999,946,0.0,-0.012434895833333098,0.0075532799999999635,1.9998293515013639,-0.16557607866198054,0.44192022596653874,0.19240993923611113,0.698273536,-0.07073391112514361,-0.0012018687321630381,-0.011684776542436328,0.0,0.0,-0.0027463101080056618,-2.9107406151100236e-08,2.2786407498642802e-05,-0.03947858793384695,0.2589695999999992,0.0647423999999998,-0.014160221629363208,-1.273014761203374,-0.10895505166839531,0.0,301,1.001196265220642,0.961655855178833,-42.58507061004639,79.95662689208984,0.01182965,0.09671630859375,1200,221.9093231201172,0.2,-0.024384762311819942,0.0002889408,0.0647423999999998,0.0647423999999998,0.021580799999999897,0.0647423999999998,0.021580799999999897
-0.004019057872686647,0.0,0.0,2.002046587283333,0.00912411136,-1.612883415045693e-05,-0.119016850047254,9154.99,0.5032578799370753,0.0,0.013650615662865599,-0.24938234437396994,0.0,-2.2912539581910525e-05,0.0,0.5978603771836626,-1.0222268082903812,-0.07347396629187793,0.2453557624324187,0.9999999999999999,4321.549740579999,-0.00153455577189258,0.0,0.12782118055555555,-2.5459948741040854e-07,5863,-0.00018270331072740042,5566464,0.00324863999999999,949,0.0,-0.01283637152777752,0.0075801599999999626,1.9998114065360302,-0.17566101458640118,0.4665068519504075,0.21009657118055558,0.698267392,-0.0708662318902467,-0.0009352018890881945,-0.012432900969476095,0.0,0.0,-0.0028016817034076202,-3.2242511517455994e-08,0.00012858053539983102,-0.03967057722065935,0.2598911999999992,0.0649727999999998,-0.011273607058552548,-1.2612438064470872,-0.11751570249143017,0.0,302,1.0012563467025757,0.9621611833572388,-42.58370857238769,86.08048248291016,0.012712225,0.09625244140625,1204,195.89467391967773,0.2,-0.026618032809346916,0.00028890393599999997,0.0649727999999998,0.0649727999999998,0.021657599999999895,0.0649727999999998,0.021657599999999895
0.0,0.0,0.0,2.1303731859748916,0.00912116224,-1.576049577858431e-05,-0.10701631221357406,9131.29,0.5015666288749637,0.0,0.011691674836902814,-0.24803402181944934,0.0,-2.2291082163387267e-05,0.0,0.5555553695962199,-1.0177931775001037,-0.07530840061748952,0.2534114050678049,0.9999999999999999,4311.33008658,-0.0018271141905441051,0.0,0.12250434027777778,-2.3978879491406737e-07,5862,-0.0001783053385719081,5584896,0.0032601599999999907,952,0.0,-0.01330295138888861,0.0076070399999999625,1.999818750609452,-0.17846974269999843,0.4561974018295954,0.20024956597222224,0.698261248,-0.07044197813405828,-0.0009639340017462075,-0.012861430295247276,0.0,0.0,-0.002728074219959681,-3.1261183309402825e-08,4.6115368604660034e-05,-0.03999037774173391,0.26081279999999923,0.06520319999999981,-0.005327179728785646,-1.2746299824426037,-0.10734626256003017,0.0,303,1.0017675161361694,0.9734926819801331,-42.5923656463623,58.89201354980469,0.017744342,0.14393310546875,1208,139.76785049438476,0.2,-0.034847149794222786,0.000288867072,0.06520319999999981,0.06520319999999981,0.021734399999999893,0.06520319999999981,0.021734399999999893
0.0,0.0,0.0,2.161195864353313,0.00911821312,-1.5801863283986973e-05,-0.11865392231691237,9131.29,0.4983924581810732,0.0,0.009993450338943397,-0.2488445360389696,0.0,-2.257792286801012e-05,0.0,0.5440241805569994,-1.0127721120190813,-0.070519548476044,0.21520879336829585,0.9999999999999999,4311.33008658,-0.00407768223926218,0.0,0.1333550347222222,-2.3682500579269943e-07,5863,-0.00017746619871200663,5603328,0.003271679999999991,955,0.0,-0.013433159722221937,0.007633919999999962,1.999825601945779,-0.1504663256467785,0.46568177920298637,0.20274522569444445,0.698255104,-0.0702403302163715,-0.0006709245735674184,-0.011999488595642658,0.0,0.0,-0.00275183792457531,-3.064220262703873e-08,6.293394188914035e-05,-0.03986485496100634,0.26173439999999926,0.06543359999999981,-0.0051499790556727276,-1.2467137538985626,-0.09886216102294161,0.0,304,1.001509428024292,0.9706777334213257,-42.59018135070801,52.268592834472656,0.015308982,0.11602783203125,1212,143.8106376647949,0.2,-0.028901188145391644,0.000288830208,0.06543359999999981,0.06543359999999981,0.021811199999999892,0.06543359999999981,0.021811199999999892
0.0,0.0,0.0,2.1782351034671574,0.009115264,-1.4930873051084082e-05,-0.1521074997003241,9229.74,0.4983693931445571,0.0,0.006942062335746697,-0.25162889025047525,0.0,-1.9941402814754142e-05,0.0,0.7493695573539244,-1.0102258737621408,-0.06928325881827625,0.2676768871271933,0.9999999999999999,4350.18593184,-0.00129502594548588,0.0,0.09342447916666667,-2.2186266577972684e-07,5862,-0.00016494760078764203,5621760,0.0032831999999999913,958,0.0,-0.011523437499999817,0.007660799999999961,1.9998433882355207,-0.1314299878444816,0.40823196236264,0.17732747395833334,0.6982489599999999,-0.07012583565520278,-0.0006421022822918084,-0.0093320435745166,0.0,0.0,-0.00247885141422125,-2.8135247808655674e-08,1.7361075151711702e-05,-0.04025494736627076,0.2626559999999993,0.06566399999999982,-0.010802852280451794,-1.2627093182186775,-0.09068705368069589,0.0,305,1.00156569480896,0.963787853717804,-42.58859157562256,87.78939056396484,0.016934767,0.1184326171875,1216,161.84026107788085,0.2,-0.030906856036745013,0.000288793344,0.06566399999999982,0.06566399999999982,0.02188799999999989,0.06566399999999982,0.02188799999999989
