reward_terms/vz,reward_terms/stance_time,curriculum/sprint_dist_m,rollout/ep_rew_mean,reward_terms/energy,reward_terms/clearance,reward_terms/air_time,reward_terms/alive,reward_terms/upright,reward_terms/time,curriculum/ctrl_jitter_ms,reward_terms/coef_rate,reward_terms/stance,reward_terms/action_rate,reward_terms/lat_vel,reward_terms/foot_slip,reward_terms/stop,reward_terms/ang_xy,curriculum/ent_coef,time/fps,time/total_timesteps,reward_terms/torque,reward_terms/residual,reward_terms/hip_roll,curriculum/ctrl_drop_prob,reward_terms/foot_ahead,reward_terms/phase_contact,time/iterations,reward_terms/overrun,curriculum/stance_ratio,reward_terms/assist_pen,time/time_elapsed,curriculum/eff_scale,reward_terms/height,rollout/ep_len_mean,reward_terms/angmom,reward_terms/fwd_speed,reward_terms/step_rate,reward_terms/motor_vel,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/learning_rate,train/loss,train/explained_variance,train/std,train/entropy_loss
-0.32437837908922873,0.0,43.57024,-122.70711604999998,-0.00972023535226897,0.10037928922522431,0.0004421652023059626,0.0,-0.3681332548697072,-0.5,0.0,-0.7536797645227509,-0.1036287900632022,-0.12476777002766104,-1.0062151235645663e-07,-0.3436952665542534,0.0,-0.5848209540375569,0.01,4386,29730816,-0.0826872811290097,-0.09820572410340596,-0.2234730866071344,0.0,0.0,-0.18835537524888074,1613,0.0,0.621525632,0.0,6778,0.1238016,-0.034992787169582165,91.89,-0.350895328175541,-0.6842759156783462,-0.0152180989583336,-0.0019504811465075242,23877,0.00214656293974258,-0.018222924030851573,0.2,0.212451171875,0.024451256,0.00022571904,-0.3746320307254791,0.9555838704109192,1.0020122528076172,-34.07835998535156
-0.2897189245837819,-0.00011677995725120936,43.58176,-122.40233244999999,-0.009215157347914095,0.10003723552005976,0.0005517569887969228,0.0,-0.3496473539534222,-0.5,0.0,-0.7576099922055074,-0.07046696371244135,-0.1236114992157937,-8.536270401669107e-08,-0.34000314023980327,0.0,-0.570984669207659,0.01,4386,29749248,-0.07633274248942916,-0.09842792725446904,-0.20130914138878386,0.0,0.0,-0.19695628152943723,1614,0.0,0.621507968,0.0,6782,0.1238784,-0.03212916023824862,90.69,-0.30181007171232854,-0.5531972898031964,-0.014567057291666904,-0.0018757132189359265,23881,0.0015432546439114957,-0.017099014320410787,0.2,0.216357421875,0.025353134,0.00022567295999999996,-0.37104228138923645,0.9535266160964966,1.0020114183425903,-34.077124786376956
-0.3144586309826597,0.0,43.59328,-123.35352955,-0.009711659019051237,0.10125712790342725,0.000468206931448852,0.0,-0.36637142319516935,-0.5,0.0,-0.7559677220947743,-0.09767736033462342,-0.12488696979008429,-9.043795099428805e-08,-0.34484986906166415,0.0,-0.5857434152557793,0.01,4386,29767680,-0.08268833082197882,-0.09822355733814567,-0.21125789549684001,0.0,0.0,-0.18358023192842815,1615,0.0,0.621490304,0.0,6786,0.1239552,-0.03178239301883128,94.57,-0.35135653579435,-0.6686044332032206,-0.014420572916666898,-0.0019658398751842745,23885,0.0023088286203953126,-0.015746978900602296,0.2,0.2015652126736111,0.035483632,0.00022562688,-0.36996620893478394,0.9427449703216553,1.0017473697662354,-34.07536803351508
-0.31700093698909454,0.0,43.6048,-122.4486575,-0.009593421098174579,0.09942699874360734,0.0005078118475567964,0.0,-0.37912097449180715,-0.5,0.0,-0.7486174749826989,-0.08965648032145519,-0.12621680357036452,-1.019769219429261e-07,-0.3733744193833319,0.0,-0.5762421742499719,0.01,4386,29786112,-0.08012022784383124,-0.09798995347126097,-0.2131317537729318,0.0,0.0,-0.19000602929636148,1616,0.0,0.62147264,0.0,6790,0.124032,-0.03528211470905049,90.7,-0.271935506278474,-0.5348947906438583,-0.01565755208333361,-0.0019131395616593452,23889,0.0020704509108327327,-0.01675228993408382,0.2,0.22874755859375,0.028685072,0.00022558080000000002,-0.3690454959869385,0.9484702348709106,1.0020081996917725,-34.07668895721436
-0.3009404052551066,0.0,43.61632,-121.24533431000002,-0.009488482290881008,0.09741102246066718,0.0002305769109322379,0.0,-0.37068156030096094,-0.5,0.0,-0.7420464150652866,-0.06207684260866911,-0.12423258103539797,-8.783291866660083e-08,-0.37124174403912974,0.0,-0.5998354046789198,0.01,4386,29804544,-0.0736051733232332,-0.09794773426590858,-0.1687820299373307,0.0,0.0,-0.1914283649066829,1617,0.0,0.621454976,0.0,6794,0.1241088,-0.03305125054832013,85.74,-0.32422379798291107,-0.5804223188171336,-0.015055338541666928,-0.001935476670935884,23893,0.0016622714349068702,-0.017760791210457684,0.2,0.21728515625,0.026530232,0.00022553472,-0.3676729202270508,0.9508992433547974,1.0019181966781616,-34.07663707733154
-0.2985572350306771,0.0,43.62784,-122.32910586000001,-0.009243561811800425,0.10250202236010103,0.0004920783168118861,0.0,-0.35010837805589246,-0.5,0.0,-0.7488782884063185,-0.052160757972071356,-0.12368686233670302,-8.34192825672265e-08,-0.32313487013724385,0.0,-0.5771112611763264,0.01,4386,29822976,-0.07632795263006664,-0.09841360374456747,-0.1793928891226367,0.0,0.0,-0.1893004777505809,1618,0.0,0.6214373120000001,0.0,6799,0.1241856,-0.031755257158735575,90.4,-0.3130120301794309,-0.5790985376135903,-0.014225260416666892,-0.0018423532856511882,23897,0.0016449838469270617,-0.017491197830531748,0.2,0.2106201171875,0.026717167,0.00022548863999999997,-0.367439866065979,0.9540671110153198,1.0014307498931885,-34.07183361053467
-0.2974478856838037,0.0,43.639359999999996,-123.41762252999999,-0.00914920572248491,0.10267132155034665,0.0005099818194543736,0.0,-0.36866257312552747,-0.5,0.0,-0.751835910510652,-0.05709670776495082,-0.12342253029702237,-9.186228733159716e-08,-0.32607162723323857,0.0,-0.587539085171581,0.01,4386,29841408,-0.07650127340721119,-0.09826682705783256,-0.18190425753595907,0.0,0.0,-0.1885254540796436,1619,0.0,0.621419648,0.0,6803,0.1242624,-0.03372342627726051,94.73,-0.314232642412833,-0.5886877796696866,-0.014811197916666914,-0.0018492253078472144,23901,0.002416490495670587,-0.015835269424133002,0.2,0.206396484375,0.023936396,0.00022544256,-0.37023448944091797,0.9459741115570068,1.0017869472503662,-34.07289371490479
-0.3116483198185202,0.0,43.65088,-123.26023086000001,-0.009575123562903522,0.10014429885410447,0.0005924472449502597,0.0,-0.39994031399204066,-0.5,0.0,-0.7652992373412127,-0.09563120982690908,-0.12313216717885964,-9.404978458160127e-08,-0.33402125378767455,0.0,-0.5780332496877656,0.01,4386,29859840,-0.08012282386612093,-0.09839698410145649,-0.1981555638870178,0.0,0.0,-0.19336365521656063,1620,0.0,0.621401984,0.0,6807,0.1243392,-0.03487627507490561,93.96,-0.2972556648030859,-0.6240683481077782,-0.014062500000000219,-0.0018728333824272133,23905,0.001980368990916759,-0.01754429645370692,0.2,0.20108642578125,0.02336793,0.00022539647999999997,-0.3742111027240753,0.9392343163490295,1.0016734600067139,-34.07413177490234
-0.32961590604202173,0.0,43.6624,-123.21300533,-0.00961072382740464,0.10221076538115877,0.00041124070089103445,0.0,-0.3766399620936825,-0.5,0.0,-0.7575084924783719,-0.08838933871322978,-0.12564857437729873,-1.0008078801468904e-07,-0.33774791464696413,0.0,-0.5947298597347256,0.01,4386,29878272,-0.08199524776976488,-0.09820325479843346,-0.20785112155455715,0.0,0.0,-0.18883168531993258,1621,0.0,0.62138432,0.0,6811,0.124416,-0.037422940753656014,93.84,-0.3169200534250542,-0.6215100055143258,-0.014257812500000232,-0.001914093374810264,23909,0.001687753712758422,-0.0171565257711336,0.2,0.22115478515625,0.026655573,0.0002253504,-0.36613214015960693,0.953753650188446,1.001736044883728,-34.07245273590088
-0.3004088519718824,0.0,43.673919999999995,-123.16249203,-0.0090258668744804,0.10099649939731623,0.0006266267575685763,0.0,-0.3611709971803899,-0.5,0.0,-0.7376997545556289,-0.07649448473997394,-0.1229771446081608,-9.005853147438118e-08,-0.34235875306210267,0.0,-0.5970301026234597,0.01,4386,29896704,-0.07596223818057024,-0.09848485248579704,-0.19345175692344407,0.0,0.0,-0.19154925219808547,1622,0.0,0.621366656,0.0,6815,0.1244928,-0.03181751645676061,93.92,-0.3063746544025603,-0.5654573313559289,-0.015087890625000254,-0.0018355474397908672,23913,0.0017698768759146332,-0.016825993568636476,0.2,0.22017822265625,0.027093431,0.00022530431999999998,-0.36770638823509216,0.9522897005081177,1.0015453100204468,-34.071906661987306
