reward_terms/air_time,reward_terms/motor_vel,time/fps,reward_terms/upright,rollout/ep_len_mean,reward_terms/lat_vel,reward_terms/stance,time/iterations,time/total_timesteps,reward_terms/phase_contact,curriculum/stance_ratio,reward_terms/height,reward_terms/stop,reward_terms/time,curriculum/ent_coef,reward_terms/action_rate,reward_terms/foot_slip,reward_terms/alive,reward_terms/vz,reward_terms/hip_roll,reward_terms/stance_time,reward_terms/clearance,reward_terms/ang_xy,time/time_elapsed,reward_terms/fwd_speed,reward_terms/residual,reward_terms/angmom,curriculum/eff_scale,reward_terms/overrun,reward_terms/energy,rollout/ep_rew_mean,reward_terms/torque,reward_terms/coef_rate,train/clip_range,train/learning_rate,train/n_updates,train/value_loss,train/entropy_loss,train/approx_kl,train/loss,train/clip_fraction,train/explained_variance,train/std,train/policy_gradient_loss
0.006156686007873052,-0.0005794567669822688,3092,-0.2140800445757295,67.47,-3.640188585660536e-09,-0.0023691543164209472,1740,32071680,-0.3083396433085477,0.6099334399999999,-0.09286768891641402,0.0,0.0,0.0071762176,-0.05803468717875689,-0.36921367307161373,0.5,-0.2515745149190386,-0.03236909949656148,-0.08254167552836912,0.11119914569183914,-0.3117654248545615,10371,0.9205624009914641,-0.47200886548699855,-0.18408596818305667,0.128212992,0.0,-0.0022159955584583344,-94.82763505999998,-0.03369858712761469,-0.4658890446514456,0.2,0.0003,39630,0.4068507269024849,-33.06759204864502,0.036809117,-0.10150466859340668,0.28411865234375,0.9986737370491028,0.9664310216903687,-0.015393070131540298
0.006090496747573424,-0.0005796568378539053,3092,-0.21400817685066528,66.76,-3.5822067852779284e-09,-0.0026033573326223543,1741,32090112,-0.3079027547839743,0.6099104,-0.09312944398851593,0.0,0.0,0.0071688448,-0.057771739507022496,-0.3644325974556951,0.5,-0.2506700538775253,-0.0323825705822978,-0.08123688090159299,0.11036228802617418,-0.31008429311927466,10377,0.9148703138217401,-0.4717132641936322,-0.18218497656245336,0.12828672,0.0,-0.0022176804789253756,-95.87957146,-0.033509594362300124,-0.46797521907281425,0.2,0.0003,39632,3.871653954188029,-33.05231730143229,0.050994433,1.6526305675506592,0.2587890625,0.989295244216919,0.9655007123947144,0.00469935080036521
0.006178387408403473,-0.000580298664919874,3092,-0.21401033721344376,67.64,-3.6528046108835853e-09,-0.003089104449515508,1742,32108544,-0.3091289434509766,0.60988736,-0.09235427513518815,0.0,0.0,0.007161472,-0.057988212591514224,-0.3713800163075073,0.5,-0.25424868746879237,-0.03236161697869312,-0.08231760893896636,0.11115248592872803,-0.3111819245585231,10383,0.9201567428740743,-0.4713196245466658,-0.1845364006359602,0.128360448,0.0,-0.0022153402969464302,-95.13581518999999,-0.033522980469239495,-0.46391675189310533,0.2,0.0003,39636,4.150302004814148,-33.06447963714599,0.037163906,1.7413744926452637,0.3061279296875,0.9880585670471191,0.9667694568634033,-0.006889354577288032
0.006064455057235641,-0.0005801007062645047,3092,-0.2131719469445298,68.33,-3.6660086464136445e-09,-0.0020986384655721727,1743,32126976,-0.31032705820864115,0.60986432,-0.09262865861885634,0.0,0.0,0.0071540992,-0.05744607049777527,-0.37211229926113976,0.5,-0.2534009655692062,-0.03231126000620627,-0.082833558899842,0.11050866627239637,-0.3113774647196492,10389,0.920917200078558,-0.4707664348608305,-0.1830601126908938,0.128434176,0.0,-0.0022071246477079914,-95.21539335,-0.03344779509713265,-0.4660316423865339,0.2,0.0003,39640,1.649648967385292,-33.06179409027099,0.024908086,0.25897881388664246,0.239453125,0.995306134223938,0.9663243293762207,-0.00937893483787775
0.006138239819039073,-0.0005817696472124548,3092,-0.21089460483938618,68.27,-3.5813258923303913e-09,-0.001743273705127727,1744,32145408,-0.310134403799009,0.6098412799999999,-0.09178848647655044,0.0,0.0,0.0071467264,-0.057513013522192194,-0.36498062941010156,0.5,-0.2467426391604686,-0.03219416550056398,-0.08271311621744341,0.11013521898076539,-0.3115142662737933,10395,0.9194636415750611,-0.4713511758615882,-0.1822950131514815,0.128507904,0.0,-0.0022133916139684133,-94.95357767,-0.033624086049574384,-0.46490988112390397,0.2,0.0003,39644,0.3720420464873314,-33.05668544769287,0.033529088,-0.09957677125930786,0.307177734375,0.9987800121307373,0.9660810232162476,-0.017058962117880584
0.006038413370131618,-0.0005775396207242866,3092,-0.2145693420250122,68.44,-3.5562589310981313e-09,-0.002418177759374761,1745,32163840,-0.3121364969762157,0.60981824,-0.09237641609385108,0.0,0.0,0.0071393536,-0.05695230760158733,-0.3744973231484927,0.5,-0.24384846684183462,-0.032614644561823704,-0.08313303775179924,0.10886566412067014,-0.31346239136896886,10401,0.9160078602915244,-0.46959475976037496,-0.18278030188116048,0.128581632,0.0,-0.0021968387817025035,-95.07748929000002,-0.03365779621682046,-0.46523359811184484,0.2,0.0003,39648,0.38647531569004057,-33.03551330566406,0.038761847,-0.09424659609794617,0.3327392578125,0.9988610744476318,0.9652876257896423,-0.014464937173761428
0.006229385691565565,-0.0005832735931324904,3092,-0.21010565911540469,67.54,-3.6310289343642086e-09,-0.0022816763890095982,1746,32182272,-0.3097771836477196,0.6097952,-0.0910625649753198,0.0,0.0,0.0071319808,-0.057197849419166134,-0.3638481857771667,0.5,-0.2461869468941137,-0.03251712906005477,-0.08270497831916954,0.11026735797804624,-0.310973971058444,10407,0.9151010219651554,-0.46915629001225656,-0.1819739227824556,0.12865536,0.0,-0.0022271200200817826,-95.36776787000001,-0.0337750021704953,-0.46589631889275623,0.2,0.0003,39651,0.6431689219815391,-33.0161143711635,0.044059187,0.08356431126594543,0.34608677455357145,0.9981909394264221,0.9646735191345215,-0.0036892196762242486
0.006095922086387873,-0.0005844313694072585,3092,-0.2162417482130559,67.97,-3.5809421757328044e-09,-0.002550984737833894,1747,32200704,-0.30772389350230617,0.60977216,-0.09216195361448504,0.0,0.0,0.007124608,-0.057823889894861286,-0.37016907650745556,0.5,-0.2457232787782434,-0.03222623702711798,-0.08104590882107408,0.11143392436422896,-0.3129742652416923,10413,0.9207133202471138,-0.47039708274808106,-0.18282470009031165,0.128729088,0.0,-0.0022341876043822893,-94.80575544999999,-0.03389846678480021,-0.4668634923689204,0.2,0.0003,39655,2.739257824420929,-33.016331100463866,0.038840167,1.657477855682373,0.3253662109375,0.9925323128700256,0.9651939868927002,-0.005900335800834
0.006336807616106752,-0.0005829116680373951,3092,-0.2124854269071605,68.24,-3.594110739064038e-09,-0.0015062150452264831,1748,32219136,-0.3066955575195083,0.60974912,-0.09153855661241266,0.0,0.0,0.0071172352000000005,-0.0571449061929353,-0.3565582769090348,0.5,-0.24506627605906475,-0.03216116687007265,-0.08247114603323603,0.11126257650239119,-0.3116624859533628,10418,0.9244109144596183,-0.4699487173467445,-0.18330632432268415,0.128802816,0.0,-0.0022224864939058885,-94.18264362,-0.0337464588243377,-0.46397021573158814,0.2,0.0003,39659,1.60115949511528,-33.0195972442627,0.024315022,0.6066914796829224,0.234716796875,0.9954031705856323,0.9654484987258911,-0.012700274650705978
0.0062402363853632575,-0.0005818014245769598,3092,-0.21780691671103497,68.41,-3.5495870202201135e-09,-0.0017034415057874672,1749,32237568,-0.30869159475677377,0.60972608,-0.09293875633201427,0.0,0.0,0.0071098624,-0.05724123621897567,-0.36551008798759466,0.5,-0.2470615307571884,-0.03227266397362115,-0.0825118360420068,0.1120940517683833,-0.3136905082132295,10424,0.9214667561673515,-0.46956156394172877,-0.183458673781059,0.128876544,0.0,-0.0022093588156920207,-94.55028364,-0.0336799907597848,-0.4642612670024666,0.2,0.0003,39663,0.3590753719210625,-33.01462345123291,0.038820494,-0.09818196296691895,0.3028564453125,0.9988610744476318,0.96503084897995,-0.01664762778673321
