time/total_timesteps,reward_terms/motor_vel,curriculum/eff_scale,curriculum/stance_ratio,time/iterations,reward_terms/hip_roll,reward_terms/torque,reward_terms/assist_pen,reward_terms/upright,reward_terms/alive,curriculum/pitch_armature,reward_terms/angmom,time/fps,reward_terms/clearance,reward_terms/coef_rate,reward_terms/ang_xy,time/time_elapsed,reward_terms/fwd_speed,reward_terms/vz,reward_terms/energy,reward_terms/action_rate,rollout/ep_len_mean,reward_terms/air_time,reward_terms/stance_time,reward_terms/stance,curriculum/sprint_dist_m,reward_terms/overrun,reward_terms/lat_vel,rollout/ep_rew_mean,curriculum/ent_coef,reward_terms/residual,reward_terms/foot_slip,reward_terms/stop,reward_terms/height,reward_terms/time,reward_terms/phase_contact,train/clip_fraction,train/learning_rate,train/entropy_loss,train/explained_variance,train/approx_kl,train/loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/value_loss,train/std
387072,-6.328000187696538e-05,0.006144,0.6493856,21,-0.03983321612110921,-0.002680724680374161,0.0,-0.1679603925435476,0.0,0.981568,-0.09472734010784285,2968,0.06535265381315378,-0.9468434887808144,-0.07481314350126596,130,0.4073143849206791,-0.10748809262360423,-0.00024244582413259129,-0.11598275139564349,33.89,0.0006239148982179662,-0.004893113260752418,-0.012956460063155886,25.9216,0.0,-7.1467418593971744e-09,-132.12332196999998,0.01,-0.2545621291437204,-0.7403510400191664,0.0,-0.049629155958062214,-0.5,-0.4465982826484118,0.2976226806640625,0.0003,-34.07424187660217,-1.7082641124725342,0.05292482,3.7190351486206055,33500,0.2,-0.01963419359526597,11.123580038547516,1.001816749572754
405504,-6.66027612876968e-05,0.0064512,0.64935488,22,-0.03606039287641459,-0.0027724855549121057,0.0,-0.1817473914402515,0.0,0.9806464,-0.09334056809777476,2969,0.06592985600695364,-0.9560094655074182,-0.07288707245751787,136,0.348904662681928,-0.10757847958134167,-0.00024997708640248886,-0.11400053539784813,32.86,0.0006694878652019219,-0.007497276672640712,-0.00791901539253923,25.96768,0.0,-6.028714684969239e-09,-131.52644286999998,0.01,-0.25517965905975126,-0.7183183240266655,0.0,-0.049068777767619115,-0.5,-0.4498111957404305,0.32943115234375,0.0003,-34.08051509857178,-1.3734149932861328,0.038167704,5.147580146789551,33504,0.2,-0.015158968023024499,14.75841212272644,1.0025358200073242
423936,-6.902591469624351e-05,0.0067584,0.64932416,23,-0.0381207088579479,-0.0029538107123186896,0.0,-0.17780564755130962,0.0,0.9797248,-0.09758324755508337,2971,0.06564905293010147,-0.9422420246653677,-0.07420868032568675,142,0.39043323483375775,-0.10026831434349631,-0.0002643122901496838,-0.11364317073666459,33.95,0.0007573784031491312,-0.005449209855416686,-0.011353713479862094,26.01376,0.0,-6.137781614648205e-09,-132.43538335999997,0.01,-0.25525665433535105,-0.7405500114589588,0.0,-0.04765414660351532,-0.5,-0.44642019639847663,0.2857530381944444,0.0003,-34.071203019883896,-2.3031749725341797,0.044990517,3.7754671573638916,33506,0.2,-0.0002999199140403006,9.884674231211344,1.0014914274215698
442368,-7.423328746367556e-05,0.0070656,0.64929344,24,-0.039382057053696726,-0.003072874745761137,0.0,-0.18326717492094644,0.0,0.9788032,-0.10073989172717433,2974,0.06751160765065951,-0.9432873825547823,-0.07672156232394306,148,0.4133049195004278,-0.10836291321451974,-0.00028033452055918894,-0.11346624130523092,33.88,0.0005490451423813485,-0.004608824454610133,-0.010665807225082126,26.05984,0.0,-7.252222949446175e-09,-132.29782097,0.01,-0.25516211978100833,-0.7416024144477729,0.0,-0.049314797537048934,-0.5,-0.45135075959249993,0.3083089192708333,0.0003,-34.06707255045573,-1.6035616397857666,0.04526959,5.0335822105407715,33508,0.2,0.009946730065469941,11.028001308441162,1.0010337829589844
460800,-7.714137440367604e-05,0.0073728,0.6492627200000001,25,-0.03606605150789232,-0.0031404745054537855,0.0,-0.19814760235450815,0.0,0.9778816,-0.09854024962150319,2977,0.06834670186080984,-0.9392040001928235,-0.07610059225817799,154,0.4118129655938462,-0.10725628113206194,-0.0002899197489943692,-0.11393075072240023,33.62,0.0005750868036153002,-0.0036968254684729297,-0.009034723784576794,26.10592,0.0,-6.208847995119051e-09,-132.15596755,0.01,-0.2556021229936516,-0.7552310829488788,0.0,-0.04900842343240714,-0.5,-0.44683756078151127,0.2925618489583333,0.0003,-34.06585820515951,-1.2396492958068848,0.055021457,3.876438856124878,33510,0.2,0.008519282719741264,8.23898204167684,1.0009602308273315
479232,-8.165240898685938e-05,0.00768,0.649232,26,-0.03783491999386178,-0.0033190900390917153,0.0,-0.19266169441133438,0.0,0.97696,-0.10040110589073688,2979,0.07069560621715702,-0.941273199753988,-0.07673227457958197,160,0.42537233821853293,-0.10986186522396878,-0.00030480629239171123,-0.11365585264623447,35.94,0.000717230859057357,-0.004557283672814568,-0.01264553303657201,26.152,0.0,-6.597391267553025e-09,-134.34021853000002,0.01,-0.25540768750009485,-0.7322600646697511,0.0,-0.050983457208045715,-0.5,-0.44721386217603865,0.2992350260416667,0.0003,-34.06804211934408,-1.1110820770263672,0.05031034,3.4260458946228027,33512,0.2,0.00879685184918344,7.954457680384318,1.0011622905731201
497664,-8.37688909336181e-05,0.0079872,0.64920128,27,-0.036478685667008647,-0.003381858914040873,0.0,-0.18173397163343175,0.0,0.9760384,-0.09568147888469052,2981,0.06674031713138112,-0.9452908821251236,-0.07364240482096432,166,0.3852308157686591,-0.10586496216590423,-0.0003097835974635148,-0.11421671631608787,35.23,0.0004958766997636607,-0.006240768679870396,-0.009581449386898597,26.19808,0.0,-5.6888314312295e-09,-133.61762033,0.01,-0.25565508759508576,-0.7384966113790604,0.0,-0.048925004551357926,-0.5,-0.4468579345950993,0.2578125,0.0003,-34.05991872151693,-1.6809749603271484,0.029796585,3.7923266887664795,33513,0.2,0.021253155233959358,11.950202624003092,1.0004429817199707
516096,-8.808794289839669e-05,0.0082944,0.6491705600000001,28,-0.03900102834773537,-0.003580651453566743,0.0,-0.19297743762525232,0.0,0.9751168,-0.10159894383490777,2982,0.06972039833944645,-0.9520472783810041,-0.07539294628778404,173,0.3889047026991499,-0.11240434070237597,-0.0003273896072232233,-0.11515990577252078,35.98,0.0004958767062311785,-0.0064496447917513754,-0.01140254240757052,26.24416,0.0,-6.95659190004949e-09,-134.56540789,0.01,-0.2555710665166469,-0.7385638273145866,0.0,-0.049667796022970084,-0.5,-0.44079417504234075,0.3501247829861111,0.0003,-34.07635031806098,-1.1045637130737305,0.049307603,3.38706636428833,33515,0.2,2.7309301205807264e-05,7.639089955223931,1.0019257068634033
534528,-9.092278557671424e-05,0.0086016,0.64913984,29,-0.034883999596650894,-0.0037428952802216328,0.0,-0.18717726142119182,0.0,0.9741952,-0.09850416792174492,2984,0.0698850707502208,-0.9508793205060942,-0.07766469552863525,179,0.3748217314730237,-0.11044741277051649,-0.00033862875657245654,-0.1148611541720307,34.63,0.0005783419247664926,-0.004425448129445108,-0.006378801699031448,26.29024,0.0,-6.822548435703451e-09,-133.11025821,0.01,-0.25583586366395084,-0.7222804279465634,0.0,-0.047126699973904077,-0.5,-0.44055783058803244,0.2654622395833333,0.0003,-34.06073760986328,-1.217273473739624,0.027775407,4.696096420288086,33516,0.2,0.016279447202881176,9.019100189208984,1.000525712966919
552960,-9.449209815253917e-05,0.0089088,0.64910912,30,-0.03253483642476147,-0.003846028538013625,0.0,-0.19362858537362276,0.0,0.9732736,-0.09796014857361496,2985,0.06897385562798727,-0.9447844103351137,-0.07579909763114952,185,0.3640257294914805,-0.11042924720656151,-0.0003531763405645727,-0.11472263262245673,34.0,0.0005414496085399555,-0.005392243901345258,-0.01125575680745584,26.33632,0.0,-5.5543241090676155e-09,-132.51159715000003,0.01,-0.2560088913319663,-0.7355965353320192,0.0,-0.04580626629386244,-0.5,-0.4401892487500002,0.27353515625,0.0003,-34.065225982666014,-2.1680386066436768,0.025028491,6.240232467651367,33517,0.2,0.01065898067317903,14.737058639526367,1.0008882284164429
