reward_terms/coef_rate,reward_terms/stance,time/time_elapsed,reward_terms/upright,reward_terms/angmom,reward_terms/overrun,reward_terms/vz,reward_terms/torque,rollout/ep_rew_mean,reward_terms/stance_time,curriculum/swing_frac_min,time/total_timesteps,reward_terms/yaw_rate,reward_terms/motor_vel,reward_terms/height,reward_terms/imp_rate,reward_terms/hip_roll,ankle/ankle_spring_energy_peak,reward_terms/stop,reward_terms/residual_rate,curriculum/stance_ratio,reward_terms/duty_sym,reward_terms/residual,time/iterations,time/fps,curriculum/swing_frac_mean,reward_terms/alive,reward_terms/phase_contact,ankle/ankle_spring_trq_peak,reward_terms/swing_floor,curriculum/ctrl_jitter_ms,curriculum/ctrl_drop_prob,reward_terms/air_time,ankle/ankle_defl_peak,reward_terms/fwd_speed,curriculum/sprint_dist_m,reward_terms/ang_xy,reward_terms/action_rate,reward_terms/assist_pen,reward_terms/foot_ahead,reward_terms/step_rate,reward_terms/lat_vel,curriculum/ent_coef,curriculum/pitch_assist,rollout/ep_len_mean,reward_terms/foot_slip,curriculum/eff_scale,reward_terms/energy,reward_terms/clearance,reward_terms/time,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/entropy_loss,train/clip_range,train/std,train/loss,train/clip_fraction,train/learning_rate,curriculum/log_std_clamp
-0.0843496757399667,-0.0019378785308799228,7049,-0.04397177965222013,-0.04372768786299605,0.0,-0.046925473952546815,-0.2357397393727494,1970.61853638,0.0,0.5598958333333334,47314944,-1.4444026065549949,-0.0023497927412162085,-0.0007475071490557693,-0.01047502808056448,-0.2144055374937886,0.0,8.115554209212445e-37,0.0,0.6046741760000001,0.0,-0.11053969862709288,2567,6711,0.6712510850694444,0.0,-0.14575797425531778,0.0,0.0,2.1666816,0.02708352,0.001043292134353477,0.5016168009046051,5.614221526773825,54.56032,-0.2095415622817314,-0.0681087984419214,0.0,0.0,0.0,-0.05415552935603267,0.0072121600000000004,0.21172480000000005,3793.1,-0.43691449523354364,0.1970688,-0.020379458153312744,0.2671800156037111,-0.5,0.032348935,164037,-0.01552993057994172,0.9065766334533691,112.04460849761963,-28.94448881149292,0.2,0.681047797203064,16.52207374572754,0.333642578125,0.000268468992,-0.38647668717044753
-0.09504945979343843,-0.0025251355506541173,7052,-0.05229556061239707,-0.04305947133909491,0.0,-0.049523506829579726,-0.2329805123791528,1859.0938266499998,0.0,0.5580512152777778,47333376,-1.449187154109896,-0.0023535665372547473,-0.0011802566653672322,-0.01031529292079575,-0.21797232134085825,0.0,0.0,0.0,0.604656512,0.0,-0.11050621293403386,2568,6711,0.6646321614583333,0.0,-0.156788843312834,0.0,0.0,2.1676032,0.02709504,0.0009299024887796906,0.502249681530514,5.499225475272517,54.57184,-0.21991171717714683,-0.06808346471262372,0.0,0.0,0.0,-0.05911176997941366,0.007209856000000001,0.21141759999999998,3598.14,-0.43109993798736435,0.1971456,-0.020462356411408412,0.2685019679307897,-0.5,0.04142523,164041,-0.013694987585768103,0.8991786241531372,113.10171012878418,-28.936746501922606,0.2,0.680993378162384,72.06806945800781,0.36474609375,0.000268456704,-0.3867960893912496
-0.09469593336045941,-0.00031536030571100424,7055,-0.04766941996530914,-0.043409532240225895,0.0,-0.04945264727669642,-0.23473225112826285,1855.03268118,0.0,0.5549045138888888,47351808,-1.4565994089665988,-0.002367945564179755,-0.0010660079869381908,-0.010261461606838428,-0.2135415888897325,0.0,0.0,0.0,0.604638848,0.0,-0.11071186161336347,2569,6711,0.6663953993055556,0.0,-0.14874036412603017,0.0,0.0,2.1685248,0.027106560000000002,0.0011914041792301254,0.5087447165527821,5.526825497781342,54.58336,-0.22206304739063432,-0.06829737500007267,0.0,0.0,0.0,-0.07021956239275572,0.007207552,0.21111040000000003,3589.25,-0.4341085423705969,0.1972224,-0.020408480546168072,0.26401093352371974,-0.5,0.038264073,164045,-0.01183337988331914,0.9052866101264954,184.18384552001953,-28.92986946105957,0.2,0.6806347966194153,49.15113067626953,0.35738525390625,0.00026844441599999997,-0.38711549161205167
-0.08669917504712413,-0.003574463078910534,7058,-0.0468062746885161,-0.0434208349328009,0.0,-0.047442246892381065,-0.2359968345948783,1905.3177931300002,0.0,0.5562608506944444,47370240,-1.4482875884445885,-0.0023516086462428473,-0.0008029786973477974,-0.010238439699522485,-0.22544605747538446,0.0,0.0,0.0,0.604621184,0.0,-0.11046499644690513,2570,6711,0.6750759548611112,0.0,-0.13813163548208046,0.0,0.0,2.1694464,0.027118080000000003,0.0008327888887530813,0.5032130961763921,5.568441972750452,54.59488,-0.2169922739346408,-0.06726339508004882,0.0,0.0,0.0,-0.06231155841548264,0.007205248000000001,0.21080319999999997,3668.2,-0.42116152168491716,0.1972992,-0.02046842986680705,0.27097648617859177,-0.5,0.031030005,164049,-0.019689855305477975,0.8747541308403015,192.56261711120607,-28.909020805358885,0.2,0.6799527406692505,86.43853759765625,0.27021484375,0.000268432128,-0.3874348938328536
-0.09218179223607659,-0.000815780774700656,7061,-0.04916037732720728,-0.04271747489325209,0.0,-0.05117127221765379,-0.23007119066215084,1922.0905418500001,0.0,0.5569661458333334,47388672,-1.4449407714437308,-0.002308690007665039,-0.0010960793904739692,-0.010222056143294717,-0.2232646777823433,0.0,0.0,0.0,0.6046035200000001,0.0,-0.11058010788713092,2571,6711,0.6656629774305556,0.0,-0.15049976385075245,0.0,0.0,2.170368,0.0271296,0.0011810958741181013,0.504331972741971,5.409163394588548,54.6064,-0.22594919297004662,-0.06788080513666378,0.0,0.0,0.0,-0.06305900210573248,0.007202944,0.21049600000000002,3697.07,-0.4359720167815413,0.197376,-0.020065751204619925,0.2635727362069322,-0.5,0.030231202,164053,-0.01849027583375573,0.8928161859512329,171.80541191101074,-28.898994350433348,0.2,0.6796568632125854,68.96125793457031,0.283349609375,0.00026841984,-0.3877542960536557
-0.08972842461372897,-0.005789422637862303,7063,-0.04994428868370389,-0.045665069563441824,0.0,-0.049409571924023926,-0.2355632491302383,1945.5891695199998,0.0,0.5587022569444444,47407104,-1.4536114080063458,-0.0023859692297335563,-0.0010541426465132252,-0.010220099799448058,-0.22376435863944744,0.0,1.236962153942948e-16,0.0,0.604585856,0.0,-0.11037921176734658,2572,6711,0.6786024305555556,0.0,-0.13350981870618994,0.0,0.0,2.1712896,0.027141120000000005,0.0012934001570101827,0.5018899604800625,5.5140709604517575,54.61792,-0.21413191527575745,-0.06824931685741188,0.0,0.0,0.0,-0.06009592123944701,0.0072006399999999995,0.21018879999999995,3737.36,-0.425441913042315,0.1974528,-0.02050755222271572,0.2830691070005453,-0.5,0.028280785,164057,-0.018145587970502676,0.8957383632659912,285.24558334350587,-28.8929235458374,0.2,0.6796088814735413,118.29581451416016,0.30499267578125,0.000268407552,-0.3880736982744577
-0.08913997330001082,-0.00018231423643045599,7066,-0.048487120148564954,-0.043334208603809016,0.0,-0.05250438021710965,-0.2324792935743212,1988.1420944400002,0.0,0.5591905381944444,47425536,-1.4320919055402228,-0.002310301450534362,-0.0014188694185957613,-0.010251237894195846,-0.22616346698211545,0.0,0.0,0.0,0.604568192,0.0,-0.11057715922108466,2573,6711,0.6722276475694444,0.0,-0.14686778997230793,0.0,0.0,2.1722112,0.027152640000000002,0.0010215907047192256,0.5045484827918519,5.519047080604,54.62944,-0.22227034844914614,-0.06734467833404849,0.0,0.0,0.0,-0.05560767422679299,0.0071983360000000005,0.2098816,3804.97,-0.42176658251020016,0.1975296,-0.02010678549014703,0.27527929994404965,-0.5,0.038516644,164061,-0.019724231847794725,0.9038510322570801,145.16801643371582,-28.888384532928466,0.2,0.6796810030937195,49.16311264038086,0.32789306640625,0.00026839526399999997,-0.38839310049525966
-0.09034639861025248,-0.0026838606942462323,7069,-0.05423911514948308,-0.04223212387365467,0.0,-0.05095104810573293,-0.23637892026174365,2008.5494073199998,0.0,0.5519205729166666,47443968,-1.4351910289379601,-0.0023600584164628143,-0.0010450022396794947,-0.010324498501000258,-0.22664683226896154,0.0,0.0,0.0,0.604550528,0.0,-0.11054276928981302,2574,6711,0.6703830295138888,0.0,-0.143873639195551,0.0,0.0,2.1731328,0.02716416,0.001153969044227981,0.5031905749666574,5.569327772988859,54.64096,-0.2165760282453179,-0.06757339378871516,0.0,0.0,0.0,-0.05668170616661968,0.007196032,0.20957440000000005,3841.51,-0.425130193561984,0.1976064,-0.020421269921639094,0.2755569329111698,-0.5,0.045801014,164065,-0.012836636407882906,0.894331693649292,124.44681406021118,-28.87811243534088,0.2,0.6792441606521606,48.48201370239258,0.312652587890625,0.000268382976,-0.3887125027160617
-0.09790207912713311,-0.003746187374475543,7071,-0.06861364530564687,-0.04442642559769156,0.0,-0.05522801949629854,-0.22798571812855592,2095.1504443,0.0,0.55712890625,47462400,-1.437028904355535,-0.002316181544764546,-0.00284153502084578,-0.010424086981503608,-0.22647902132412712,0.0,0.0,0.0,0.6045328640000001,0.0,-0.11049949661025907,2575,6711,0.6643880208333333,0.0,-0.1545204991816094,0.0,0.0,2.1740544,0.027175680000000004,0.00106282335279199,0.5047235723946284,5.436007858758264,54.65248,-0.224973155752401,-0.06894857367287438,0.0,0.0,0.0,-0.06150188107390848,0.007193728,0.2092672,3978.1,-0.42163793253766807,0.1976832,-0.01989343959008705,0.27381100603263386,-0.5,0.0406932,164069,-0.01585576938232407,0.887714684009552,183.40876235961915,-28.869552516937254,0.2,0.6791666150093079,60.85106658935547,0.36578369140625,0.000268370688,-0.3890319049368638
-0.11143411400613926,-0.003419743022133124,7074,-0.06566462311217498,-0.04384119086651911,0.0,-0.05272857655980541,-0.23112126232491573,2077.2915706599997,-7.541175000369549e-05,0.5547417534722222,47480832,-1.4474497047063186,-0.0023832108132946696,-0.002117093768564639,-0.010281599669853649,-0.23123553302837369,0.0,0.0,0.0,0.6045152,0.0,-0.11038675858176278,2576,6711,0.6687282986111112,0.0,-0.15070982614506223,0.0,0.0,2.174976,0.0271872,0.001156139190748541,0.5006496255924187,5.248614234820761,54.664,-0.23533856360806618,-0.06968066782525084,0.0,0.0,0.0,-0.06995392350960937,0.007191424,0.20896000000000003,3955.39,-0.4153924752451839,0.19776,-0.020302580091658744,0.27225625947954274,-0.5,0.03907994,164071,-0.006883520894916728,0.9327636957168579,241.1866470336914,-28.85187339782715,0.2,0.6784127950668335,110.57516479492188,0.2841064453125,0.0002683584,-0.38935130715766575
-0.100987666618254,-0.00023239451860114532,7077,-0.05735234045396515,-0.043197260703997535,0.0,-0.050516108625921735,-0.23560716398707704,2094.14342566,0.0,0.5547960069444444,47499264,-1.4521457633891777,-0.0024810578529493987,-0.0018867701505436657,-0.010259288973896856,-0.2332916202539374,0.0,0.0,0.0,0.604497536,0.0,-0.11054380270539584,2577,6711,0.6641438802083333,0.0,-0.1536220651324206,0.0,0.0,2.1758976,0.02719872,0.0010687912355125365,0.5019429815613532,5.407168477492011,54.675520000000006,-0.24379711581489916,-0.06864614325545099,0.0,0.0,0.0,-0.07816589694185544,0.00718912,0.20865279999999997,3993.19,-0.435747791666554,0.1978368,-0.020837722909664378,0.26966809028501704,-0.5,0.040332057,164075,-0.020114196953363715,0.9268410205841064,273.1374229431152,-28.85664834976196,0.2,0.6789043545722961,91.16239166259766,0.34404296875,0.00026834611199999997,-0.3896707093784678
-0.10305430101200287,-0.004970383643170652,7081,-0.06713845636816515,-0.04677373709500939,0.0,-0.0532749116283675,-0.23232776287821377,2025.5813160999999,0.0,0.5459526909722222,47517696,-1.4439035311821535,-0.002317260610963769,-0.0017764568353476247,-0.010095107459658118,-0.24692714640756291,0.0,0.0,0.0,0.604479872,0.0,-0.11058143380022308,2578,6710,0.6710611979166667,0.0,-0.13959129928642147,0.0,0.0,2.1768192,0.027210240000000004,0.001231551441984872,0.5063155077097825,5.3206569436718745,54.687039999999996,-0.22834934029222953,-0.0680489044613087,0.0,0.0,0.0,-0.06540354734172832,0.007186816,0.20834560000000002,3885.16,-0.4129907091617739,0.1979136,-0.019868922384561186,0.2792271154135275,-0.5,0.031516306,164079,-0.023892572312615813,0.9108394980430603,288.66831359863284,-28.843443393707275,0.2,0.67848140001297,123.28690338134766,0.2744873046875,0.00026833382399999995,-0.3899901115992699
-0.0966089962262197,-0.004133629607650653,7083,-0.06859770107859647,-0.04497777397840258,0.0,-0.051526895976606354,-0.2329090149488927,2055.10457583,-8.0701523175877e-05,0.5504014756944444,47536128,-1.4425296147022815,-0.002281808883407563,-0.002452340853553051,-0.01037911104936143,-0.23887642108397036,0.0,0.0,0.0,0.6044622080000001,0.0,-0.11041400726512805,2579,6710,0.6660698784722222,0.0,-0.1467842538759161,0.0,0.0,2.1777408,0.02722176,0.001142575845329298,0.5031388506618641,5.423889543333308,54.69856,-0.21648381477718087,-0.06833260057121454,0.0,0.0,0.0,-0.07284691241835371,0.0071845120000000005,0.20803839999999996,3938.99,-0.4162001200720389,0.1979904,-0.019811641861534397,0.2695048941168301,-0.5,0.035880737,164083,-0.020800542132928968,0.9165719151496887,250.6778648376465,-28.83216199874878,0.2,0.678167462348938,77.95562744140625,0.2860107421875,0.000268321536,-0.39030951382007184
-0.10916739471178673,-0.001586893017516176,7086,-0.06655999395006702,-0.043634843362038156,0.0,-0.05868429085015428,-0.23577590855497033,2034.25700432,-0.00014322837038586536,0.5518663194444444,47554560,-1.4491893920242551,-0.0023459124617191632,-0.0023849982117814107,-0.010079803409333453,-0.24813978598215788,0.0,0.0,0.0,0.604444544,0.0,-0.11038176453506371,2580,6710,0.67626953125,0.0,-0.13754101768977403,0.0,0.0,2.1786624,0.02723328,0.0010405793921866764,0.501866159284975,5.301051176804396,54.710080000000005,-0.2314776878398193,-0.06861631338786728,0.0,0.0,0.0,-0.06794387788049465,0.007182208000000001,0.2077312,3913.18,-0.40928956632965674,0.1980672,-0.01996007440917087,0.2725500976122181,-0.5,0.04534615,164087,-0.013731670300330734,0.9466390609741211,178.3889923095703,-28.823109030723572,0.2,0.6779004335403442,71.9114761352539,0.3574371337890625,0.000268309248,-0.39062891604087385
-0.09803426290228381,-0.006548859795611983,7088,-0.06004413454046263,-0.044344241956803546,0.0,-0.05290953876171161,-0.23773710855216512,1999.6348024499998,0.0,0.5426432291666666,47572992,-1.4547328798066212,-0.0023874052811412626,-0.0019271608277949771,-0.010280099565002612,-0.23953353943045722,0.0,0.0,0.0,0.60442688,0.0,-0.11044300041721562,2581,6710,0.6632486979166666,0.0,-0.14491330556084162,0.0,0.0,2.179584,0.027244800000000003,0.0012006270214139174,0.5072711262361265,5.4307192107830735,54.721599999999995,-0.2251644417247513,-0.06781251560944299,0.0,0.0,0.0,-0.07697287244518192,0.007179904,0.20742400000000005,3860.36,-0.43445383451617847,0.198144,-0.020490509460437303,0.27002370986123747,-0.5,0.043682687,164089,-0.0006501843620623861,0.9038450717926025,365.3826337541853,-28.802037375313894,0.2,0.6770711541175842,161.0677947998047,0.28665597098214285,0.00026829696,-0.3909483182616759
-0.09039431187631025,-0.0006820935390263913,7091,-0.05055165721224743,-0.04141106305720958,0.0,-0.04868108998068677,-0.23881680302127967,2105.0115754699996,0.0,0.5555555555555556,47591424,-1.4579637459168728,-0.0023980813701231928,-0.0009767714019880559,-0.010239033385693732,-0.22462273859841314,0.0,0.0,0.0,0.604409216,0.0,-0.11055739323771432,2582,6711,0.6782769097222222,0.0,-0.13253608671170325,0.0,0.0,2.1805056,0.02725632,0.0012624759595685948,0.5078255917148573,5.614895077711739,54.73312,-0.20836375370868343,-0.06834232608805979,0.0,0.0,0.0,-0.06054225002063824,0.0071776,0.2071168,4022.21,-0.4188967885900788,0.1982208,-0.020676377374852714,0.28220067684795064,-0.5,0.033854105,164093,-0.02132514469558373,0.9354704022407532,148.00086364746093,-28.80383014678955,0.2,0.677394449710846,63.264801025390625,0.3038330078125,0.000268284672,-0.3912677204824779
-0.09919458387685459,-0.005888264245440071,7094,-0.05894039470019138,-0.04331141816484851,0.0,-0.05052751963696724,-0.2309991276894713,2158.06282748,-7.4597159659283025e-06,0.5523003472222222,47609856,-1.4336906545608168,-0.0022297788135234404,-0.002506446790634863,-0.010225083393133837,-0.24045996230939565,0.0,9.023704771030718e-41,0.0,0.604391552,0.0,-0.11040574936960205,2583,6711,0.6650933159722222,0.0,-0.1573683196972001,0.0,0.0,2.1814272,0.02726784,0.001129012493442537,0.5024994281411984,5.341911887647039,54.74464,-0.2192171466028528,-0.06808399208134963,0.0,0.0,0.0,-0.06041111870766956,0.007175295999999999,0.20680960000000004,4107.71,-0.4184812785377001,0.1982976,-0.019583417210406552,0.26675159770351375,-0.5,0.024931777,164097,-0.01762836067355238,0.9446588754653931,105.47497215270997,-28.78947286605835,0.2,0.6769065260887146,38.52790069580078,0.24263916015625,0.000268272384,-0.39158712270327994
-0.11124569874694575,-0.005929796259138965,7097,-0.06831813826090695,-0.04415660219350523,0.0,-0.05193898160290514,-0.228670385556757,1981.06590951,-7.32418072099487e-05,0.5540907118055556,47628288,-1.4300321581617284,-0.002307815193293707,-0.0014762091574772125,-0.010165134840357547,-0.24026236751474261,0.0,0.0,0.0,0.604373888,0.0,-0.11027053494598318,2584,6710,0.66943359375,0.0,-0.14498672862384285,0.0,0.0,2.1823488,0.027279360000000002,0.001040036790072918,0.5071581428872862,5.35631386435361,54.75616,-0.21577825055131786,-0.06837086747299406,0.0,0.0,0.0,-0.055167789681940846,0.007172992,0.20650239999999997,3819.04,-0.41650940729298463,0.1983744,-0.01960247047604518,0.26828029828474487,-0.5,0.03964143,164101,-0.017494025535415857,0.9579137563705444,124.89410400390625,-28.782332134246825,0.2,0.6769753098487854,32.749977111816406,0.34349365234375,0.000268260096,-0.3919065249240819
