time/iterations,reward_terms/fwd_speed,time/time_elapsed,curriculum/stance_ratio,reward_terms/upright,reward_terms/energy,reward_terms/stop,reward_terms/stance_time,curriculum/eff_scale,reward_terms/vz,time/total_timesteps,reward_terms/time,reward_terms/angmom,reward_terms/overrun,curriculum/ent_coef,reward_terms/height,reward_terms/foot_slip,curriculum/sprint_dist_m,reward_terms/hip_roll,reward_terms/lat_vel,reward_terms/assist_pen,reward_terms/stance,curriculum/pitch_armature,rollout/ep_rew_mean,rollout/ep_len_mean,reward_terms/alive,reward_terms/torque,reward_terms/motor_vel,reward_terms/coef_rate,reward_terms/clearance,reward_terms/ang_xy,reward_terms/action_rate,time/fps,reward_terms/phase_contact,reward_terms/air_time,reward_terms/residual,train/value_loss,train/clip_range,train/std,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/approx_kl,train/n_updates,train/loss,train/clip_fraction
21,0.24656207465799002,135,0.6493856,-0.07314834196999048,-0.00024166288872282872,0.0,-0.011488702625178525,0.006144,-0.10126216318258131,387072,-0.5,-0.10573814317635093,0.0,0.01,-0.047755832645406934,-0.7073833495992322,25.9216,-0.04293831426148865,-8.127651738936948e-09,0.0,-0.01442563949485742,0.981568,-132.78151108999998,34.08,0.0,-0.00297337770632869,-5.6477421870668805e-05,-0.9411809581169166,0.05589145477227088,-0.02340479731775772,-0.11338623480957165,2862,-0.47531597412905263,0.0006228297327955564,-0.25284021282503316,8.660271303994316,0.2,1.0012974739074707,0.000728393771818706,-2.5431323051452637,0.0003,-34.06964547293527,0.044457022,33498,3.75477933883667,0.26454380580357145
22,0.20794592368743325,141,0.64935488,-0.07367776521765045,-0.000250744764879216,0.0,-0.012460381316486746,0.0064512,-0.10178187776257838,405504,-0.5,-0.1037616904370531,0.0,0.01,-0.04666663817314411,-0.7127422526583915,25.96768,-0.044210495565404385,-8.939860100878096e-09,0.0,-0.017444866900083608,0.9806464,-132.18592652,33.08,0.0,-0.0031040995435268424,-5.807069274175663e-05,-0.9523250644729545,0.05429767196688021,-0.022821081304153536,-0.11268281462075705,2868,-0.4737234205467373,0.0006174043454747233,-0.2525721099567697,10.554651832580566,0.2,1.0008585453033447,0.011457589454948902,-2.19756817817688,0.0003,-34.065119934082034,0.022246877,33499,6.749725341796875,0.263818359375
23,0.26981559260776716,147,0.64932416,-0.07627741403230764,-0.00026015012859382006,0.0,-0.006615658250262236,0.0067584,-0.09794397658616724,423936,-0.5,-0.10580445042241643,0.0,0.01,-0.04637958463855363,-0.7253198095065021,26.01376,-0.04240563417819346,-8.361158340089527e-09,0.0,-0.010942630516443543,0.9797248,-132.88479594999998,34.12,0.0,-0.00320341958857908,-5.958603773895208e-05,-0.9579759590689618,0.05534086123028373,-0.02475284776036561,-0.11328206703085877,2874,-0.47736882279811876,0.000585937380997671,-0.252513721552419,8.614380836486816,0.2,1.001460313796997,-0.0025369566089163222,-3.1356821060180664,0.0003,-34.071692572699654,0.04229629,33501,3.356060743331909,0.2728135850694444
24,0.2196842650998988,153,0.64929344,-0.08382748464912916,-0.0002680815373856299,0.0,-0.008700075234325292,0.0070656,-0.100079544092331,442368,-0.5,-0.10257787417757303,0.0,0.01,-0.04449868841615337,-0.7236731948509773,26.05984,-0.044048638665382875,-7.818870681370624e-09,0.0,-0.019497824232413953,0.9788032,-133.45780881999997,34.45,0.0,-0.003311588404056728,-6.251350748124667e-05,-0.9499536994569099,0.05369223684811011,-0.024875465716557323,-0.1133099052121436,2880,-0.4695997644025031,0.0005186630975610266,-0.2523858631105585,11.887973403930664,0.2,1.0015254020690918,-0.0032646556384861468,-2.1125600337982178,0.0003,-34.07307662963867,0.040500514,33503,4.6432695388793945,0.3119384765625
25,0.25088976341674873,159,0.6492627200000001,-0.08223398868751071,-0.00028317378832812924,0.0,-0.006887468378408812,0.0073728,-0.09863916975509106,460800,-0.5,-0.10351230979742708,0.0,0.01,-0.04283469753307916,-0.7145835286271546,26.10592,-0.04362331050013121,-8.789456816558215e-09,0.0,-0.014716198568755688,0.9778816,-129.36443278,30.15,0.0,-0.0034490070682910616,-6.576897947191723e-05,-0.9481904934992595,0.05514952296573726,-0.025364760802659793,-0.11482916780628155,2884,-0.4656139652021869,0.00039822035857165855,-0.2525520007807146,8.760046270158556,0.2,1.0013434886932373,-0.0025092954229977396,-2.8530683517456055,0.0003,-34.06982209947374,0.04000706,33505,3.6475565433502197,0.2996419270833333
26,0.22103659959820876,165,0.649232,-0.07871090935804342,-0.00029719646659558623,0.0,-0.009516046977498464,0.00768,-0.09702524824823194,479232,-0.5,-0.10365345976263321,0.0,0.01,-0.044183341589373946,-0.7346590501514743,26.152,-0.04178673407922275,-8.54792556721732e-09,0.0,-0.013999386001657423,0.97696,-133.17706355,34.33,0.0,-0.003713218873184721,-6.81681894198136e-05,-0.963444960093716,0.05366489653389227,-0.025017109593040335,-0.11365364910723924,2889,-0.4650846664697598,0.0005598956777248532,-0.2521602444636549,9.363232278823853,0.2,1.0015525817871094,0.00011222176253795624,-2.8702454566955566,0.0003,-34.072863006591795,0.04076957,33507,3.2292251586914062,0.3260986328125
27,0.257627567448329,172,0.64920128,-0.07367440811723376,-0.00030657336916629896,0.0,-0.006067156175655934,0.0079872,-0.09454639262917225,497664,-0.5,-0.1011174257091871,0.0,0.01,-0.04386280723064154,-0.7365619682548971,26.19808,-0.03932777660240147,-7.594172316043807e-09,0.0,-0.008653139370611459,0.9760384,-133.78304371000002,34.78,0.0,-0.0037637142036081217,-7.126424253416276e-05,-0.953518758493629,0.054470043946261835,-0.02516238324128005,-0.1143468524665169,2893,-0.4735435790720457,0.00042100678547285497,-0.25239499499390255,10.995697402954102,0.2,1.0014958381652832,0.00017654038965702056,-3.532890796661377,0.0003,-34.072713470458986,0.034223475,33509,3.872042655944824,0.2950439453125
28,0.2639544126396427,178,0.6491705600000001,-0.08320491763432553,-0.0003157547910665092,0.0,-0.007782649837382551,0.0082944,-0.09747447650149477,516096,-0.5,-0.09996400221572349,0.0,0.01,-0.0440068939413221,-0.7495742408365507,26.24416,-0.03907610574096354,-8.653417580986685e-09,0.0,-0.009246104477654917,0.9751168,-134.50578532,35.76,0.0,-0.0038794818259954133,-7.319138126994023e-05,-0.9528608470557186,0.053281956516813535,-0.026519012557370446,-0.11405078935538532,2894,-0.4702739884999186,0.00039062487323664955,-0.25264313530645777,7.602604866027832,0.2,1.0020636320114136,-0.013873431634587737,-3.614713191986084,0.0003,-34.0772097660945,0.044577602,33512,2.670065402984619,0.31539212740384615
29,0.24538884909830813,184,0.64913984,-0.07769943332823755,-0.00032129703057072175,0.0,-0.00951441853410668,0.0086016,-0.09252575760298315,534528,-0.5,-0.09432382972255228,0.0,0.01,-0.0415394063685414,-0.7530207468537247,26.29024,-0.03608081741042781,-8.347279066036943e-09,0.0,-0.00968962197337823,0.9741952,-133.95837367000001,34.86,0.0,-0.003906048890460493,-7.498146437600361e-05,-0.9542236070729037,0.05176520366605542,-0.02546989232070139,-0.11270458308512346,2898,-0.4763620635081971,0.0005078124069970929,-0.25211301763038557,6.78432035446167,0.2,1.0012872219085693,0.001570683837469135,-2.68232798576355,0.0003,-34.06986291067941,0.042480566,33514,2.7794032096862793,0.28470284598214285
30,0.2549650757335082,190,0.64910912,-0.07553470548229174,-0.0003350677352766681,0.0,-0.004571932044604586,0.0089088,-0.09737515275452269,552960,-0.5,-0.09534022677047396,0.0,0.01,-0.04002246441086382,-0.7611075705749905,26.33632,-0.03637304017922924,-7.963974601606533e-09,0.0,-0.014892841338237242,0.9732736,-132.97304478,33.93,0.0,-0.00416076469779516,-7.725650473647421e-05,-0.9535409932766051,0.05121152337315259,-0.026669233286160894,-0.1125557234697064,2902,-0.46970666115027637,0.00038411445954504114,-0.253171190219923,7.723286056518555,0.2,1.0008199214935303,0.016840993985533716,-3.190439224243164,0.0003,-34.06415939331055,0.027878404,33515,3.0572872161865234,0.292138671875
