reward_terms/residual,reward_terms/upright,reward_terms/foot_ahead,reward_terms/angmom,curriculum/ctrl_jitter_ms,time/iterations,reward_terms/duty_sym,curriculum/eff_scale,reward_terms/lat_vel,curriculum/stance_ratio,reward_terms/air_time,reward_terms/hip_roll,time/total_timesteps,reward_terms/stance,reward_terms/torque,reward_terms/motor_vel,reward_terms/residual_rate,curriculum/sprint_dist_m,reward_terms/assist_pen,reward_terms/phase_contact,reward_terms/time,rollout/ep_len_mean,reward_terms/ang_xy,reward_terms/height,reward_terms/foot_slip,reward_terms/stop,reward_terms/alive,curriculum/ctrl_drop_prob,curriculum/ent_coef,reward_terms/overrun,reward_terms/clearance,rollout/ep_rew_mean,time/fps,time/time_elapsed,reward_terms/coef_rate,reward_terms/energy,reward_terms/action_rate,reward_terms/vz,reward_terms/step_rate,reward_terms/stance_time,reward_terms/fwd_speed,train/clip_range,train/loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/n_updates,train/std,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/value_loss
-0.11324210317798232,-0.05641765747868763,0.0,-0.07619511928580867,2.0265984,2272,0.0,0.1744128,-0.02985986929655512,0.609885056,6.184880233680208e-05,-0.19774028786119902,41877504,-0.03798640118247216,-0.09951357760906887,-0.00364642290483362,0.0,51.16192,0.0,-0.1420684532647553,-0.5,2614.09,-0.2555141533882364,-0.015263350118036954,-0.6210065398253951,2.4650242326774628e-33,0.0,0.025332480000000004,0.01,0.0,0.23173987141304916,2128.0385319399998,4096,10221,-0.07683864356394984,-0.017059646500185956,-0.02581733224748553,-0.1272998244390651,0.0,0.0,5.02368715111704,0.2,47.070133209228516,0.9869990944862366,0.00016046976,0.0919921875,38264,1.0008549690246582,-19.870934391021727,-0.0054998421459458765,0.012208344,148.50432777404785
-0.11352195734092195,-0.06037646719098269,0.0,-0.07710167400893868,2.02752,2273,0.0,0.1744896,-0.03337818780924462,0.6098673920000001,8.517781841672129e-05,-0.18584879424692116,41895936,-0.03833881594270478,-0.10113966075977211,-0.003685445095698774,0.0,51.17344,0.0,-0.14638481707548515,-0.5,2524.57,-0.25710020840908965,-0.014989399516255691,-0.6251459837901927,1.6064848783255677e-40,0.0,0.025344000000000002,0.01,0.0,0.22912197602237028,2039.1443898100001,4096,10226,-0.07941687188501473,-0.017307778530837068,-0.02544438795380394,-0.13097402514335021,0.0,0.0,5.106511672670975,0.2,203.724365234375,0.9792017936706543,0.00016040832,0.09971923828125,38268,1.0009976625442505,-19.871415996551512,-0.0069227657513692975,0.012966959,352.31921844482423
-0.11385555019782734,-0.02460624994857158,0.0,-0.06818720429191741,2.0284416,2274,0.0,0.1745664,-0.01954259580745628,0.609849728,2.3871475908284385e-05,-0.1700429936403213,41914368,-0.005695227455006257,-0.09727512289376504,-0.003891835612126766,0.0,51.184960000000004,0.0,-0.10526263237009272,-0.5,2500.04,-0.23479955572584885,-0.010741285861287845,-0.5733799111793356,1.2379209524795425e-41,0.0,0.02535552,0.01,0.0,0.2608493392910239,2013.12088132,4096,10231,-0.052831285639180846,-0.017931573743815377,-0.02541336557852796,-0.11250851507432569,0.0,0.0,5.670688229096223,0.2,35.047122955322266,0.9909945130348206,0.00016034688,0.05286865234375,38272,1.0009626150131226,-19.871420669555665,-0.009034838958177716,0.0083236275,109.58606643676758
-0.11306168447248449,-0.06249641822434233,0.0,-0.08182790861399415,2.0293632,2275,0.0,0.1746432,-0.03270108946157352,0.609832064,0.00012966558440691896,-0.20669048455425013,41932800,-0.04149759139042455,-0.10277582716512747,-0.003616034042239617,0.0,51.19648,0.0,-0.1571068530975409,-0.5,2298.18,-0.2581997924373645,-0.01661185756027765,-0.6118678801782953,3.0548269058006503e-24,0.0,0.025367040000000004,0.01,0.0,0.229761297692087,1826.8275595899997,4096,10235,-0.08913517901048461,-0.017053440610225568,-0.0260859852298155,-0.12529915687372883,0.0,0.0,4.883608177778583,0.2,34.795963287353516,0.9888434410095215,0.00016028544,0.13153076171875,38276,1.0014863014221191,-19.87347278594971,-0.00716566676273942,0.011130918,78.46142597198487
-0.11315686687744754,-0.07382772816450162,0.0,-0.08233244415241762,2.0302848,2276,0.0,0.17472,-0.035842221255242446,0.6098144,0.00017903616147426268,-0.19129115980747768,41951232,-0.04978291836744423,-0.10317451671342703,-0.003518709330558614,0.0,51.208,0.0,-0.16525999647404083,-0.5,2272.78,-0.25442898962973554,-0.017181277646158285,-0.6155556834315905,7.205178375203772e-38,0.0,0.02537856,0.01,0.0,0.21567951215669984,1797.89798848,4096,10240,-0.08986021096137312,-0.0168117819962113,-0.025260598852420997,-0.14319539523386468,0.0,0.0,4.76325723119778,0.2,152.63035583496094,0.9797490835189819,0.00016022400000000002,0.15323486328125,38280,1.0009130239486694,-19.872553634643555,-0.0034062203718349337,0.013753873,388.25610809326173
-0.11333859280770592,-0.05416350175288347,0.0,-0.07302083211460374,2.0312064,2277,0.0,0.1747968,-0.034915020816749597,0.6097967360000001,0.0001399737245972372,-0.1971005521426479,41969664,-0.04467429933109144,-0.10190441267506306,-0.003642404718223508,0.0,51.21952,0.0,-0.15394607896303905,-0.5,2197.14,-0.25722158577720183,-0.01568041090011242,-0.5940073662919649,2.392272847437181e-44,0.0,0.02539008,0.01,0.0,0.23063193357127507,1724.7255670799998,4096,10244,-0.07855405482450752,-0.017140604474427983,-0.025258657203655704,-0.1258732482236308,0.0,0.0,5.043056475703894,0.2,93.1962890625,0.9873828291893005,0.00016016256,0.0650146484375,38284,1.00045907497406,-19.8680401802063,-0.008453692507464439,0.009092273,225.92891845703124
-0.11384511732697761,-0.03452964627140137,0.0,-0.07119843598184229,2.032128,2278,0.0,0.1748736,-0.024313098972637028,0.609779072,2.0073717071985204e-05,-0.17236236638216795,41988096,-0.015104630594941314,-0.09863891678003783,-0.0038540764615619654,0.0,51.23104,0.0,-0.11292773052666802,-0.5,2200.63,-0.23953081385144218,-0.012039496164797606,-0.5782294437443899,2.036658344966457e-37,0.0,0.025401600000000003,0.01,0.0,0.25297519209176267,1731.44999707,4096,10249,-0.0608245393124966,-0.017889547329829312,-0.02559525238425319,-0.12329838890294043,0.0,0.0,5.5474010012367305,0.2,113.58992767333984,0.9726384282112122,0.00016010112,0.03638916015625,38288,1.0005593299865723,-19.868392372131346,-0.0059031489538028835,0.0068835975,313.81725921630857
-0.11318817099666195,-0.06235251378702322,0.0,-0.08043296830828156,2.0330496,2279,0.0,0.1749504,-0.03341194307565692,0.609761408,8.789041506436963e-05,-0.1859512819285371,42006528,-0.03393611414057051,-0.1002701282548871,-0.003624053567662305,0.0,51.24256,0.0,-0.13943988200626675,-0.5,2239.76,-0.251494798272684,-0.014011778322673203,-0.5930747346270925,3.8723306286255936e-29,0.0,0.02541312,0.01,0.0,0.2315667437924831,1770.3329860400002,4096,10254,-0.08146792158918315,-0.016985691677989447,-0.025676753034568102,-0.13113798788938555,0.0,0.0,4.9894809205440405,0.2,63.23252868652344,0.9854331016540527,0.00016003968,0.070166015625,38292,1.000685214996338,-19.86961030960083,-0.005985045130364597,0.009218703,157.07449035644532
-0.11366347612272946,-0.044333671032513705,0.0,-0.07123395593932869,2.0339712,2280,0.0,0.1750272,-0.03192625464980922,0.609743744,3.6349704411501684e-05,-0.1739225681944036,42024960,-0.029938972777253055,-0.0984144230204145,-0.0036999208412117207,0.0,51.25408,0.0,-0.13561054499747777,-0.5,2317.8,-0.24446165882322157,-0.01209215981823502,-0.5938116855793646,9.181355580917532e-37,0.0,0.02542464,0.01,0.0,0.22826188015285906,1843.6835774099998,4096,10259,-0.07193345653512599,-0.01732304927996212,-0.025174754274567012,-0.12398297362594272,0.0,0.0,5.197075868505242,0.2,42.71132278442383,0.9899359345436096,0.00015997824,0.0501953125,38296,1.0008106231689453,-19.870400047302248,-0.0070683662313967945,0.008314456,141.36705627441407
-0.11386601069711617,-0.03698675307284835,0.0,-0.07425201031040601,2.0348928,2281,0.0,0.175104,-0.026892474260553585,0.6097260800000001,8.08375318431192e-05,-0.17722964326259136,42043392,-0.02625139520164262,-0.09988227691297141,-0.0037581958439443577,0.0,51.265600000000006,0.0,-0.12281025562129473,-0.5,2334.76,-0.24255662318412577,-0.012751909351026889,-0.5778925432404333,9.213909010417305e-42,0.0,0.025436160000000003,0.01,0.0,0.24522399494321595,1857.9095386100003,4096,10263,-0.06396365436349896,-0.017546290833369615,-0.02522389884659422,-0.12253457204410984,0.0,0.0,5.426057334912614,0.2,24.670074462890625,0.9925329685211182,0.0001599168,0.0708984375,38300,1.0012534856796265,-19.872345066070558,-0.008960492932237685,0.009384256,80.04846725463867
