reward_terms/motor_vel,reward_terms/hip_roll,reward_terms/step_rate,rollout/ep_len_mean,reward_terms/coef_rate,curriculum/stance_ratio,time/iterations,reward_terms/energy,reward_terms/overrun,reward_terms/stance,reward_terms/ang_xy,rollout/ep_rew_mean,reward_terms/phase_contact,reward_terms/residual,curriculum/sprint_dist_m,reward_terms/upright,reward_terms/assist_pen,reward_terms/fwd_speed,reward_terms/foot_ahead,reward_terms/torque,reward_terms/residual_rate,reward_terms/time,reward_terms/air_time,reward_terms/angmom,reward_terms/height,curriculum/ctrl_drop_prob,reward_terms/lat_vel,reward_terms/foot_slip,reward_terms/alive,reward_terms/stop,reward_terms/clearance,time/time_elapsed,curriculum/ent_coef,curriculum/eff_scale,reward_terms/vz,time/fps,reward_terms/stance_time,curriculum/ctrl_jitter_ms,reward_terms/action_rate,time/total_timesteps,train/std,train/learning_rate,train/approx_kl,train/n_updates,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/clip_range,train/explained_variance,train/clip_fraction
-1.9045960131482161e-06,-0.006157610259839602,0.0,601.12,-1.5805450386905542,0.64964672,21,-3.17251600782934e-05,0.0,0.0,-1.7570345703453514e-05,-249.98165576,-0.6848686982853484,-0.0631627917314183,25.2304,-2.36304311279754e-07,0.0,0.2391956370469044,0.0,-0.0006767754751917345,0.0,-0.5,0.0,0.0,-0.02306431746528275,0.0,-4.210978418183751e-08,-0.9033871648238888,0.0,0.0,0.0029733190619703797,89,0.01,0.001536,-0.020440943155623607,4337,-0.4625451599761921,0.0,-0.2159074853088959,387072,1.0026694536209106,0.00029981568,0.011796352,80,7.638204503059387,-0.008031295018736274,-34.07937927246094,2.7990620136260986,0.2,0.6682999134063721,0.1826904296875
-2.031578447872795e-06,-0.005052012090761271,0.0,637.11,-1.5767799259910629,0.649629056,22,-3.383799188387602e-05,0.0,0.0,-1.7456099006360863e-05,-258.94860085,-0.6806660432351007,-0.06308324306514115,25.24192,-2.4035526461341167e-07,0.0,0.29011598729888544,0.0,-0.0007249272233332888,0.0,-0.5,0.0,0.0,-0.02216742311993428,0.0,-4.180734054382327e-08,-0.9263911018505768,0.0,0.0,0.0020353794346028684,93,0.01,0.0016128,-0.0174487890850569,4335,-0.42812988379996064,0.0,-0.21488343304378615,405504,1.0031592845916748,0.000299806464,0.010170666,84,11.536341166496277,-0.00910609521670267,-34.08362369537353,3.6149048805236816,0.2,0.4987071752548218,0.1181640625
-2.1040776688174607e-06,-0.004733103168316496,0.0,637.11,-1.5867983700120822,0.6496113920000001,23,-3.52387215460303e-05,0.0,0.0,-1.761087264224042e-05,-258.94860085,-0.6900144605629951,-0.06327032304691745,25.25344,-2.3680370977050525e-07,0.0,0.3086059387021301,0.0,-0.0007599721178948521,0.0,-0.5,0.0,0.0,-0.02126594530682463,0.0,-4.129257851421305e-08,-0.9201351931068954,0.0,0.0,5.17215321337452e-05,97,0.01,0.0016896,-0.009230922817817906,4336,-0.5133078434656555,0.0,-0.21497102796409084,423936,1.0046133995056152,0.000299797248,0.009658797,88,7.574379706382752,-0.010605768352979794,-34.09620208740235,1.7731631994247437,0.2,0.5211193561553955,0.06124267578125
-2.116150707958169e-06,-0.004148603357188908,0.0,637.11,-1.5805004520961445,0.649593728,24,-3.67955054533776e-05,0.0,0.0,-1.7543407047052373e-05,-258.94860085,-0.6870236319079791,-0.06341226081903725,25.26496,-2.4538787343239064e-07,0.0,0.3215523308404167,0.0,-0.0008138599453518048,0.0,-0.5,0.0,0.0,-0.023025485873910328,0.0,-4.120641691866239e-08,-0.9500269335721292,0.0,0.0,0.0008657381765327708,101,0.01,0.0017664,-0.010553758892524799,4338,-0.5284371053922869,0.0,-0.21656975679878862,442368,1.0040298700332642,0.000299788032,0.009592049,92,4.704799443483353,-0.012256893480662256,-34.10618000030517,0.2997492551803589,0.2,0.853539228439331,0.086279296875
-2.3596652826329798e-06,-0.0044717172607353734,0.0,775.96,-1.5845807652914212,0.649576064,25,-3.86464398946995e-05,0.0,0.0,-1.735583360870751e-05,-293.49170683000006,-0.6765022685980662,-0.06320937511001462,25.27648,-2.366567696111055e-07,0.0,0.16016601328241659,0.0,-0.0008388012347938629,0.0,-0.5,0.0,0.0,-0.028335261186333935,0.0,-3.8841713301518877e-08,-0.887619999788258,0.0,0.0,0.004612661706814071,106,0.01,0.0018432,-0.026380596162283505,4339,-0.5611747618725834,0.0,-0.21684367244422356,460800,1.001966953277588,0.000299778816,0.009264526,96,3.4541560500860213,-0.01354947640793398,-34.08022136688233,0.010488152503967285,0.2,0.42554932832717896,0.11103515625
-2.554552877621636e-06,-0.0055424434318156746,0.0,940.61,-1.586752624791272,0.6495584,26,-3.9827175554114116e-05,0.0,0.0,-1.7374855274298757e-05,-334.52023635999996,-0.6795793337872573,-0.06314774173081165,25.288,-2.2164947409519592e-07,0.0,0.13931040197247457,0.0,-0.0008196189535383375,0.0,-0.5,0.0,0.0,-0.023773281394282846,0.0,-4.0955414221085795e-08,-0.8440290089011042,0.0,0.0,0.003998269483806122,110,0.01,0.00192,-0.025002020792367765,4341,-0.47169748417218216,0.0,-0.21597711916438994,479232,1.002030611038208,0.00029976959999999996,0.00970705,100,14.648644304275512,-0.011524135340005159,-34.07052383422852,6.011876583099365,0.2,0.63538658618927,0.06678466796875
-2.699666678866679e-06,-0.0060548912636817186,0.0,1119.31,-1.5863879680486894,0.6495407360000001,27,-4.152652004947878e-05,0.0,0.0,-1.7171262702176285e-05,-379.03147391000016,-0.6590719928444044,-0.06311248085975603,25.29952,-2.1405803693382153e-07,0.0,-0.03959100040032706,0.0,-0.0008317486919784785,0.0,-0.5,0.0,0.0,-0.029625200512556335,0.0,-4.000484770637362e-08,-0.8016233434653444,0.0,0.0,0.00980341309699532,114,0.01,0.0019968,-0.0446383415440241,4342,-0.43095423036558916,0.0,-0.21480335763050779,497664,1.0032832622528076,0.000299760384,0.0072425455,104,13.520426177978516,-0.012242875900119543,-34.08810539245606,4.972933769226074,0.2,0.6837437152862549,0.0322265625
-2.9885061900471823e-06,-0.0055434272509593836,0.0,1568.85,-1.5930920643649917,0.649523072,28,-4.206919078000765e-05,0.0,0.0,-1.670340278386096e-05,-488.09169701999997,-0.6189834864016619,-0.063042070723282,25.31104,-1.755452100198068e-07,0.0,-0.4006752727521485,0.0,-0.0007352918588041736,0.0,-0.5,0.0,0.0,-0.029749350705804565,0.0,-3.9255993848678916e-08,-0.6678638451482913,0.0,0.0,0.01870819873397077,118,0.01,0.0020736,-0.07645796797790998,4340,-0.3388937008745011,0.0,-0.21788535449684887,516096,1.0026304721832275,0.000299751168,0.0071064113,108,22.804010772705077,-0.011896446160972119,-34.08618049621582,10.26638412475586,0.2,0.7550840377807617,0.034130859375
-3.525615379479924e-06,-0.005453538959784931,0.0,2015.12,-1.583721893633777,0.649505408,29,-4.437237162430058e-05,0.0,-4.61541868522758e-06,-1.6536552048820325e-05,-597.20165398,-0.5843339556210061,-0.0625819012549858,25.32256,-1.4075301990060077e-07,0.0,-0.7371939044556174,0.0,-0.0006659838574175768,0.0,-0.5,0.0,0.0,-0.03789598509142098,0.0,-3.780088177371805e-08,-0.513363557636177,0.0,0.0,0.02849696476825954,123,0.01,0.0021504,-0.11534454421397114,4341,-0.2555051551203683,0.0,-0.21746239133516784,534528,1.0021957159042358,0.000299741952,0.006219078,112,34.02679386138916,-0.01143045985372737,-34.07707138061524,12.83772087097168,0.2,0.7296371459960938,0.02806396484375
-3.899023618513079e-06,-0.005634794546223924,0.0,1695.53,-1.5812432504566758,0.649487744,30,-4.612839924680791e-05,0.0,0.0,-1.6389211951117104e-05,-514.56172599,-0.5600562321999472,-0.06226123991061758,25.33408,-1.1850103084198459e-07,0.0,-0.970473489155685,0.0,-0.0006227602697730628,0.0,-0.5,0.0,0.0,-0.04118528716401102,0.0,-3.876678426868512e-08,-0.44486994280880243,0.0,0.0,0.0358006367625194,127,0.01,0.0022272,-0.13893763778400225,4343,-0.17773673420176944,0.0,-0.21627320205578757,552960,1.0021754503250122,0.000299732736,0.0049975915,116,50.89039649963379,-0.010265882452949881,-34.07754135131836,25.080543518066406,0.2,0.7446494102478027,0.0181640625
