time/iterations,reward_terms/stance_time,reward_terms/clearance,reward_terms/motor_vel,reward_terms/upright,curriculum/ent_coef,curriculum/sprint_dist_m,reward_terms/overrun,reward_terms/coef_rate,rollout/ep_rew_mean,reward_terms/angmom,time/total_timesteps,time/fps,reward_terms/residual,curriculum/stance_ratio,curriculum/ctrl_jitter_ms,reward_terms/fwd_speed,reward_terms/phase_contact,reward_terms/hip_roll,rollout/ep_len_mean,reward_terms/energy,reward_terms/ang_xy,reward_terms/assist_pen,time/time_elapsed,reward_terms/vz,reward_terms/stop,reward_terms/time,reward_terms/alive,reward_terms/air_time,curriculum/ctrl_drop_prob,reward_terms/stance,curriculum/eff_scale,reward_terms/torque,reward_terms/action_rate,reward_terms/lat_vel,reward_terms/height,reward_terms/foot_slip,train/entropy_loss,train/clip_fraction,train/std,train/learning_rate,train/loss,train/n_updates,train/explained_variance,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/value_loss
21,-0.1298612386292209,0.013110476185676649,-7.3711589848130925e-06,-0.383091683151991,0.01,25.2304,0.0,-1.4958784133616003,-169.66769173,-0.11550969399499571,387072,4523,-0.10093874873854874,0.64964672,0.0,-0.4066966781132428,-0.700172096134827,-0.05930084418115811,279.53,-5.544403319053371e-05,-0.27760151776759495,0.0,85,-0.09329079582756367,0.0,-0.5,0.0,9.223071780676642e-06,0.0,-0.00016945464850340986,0.001536,-0.0005671022839027146,-0.13682967216526665,-1.5328391097425636e-08,-0.012626819225113307,-0.6477770704045392,-34.08949984036959,0.33802208533653844,1.0031867027282715,0.00029990784,1.174243450164795,6363,0.6922794580459595,0.041819755,0.2,-0.005050450312690093,3.997429609298706
22,-0.14970876598575464,0.004891114637129983,-7.5947925039104945e-06,-0.37187458732264084,0.01,25.24192,0.0,-1.4708543998705033,-168.72979982999996,-0.11815728075483417,405504,4528,-0.10063092827269901,0.649629056,0.0,-0.7619317901507627,-0.6985384023172359,-0.055474602598024225,275.51,-5.6910517230146593e-05,-0.28099367234684375,0.0,89,-0.09395858935389247,0.0,-0.5,0.0,0.0,0.0,0.0,0.0016128,-0.0005833251038033712,-0.13449681656288648,-1.543196941548521e-08,-0.014205361085660086,-0.6143310460802226,-34.06618881225586,0.3092041015625,1.0009584426879883,0.00029990323199999996,1.3338450193405151,6364,0.6893510818481445,0.02799502,0.2,0.018507774104364216,3.559630036354065
23,-0.17194574671642235,0.006741946492979299,-7.823301793698962e-06,-0.3955532348240818,0.01,25.25344,0.0,-1.4914271050144392,-168.97262641,-0.12668076882917953,423936,4532,-0.10163738456701142,0.6496113920000001,0.0,-0.731857189742383,-0.6981592038328083,-0.05736736127475869,276.28,-5.87782277568477e-05,-0.2814267979023252,0.0,93,-0.09240449436017205,0.0,-0.5,0.0,0.0,0.0,-0.0018839130946756233,0.0016896,-0.0005884963616458063,-0.13466765952401163,-1.3754682331537931e-08,-0.013068424932278451,-0.6178891102292278,-34.084574381510414,0.2741970486111111,1.0025850534439087,0.000299898624,0.6356204152107239,6366,0.7537547945976257,0.039648,0.2,-0.003007479568219019,2.2698798974355063
24,-0.14924734165510423,0.010774946285099618,-8.01937041955313e-06,-0.4028849922077888,0.01,25.26496,0.0,-1.473463505489507,-169.13171183000003,-0.13874929779180112,442368,4536,-0.10148628833931722,0.649593728,0.0,-0.6900214581690072,-0.6788798151323578,-0.06551833896146557,276.82,-6.063165949799948e-05,-0.2858026834407962,0.0,97,-0.10798491224578873,0.0,-0.5,0.0,5.42524503543973e-07,0.0,-0.0007208234420617666,0.0017664,-0.0006222807608363891,-0.1346952483479852,-1.4227333970596773e-08,-0.015115548862240554,-0.6237077974402604,-34.07620334625244,0.289215087890625,1.0017635822296143,0.000299894016,0.5275111198425293,6368,0.6901500821113586,0.042749,0.2,0.003765601257327944,1.968214526772499
25,-0.1605536290509109,0.008702045107930666,-8.54583275791753e-06,-0.37678950562662644,0.01,25.27648,0.0,-1.449673215660551,-170.22052419,-0.13256989406278352,460800,4538,-0.10129912653688287,0.649576064,0.0,-0.6757345872873874,-0.6834284823517351,-0.061838730902356046,281.27,-6.412290314329693e-05,-0.2794719985899665,0.0,101,-0.1078588602594551,0.0,-0.5,0.0,1.085058708364765e-06,0.0,-5.925644689675777e-05,0.0018432,-0.0006420103448831398,-0.13562271510863533,-1.3485909113280967e-08,-0.016445522788332688,-0.6017372078668858,-34.071730295817055,0.3172200520833333,1.001671314239502,0.00029988940799999996,0.5180561542510986,6370,0.608634352684021,0.06350986,0.2,0.01364057643028597,1.8769371509552002
26,-0.16654752292540959,0.006036100990887715,-8.958107064474563e-06,-0.37362210433758875,0.01,25.288,0.0,-1.4458535838770474,-170.18259892999995,-0.14196032998196384,479232,4542,-0.10113653848082271,0.6495584,0.0,-0.729134304003968,-0.6867183234830058,-0.05585733647258326,281.3,-6.693645434449291e-05,-0.2953698288283314,0.0,105,-0.09798553910774263,0.0,-0.5,0.0,0.0,0.0,-0.0008144492121773085,0.00192,-0.0006643396763530226,-0.13519918961227148,-1.3137266967369672e-08,-0.015068394838124428,-0.6077995958882133,-34.07574272155762,0.2999267578125,1.0019553899765015,0.0002998848,0.5222712755203247,6372,0.4309164881706238,0.046227537,0.2,0.006988168228417635,1.9696664015452068
27,-0.1529887950568486,0.009725518453254839,-9.415084291117328e-06,-0.3494069441070966,0.01,25.29952,0.0,-1.4322923338974674,-167.34202792,-0.13323380996883694,497664,4547,-0.10111731084938645,0.6495407360000001,0.0,-0.7834147204021759,-0.6686852975240449,-0.07726155601944586,269.87,-6.929053964344843e-05,-0.28679122766907283,0.0,109,-0.10286045255300709,0.0,-0.5,0.0,0.0,0.0,-0.0031805861730633948,0.0019968,-0.000706718217868297,-0.13103617205872173,-1.5286754078107794e-08,-0.01948213022242629,-0.565557147721575,-34.07914352416992,0.3397216796875,1.0022131204605103,0.000299880192,0.552515983581543,6374,0.22563719749450684,0.06892422,0.2,0.012878826314893862,1.8951460321744282
28,-0.16092498964927573,0.011270981026047662,-9.739409887665661e-06,-0.3579097109039002,0.01,25.31104,0.0,-1.4435381077255525,-171.35735802,-0.1422876372624088,516096,4548,-0.10133034378533932,0.649523072,0.0,-0.8009587012729571,-0.6635385195581534,-0.06644411921604296,285.89,-7.256062964413696e-05,-0.2848385258838143,0.0,113,-0.11634627354169866,0.0,-0.5,0.0,0.0,0.0,-0.0002824143268364894,0.0020736,-0.0007211028653670065,-0.1351101532353748,-1.3343545007059218e-08,-0.01971112112379724,-0.5903823561578926,-34.07120227813721,0.29718017578125,1.0014808177947998,0.000299875584,0.5178225040435791,6375,0.10760694742202759,0.02548102,0.2,0.013883501873351634,1.7484432458877563
29,-0.1481575414557786,0.011084885235187412,-9.94595131281752e-06,-0.37846118931570394,0.01,25.32256,0.0,-1.4957848550745458,-168.3728121,-0.16021559173761293,534528,4551,-0.10159983540608915,0.649505408,0.0,-0.8894639985968595,-0.6776539223759288,-0.07641846791394247,273.88,-7.4448775097687e-05,-0.3033965067424734,0.0,117,-0.13631937791580048,0.0,-0.5,0.0,0.0,0.0,-0.003114192193275072,0.0021504,-0.0007387352579591399,-0.1347000481214562,-1.3537355990062163e-08,-0.01913806041163545,-0.6382807149469969,-34.059255599975586,0.2396240234375,1.000461220741272,0.000299870976,0.50797438621521,6376,-0.07088208198547363,0.026337069,0.2,0.01165285031311214,1.6865177154541016
30,-0.1404695602686843,0.00881338790865636,-1.0095313286943126e-05,-0.37419928476140696,0.01,25.33408,0.0,-1.478391339008485,-167.62130660000003,-0.15122227981968242,552960,4554,-0.10167448059674494,0.649487744,0.0,-0.9250925629805098,-0.6702689561204457,-0.07649483407036156,270.79,-7.546297916189965e-05,-0.281641312093502,0.0,121,-0.128731602286225,0.0,-0.5,0.0,0.0,0.0,-0.0033074447083718166,0.0022272,-0.000765156972092014,-0.1334024275647878,-1.3261537450796572e-08,-0.019564962854141516,-0.6100414800598806,-34.0768424987793,0.378662109375,1.0019391775131226,0.00029986636799999997,0.4358181059360504,6377,-0.11743032932281494,0.036485754,0.2,0.025961830466985702,1.6159018278121948
31,-0.15872284877049322,0.012073344367742364,-1.0246709199627606e-05,-0.4122797859517414,0.01,25.3456,0.0,-1.483893703591126,-170.32352465,-0.15622999006804086,571392,4556,-0.10160260715475361,0.6494700800000001,0.0,-0.9477526480341195,-0.6703775228622098,-0.07651437261922546,281.55,-7.70680326727597e-05,-0.28561375716787435,0.0,125,-0.12491598067266889,0.0,-0.5,0.0,0.0,0.0,-0.007281159871997474,0.002304,-0.0007711815881535375,-0.13319920055760678,-1.3734278549217313e-08,-0.019188501405200138,-0.5771595836001949,-34.07849197387695,0.297216796875,1.002130150794983,0.00029986176,0.39844369888305664,6378,-0.3546093702316284,0.025644546,0.2,0.015827524568885566,1.5201509952545167
32,-0.1334893103517566,0.012523343706162343,-1.0994573511242057e-05,-0.40104440319507156,0.01,25.35712,0.0,-1.450543105840078,-166.18909787,-0.1523472694986793,589824,4558,-0.10166839478215434,0.649452416,0.0,-0.9471451907418837,-0.6488140885900324,-0.07701991243729987,264.92,-8.130781660261413e-05,-0.28067637472960555,0.0,129,-0.13697888340351566,0.0,-0.5,0.0,0.0,0.0,-0.0022470009840162442,0.0023808,-0.0008144343740045915,-0.13382362665842817,-1.3104326342051861e-08,-0.02235185994832598,-0.6003593620832137,-34.06167984008789,0.249267578125,1.000596523284912,0.000299857152,0.4186179041862488,6379,-0.5921366214752197,0.029539736,0.2,0.01830844022333622,1.503161072731018
33,-0.1708623175347586,0.01629787504348556,-1.1171191199130908e-05,-0.44969049424605195,0.01,25.36864,0.0,-1.444644435267029,-171.55903093000003,-0.1637775200522152,608256,4561,-0.10190784010850687,0.649434752,0.0,-1.0069267313470267,-0.6427954044095814,-0.07811401057321381,286.44,-8.404933372481273e-05,-0.273643925131851,0.0,133,-0.15333097882941518,0.0,-0.5,0.0,0.0,0.0,-0.0041766652940152865,0.0024576,-0.0008441203091387293,-0.13478927940196017,-1.3969217437842452e-08,-0.025952735867891836,-0.6231299098423272,-34.06231880187988,0.2503662109375,1.0006499290466309,0.000299852544,0.4946727752685547,6380,-0.43499457836151123,0.027175302,0.2,0.020308489445596933,1.615441381931305
34,-0.152781285940566,0.009810377566213495,-1.142520986090942e-05,-0.49033423986684344,0.01,25.38016,0.0,-1.4004627243218843,-170.42116976999998,-0.13442318049128513,626688,4563,-0.10043221716378796,0.649417088,0.0,-0.8853653043799903,-0.6448201939142164,-0.06119946221499127,282.13,-8.508253526240598e-05,-0.2621861775726215,0.0,137,-0.12735242632658447,0.0,-0.5,0.0,0.0,0.0,-0.0016764649168707706,0.0025344,-0.0008933698807473598,-0.13765503702955953,-1.4393721592655925e-08,-0.02420838708820865,-0.5781482877938274,-34.062103271484375,0.2491455078125,1.0006318092346191,0.000299847936,0.46177542209625244,6381,-0.3250366449356079,0.02861748,0.2,0.01865488477051258,1.5846332907676697
35,-0.11729967972658212,0.018058905144265704,-1.2031214029519353e-05,-0.5110395347412735,0.01,25.39168,0.0,-1.367118754238526,-169.30089339999995,-0.17369948529806634,645120,4566,-0.10051239042252737,0.6493994240000001,0.0,-1.0962349972249217,-0.6128000275200084,-0.08097695302090449,277.87,-8.996609382385561e-05,-0.2835117530217146,0.0,141,-0.18673273978831934,0.0,-0.5,0.0,1.7903619057809312e-05,0.0,-0.001130523967295805,0.0026112,-0.000945357762380831,-0.13713088558427636,-1.5925071605627765e-08,-0.037072777608645,-0.6368207551576711,-34.06191444396973,0.27734375,1.000616192817688,0.000299843328,1.0760453939437866,6382,-0.16865086555480957,0.03585318,0.2,0.01675076549872756,2.2526482939720154
