reward_terms/stop,reward_terms/foot_slip,curriculum/stance_ratio,time/total_timesteps,reward_terms/angmom,reward_terms/height,curriculum/eff_scale,reward_terms/time,reward_terms/lat_vel,curriculum/sprint_dist_m,reward_terms/motor_vel,reward_terms/hip_roll,time/fps,reward_terms/energy,curriculum/ent_coef,curriculum/ctrl_jitter_ms,reward_terms/stance,reward_terms/alive,rollout/ep_rew_mean,rollout/ep_len_mean,reward_terms/action_rate,reward_terms/coef_rate,reward_terms/torque,reward_terms/vz,reward_terms/clearance,reward_terms/ang_xy,reward_terms/overrun,reward_terms/residual,reward_terms/fwd_speed,reward_terms/upright,reward_terms/stance_time,reward_terms/phase_contact,reward_terms/assist_pen,curriculum/ctrl_drop_prob,time/iterations,time/time_elapsed,reward_terms/air_time,train/entropy_loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/loss,train/explained_variance,train/clip_range,train/std,train/value_loss,train/learning_rate,train/approx_kl
0.0,-0.5761608972803874,0.640938368,9474048,-0.07328423592997611,-0.10967224365244038,0.0393984,-0.5,-6.405879508346496e-08,30.90976,-0.0003400641343578395,-0.22758279383058783,4544,-0.0026907010387098858,0.01,0.0,-0.01105479052636272,0.0,-116.69664189,194.34,-0.1758694253312576,-0.7019128649259676,-0.026201312507155076,-0.31990784139563494,0.13479596370123387,-0.19999719369393454,0.0,-0.10091451148821257,1.6787138343324974,-0.13915948602623496,-0.0030247413572700075,-0.32273009544011305,0.0,0.0,514,2084,0.0008013222832232714,-34.05935783386231,8207,0.18050537109375,-0.020938141574151813,1.3601592779159546,0.9436864852905273,0.2,1.0011239051818848,3.906670355796814,0.000297636096,0.016401652
0.0,-0.5824862473074175,0.640920704,9492480,-0.07433287758143489,-0.1077310292434571,0.0394752,-0.5,-6.271923656170441e-08,30.92128,-0.0003423076467547715,-0.22600702648256876,4544,-0.002691073713452611,0.01,0.0,-0.009885759095191769,0.0,-115.67012978999999,186.11,-0.1751555527236416,-0.687527649228873,-0.026361843560445544,-0.3159884462613449,0.1343871032858206,-0.20139769620448492,0.0,-0.1007761147700833,1.644787975172569,-0.1353689494989531,-0.0025025546298517534,-0.3220345075120709,0.0,0.0,515,2088,0.0008935530592376987,-34.06116237640381,8211,0.191455078125,-0.02153131626546383,0.8285555839538574,0.9510208964347839,0.2,1.0009040832519531,3.20194251537323,0.00029763148799999997,0.020289749
0.0,-0.5778837195025284,0.64090304,9510912,-0.07431739147328649,-0.11001372596479778,0.039552,-0.5,-6.309088696215538e-08,30.9328,-0.0003392509490276797,-0.2257263127711774,4544,-0.0026764693651261115,0.01,0.0,-0.011180701737524062,0.0,-116.09313777,186.94,-0.17546133624710847,-0.699981338040431,-0.026061789585361386,-0.3150739561221604,0.14233649325710437,-0.197916152634643,0.0,-0.10122487849176647,1.6846004206139955,-0.14512900096893538,-0.002646054627904151,-0.3170962063429385,0.0,0.0,516,2092,0.0008783621047364755,-34.05557765960693,8215,0.22122802734375,-0.02101310493890196,1.3624565601348877,0.9360654354095459,0.2,1.000715732574463,4.272233176231384,0.00029762688,0.019316476
0.0,-0.5928812716875742,0.6408853760000001,9529344,-0.07699945445738383,-0.1146309928613584,0.0396288,-0.5,-6.429450493402128e-08,30.944319999999998,-0.00033570516308551194,-0.22518467885725255,4544,-0.0026444097004211854,0.01,0.0,-0.012997559702812179,0.0,-115.7444084,188.86,-0.1739178282544238,-0.6988440897025706,-0.026067495951018448,-0.3231750218076857,0.1405095410817564,-0.20401564816338147,0.0,-0.10123312083593045,1.7390800064609544,-0.15120867476715702,-0.0024016429961193353,-0.315230043656853,0.0,0.0,517,2096,0.0007226548623293638,-34.05769634246826,8219,0.178955078125,-0.0221789148170501,1.4662493467330933,0.946382462978363,0.2,1.0009355545043945,3.6774898767471313,0.000297622272,0.017536169
0.0,-0.5813113308386109,0.640867712,9547776,-0.07567865635398068,-0.10586123054833867,0.0397056,-0.5,-6.319500837004136e-08,30.955840000000002,-0.00034357154099184424,-0.22685513175618965,4544,-0.0027085428634908357,0.01,0.0,-0.010196296077750883,0.0,-115.46037484,184.59,-0.17520943978869685,-0.6926597211462251,-0.026526807265044843,-0.32393775625806104,0.1338183490435413,-0.19628481605450157,0.0,-0.10117944376716123,1.6645534348537698,-0.1344273734704962,-0.0031640375236747786,-0.3155407484223647,0.0,0.0,518,2101,0.0008072901885801306,-34.05899295806885,8223,0.1811767578125,-0.02153379901428707,1.1569914817810059,0.9502618312835693,0.2,1.000913381576538,3.6003688097000124,0.00029761766399999997,0.018478537
0.0,-0.5842823457687499,0.640850048,9566208,-0.07371404851890076,-0.10964948738809634,0.0397824,-0.5,-6.390515699827559e-08,30.96736,-0.00033753832712376337,-0.2335906447984365,4544,-0.002666812310922275,0.01,0.0,-0.00763580228767825,0.0,-116.22273307000002,190.95,-0.17413986179183463,-0.6993219681274769,-0.026332185154244715,-0.31629015603215827,0.1359435839730232,-0.19269629539906233,0.0,-0.10108180470879707,1.681202146853759,-0.13807439952657935,-0.0027667669508244013,-0.32501695042696643,0.0,0.0,519,2105,0.0007383883348666131,-34.05539779663086,8227,0.1795166015625,-0.01977733741514385,1.8589887619018555,0.926213800907135,0.2,1.0006523132324219,5.376565480232239,0.000297613056,0.015084542
0.0,-0.5935298846894229,0.640832384,9584640,-0.07617307930728691,-0.1085309183334738,0.0398592,-0.5,-6.195282466971518e-08,30.97888,-0.00033953402033007427,-0.22841851692511617,4544,-0.0026937111692506713,0.01,0.0,-0.008051882829863943,0.0,-115.58596604,183.92,-0.17292355456445818,-0.695836867206088,-0.026480297115754878,-0.31624396468083243,0.13871531961499403,-0.1982853406577943,0.0,-0.10136144152720174,1.709062507309959,-0.1416142889634176,-0.0023060226554258,-0.31650091362533117,0.0,0.0,520,2109,0.0006830498589099281,-34.05493793487549,8231,0.20224609375,-0.023722211713902652,0.8414297103881836,0.9528298377990723,0.2,1.000779628753662,3.1150846600532534,0.000297608448,0.019810207
0.0,-0.5650740381613665,0.6408147200000001,9603072,-0.08022119905685657,-0.10776141297164749,0.039936,-0.5,-6.331874443103434e-08,30.9904,-0.00033937788537153935,-0.2289905193642019,4544,-0.002681159735343388,0.01,0.0,-0.01204776862283428,0.0,-115.65997646999999,190.2,-0.17232385843886594,-0.6834383624758837,-0.026347664507810314,-0.3273031498655378,0.14227598948052742,-0.20111898762856034,0.0,-0.10137558272860069,1.7119742743513653,-0.14613746167625552,-0.0030575663679175908,-0.3097968422015238,0.0,0.0,521,2113,0.00074272863760901,-34.05780467987061,8235,0.20838623046875,-0.01900607373099774,2.2023732662200928,0.939738392829895,0.2,1.0011576414108276,4.359466087818146,0.00029760383999999997,0.017679956
0.0,-0.589914839752073,0.640797056,9621504,-0.0785041185774259,-0.1057811585066255,0.0400128,-0.5,-6.288169533437226e-08,31.00192,-0.00034054132828542443,-0.2288403361241934,4544,-0.0026955554005783844,0.01,0.0,-0.010594716153198902,0.0,-115.92562477,188.02,-0.17138633325504243,-0.678352120288211,-0.02643101482420407,-0.3231412847250274,0.13789971320238437,-0.19872384699738174,0.0,-0.10124248413274381,1.6728018870364656,-0.14421750268099892,-0.0021650992857757956,-0.31784579010624825,0.0,0.0,522,2117,0.0007703978335484862,-34.062224578857425,8239,0.18529052734375,-0.02142300648847595,1.768303394317627,0.946021556854248,0.2,1.0012762546539307,3.8911824822425842,0.000297599232,0.018152948
0.0,-0.5797297568981838,0.640779392,9639936,-0.0780859211277528,-0.11215564417456643,0.0400896,-0.5,-6.325978276676562e-08,31.01344,-0.0003273799178221645,-0.2247995069386454,4544,-0.00262804355504453,0.01,0.0,-0.009789547781130004,0.0,-115.19486678,196.49,-0.172650288086235,-0.6815545746371376,-0.026036214451892557,-0.3227521738982637,0.139097237790082,-0.18809345007702116,0.0,-0.10151094734272029,1.7297642700407658,-0.1473695780881977,-0.0028396025413207505,-0.3158969228331185,0.0,0.0,523,2121,0.0007351331199364116,-34.06043815612793,8243,0.1677734375,-0.019657771498896182,1.6842199563980103,0.9386150240898132,0.2,1.0010790824890137,4.291474127769471,0.000297594624,0.01541653
0.0,-0.5777820623962246,0.640761728,9658368,-0.07533174710226441,-0.11035666376805939,0.0401664,-0.5,-6.609671422047699e-08,31.02496,-0.0003352778233540322,-0.2277374316788736,4544,-0.002680509886828841,0.01,0.0,-0.00928449588656699,0.0,-115.64851031999999,192.68,-0.17452788498297717,-0.6860269685414621,-0.026496868069929697,-0.32878734038998353,0.13680851032670127,-0.18983561400611637,0.0,-0.10148312995134451,1.7077013576603894,-0.14062637132867561,-0.003060548791028042,-0.3129580123481677,0.0,0.0,524,2125,0.0007486964653556546,-34.05742492675781,8247,0.17291259765625,-0.022222992859315126,0.4866085648536682,0.9703522324562073,0.2,1.0007014274597168,1.8940057754516602,0.00029759001599999997,0.017382924
0.0,-0.5719395073987161,0.6407440640000001,9676800,-0.07710483338401543,-0.11472388003353198,0.0402432,-0.5,-6.31530096529464e-08,31.03648,-0.0003311820875267301,-0.22384816190363382,4544,-0.0026686640877417143,0.01,0.0,-0.00887441072821001,0.0,-115.24160201999999,198.44,-0.17134371883000843,-0.6733957267809879,-0.026429905202710047,-0.3339005107278841,0.140837779041921,-0.1924795037149863,0.0,-0.10145740674693222,1.772802649017237,-0.15297630919714306,-0.003014296720114847,-0.3196530821518677,0.0,0.0,525,2129,0.0008566607527124385,-34.0595064163208,8251,0.23841552734375,-0.01763241314329207,1.1465981006622314,0.9541494250297546,0.2,1.000955581665039,3.380130887031555,0.000297585408,0.018995397
0.0,-0.569981111674505,0.6407264,9695232,-0.07098577906312455,-0.10450716875834248,0.04032,-0.5,-6.476453436984018e-08,31.048000000000002,-0.00034131254715691274,-0.22115014279984851,4544,-0.0026992813777430556,0.01,0.0,-0.008297813287258959,0.0,-115.0006063,187.23,-0.1741609780820076,-0.6741276679931759,-0.026174371388040144,-0.3198552271128402,0.13843399977395524,-0.18450379156341967,0.0,-0.10130853464808258,1.6878549282563982,-0.13129919312784966,-0.0029596365412645456,-0.31340619032028527,0.0,0.0,526,2133,0.0008317042310308251,-34.063697242736815,8255,0.2086669921875,-0.022374761279206724,0.39027106761932373,0.974963366985321,0.2,1.0013997554779053,1.8997865319252014,0.0002975808,0.021369424
