curriculum/eff_scale,reward_terms/energy,reward_terms/angmom,time/total_timesteps,rollout/ep_rew_mean,reward_terms/foot_slip,est/vel_rmse,reward_terms/stand_drift,reward_terms/action_rate,reward_terms/height,reward_terms/alive,reward_terms/assist_pen,reward_terms/track_lin,reward_terms/upright,reward_terms/ang_xy,reward_terms/stance_time,reward_terms/overrun,reward_terms/foot_ahead,reward_terms/stance,reward_terms/fwd_speed,curriculum/swing_frac_mean,reward_terms/time,curriculum/swing_frac_min,reward_terms/track_yaw,reward_terms/stop,reward_terms/clearance,reward_terms/coef_rate,reward_terms/motor_vel,time/iterations,reward_terms/lat_vel,reward_terms/step_rate,ankle/ankle_spring_trq_peak,reward_terms/residual_rate,reward_terms/vz,curriculum/dr_scale,reward_terms/duty_sym,reward_terms/phase_contact,reward_terms/residual,reward_terms/hip_roll,curriculum/cmd_scale,rollout/ep_len_mean,reward_terms/torque,curriculum/ctrl_drop_prob,reward_terms/air_time,reward_terms/stand,time/fps,curriculum/stance_ratio,curriculum/cmd_track_err,curriculum/ent_coef,curriculum/ctrl_jitter_ms,ankle/ankle_spring_energy_peak,ankle/ankle_defl_peak,time/time_elapsed,train/std,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl,train/clip_range,train/loss,train/value_loss,train/n_updates,curriculum/eff_scale_progress,curriculum/dr_scale_progress,curriculum/ctrl_jitter_ms_progress,curriculum/stance_ratio_progress,curriculum/ctrl_drop_prob_progress
0.0711782399999964,-0.0003473786680494959,-0.018766478919889664,49250304,2895.09043626,-0.3570507206540639,0.3616407742915131,-0.03330514432041011,-0.09727678316330735,-0.00277646651550686,0.0,0.0,2.9551742055507,-2.764298949815495e-07,-1.6098321658236037e-06,-0.008219401041666666,0.0,0.0,-0.048165286741208194,0.0,0.3075900607638889,0.0,0.044487847222222224,1.999984641283026,0.0,0.001564374624261001,-0.7991161107367305,-5.643745270160948e-05,2672,-3.3547350758508876e-09,-0.005110677083333376,0.0,0.0,-0.01367857221690494,0.6100992000000007,-0.2887968703251766,-0.026599536158257945,-0.09711274663494623,-0.23171772735923138,0.1,2478.11,-0.015614471254925053,0.03050496000000004,0.00010633672354742885,2.030477378556298,5842,0.6837306880000008,0.2539316988883151,0.00852249088,2.440396800000003,0.0,0.5037780272290944,8429,1.0012977123260498,-36.90925559997559,-0.012374363467097282,0.9830911755561829,0.000201536256,0.15570068359375,0.014056723,0.2,262.2584228515625,614.29892578125,10673,0.2033663999999897,0.6100992000000007,0.6100992000000007,0.2033663999999897,0.6100992000000007
0.07120511999999639,-0.00035064688424243777,-0.01973276322589607,49268736,2975.6205644400006,-0.35139092897489094,0.3531943805863448,-0.031774933964673326,-0.09804873313788373,-0.002846157883171229,0.0,0.0,2.8863846072554917,-2.725108059571634e-07,-1.4855560359528806e-06,-0.001437717013888889,0.0,0.0,-0.06490893852545407,0.0,0.3092990451388889,0.0,0.056098090277777776,1.9999851460453972,0.0,0.001664563451314222,-0.7983703813434622,-5.6667568210807905e-05,2673,-3.217473139258178e-09,-0.005013020833333375,0.0,0.0,-0.014121658989354953,0.6103296000000007,-0.2499746933264155,-0.013868511836808005,-0.0971072014516877,-0.22686855126784997,0.1,2511.38,-0.015991565549009757,0.030516480000000037,4.611539124097261e-05,1.939662369314843,5842,0.6837245440000008,0.35568765032099503,0.00851954176,2.4413184000000028,0.0,0.5058984712947691,8432,1.0014537572860718,-36.90926856994629,-0.01312012573471293,0.9763153195381165,0.000201499392,0.1379638671875,0.013084194,0.2,313.1317443847656,850.7102478027343,10677,0.2034431999999897,0.6103296000000007,0.6103296000000007,0.2034431999999897,0.6103296000000007
0.07123199999999638,-0.0003457334646352834,-0.01703374145696326,49287168,2878.795327220001,-0.3391566991063284,0.3776292222578377,-0.025502567281536874,-0.09941152300223033,-0.002857116172627556,0.0,0.0,2.7572993223487887,-2.608253217320199e-07,-1.7060010232762105e-06,-0.004448784722222222,0.0,0.0,-0.058267159071696245,0.0,0.30978732638888884,0.0,0.0686306423611111,1.9999820092678244,0.0,0.0021140822798166323,-0.8049916381651949,-5.584834567223651e-05,2674,-3.786804852668068e-09,-0.005468750000000048,0.0,0.0,-0.015034457765887585,0.6105600000000007,-0.20232316525362287,-0.020008415512328747,-0.09721264722530869,-0.21785304211341322,0.1,2432.86,-0.015538926234243695,0.030528000000000034,5.4795899712998005e-05,1.818986617927295,5842,0.6837184000000008,0.2903889545277248,0.00851659264,2.4422400000000026,0.0,0.5009277642358879,8435,1.001373291015625,-36.90855445861816,-0.01342500331811607,0.9686325192451477,0.000201462528,0.1349609375,0.0135904495,0.2,647.6224975585938,1186.1678253173827,10681,0.20351999999998968,0.6105600000000007,0.6105600000000007,0.20351999999998968,0.6105600000000007
0.07125887999999637,-0.0003618828382284218,-0.019967736906949335,49305600,3054.454851950001,-0.37628757569761595,0.43235905439932854,-0.020410005739853007,-0.09760913817638589,-0.003061447013424911,0.0,0.0,2.608603276269564,-2.604454766095402e-07,-1.6656797815250357e-06,-0.010362413194444444,0.0,0.0,-0.056948337922491925,0.0,0.30314127604166663,0.0,0.08072916666666667,1.9999818723057037,0.0,0.0016637014722443563,-0.7985864910652558,-5.720199181093978e-05,2675,-3.5358947822926804e-09,-0.005913628472222277,0.0,0.0,-0.015790763144859558,0.6107904000000006,-0.13929453009766632,-0.027937717956833703,-0.0977310854027298,-0.20238996456532884,0.1,2560.3,-0.015507105647651167,0.030539520000000032,4.9370648210040396e-05,1.7009862296619769,5842,0.6837122560000007,0.36573897370321173,0.008513643520000001,2.4431616000000025,0.0,0.5045570829697876,8438,1.0014822483062744,-36.91013050079346,-0.013194463099353015,0.9761649370193481,0.000201425664,0.18055419921875,0.014623001,0.2,307.033935546875,942.9849426269532,10685,0.20359679999998967,0.6107904000000006,0.6107904000000006,0.20359679999998967,0.6107904000000006
0.07128575999999638,-0.00036078326052245977,-0.018548713703248513,49324032,3113.7205326099997,-0.3602359595716276,0.41819220657106004,-0.019057531891035574,-0.09891994046609717,-0.0031275391517097415,0.0,0.0,2.748704216937261,-2.7184308524001663e-07,-1.6324627417129437e-06,-0.003822153841610998,0.0,0.0,-0.044312944864423436,0.0,0.2975260416666667,0.0,0.06580946180555555,1.999983646578209,0.0,0.0027062649175720035,-0.7974670126042197,-5.7337557560109136e-05,2676,-3.616098504056615e-09,-0.005056423611111154,0.0,0.0,-0.015025105295461274,0.6110208000000006,-0.14970670214609286,-0.04160826364466709,-0.09708579865100392,-0.20568208584825565,0.1,2621.89,-0.01612689738694287,0.03055104000000003,8.680537575855851e-06,1.813603167620855,5842,0.6837061120000008,0.33670510848053176,0.008510694400000001,2.4440832000000023,0.0,0.5062383770854594,8441,1.0014878511428833,-36.910867881774905,-0.012248415499925613,0.974389910697937,0.0002013888,0.15576171875,0.014704362,0.2,489.7937316894531,1137.6967681884767,10689,0.20367359999998966,0.6110208000000006,0.6110208000000006,0.20367359999998966,0.6110208000000006
0.07131263999999637,-0.00037018415023337773,-0.024213098073885067,49342464,3193.5423169000005,-0.39363314790786275,0.443273409941183,-0.020232629586422704,-0.10082820655759278,-0.003567326476968576,0.0,0.0,2.8535367813624424,-2.716764147420853e-07,-1.6357414750917877e-06,-0.012800557519464443,0.0,0.0,-0.044068614788179,0.0,0.2955457899305556,0.0,0.07606336805555555,1.9999824679204283,0.0,0.0021929768803150887,-0.8208312314885264,-5.728328345681871e-05,2677,-4.086522213772936e-09,-0.005381944444444491,0.0,0.0,-0.01576160959411282,0.6112512000000005,-0.11435980506873057,-0.05283562086100657,-0.09638543043262854,-0.20827489862212517,0.1,2727.11,-0.017857381362433578,0.03056256000000003,7.107199700031843e-05,1.8671009787291024,5842,0.6836999680000008,0.29483842556609874,0.00850774528,2.445004800000002,0.0,0.5059575406056923,8444,1.001161813735962,-36.90658416748047,-0.013702809004462324,0.9806911945343018,0.000201351936,0.14090576171875,0.013159188,0.2,358.8583984375,821.800015258789,10693,0.20375039999998965,0.6112512000000005,0.6112512000000005,0.20375039999998965,0.6112512000000005
0.07133951999999637,-0.0003604315617154218,-0.018576056452617753,49360896,3273.2140599599998,-0.3657228996515734,0.4288029843447603,-0.020391580372620118,-0.10009556974956052,-0.003140684634968583,0.0,0.0,2.80584573465912,-2.742961500081011e-07,-1.7319179235669856e-06,-0.0015064810318613632,0.0,0.0,-0.047860810323067576,0.0,0.2958713107638889,0.0,0.05691189236111111,1.9999811229372757,0.0,0.0022050156225877364,-0.7935985295894099,-5.5916393684859165e-05,2678,-4.252954434029159e-09,-0.005240885416666712,0.0,0.0,-0.015439992278335713,0.6114816000000005,-0.10754314009501525,-0.04575474348747252,-0.09666545703526847,-0.21127699646490317,0.1,2795.73,-0.017749624821884823,0.030574080000000028,2.1701271180063486e-06,1.887410946601021,5842,0.6836938240000008,0.2965925870345751,0.00850479616,2.445926400000002,0.0,0.501527828811283,8448,1.0012564659118652,-36.90748977661133,-0.012301445449702441,0.9813153743743896,0.00020131507200000002,0.14320068359375,0.013464138,0.2,515.3810424804688,787.4136840820313,10697,0.20382719999998963,0.6114816000000005,0.6114816000000005,0.20382719999998963,0.6114816000000005
0.07136639999999636,-0.0003539653792246834,-0.018850679777439466,49379328,3153.0518873600004,-0.35968127693714563,0.40370117751505646,-0.02516907731392189,-0.09816836385029715,-0.0034480991773383042,0.0,0.0,2.8417880948283933,-2.7741129122702767e-07,-1.7074899324247598e-06,-0.0018678060441743582,0.0,0.0,-0.0575051185455377,0.0,0.2937825520833333,0.0,0.050944010416666664,1.9999828882759434,0.0,0.001138333888134527,-0.7840932482510301,-5.4761528484880816e-05,2679,-3.816414405536898e-09,-0.00540364583333338,0.0,0.0,-0.014690276440048021,0.6117120000000005,-0.14838120050819162,-0.04151501836517538,-0.09638371994698265,-0.22198542592556772,0.1,2672.78,-0.01803705709742066,0.030585600000000025,5.967856850475073e-06,1.8867881520933238,5842,0.6836876800000008,0.25771594531741376,0.00850184704,2.446848000000002,0.0,0.5099306752910177,8451,1.0011775493621826,-36.9062255859375,-0.011304214887786657,0.976893424987793,0.000201278208,0.15628662109375,0.014375138,0.2,319.2667541503906,883.3380249023437,10701,0.20390399999998962,0.6117120000000005,0.6117120000000005,0.20390399999998962,0.6117120000000005
0.07139327999999635,-0.00034893530529040616,-0.020047566468086978,49397760,3234.00343682,-0.3597335474365867,0.37889399951126007,-0.03654164569869146,-0.09981584404198113,-0.003495772571482337,0.0,0.0,2.9359164443957217,-2.7802799501368756e-07,-1.7122948266879157e-06,-0.0008865014080786043,0.0,0.0,-0.03640290403231152,0.0,0.2958984375,0.0,0.044270833333333336,1.9999821802513074,0.0,0.0015029323850796342,-0.7816471099864136,-5.4131840195629454e-05,2680,-3.3242671204269486e-09,-0.005099826388888932,0.0,0.0,-0.013575667802654044,0.6119424000000004,-0.17365942851705804,-0.031659109788788956,-0.0962890877682416,-0.22691241311544014,0.1,2773.11,-0.018577657167265324,0.030597120000000023,9.223071780676642e-06,2.0431481191786074,5842,0.6836815360000008,0.24490766569667255,0.00849889792,2.4477696000000018,0.0,0.5090004167014083,8454,1.0011544227600098,-36.90568580627441,-0.014222409151261672,0.9858051538467407,0.000201241344,0.17823486328125,0.01461195,0.2,232.01820373535156,536.3317749023438,10705,0.2039807999999896,0.6119424000000004,0.6119424000000004,0.2039807999999896,0.6119424000000004
0.07142015999999636,-0.00033950342342808107,-0.018047551327187508,49416192,3312.5897116299984,-0.34071390513999117,0.35488138823152554,-0.03193193931258154,-0.09933162178008653,-0.003321604947607403,0.0,0.0,3.043675278772578,-2.8498251077000345e-07,-1.7342937429975308e-06,-0.0016692420370721568,0.0,0.0,-0.028668432039702565,0.0,0.30240885416666663,0.0,0.04220920138888889,1.9999819798517333,0.0,0.001406988432737217,-0.7892098363862926,-5.287630373621897e-05,2681,-3.898273779989427e-09,-0.004991319444444486,0.0,0.0,-0.013481145158509534,0.6121728000000004,-0.191943261715844,-0.025796930590228216,-0.09627731685772707,-0.2365606187459591,0.1,2843.72,-0.018007828516906778,0.03060864000000002,2.7126613228271403e-06,2.138179635578918,5842,0.6836753920000008,0.20829071802671537,0.0084959488,2.4486912000000016,0.0,0.505629783121912,8457,1.001441240310669,-36.90950317382813,-0.011283663986250757,0.9802852272987366,0.00020120448,0.20284423828125,0.017750796,0.2,271.1859436035156,616.6619293212891,10709,0.2040575999999896,0.6121728000000004,0.6121728000000004,0.2040575999999896,0.6121728000000004
0.07144703999999635,-0.00034082057973338514,-0.017526775222474367,49434624,3313.3346135999996,-0.3239728492048084,0.36426834623022075,-0.027623536279834698,-0.09902764721799445,-0.003259000884623635,0.0,0.0,3.030258280541201,-2.8644476606790567e-07,-1.6959489728759656e-06,-0.0007866753472222222,0.0,0.0,-0.02704872127453852,0.0,0.3013780381944445,0.0,0.03493923611111111,1.9999823702497004,0.0,0.000600845567462544,-0.7822605570616772,-5.271073059086992e-05,2682,-3.3867993511859116e-09,-0.004926215277777818,0.0,0.0,-0.013091045099603167,0.6124032000000004,-0.19474674195557434,-0.012458355887675085,-0.09638034532342614,-0.24364632480801943,0.1,2819.88,-0.018203286066774592,0.03062016000000002,0.0,2.1230727698274854,5842,0.6836692480000008,0.34161592672626956,0.00849299968,2.4496128000000015,0.0,0.501574286678113,8460,1.0014129877090454,-36.90949020385742,-0.011826120666228235,0.9873582720756531,0.00020116761599999999,0.15125732421875,0.013315077,0.2,211.626953125,369.55591506958007,10713,0.20413439999998959,0.6124032000000004,0.6124032000000004,0.20413439999998959,0.6124032000000004
0.07147391999999635,-0.00035186491603268993,-0.019038641128206635,49453056,3279.32231916,-0.35902121192152386,0.38899922603245796,-0.0296131248616262,-0.09911789465287729,-0.003115507481340642,0.0,0.0,2.9374352600666995,-2.8760269486653846e-07,-1.8060740078104549e-06,-0.004703503697075778,0.0,0.0,-0.026510366993108523,0.0,0.3056911892361111,0.0,0.051595052083333336,1.9999815869780297,0.0,0.001114743561250091,-0.7923614623514887,-5.6334921341980376e-05,2683,-3.673994239294198e-09,-0.0049587673611111525,0.0,0.0,-0.014185506631690529,0.6126336000000003,-0.16295173078478584,-0.020060663992815187,-0.09615961666427979,-0.2325126776188643,0.1,2793.23,-0.01823116269489099,0.03063168000000002,1.627600674207012e-05,2.0296210274552218,5842,0.6836631040000007,0.3442274997959662,0.00849005056,2.4505344000000013,0.0,0.5049551632290197,8463,1.0013455152511597,-36.90864562988281,-0.01348613468289841,0.9669082164764404,0.00020113075199999997,0.15521240234375,0.013734964,0.2,306.5704650878906,826.78583984375,10717,0.20421119999998957,0.6126336000000003,0.6126336000000003,0.20421119999998957,0.6126336000000003
0.07150079999999634,-0.0003455196172326769,-0.018049321669194967,49471488,3270.1309693900002,-0.32035987276068123,0.4134609783481018,-0.027332544233857736,-0.0977799175299821,-0.0035652885267244785,0.0,0.0,2.8213787474973264,-2.689017224299504e-07,-1.6421486982231995e-06,-0.003107091198520114,0.0,0.0,-0.058974545264547026,0.0,0.3054741753472222,0.0,0.06928168402777778,1.999982935033977,0.0,0.001917146730168921,-0.7955235583483499,-5.321021269206699e-05,2684,-4.021182093145125e-09,-0.0053927951388889365,0.0,0.0,-0.01442298024713167,0.6128640000000003,-0.1595983225781066,-0.03226697813341695,-0.0970654640955382,-0.22004709007021445,0.1,2789.15,-0.01749251418640219,0.030643200000000016,1.4105869922786951e-05,1.843073345944932,5842,0.6836569600000008,0.33780582129564346,0.00848710144,2.451456000000001,0.0,0.49830649597038135,8467,1.0015513896942139,-36.90948047637939,-0.01481427280814387,0.9648684859275818,0.00020109388799999998,0.18271484375,0.017134497,0.2,452.0311584472656,1131.7677032470704,10721,0.20428799999998956,0.6128640000000003,0.6128640000000003,0.20428799999998956,0.6128640000000003
0.07152767999999633,-0.00035625953861424483,-0.0198642662946076,49489920,3319.02420131,-0.36184609007574225,0.40490065745561526,-0.02846552833036557,-0.0986483991390456,-0.003583045901177381,0.0,0.0,2.857673536310175,-2.564997406181928e-07,-1.7585835265163002e-06,-0.003096241115902861,0.0,0.0,-0.050137031569179744,0.0,0.2920464409722222,0.0,0.060980902777777776,1.9999831665321974,0.0,0.0011380303261829224,-0.7878742696188147,-5.594724916912836e-05,2685,-3.5831057613559953e-09,-0.005533854166666716,0.0,0.0,-0.014670013725479748,0.6130944000000003,-0.12571735972642142,-0.023072466869962845,-0.09674948065634872,-0.21798993676716596,0.1,2810.97,-0.016499639175806338,0.030654720000000014,0.0,1.8552075351160306,5842,0.6836508160000008,0.355612378732295,0.00848415232,2.452377600000001,0.0,0.504209144462404,8470,1.0015904903411865,-36.91189727783203,-0.013214599550701677,0.9817662239074707,0.000201057024,0.16024169921875,0.014317179,0.2,447.4943542480469,727.3949188232422,10725,0.20436479999998955,0.6130944000000003,0.6130944000000003,0.20436479999998955,0.6130944000000003
