reward_terms/torque,reward_terms/hip_roll,curriculum/eff_scale,reward_terms/motor_vel,reward_terms/stance,reward_terms/foot_slip,reward_terms/height,rollout/ep_len_mean,time/time_elapsed,reward_terms/stance_time,reward_terms/assist_pen,reward_terms/air_time,reward_terms/energy,time/fps,reward_terms/stop,reward_terms/alive,reward_terms/action_rate,reward_terms/phase_contact,reward_terms/lat_vel,reward_terms/ang_xy,reward_terms/upright,curriculum/sprint_dist_m,reward_terms/overrun,reward_terms/angmom,curriculum/stance_ratio,time/iterations,rollout/ep_rew_mean,time/total_timesteps,reward_terms/time,reward_terms/vz,reward_terms/coef_rate,reward_terms/clearance,reward_terms/residual,reward_terms/fwd_speed,curriculum/ent_coef,train/explained_variance,train/value_loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/clip_range,train/std,train/approx_kl,train/loss
-0.14405451863398877,-0.49321566858206073,0.1014528,-0.0003230534472843486,-0.019926764467157295,-0.8596462453664099,-0.1126525099645682,7179.17,5363,-0.0011577614641282707,0.0,0.002064341443151029,-0.004980329762384044,4543,0.0038914420690478063,0.0,-0.11548051358301382,-0.4189248580526142,-1.0122103307919048e-07,-6.053543623372736e-06,-9.196554713093294e-07,40.21792,0.0,0.0,0.626665856,1322,210.88637632,24367104,-0.5,-0.701785109223046,-1.2018698118752449,0.14997343614011452,-0.10637125615487439,1.8531157481593503,0.01,0.988946259021759,7.2581476926803585,0.2195556640625,0.000291883776,-34.071597480773924,-0.020842821383848787,5284,0.2,1.0017762184143066,0.021573758,2.1716580390930176
-0.14872221289284712,-0.47035036895501964,0.1015296,-0.0003092111163740522,-0.02140025760130726,-0.8623744522834541,-0.10952788083075904,7205.29,5367,-0.001648345621005218,0.0,0.0017220024569218771,-0.00496365664287056,4543,0.005457749418825284,0.0,-0.11529600257636388,-0.4357624737296373,-8.636261402847365e-08,-5.721503473917001e-06,-9.521391101444769e-07,40.22944,0.0,0.0,0.626648192,1323,212.25075117999998,24385536,-0.5,-0.6541057114913129,-1.2143078097840163,0.13897856660452657,-0.10632604881854543,1.8692342307897982,0.01,0.9881516695022583,13.683859395980836,0.2165771484375,0.000291877632,-34.06911067962646,-0.013878377887886017,5288,0.2,1.001435399055481,0.016720891,5.121148586273193
-0.15220338026849198,-0.46726373056591974,0.1016064,-0.0003161918338010774,-0.01094649846257562,-0.8482894325798724,-0.1073973706792464,7140.34,5371,-0.0005030594604452037,0.0,0.0020301617397409347,-0.00502403646790013,4543,0.00024835565195335373,0.0,-0.11423020016499473,-0.4556540710446584,-9.274374004820934e-08,-5.753739644360583e-06,-9.398378206392574e-07,40.24096,0.0,0.0,0.626630528,1324,208.21652637000003,24403968,-0.5,-0.6983728077836396,-1.18369757746461,0.1658282072713156,-0.10674491762491664,2.2263274340117967,0.01,0.9903870224952698,11.663909578323365,0.166015625,0.00029187148799999997,-34.06605739593506,-0.01508943720255047,5292,0.2,1.001173496246338,0.014074984,3.8185791969299316
-0.1495165202295899,-0.4807975302375562,0.1016832,-0.0003157004939236031,-0.02451690487072439,-0.8721967073987166,-0.11009165586166537,7165.12,5375,-0.0007103066471043146,0.0,0.002077904707726298,-0.0050025001438360715,4543,0.0002324569880480705,0.0,-0.11365771153387648,-0.4557594244032943,-1.036846026974249e-07,-5.8456858599845905e-06,-9.482581787952987e-07,40.25248,0.0,0.0,0.626612864,1325,210.64065788,24422400,-0.5,-0.6967337284918714,-1.1885726397474052,0.15785759700406332,-0.10682185088597733,1.9908647198287086,0.01,0.9839891791343689,10.111728405952453,0.18525390625,0.00029186534399999997,-34.076768493652345,-0.019014128297567368,5296,0.2,1.0022118091583252,0.018771615,2.9103598594665527
-0.154359532374814,-0.47229148802596144,0.10176,-0.00030896036477856683,-0.014597155684787762,-0.921866023907307,-0.10603823621771302,7123.36,5379,-0.0016627221791875651,0.0,0.0016834825348471189,-0.0049984417250759396,4543,0.002953290505123778,0.0,-0.11487367287862613,-0.4489660618165685,-9.032806379155036e-08,-5.940007787359059e-06,-9.830945654862224e-07,40.264,0.0,0.0,0.6265952,1326,206.77516831,24440832,-0.5,-0.648426010114167,-1.2121930976998387,0.13613213009974467,-0.10658337841751483,1.8187756529954637,0.01,0.9821654558181763,10.35507619380951,0.21578369140625,0.0002918592,-34.07955627441406,-0.01925867040408775,5300,0.2,1.0020651817321777,0.019860165,3.1092443466186523
-0.14783202214795094,-0.44897384852883593,0.1018368,-0.0003225803895279727,-0.01438628028171581,-0.8648019666811871,-0.101219701555955,7034.2,5383,-0.0013226912560639903,0.0,0.0016840251240258415,-0.00502644760283954,4543,0.00197374319660624,0.0,-0.11718622141350428,-0.44668752427372077,-8.611499909090458e-08,-5.892011079471798e-06,-9.292475648141706e-07,40.27552,0.0,0.0,0.626577536,1327,206.67271562999994,24459264,-0.5,-0.6488856576831868,-1.1988612967488617,0.14775452959274474,-0.10605862795532926,2.1250525874630317,0.01,0.9907408952713013,10.412360692024231,0.178125,0.000291853056,-34.069332695007326,-0.017650153068825603,5304,0.2,1.0013998746871948,0.015956346,4.279021263122559
-0.15534299806314084,-0.48913945403578335,0.1019136,-0.00031338372513157884,-0.00842859069239599,-0.879214797682331,-0.11219368107633855,7029.48,5387,-0.0009600062815782925,0.0,0.0019053789728786796,-0.005008562256677316,4543,0.0008783263119402784,0.0,-0.11380495497935815,-0.4390777653908413,-8.611822497713828e-08,-5.567035034355335e-06,-9.625297808220414e-07,40.28704,0.0,0.0,0.6265598720000001,1328,206.97543097999994,24477696,-0.5,-0.6889142783542217,-1.1909808755338074,0.15158686920425293,-0.10671583955692204,1.9037441359619427,0.01,0.9839091897010803,15.78844656944275,0.14578857421875,0.000291846912,-34.068701934814456,-0.015605282143224031,5308,0.2,1.0014623403549194,0.015010995,5.512388229370117
-0.14874180803048537,-0.4684203503986313,0.1019904,-0.0003137410769141292,-0.012536419071454528,-0.8723820235850446,-0.10874433283734282,7050.47,5391,-0.0016316629997971985,0.0,0.0020269065700833583,-0.004991941290561288,4543,0.00486276882798459,0.0,-0.11584081706414838,-0.4354362885345463,-8.790169953561154e-08,-5.5775733157546145e-06,-9.149995495764465e-07,40.298559999999995,0.0,0.0,0.626542208,1329,210.55425893999995,24496128,-0.5,-0.6822590796260504,-1.1877426381589755,0.14670997771163308,-0.10628944082077604,1.9784089281509598,0.01,0.9939786195755005,5.1852741003036495,0.18740234375,0.000291840768,-34.071907424926756,-0.02222009322140366,5312,0.2,1.0017738342285156,0.018823082,1.7927823066711426
-0.14993576556482843,-0.4782316068087218,0.1020672,-0.0003173670100074661,-0.020473630850080776,-0.856257165471101,-0.10753648186656369,7036.74,5395,-0.0029230300618413216,0.0,0.0016834824895744936,-0.0049927481441189225,4543,0.0025198885247003644,0.0,-0.11659143717360407,-0.44210194399248787,-8.835734003693207e-08,-5.9235091414286064e-06,-9.292769515707651e-07,40.31008,0.0,0.0,0.626524544,1330,211.76253291,24514560,-0.5,-0.6667572971792424,-1.198758839154651,0.14847286030883577,-0.10634157590433277,2.0841643997796115,0.01,0.9865950345993042,11.764935183525086,0.1909423828125,0.000291834624,-34.07508029937744,-0.011469862551894038,5316,0.2,1.0020813941955566,0.016335756,2.7189369201660156
-0.15431808844918182,-0.4721217576418545,0.102144,-0.00031579809046006674,-0.027509183724075518,-0.9286797796541616,-0.10549734093807527,7121.22,5399,-0.001628272241861042,0.0,0.0016710042901751068,-0.005097636536516762,4543,0.002298023748572787,0.0,-0.11567526354654782,-0.41740103321918814,-9.156299041404621e-08,-6.118771814067027e-06,-9.67642307946431e-07,40.321600000000004,0.0,0.0,0.62650688,1331,214.33798822999998,24532992,-0.5,-0.6414810231332381,-1.20993918930273,0.13145714977765455,-0.10646404020723804,1.8226991457329929,0.01,0.9900094866752625,10.230295515060424,0.14869384765625,0.00029182848,-34.07404079437256,-0.013722861441783607,5320,0.2,1.0018458366394043,0.0130596515,4.236945629119873
