reward_terms/coef_rate,reward_terms/angmom,reward_terms/hip_roll,rollout/ep_rew_mean,reward_terms/lat_vel,reward_terms/torque,reward_terms/vz,time/iterations,reward_terms/stop,reward_terms/energy,reward_terms/residual,reward_terms/clearance,curriculum/eff_scale,time/total_timesteps,reward_terms/stance_time,reward_terms/upright,time/fps,reward_terms/ang_xy,reward_terms/alive,reward_terms/phase_contact,reward_terms/height,reward_terms/air_time,reward_terms/foot_slip,curriculum/ent_coef,reward_terms/stance,time/time_elapsed,reward_terms/motor_vel,reward_terms/fwd_speed,curriculum/stance_ratio,rollout/ep_len_mean,reward_terms/overrun,reward_terms/time,reward_terms/action_rate,train/clip_range,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/std,train/n_updates,train/loss,train/value_loss,train/clip_fraction,train/explained_variance
-0.8596816173621351,-0.23382899697952647,-0.014792579863888803,-130.93166813,-3.2596635023742344e-09,-0.0030819520711148993,-0.08114275937592469,25,0.0,-0.0002953115551640096,-0.5103622012128985,0.03869047304366842,0.0073728,460800,-0.026449623009991936,-0.29302953981841606,2942,-0.5230524826657903,0.5,-0.4215928296529842,-0.013356576176695289,2.0616277146877514e-05,-0.7359130157529064,0.01,-0.009663131853982248,156,-7.292705538461301e-05,-0.1795303362712969,0.648304256,32.8,0.0,0.0,-0.11237686403464135,0.2,0.04956928,-34.05405298868815,0.01638796677192052,0.0003,1.0000851154327393,33480,15.484919548034668,27.777382532755535,0.3409016927083333,-8.702529907226562
-0.8521992976515721,-0.23008558151075048,-0.01668703751977192,-128.74179769,-3.3651208218528262e-09,-0.0031964930779277666,-0.07741459648645335,26,0.0,-0.0003002536596325136,-0.5111081389958527,0.03765159145361705,0.00768,479232,-0.026634082675122447,-0.3076822671036526,2945,-0.5254634029767586,0.5,-0.4345752278425284,-0.01348571636482239,4.882807843387127e-05,-0.7501829170050853,0.01,-0.01177767091349715,162,-7.385016914195894e-05,-0.18898481450747298,0.6482336000000001,30.63,0.0,0.0,-0.1104808972555241,0.2,0.026204279,-34.053236643473305,0.007959298323839903,0.0003,1.000042200088501,33481,14.95809268951416,44.17206573486328,0.2605794270833333,-6.757983684539795
-0.8583171823458894,-0.23049578518650643,-0.01537127821035402,-132.36759306000002,-3.3655881156630743e-09,-0.0032847563949693157,-0.07771517416231626,27,0.0,-0.0003110303887117996,-0.5109475022071067,0.03757842753639826,0.0079872,497664,-0.02727373001592544,-0.30976367049817966,2948,-0.5235607001359078,0.5,-0.4353391595039142,-0.013280324141227609,8.680521407061153e-06,-0.7464473871065443,0.01,-0.00834950128970615,168,-7.610780622713609e-05,-0.1779269734029983,0.6481629440000001,34.43,0.0,0.0,-0.11018649292989208,0.2,0.029093446,-34.05344200134277,0.009705370175652206,0.0003,1.000077247619629,33482,13.355648040771484,59.15489482879639,0.2767333984375,-5.397546768188477
-0.8527775801851403,-0.2307130824878689,-0.015629273833610888,-131.42441633,-3.3394446286344786e-09,-0.0034097324249708393,-0.0774034902714725,28,0.0,-0.00032002886609773116,-0.5116600423707696,0.03621886095751495,0.0082944,516096,-0.027007346290500008,-0.32161985503537893,2950,-0.5268119488241285,0.5,-0.4348527297167001,-0.013166155436372659,6.510400756572683e-06,-0.7522641749633955,0.01,-0.007548723855919372,174,-7.872183065268372e-05,-0.19678261447704504,0.6480922880000001,33.47,0.0,0.0,-0.10944051035252611,0.2,0.04643865,-34.054205576578774,0.005736627150326967,0.0003,1.0001578330993652,33484,19.88085174560547,40.579149881998696,0.24820963541666666,-8.273283958435059
-0.8645101091278092,-0.22830023348621184,-0.016866405363375067,-131.49470427000003,-3.5746788372765915e-09,-0.0035406383731272323,-0.07491060342321212,29,0.0,-0.0003288448161572261,-0.511192336247886,0.03438004939871603,0.0086016,534528,-0.03176971085809378,-0.33673660366964,2950,-0.5196703251394773,0.5,-0.44322706935658934,-0.013247740096250899,2.0616277146877514e-05,-0.728226514147295,0.01,-0.013302003602959814,181,-7.98868089387929e-05,-0.22388440562791848,0.6480216320000001,33.57,0.0,0.0,-0.108514527156557,0.2,0.038392078,-34.067959022521975,-0.014308473095297813,0.0003,1.0020015239715576,33488,2.623638153076172,13.395681524276734,0.2517578125,-8.155866622924805
-0.8592878292066749,-0.22826627766732122,-0.01865659224624195,-130.83011919,-3.384790086067159e-09,-0.0035331979045824403,-0.07660444384969418,30,0.0,-0.0003313212204690545,-0.5111782438269178,0.03353739884701231,0.0089088,552960,-0.02994136928302598,-0.3508085241625421,2953,-0.5259554097223358,0.5,-0.45599683179607897,-0.013946757488489565,2.278642690119644e-05,-0.7225137916108826,0.01,-0.015801571614410037,187,-8.11996480705769e-05,-0.23940192720648026,0.6479509760000001,33.01,0.0,0.0,-0.1060647217454295,0.2,0.026829598,-34.057535807291664,0.009005685336887836,0.0003,1.0003273487091064,33489,11.083349227905273,17.99440288543701,0.2748209635416667,-6.639000415802002
-0.8556847582909546,-0.23587135911322385,-0.01595406248170476,-132.09311781999997,-3.3525882167782343e-09,-0.0037161566948076905,-0.07995433761855207,31,0.0,-0.00034774764492451383,-0.5113402863924971,0.03722054262800331,0.009216,571392,-0.028583949840847507,-0.34667930717192325,2955,-0.5214077215761886,0.5,-0.44636201018915905,-0.013365808344281797,2.4956566954238548e-05,-0.7434879016971516,0.01,-0.008753096159849717,193,-8.584528395149249e-05,-0.2064726405300571,0.6478803200000001,34.23,0.0,0.0,-0.10764919750941557,0.2,0.027274188,-34.0593786239624,0.009736721287481487,0.0003,1.0004613399505615,33490,6.057963848114014,18.690584182739258,0.27178955078125,-7.781664848327637
-0.8563420247453349,-0.23540728612013906,-0.01916446238502446,-136.35467118,-3.53414430450309e-09,-0.003718184735585992,-0.07937737735028419,32,0.0,-0.00034921548782102207,-0.5131727002500508,0.033353921902026844,0.0095232,589824,-0.03794591839768044,-0.3796627506082405,2957,-0.5291054562750053,0.5,-0.4545983959993637,-0.015581439372083136,7.595465932455328e-06,-0.7307014181784596,0.01,-0.016408143588666785,199,-8.519908564342963e-05,-0.2720294090136159,0.6478096640000001,38.53,0.0,0.0,-0.10379882872465282,0.2,0.04538588,-34.064596448625835,0.004772521888038942,0.0003,1.0008761882781982,33492,2.8234941959381104,8.735500948769706,0.29488699776785715,-7.188956260681152
-0.8441429116004426,-0.240618077598697,-0.02014949360711043,-133.57260871,-3.5257184354198486e-09,-0.003952493991752508,-0.08341800703721161,33,0.0,-0.00036862773435282514,-0.51229003081341,0.037113281225323334,0.0098304,608256,-0.03135304196459603,-0.3631994020947177,2959,-0.5364505846139115,0.5,-0.44375320370536664,-0.014831031073648169,4.991318241486119e-05,-0.7402215548721098,0.01,-0.018327431730349106,205,-8.90970644614374e-05,-0.22495541936270985,0.6477390080000001,36.02,0.0,0.0,-0.10453234590983197,0.2,0.024513338,-34.06032085418701,0.00989416881930083,0.0003,1.0004990100860596,33493,8.782437324523926,12.292852878570557,0.2279052734375,-5.237175941467285
-0.8501015905435051,-0.23389538735316728,-0.02021650258063282,-136.75864118,-3.455530817564685e-09,-0.004008582872289354,-0.07355148503059872,34,0.0,-0.0003696968215716109,-0.5118598301178385,0.03260418263018924,0.0101376,626688,-0.03775657121635353,-0.36822728505997143,2961,-0.5350991816445584,0.5,-0.46162158457998637,-0.014291009022079658,6.944442348968651e-05,-0.7116797442333394,0.01,-0.016263360236610486,211,-8.989841708322787e-05,-0.2520155448662931,0.6476683520000001,39.06,0.0,0.0,-0.10256292211987844,0.2,0.023964154,-34.06053161621094,0.008157037489581853,0.0003,1.0005018711090088,33494,5.340651035308838,11.430415034294128,0.2552490234375,-4.731958866119385
