reward_terms/time,reward_terms/energy,reward_terms/stance,reward_terms/vz,curriculum/eff_scale,time/time_elapsed,curriculum/ent_coef,curriculum/stance_ratio,time/fps,curriculum/pitch_assist,reward_terms/overrun,reward_terms/ang_xy,reward_terms/lat_vel,reward_terms/stop,reward_terms/torque,reward_terms/air_time,reward_terms/foot_slip,reward_terms/fwd_speed,reward_terms/upright,reward_terms/residual,reward_terms/hip_roll,time/iterations,reward_terms/clearance,reward_terms/alive,reward_terms/stance_time,reward_terms/height,reward_terms/angmom,rollout/ep_rew_mean,reward_terms/action_rate,rollout/ep_len_mean,reward_terms/phase_contact,time/total_timesteps,reward_terms/motor_vel,reward_terms/coef_rate,train/learning_rate,train/explained_variance,train/std,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/value_loss,train/loss,train/entropy_loss
0.0,0.0,-4.140606161534121e-05,-0.18897722177464715,0.0,7613,0.01,0.65,3074,0.41524479999999997,0.0,-0.38101560629997117,-1.8319308453930144e-08,0.0,0.0,0.0005577251981271224,-0.5090797152740779,2.0712456947003215,-0.4044335460036168,-0.28128511132639006,-0.07957823181361721,1270,0.20299548713810153,0.5,0.0,-0.06402527880832326,-0.19900459928541847,-65.60352724,-0.1585586696233494,114.72,-0.28553156309232575,23408640,0.0,-0.6304655316344943,0.0003,0.9622624516487122,1.0015480518341064,38251,-0.015729934582486747,0.2,0.03629112,0.27760009765625,38.94335250854492,18.32962989807129,-34.07169075012207
0.0,0.0,-9.225619456323626e-05,-0.1893398322291088,0.0,7619,0.01,0.65,3074,0.41478400000000004,0.0,-0.37724383269125816,-1.806946187502751e-08,0.0,0.0,0.0005588102730042818,-0.5051443097600112,2.057390425787707,-0.3921432765274917,-0.28153384088231914,-0.08030071683025099,1271,0.20088926050263187,0.5,0.0,-0.06247704963413413,-0.1934685915421105,-66.94091897,-0.15799008722708602,110.49,-0.28674427014167586,23427072,0.0,-0.6316716060375687,0.0003,0.9670541286468506,1.002011775970459,38255,-0.015401614108122885,0.2,0.031529695,0.27261962890625,34.61353826522827,15.047819137573242,-34.07642936706543
0.0,0.0,-2.5651850427565068e-05,-0.19372285496692773,0.0,7625,0.01,0.65,3074,0.4143232,0.0,-0.38372140274807826,-1.845312602381201e-08,0.0,0.0,0.0005284282928591387,-0.5107677048972485,2.0751649066083204,-0.41317484927540415,-0.281447747949223,-0.07993817103031525,1272,0.2037350417290248,0.5,0.0,-0.06810891159902506,-0.200762520351728,-65.64813556,-0.15810994493337216,115.41,-0.28562624424806066,23445504,0.0,-0.629609102659974,0.0003,0.960077702999115,1.0019166469573975,38259,-0.016124570602551104,0.2,0.027706306,0.265185546875,41.554903507232666,15.019786834716797,-34.0765495300293
0.0,0.0,-7.249238097976492e-05,-0.19220364763681247,0.0,7631,0.01,0.65,3074,0.41386239999999996,0.0,-0.38246186788961045,-1.8619769785707874e-08,0.0,0.0,0.000579426569553713,-0.5054049813987436,2.0678293806480545,-0.411451878211689,-0.2811104162324213,-0.07886726062385532,1273,0.20464401676157148,0.5,0.0,-0.06663788377782749,-0.19959205964734264,-66.80305815,-0.15876819993405877,117.34,-0.2845155062085407,23463936,0.0,-0.6339517822073015,0.0003,0.9680289030075073,1.0019304752349854,38263,-0.014725791150704026,0.2,0.033045676,0.29749755859375,34.68933658599853,12.923654556274414,-34.07589225769043
0.0,0.0,-2.5528969905150776e-05,-0.1895065318085394,0.0,7637,0.01,0.65,3074,0.41340160000000004,0.0,-0.3834626229714064,-1.8427352646658476e-08,0.0,0.0,0.0004861106248831169,-0.5071681538178915,2.0570713709165407,-0.4027450172299897,-0.2809342050123521,-0.08078033388872514,1274,0.20101062825140803,0.5,0.0,-0.06471200226205574,-0.19899487230888424,-69.49064224,-0.1583010333413741,110.46,-0.28773221184031794,23482368,0.0,-0.6326188720192076,0.0003,0.9653791189193726,1.0019869804382324,38267,-0.014179922780022025,0.2,0.037106544,0.31529541015625,36.197198486328126,21.85102653503418,-34.07570343017578
0.0,0.0,-0.00015923248380671603,-0.19186417453398977,0.0,7643,0.01,0.65,3074,0.4129408,0.0,-0.38177127555578316,-1.879766704765571e-08,0.0,0.0,0.0005425341789507204,-0.5053269481977976,2.0730140746671064,-0.41288285683965464,-0.2810400785784146,-0.07991272497119015,1275,0.20320382222329458,0.5,0.0,-0.06740554522430157,-0.1994351860765923,-66.08404755,-0.15820104642956945,116.16,-0.2847985217977971,23500800,0.0,-0.6334090383767252,0.0003,0.9549998641014099,1.0019023418426514,38271,-0.015045758616179229,0.2,0.036076494,0.2990478515625,47.68301219940186,23.63814926147461,-34.07595024108887
0.0,0.0,-5.520885052262594e-05,-0.1886477645567413,0.0,7649,0.01,0.65,3074,0.41247999999999996,0.0,-0.37990544421538924,-1.8288577073692237e-08,0.0,0.0,0.0005208328075241297,-0.5021471972165735,2.081001104025549,-0.4077994616557601,-0.28129728504115153,-0.08126528660987992,1276,0.20577855080841703,0.5,0.0,-0.06387820347830486,-0.19916770020748084,-65.84553498,-0.15884431346442132,117.7,-0.28446178459592747,23519232,0.0,-0.6324839894494976,0.0003,0.9707505106925964,1.0020256042480469,38275,-0.014492628071457148,0.2,0.03829912,0.29527587890625,30.578623390197755,15.841699600219727,-34.07642879486084
0.0,0.0,-3.293916808712621e-05,-0.18973110157952297,0.0,7654,0.01,0.65,3074,0.41201920000000003,0.0,-0.3789040648895591,-1.8051236665348443e-08,0.0,0.0,0.0005078119963097075,-0.49507395823745287,2.068292850773105,-0.3983935287264635,-0.2814526837406224,-0.08085088149238556,1277,0.20332966137692984,0.5,0.0,-0.06303380346678475,-0.19590098251726273,-64.80829899999999,-0.15909202510201786,116.02,-0.28460515883528986,23537664,0.0,-0.6345610693248194,0.0003,0.9719571471214294,1.0020008087158203,38279,-0.014524281001649797,0.2,0.036683727,0.29791259765625,29.85875873565674,15.118465423583984,-34.07600994110108
0.0,0.0,-8.473412718566153e-05,-0.18634593876160102,0.0,7660,0.01,0.65,3074,0.4115584,0.0,-0.37853487107755346,-1.776608047309377e-08,0.0,0.0,0.0005316834883867867,-0.4905113736941241,2.054489719232111,-0.3906348866391001,-0.2811622780290694,-0.07988210373216789,1278,0.20398330831029168,0.5,0.0,-0.05948897581768334,-0.19377660438416033,-65.13279869000002,-0.15878475380644777,110.46,-0.2839921508508022,23556096,0.0,-0.6392209962243025,0.0003,0.9670712947845459,1.0019261837005615,38283,-0.01393648914527148,0.2,0.036404822,0.31439208984375,34.8508716583252,15.708196640014648,-34.07606449127197
0.0,0.0,-2.9848550270015293e-05,-0.1919175537759143,0.0,7666,0.01,0.65,3074,0.41109759999999995,0.0,-0.3781262552493007,-1.8148413973109306e-08,0.0,0.0,0.0005197477617508008,-0.5007882855535943,2.0526456891428366,-0.39664647555107585,-0.2814056428962383,-0.0794790147762512,1279,0.20239831972071787,0.5,0.0,-0.06339032516896223,-0.1940112122220528,-66.99211803,-0.158633928029809,110.44,-0.28501557864600063,23574528,0.0,-0.6357050886359615,0.0003,0.9557622671127319,1.001573085784912,38287,-0.01482375911436975,0.2,0.031271048,0.2880859375,45.86981563568115,18.277366638183594,-34.0710168838501
