reward_terms/motor_vel,reward_terms/angmom,curriculum/stance_ratio,reward_terms/stop,reward_terms/time,reward_terms/upright,reward_terms/alive,reward_terms/ang_xy,reward_terms/stance_time,time/time_elapsed,reward_terms/residual,reward_terms/vz,reward_terms/coef_rate,reward_terms/action_rate,rollout/ep_rew_mean,reward_terms/energy,reward_terms/torque,reward_terms/stance,time/fps,curriculum/eff_scale,reward_terms/fwd_speed,reward_terms/lat_vel,reward_terms/phase_contact,curriculum/ent_coef,reward_terms/foot_slip,time/total_timesteps,reward_terms/height,reward_terms/hip_roll,rollout/ep_len_mean,reward_terms/clearance,reward_terms/overrun,reward_terms/air_time,time/iterations,train/loss,train/n_updates,train/std,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/clip_fraction,train/entropy_loss,train/value_loss
0.0,-0.23601178171403847,0.55756352,0.0,0.0,-0.29323634259006903,0.5,-0.3671510847746127,-0.05903366959440367,12155,-0.4717146455652555,-0.26672817730171405,-0.49003190044056805,-0.1037092482778526,-89.16732506999999,0.0,0.0,-1.3333897897728243e-06,3043,0.6162432,1.4130929567283759,-3.44725993425131e-09,-0.45472746476684633,0.00520768,-0.3930193219428125,36993024,-0.08363404597294494,-0.012846689783246493,62.41,0.07304469610155699,0.0,0.004128690019974278,2007,0.15506494045257568,40540,0.9180499911308289,0.2,-0.009474637894891202,0.9982675313949585,0.035810012,0.0003,0.336474609375,-31.12071828842163,0.6648819893598557
0.0,-0.2359586987114051,0.55751744,0.0,0.0,-0.29217611116910497,0.5,-0.3638435626983127,-0.058920279785525054,12161,-0.4718023240496205,-0.26912784648258925,-0.48521767727503423,-0.10351865767696636,-89.23624222999997,0.0,0.0,-6.28875939216628e-06,3043,0.6165504,1.4280383297591708,-3.345411920382059e-09,-0.4525699657571163,0.0052003072000000004,-0.38832374861706914,37011456,-0.0844083192055766,-0.012845138246682321,62.61,0.07413429114854209,0.0,0.004115669179656025,2008,0.11729514598846436,40544,0.9179697036743164,0.2,-0.010774547839537263,0.998591959476471,0.031889163,0.0003,0.28551025390625,-31.119709300994874,0.5231674164533615
0.0,-0.23989573112786314,0.55747136,0.0,0.0,-0.2952150700356022,0.5,-0.36527829669797307,-0.058733648096676916,12167,-0.47184912996407363,-0.2717050180881748,-0.4868027428437739,-0.10314045097380319,-88.94125895,0.0,0.0,-5.712691487517372e-05,3043,0.6168576,1.4297131470720936,-3.344731427879479e-09,-0.45328899335334544,0.005192934400000001,-0.3969216319908514,37029888,-0.08517240579033099,-0.012805777677600088,62.24,0.07396694914757691,0.0,0.004168837596403642,2009,-0.08925038576126099,40548,0.9177823066711426,0.2,-0.012766068778000772,0.9993879199028015,0.034353174,0.0003,0.31072998046875,-31.114345932006835,0.21892491579055787
0.0,-0.23347319716016968,0.55742528,0.0,0.0,-0.29206335926188576,0.5,-0.3647313139237609,-0.05907490221013884,12173,-0.47183769291615324,-0.2648051949919398,-0.4897492499905345,-0.1031749582529495,-88.64880354999997,0.0,0.0,-8.063059904374246e-06,3043,0.6171648,1.413523386572717,-3.4180157639341346e-09,-0.4562295926868935,0.0051855616,-0.38502623105084843,37048320,-0.08348942982496495,-0.012689000616436342,62.52,0.0729140009921125,0.0,0.004085287238315989,2010,0.7894593477249146,40550,0.9171733260154724,0.2,0.0007744500310056739,0.9962889552116394,0.040130787,0.0003,0.2578667534722222,-31.101152631971573,1.477652562989129
0.0,-0.2315528465611717,0.5573792,0.0,0.0,-0.289387706952875,0.5,-0.3577752057819629,-0.06071389764029947,12179,-0.4705699296324057,-0.26590548215443494,-0.4842792385695941,-0.10197134134378892,-88.95909110999999,0.0,0.0,-2.2231229455904385e-05,3043,0.617472,1.4226244342700693,-3.3731428410707547e-09,-0.4561588927653515,0.0051781888000000005,-0.3782966761286242,37066752,-0.08299794367778222,-0.01287932137254182,62.4,0.07330936965487246,0.0,0.004174262951386886,2011,-0.08907951414585114,40554,0.917625904083252,0.2,-0.015662227652501314,0.9993665814399719,0.03104201,0.0003,0.29046630859375,-31.101546859741212,0.217729914188385
0.0,-0.23711061715377474,0.55733312,0.0,0.0,-0.2927623362333872,0.5,-0.36542907618936854,-0.060207713547343805,12185,-0.47101619355429025,-0.26750601226273907,-0.4867999955365774,-0.10269146233067408,-89.04206604999999,0.0,0.0,-8.760927935987409e-06,3043,0.6177792,1.4131498762429286,-3.402026667301517e-09,-0.46005591492589804,0.005170816000000001,-0.38127577658009115,37085184,-0.08378619685189946,-0.012791691282179994,62.46,0.07214186725283625,0.0,0.004083117088561671,2012,0.048996150493621826,40558,0.9178495407104492,0.2,-0.00908550483873114,0.9989983439445496,0.03632181,0.0003,0.3302001953125,-31.099794387817383,0.375957939773798
0.0,-0.23456003835322947,0.55728704,0.0,0.0,-0.2908004493447327,0.5,-0.35962980360922164,-0.059601160244912736,12191,-0.4702233818483358,-0.2663160091061839,-0.48755968286630097,-0.10241108666090053,-89.14435140000002,0.0,0.0,-4.936175518403439e-05,3043,0.6180864,1.4199828626043856,-3.421357262040755e-09,-0.45699600476140684,0.005163443199999999,-0.380514783375016,37103616,-0.08359107010383668,-0.01311474087190074,62.56,0.07303453259381631,0.0,0.0041200094597621095,2013,0.2381429523229599,40561,0.9174848794937134,0.2,-0.002275778694699208,0.9958453178405762,0.043031245,0.0003,0.3251953125,-31.093800862630207,1.5018388191858927
0.0,-0.2338198505348739,0.55724096,0.0,0.0,-0.29268467687283056,0.5,-0.36103768766431715,-0.05964673309709825,12197,-0.47069634887173134,-0.2671025657842347,-0.4863396133239097,-0.10258654068572426,-89.09602467999997,0.0,0.0,-0.0001180841551275004,3043,0.6183936,1.4245860049063548,-3.341669477577692e-09,-0.4560759253491431,0.0051560704,-0.3844044544473824,37122048,-0.08402955863182249,-0.012688685128407394,62.45,0.07279043107785618,0.0,0.004092882713949721,2014,0.9080799221992493,40565,0.9177166819572449,0.2,-0.006474433024413884,0.9960564970970154,0.03553022,0.0003,0.3175048828125,-31.09641761779785,1.5198514431715011
0.0,-0.2338901330699822,0.55719488,0.0,0.0,-0.2929535246452192,0.5,-0.3613754600645161,-0.059619063969067715,12203,-0.47021506016194575,-0.26661874025830107,-0.48743237068900885,-0.10284653112140102,-88.87180794,0.0,0.0,-2.2170375785265728e-05,3043,0.6187008,1.4157415391517763,-3.4264204473485143e-09,-0.45947209010852397,0.0051486976,-0.38212414366995934,37140480,-0.08378490329189618,-0.012801110590019149,62.75,0.07275531343421189,0.0,0.004086372303491872,2015,0.7799487113952637,40569,0.9171258211135864,0.2,-0.008675137790851295,0.9955614805221558,0.029211944,0.0003,0.23834228515625,-31.08867835998535,1.66022047996521
0.0,-0.2338700393301556,0.5571488,0.0,0.0,-0.293936430605052,0.5,-0.36471907751886967,-0.060834340314613655,12209,-0.47051981309223556,-0.2698286155363114,-0.48396043410316014,-0.10270770359706748,-89.27821293000001,0.0,0.0,-8.997220341394406e-06,3043,0.619008,1.4221446251237504,-3.3827437961789862e-09,-0.45989440521169134,0.0051413247999999995,-0.38610775896093447,37158912,-0.08369232685557546,-0.01300752345460258,62.1,0.07273331038416607,0.0,0.004146051130697338,2016,0.08059960603713989,40573,0.9169782400131226,0.2,-0.006429048650898039,0.996243417263031,0.03885441,0.0003,0.25848388671875,-31.082002925872803,1.2992023676633835
