curriculum/ctrl_jitter_ms,curriculum/cmd_track_err,reward_terms/stop,reward_terms/ang_xy,curriculum/stance_ratio,reward_terms/stand,reward_terms/torque,time/total_timesteps,reward_terms/hip_roll,reward_terms/stance,reward_terms/angmom,curriculum/cmd_scale,reward_terms/lat_vel,reward_terms/air_time,reward_terms/residual,curriculum/ent_coef,ankle/ankle_spring_energy_peak,reward_terms/track_lin,reward_terms/duty_sym,reward_terms/energy,est/vel_rmse,reward_terms/height,reward_terms/vz,reward_terms/overrun,reward_terms/residual_rate,reward_terms/upright,rollout/ep_len_mean,curriculum/eff_scale,reward_terms/assist_pen,curriculum/swing_frac_min,reward_terms/stance_time,reward_terms/step_rate,reward_terms/stand_drift,reward_terms/track_yaw,time/fps,curriculum/ctrl_drop_prob,reward_terms/clearance,reward_terms/motor_vel,time/iterations,rollout/ep_rew_mean,reward_terms/time,reward_terms/fwd_speed,reward_terms/action_rate,reward_terms/foot_ahead,reward_terms/coef_rate,ankle/ankle_spring_trq_peak,ankle/ankle_defl_peak,curriculum/dr_scale,reward_terms/foot_slip,time/time_elapsed,curriculum/swing_frac_mean,reward_terms/phase_contact,reward_terms/alive,train/value_loss,train/clip_range,train/entropy_loss,train/loss,train/std,train/n_updates,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,curriculum/eff_scale_progress,curriculum/ctrl_jitter_ms_progress,curriculum/ctrl_drop_prob_progress,curriculum/stance_ratio_progress,curriculum/dr_scale_progress
3.3196031999998654,0.4330916945185575,0.0,-0.06545524429980615,0.6778693120000017,1.520529997163537,-0.028860216459928076,68917248,-0.06454169815333394,-0.05473317980462929,-0.08191692811741108,0.0,-2.984670447015396e-09,0.0,-0.10180166269316827,0.002,0.0,2.210378792474611,0.0,-0.0008488849129745299,0.2804146122018753,-0.013430214517692489,-0.040149522471855485,0.0,0.0,-0.11955443222410635,598.11,0.09682175999999239,0.0,0.10139973958333333,0.0,-0.0030815972222222356,-0.03312427308918989,1.9999615280610865,5850,0.04149503999999832,0.0,-7.73882934759222e-05,3739,635.20793422,0.0,0.0,-0.09049419622375016,0.0,-0.6914264686401429,0.0,0.5135755968963629,0.8299007999999664,-0.35328082384552234,11780,0.1331108940972222,0.0,0.0,1297.2741943359374,0.2,-36.87036781311035,519.4705200195312,0.999167799949646,36647,0.00012775296,0.9744008183479309,-0.006772320333402604,0.04857177734375,0.0068949894,0.2766335999999783,0.8299007999999664,0.8299007999999664,0.2766335999999783,0.8299007999999664
3.3205247999998653,0.5153313992251194,0.0,-0.0699617626935045,0.6778631680000017,1.5219397402950117,-0.028415095232384866,68935680,-0.060071159751492874,-0.09000139481460821,-0.10078773014640008,0.0,-2.4970872588590825e-09,0.0,-0.10171610661093687,0.002,0.0,2.1601631134310946,0.0,-0.0008447239908633639,0.24508840080317873,-0.01688301274727007,-0.0532323974748167,0.0,0.0,-0.13561845015602128,625.48,0.09684863999999238,0.0,0.11588541666666667,0.0,-0.002951388888888902,-0.03500597830371063,1.9999584399571004,5850,0.04150655999999832,0.0,-7.976771745232589e-05,3740,669.17723194,0.0,0.0,-0.08943791158281846,0.0,-0.6978816458192408,0.0,0.5111162842338671,0.8301311999999663,-0.3543497060653685,11783,0.1422797309027778,0.0,0.0,1164.5414581298828,0.2,-36.869239234924315,415.2728576660156,0.9992204904556274,36651,0.00012770687999999998,0.9751545190811157,-0.007261752459453419,0.03505859375,0.0055777314,0.27671039999997826,0.8301311999999663,0.8301311999999663,0.27671039999997826,0.8301311999999663
3.321446399999865,0.3486435147618471,0.0,-0.06505022174011338,0.6778570240000017,1.5541811502027136,-0.02923156451720549,68954112,-0.05790159087443511,-0.09539794254678385,-0.0692558160112846,0.0,-3.2114751464144697e-09,0.0,-0.1012245435319678,0.002,0.0,2.2677714800565183,0.0,-0.0008451715080147011,0.23850471149245356,-0.013517161811748083,-0.040570320488420755,0.0,0.0,-0.10569184236661197,520.69,0.09687551999999239,0.0,0.10731336805555555,0.0,-0.002929687500000012,-0.02794426471980586,1.9999540768173922,5850,0.04151807999999832,0.0,-8.35534607584943e-05,3741,486.49379202999995,0.0,0.0,-0.08935159740772916,0.0,-0.6738279462916501,0.0,0.5142611744801244,0.8303615999999663,-0.3531032798639835,11786,0.13720703125,0.0,0.0,1220.1953216552733,0.2,-36.8708438873291,585.6962890625,0.9992333650588989,36655,0.0001276608,0.9745424389839172,-0.006046614306978881,0.02154541015625,0.005275221,0.27678719999997825,0.8303615999999663,0.8303615999999663,0.27678719999997825,0.8303615999999663
3.322367999999865,0.4732878357316739,0.0,-0.06614489862206564,0.6778508800000017,1.6199999963775138,-0.031037280749164273,68972544,-0.06360935537772726,-0.0686427363555922,-0.07644060704312644,0.0,-2.3023082921998522e-09,0.0,-0.10164568843132035,0.002,0.0,2.4197260465396964,0.0,-0.0008363702856225747,0.23926980124818256,-0.015270782846914145,-0.043213860615406635,0.0,0.0,-0.1029300273177491,453.29,0.09690239999999238,0.0,0.062174479166666664,0.0,-0.0030381944444444584,-0.0314206820271036,1.9999771447028114,5850,0.041529599999998314,0.0,-7.633025636471979e-05,3742,364.66200126,0.0,0.0,-0.0897383386188043,0.0,-0.6892120657109552,0.0,0.5146284823568045,0.8305919999999662,-0.3632017159172751,11789,0.11173502604166666,0.0,0.0,1417.530859375,0.2,-36.87075786590576,629.909423828125,0.9992004036903381,36659,0.00012761472,0.9726744890213013,-0.007729287870461121,0.032421875,0.006551796,0.27686399999997824,0.8305919999999662,0.8305919999999662,0.27686399999997824,0.8305919999999662
3.323289599999865,0.32238794090321227,0.0,-0.05541061630383214,0.6778447360000017,1.6159735803029491,-0.03057774438224385,68990976,-0.0688924137091658,-0.11666915081470156,-0.07225700393012914,0.0,-3.422404056110478e-09,0.0,-0.10188664841963654,0.002,0.0,2.279162690980791,0.0,-0.0008379141932473542,0.24445676552782508,-0.013365459644985034,-0.03767334292533107,0.0,0.0,-0.11154863883880223,479.63,0.09692927999999237,0.0,0.1199001736111111,0.0,-0.002680121527777787,-0.03939627926157521,1.9999693344773155,5850,0.041541119999998315,0.0,-7.486810096296199e-05,3743,390.03789469,0.0,0.0,-0.08619564209989816,0.0,-0.6837225595637286,0.0,0.5094968435179115,0.8308223999999662,-0.3111425810646402,11792,0.13045247395833331,0.0,0.0,1295.0854400634767,0.2,-36.870013046264646,532.4392700195312,0.9991276264190674,36663,0.00012756864,0.9743452668190002,-0.005953885376220569,0.02281494140625,0.0047065457,0.2769407999999782,0.8308223999999662,0.8308223999999662,0.2769407999999782,0.8308223999999662
3.3242111999998647,0.455608688757853,0.0,-0.06484870062927149,0.6778385920000017,1.6109032001732178,-0.0299045578250568,69009408,-0.06141825217724788,-0.05983095280821409,-0.08056265325111658,0.0,-1.9364217668233064e-09,0.0,-0.10172922278752641,0.002,0.0,2.328466960971953,0.0,-0.000844480862182057,0.22859287586423105,-0.014612422200629381,-0.040474546831040334,0.0,0.0,-0.10186994030458542,531.21,0.09695615999999237,0.0,0.07573784722222222,0.0,-0.0025390625000000066,-0.022713186479576538,1.9999798729440654,5849,0.04155263999999831,0.0,-7.09623773980036e-05,3744,474.85467032,0.0,0.0,-0.08832096209478359,0.0,-0.6900433465124683,0.0,0.5120429561964526,0.8310527999999662,-0.33405140625847446,11797,0.10555013020833334,0.0,0.0,1433.2210083007812,0.2,-36.86885871887207,622.2310180664062,0.9991411566734314,36667,0.00012752256,0.9732354283332825,-0.00676935677183792,0.0243408203125,0.005851015,0.2770175999999782,0.8310527999999662,0.8310527999999662,0.2770175999999782,0.8310527999999662
3.3251327999998646,0.3669364128012732,0.0,-0.05738605142180417,0.6778324480000018,1.730784466421288,-0.030983196275463767,69027840,-0.05743913334343623,-0.11503478502614255,-0.06880032273496946,0.0,-1.9764146626319447e-09,0.0,-0.10204650999561606,0.002,0.0,2.4516900440563547,-3.628627436136388e-05,-0.000830017235937253,0.22335388246222906,-0.013470536047572031,-0.03948108771990172,0.0,0.0,-0.10137698424510969,601.01,0.09698303999999236,0.0,0.08729383680555555,0.0,-0.0022460937500000024,-0.025311769255457993,1.9999777174385638,5849,0.04156415999999831,0.0,-7.035591131405104e-05,3745,584.4638497700001,0.0,0.0,-0.08941770691021256,0.0,-0.6900271836121308,0.0,0.5149591579827657,0.8312831999999661,-0.316952817404956,11800,0.09996202256944445,0.0,0.0,1307.6868041992188,0.2,-36.8703311920166,591.7044067382812,0.999204695224762,36671,0.00012747648000000002,0.9740440845489502,-0.005751512640563306,0.019287109375,0.005005198,0.2770943999999782,0.8312831999999661,0.8312831999999661,0.2770943999999782,0.8312831999999661
3.3260543999998644,0.34069135171046605,0.0,-0.06035892974516702,0.6778263040000017,1.625944920797014,-0.031205059324465507,69046272,-0.05102230942457141,-0.06646985515423234,-0.07192035391467998,0.0,-2.610348382610634e-09,0.0,-0.10167090610926699,0.002,0.0,2.316497654257423,0.0,-0.0008495139231602972,0.2449927375043053,-0.013603244625354692,-0.0394670767850253,0.0,0.0,-0.11327419501438309,575.69,0.09700991999999237,0.0,0.0954861111111111,0.0,-0.0029079861111111233,-0.030914851999709732,1.9999746340955302,5849,0.04157567999999831,0.0,-7.820614070753291e-05,3746,558.25138953,0.0,0.0,-0.09063321362886027,0.0,-0.6806791908811378,0.0,0.5083874137957453,0.8315135999999661,-0.32444829029724676,11803,0.119140625,0.0,0.0,1380.3333984375,0.2,-36.87222480773926,501.8017883300781,0.9993213415145874,36675,0.00012743040000000002,0.9693555235862732,-0.006724916025996208,0.0146728515625,0.0042191623,0.2771711999999782,0.8315135999999661,0.8315135999999661,0.2771711999999782,0.8315135999999661
3.3269759999998643,0.31983845093633306,0.0,-0.06840594992772685,0.6778201600000017,1.496084055706087,-0.031210409969756176,69064704,-0.04993741174213667,-0.09204910992352285,-0.08225283498410395,0.0,-2.198174844378205e-09,0.0,-0.1016345397942656,0.002,0.0,2.1992762240758754,0.0,-0.000874885038784494,0.2466692175497004,-0.014378555097092896,-0.04269607345366079,0.0,0.0,-0.12937337881400202,539.86,0.09703679999999236,0.0,0.0881076388888889,0.0,-0.002864583333333344,-0.03201135442691381,1.9999755443217273,5849,0.041587199999998305,0.0,-7.7301880167792e-05,3747,505.4616835,0.0,0.0,-0.09056765282980993,0.0,-0.6764221648865903,0.0,0.511687445179231,0.8317439999999661,-0.3416304186559585,11806,0.1196017795138889,0.0,0.0,1409.9603637695313,0.2,-36.873752403259275,554.6923828125,0.9993118047714233,36679,0.00012738432,0.9704908132553101,-0.006723331613466143,0.0249267578125,0.005915399,0.2772479999999782,0.8317439999999661,0.8317439999999661,0.2772479999999782,0.8317439999999661
3.327897599999864,0.5276761718693238,0.0,-0.05629543293099437,0.6778140160000017,1.8100595299250033,-0.03213208401479713,69083136,-0.057690617804864855,-0.06718293956511451,-0.06280853218957141,0.0,-2.5377197530402e-09,0.0,-0.1025046306031494,0.002,0.0,2.6247118625271573,-0.00018670650609572384,-0.0008107589481943247,0.2284355349267021,-0.013420736060483293,-0.03696408167728587,0.0,0.0,-0.10011154295004825,488.88,0.09706367999999235,0.0,0.05723741319444445,0.0,-0.002159288194444446,-0.03115547721992747,1.9999648919512991,5849,0.041598719999998306,0.0,-6.960609719284498e-05,3748,440.07878634,0.0,0.0,-0.08796440309231829,0.0,-0.6885274580592549,0.0,0.5128904584365537,0.831974399999966,-0.28029454394019215,11809,0.114013671875,0.0,0.0,953.2913818359375,0.2,-36.8729190826416,350.2447509765625,0.9992729425430298,36683,0.00012733824,0.9826238751411438,-0.008086200419347734,0.03421630859375,0.006947957,0.27732479999997817,0.831974399999966,0.831974399999966,0.27732479999997817,0.831974399999966
3.328819199999864,0.4509005395903201,0.0,-0.061523239522225145,0.6778078720000017,1.6874028843889362,-0.032812445287044106,69101568,-0.05505528637707887,-0.0665180180764752,-0.07593369625691222,0.0,-2.558920831245673e-09,0.0,-0.10133501978038383,0.002,0.0,2.377260228998922,-2.6694570951909106e-05,-0.0008598105558384559,0.24003882318892938,-0.014179858538152469,-0.041324810162663816,0.0,0.0,-0.12064856128545107,477.59,0.09709055999999235,0.0,0.06993272569444445,0.0,-0.00259331597222223,-0.032832820908079124,1.9999725742636651,5849,0.0416102399999983,0.0,-7.40912649463803e-05,3749,396.1691213800001,0.0,0.0,-0.09030659981740229,0.0,-0.6648870829831546,0.0,0.5117316421373015,0.832204799999966,-0.31447933718537147,11812,0.1027560763888889,0.0,0.0,1796.8600280761718,0.2,-36.87154560089111,864.701416015625,0.9992035627365112,36687,0.00012729216,0.9650706052780151,-0.00581373575842008,0.02291259765625,0.0049897046,0.27740159999997815,0.832204799999966,0.832204799999966,0.27740159999997815,0.832204799999966
3.329740799999864,0.3380748652804671,0.0,-0.06581049456055862,0.6778017280000017,1.6543148330647615,-0.03188860440500543,69120000,-0.05178311624273329,-0.08399917578808766,-0.08346548293745537,0.0,-1.993466440864672e-09,0.0,-0.10155989072137461,0.002,0.0,2.3311715796899346,0.0,-0.0008616828218104861,0.2301356688916365,-0.014266823874654229,-0.04178661502002808,0.0,0.0,-0.11361743179123857,510.17,0.09711743999999234,0.0,0.08680555555555555,0.0,-0.002560763888888896,-0.033771679908610824,1.9999781630207956,5849,0.0416217599999983,0.0,-7.473785427147536e-05,3750,444.51118172,0.0,0.0,-0.0911735936099492,0.0,-0.6858846278084507,0.0,0.5059944381244286,0.832435199999966,-0.34067451352068506,11815,0.10739474826388888,0.0,0.0,1570.6455322265624,0.2,-36.8712963104248,775.8397216796875,0.9992573261260986,36691,0.00012724608,0.9696903824806213,-0.006146994727896526,0.019970703125,0.0048927134,0.27747839999997814,0.832435199999966,0.832435199999966,0.27747839999997814,0.832435199999966
3.3306623999998637,0.5458459210618577,0.0,-0.0590935030212922,0.6777955840000017,1.7353997563000192,-0.033041004609358486,69138432,-0.05100224505438082,-0.0771945749187701,-0.06609137533146348,0.0,-2.136768640147663e-09,0.0,-0.10155066660933079,0.002,0.0,2.434216529961254,0.0,-0.0008638776708207385,0.2663157121849117,-0.014032478084710412,-0.04281266491480848,0.0,0.0,-0.09807031576892136,520.74,0.09714431999999235,0.0,0.0849609375,0.0,-0.0025173611111111178,-0.027677635816377166,1.999973081519308,5849,0.0416332799999983,0.0,-7.668344891966205e-05,3751,477.33427399999994,0.0,0.0,-0.0897023052244586,0.0,-0.6737789848125038,0.0,0.513482166567504,0.8326655999999659,-0.31738825667882536,11818,0.11124674479166667,0.0,0.0,1295.643814086914,0.2,-36.87236061096191,533.8782958984375,0.9992471933364868,36695,0.0001272,0.9729855060577393,-0.00630235795979388,0.01920166015625,0.0046955305,0.27755519999997813,0.8326655999999659,0.8326655999999659,0.27755519999997813,0.8326655999999659
3.3315839999998635,0.35916728728827874,0.0,-0.0683119559186808,0.6777894400000017,1.4269328524409162,-0.029886202262545555,69156864,-0.05764878686213875,-0.064324363297303,-0.09443377338380245,0.0,-2.960396286336735e-09,0.0,-0.10148019054907481,0.002,0.0,2.1949735145274487,0.0,-0.0008622088313066404,0.2813182853878463,-0.014988384748802708,-0.04654094811703217,0.0,0.0,-0.15625723098946037,558.38,0.09717119999999234,0.0,0.08751085069444445,0.0,-0.003125000000000015,-0.039361062462961165,1.9999669756994862,5849,0.041644799999998296,0.0,-8.170626077210684e-05,3752,559.79444556,0.0,0.0,-0.09144417154575973,0.0,-0.6938181287419077,0.0,0.5092595948474536,0.8328959999999659,-0.3596460194332265,11821,0.1420627170138889,0.0,0.0,1343.8216918945313,0.2,-36.87067813873291,582.0303344726562,0.9991883039474487,36699,0.00012715392,0.9735342264175415,-0.006634563696570695,0.02010498046875,0.0051375953,0.2776319999999781,0.8328959999999659,0.8328959999999659,0.2776319999999781,0.8328959999999659
3.3325055999998634,0.34670086947729856,0.0,-0.05761151117579176,0.6777832960000018,1.516200892819613,-0.0298442395713789,69175296,-0.061034203571644546,-0.07656340077282311,-0.05818911249649429,0.0,-2.423443211916508e-09,0.0,-0.10195798712036089,0.002,0.0,2.1687472215829278,0.0,-0.0008206390585539138,0.2325584347033083,-0.012167560285105988,-0.034649095190230794,0.0,0.0,-0.11140666128700746,518.65,0.09719807999999233,0.0,0.07416449652777778,0.0,-0.0027452256944444533,-0.028848037225522774,1.9999778170647966,5849,0.0416563199999983,0.0,-7.3362851374819e-05,3753,491.39453011999996,0.0,0.0,-0.09046930192685916,0.0,-0.7047066326262339,0.0,0.5146881696319943,0.8331263999999658,-0.35370581191190437,11824,0.11870659722222221,0.0,0.0,1208.3999267578124,0.2,-36.870260620117186,398.6020202636719,0.9991856217384338,36703,0.00012710784,0.9756565690040588,-0.007731303782202303,0.0353515625,0.007149267,0.2777087999999781,0.8331263999999658,0.8331263999999658,0.2777087999999781,0.8331263999999658
