time/total_timesteps,curriculum/ctrl_drop_prob,reward_terms/phase_contact,reward_terms/lat_vel,reward_terms/energy,reward_terms/upright,ankle/ankle_defl_peak,curriculum/cmd_scale,time/time_elapsed,reward_terms/residual_rate,reward_terms/stance,reward_terms/fwd_speed,reward_terms/stand_drift,est/vel_rmse,reward_terms/track_yaw,reward_terms/time,rollout/ep_len_mean,curriculum/swing_frac_mean,curriculum/dr_scale,reward_terms/stop,reward_terms/vz,reward_terms/residual,reward_terms/coef_rate,rollout/ep_rew_mean,reward_terms/torque,reward_terms/stand,reward_terms/overrun,curriculum/eff_scale,curriculum/ent_coef,reward_terms/foot_ahead,reward_terms/motor_vel,curriculum/cmd_track_err,reward_terms/stance_time,curriculum/stance_ratio,curriculum/ctrl_jitter_ms,reward_terms/clearance,curriculum/swing_frac_min,reward_terms/alive,time/fps,reward_terms/angmom,reward_terms/height,ankle/ankle_spring_energy_peak,reward_terms/duty_sym,reward_terms/air_time,reward_terms/foot_slip,reward_terms/assist_pen,ankle/ankle_spring_trq_peak,time/iterations,reward_terms/hip_roll,reward_terms/action_rate,reward_terms/track_lin,reward_terms/step_rate,reward_terms/ang_xy,train/approx_kl,train/policy_gradient_loss,train/loss,train/n_updates,train/entropy_loss,train/explained_variance,train/std,train/value_loss,train/clip_fraction,train/clip_range,train/learning_rate,curriculum/stance_ratio_progress,curriculum/ctrl_jitter_ms_progress,curriculum/eff_scale_progress,curriculum/ctrl_drop_prob_progress,curriculum/dr_scale_progress
22007808,0.0013017599999999982,-0.0129493027221812,-0.2693859588271193,-3.32986681833371e-05,-0.1915772335295671,0.5052070003255302,0.1,3693,0.0,-0.11950331688422106,0.0,-0.037743295477988804,0.11916119757464425,1.8427144678293013,0.0,388.49,0.1386176215277778,0.02603519999999996,0.0,-0.110444234194853,-0.10308427669647287,-0.5058486817232501,227.42953866000005,-0.000347865640656038,0.7604598077163579,0.0,0.0030374400000000032,0.0056168704,0.0,-5.076206093738006e-06,0.2654679673586867,-0.003936763273991851,0.6993057279999999,0.10414079999999984,0.00039778195624907075,0.11707899305555555,0.0,5959,-0.06593407137019086,-0.023560288737651244,0.0,0.0,0.0,-0.4293697587117712,0.0,0.0,1194,-0.05951804802417674,-0.07396046463834488,2.2675287274636475,-0.005078125000000041,-0.12048973627245618,0.010611761,-0.0151663952274248,59.27537155151367,60973,-36.87863464355469,0.9874581098556519,0.9998026490211487,145.9174461364746,0.09822998046875,0.2,0.00024502656,0.00867840000000001,0.02603519999999996,0.00867840000000001,0.02603519999999996,0.02603519999999996
22026240,0.0013017599999999982,-0.054907232550356545,-0.3472762335563428,-3.2678939877734385e-05,-0.2488940675138806,0.5050391276190125,0.1,3696,0.0,-0.12283603702954972,0.0,-0.041820830845020265,0.12072810991574624,1.8012575107852768,0.0,390.44,0.14835611979166666,0.02603519999999996,0.0,-0.14057632843843912,-0.10365146536628943,-0.4877792453738716,225.04670958,-0.0003351338117410251,0.6928936371904006,0.0,0.0030374400000000032,0.005613184,0.0,-5.0503075981323874e-06,0.23931186656098952,-0.0028535851063982895,0.6993057279999999,0.10414079999999984,0.001199017112208844,0.10465494791666667,0.0,5959,-0.06972193543309149,-0.03302975112889973,0.0,0.0,0.0,-0.4455887909938109,0.0,0.0,1195,-0.06288616622446769,-0.07082310542509704,2.152707516144386,-0.005490451388888936,-0.12048714519095885,0.011063745,-0.015034828722127714,37.9114875793457,60977,-36.884748458862305,0.9918565154075623,1.0000184774398804,91.58883743286133,0.08880615234375,0.2,0.00024498048,0.00867840000000001,0.02603519999999996,0.00867840000000001,0.02603519999999996,0.02603519999999996
22044672,0.0013017599999999982,-0.03686968019417015,-0.22812532631080862,-3.142938062353427e-05,-0.16724914942280378,0.5051541406454921,0.1,3699,0.0,-0.07604275802382067,0.0,-0.03051318418486621,0.11067384313066422,1.8645317231308276,0.0,399.66,0.12537977430555555,0.02603519999999996,0.0,-0.09689960560111238,-0.10395302776388761,-0.4804614963509425,233.86618303,-0.0003289468964912925,0.721541698114167,0.0,0.0030374400000000032,0.0056094976,0.0,-4.743471378014451e-06,0.2759736951538444,-0.009964710185562985,0.6993057279999999,0.10414079999999984,0.0015636801178298676,0.09125434027777778,0.0,5959,-0.06704051860469945,-0.021375005294967414,0.0,0.0,0.0,-0.4166842643209826,0.0,0.0,1196,-0.058607256045683745,-0.06866877519811831,2.1228133078420215,-0.004958767361111151,-0.10758187046105407,0.012960601,-0.019104835344478488,30.81981086730957,60981,-36.88646602630615,0.9928722977638245,1.000060796737671,76.98990898132324,0.11214599609375,0.2,0.0002449344,0.00867840000000001,0.02603519999999996,0.00867840000000001,0.02603519999999996,0.02603519999999996
22063104,0.0013017599999999982,-0.024104411751214347,-0.30729283908573213,-3.2802108561598386e-05,-0.2246680381337245,0.5051027465952611,0.0,3702,0.0,-0.11927986331270161,0.0,-0.04104541054096297,0.11668502849031241,1.823098530299722,0.0,406.15,0.1539984809027778,0.02603519999999996,0.0,-0.1380029900352727,-0.10350084831005374,-0.47306796750394287,209.99162420000005,-0.0003524204786666248,0.7428735811150169,0.0,0.0030374400000000032,0.0056058112,0.0,-5.037688572300973e-06,0.3103389420668725,-0.006438113965689101,0.6993057279999999,0.10414079999999984,0.0016222627390865248,0.12065972222222222,0.0,5959,-0.08388957749406478,-0.030602349923172692,0.0,0.0,0.0,-0.42876541832739834,0.0,0.0,1197,-0.0639271731186556,-0.06766844263747468,2.211233878199571,-0.005696614583333384,-0.12176728379491397,0.011735548,-0.017329466773662715,38.53946304321289,60985,-36.886490440368654,0.9905672669410706,1.000011920928955,98.20434341430663,0.1112548828125,0.2,0.00024488832,0.00867840000000001,0.02603519999999996,0.00867840000000001,0.02603519999999996,0.02603519999999996
22081536,0.001313279999999998,-0.002598061008690081,-0.31705477557700207,-3.33048300498069e-05,-0.22008404278742347,0.5048686209132338,0.0,3705,0.0,-0.13176027561165896,0.0,-0.042531692050564875,0.11069890022292579,1.8204286696886838,0.0,407.96,0.1526421440972222,0.02626559999999996,0.0,-0.13315640019069389,-0.1036829599154447,-0.4885299206043164,214.22138456000002,-0.00035144077105880677,0.7573683184931075,0.0,0.003064320000000003,0.0056021248,0.0,-4.993683483297978e-06,0.28273177790926357,-0.0023848421697039157,0.6992995839999999,0.10506239999999983,0.0004632515430604588,0.11241319444444445,0.0,5958,-0.07774817796680039,-0.02894926335169899,0.0,0.0,0.0,-0.4448692153661503,0.0,0.0,1198,-0.06418096601854067,-0.06951341200715132,2.339804403306732,-0.005859375000000052,-0.12473516169181756,0.012093985,-0.015678697871044277,42.775936126708984,60989,-36.8857307434082,0.9908429980278015,0.9999433159828186,102.2328254699707,0.10728759765625,0.2,0.00024484224,0.00875520000000001,0.02626559999999996,0.00875520000000001,0.02626559999999996,0.02626559999999996
22099968,0.001324799999999998,0.0,-0.32358056895378534,-3.491010970912108e-05,-0.20392851184189417,0.504010366338426,0.0,3708,0.0,-0.15525056723859748,0.0,-0.049498004401891574,0.1159027565259681,1.8771731070027708,0.0,403.46,0.1499294704861111,0.026495999999999957,0.0,-0.12329420326371837,-0.10343782031279891,-0.4931999214996159,237.87659787,-0.00035888527068722825,0.906631284923484,0.0,0.003091200000000003,0.0055984384,0.0,-5.1744466555571185e-06,0.2109021073626585,0.0,0.6992934399999999,0.10598399999999983,0.0,0.09657118055555555,0.0,5958,-0.04179817098018983,-0.026511772438156778,0.0,0.0,0.0,-0.4413099905456698,0.0,0.0,1199,-0.06031689415953285,-0.07176229212862625,2.5572730639663748,-0.005740017361111162,-0.11901935281568579,0.011854194,-0.015313086187234148,41.79312515258789,60993,-36.88304443359375,0.9905408620834351,0.9998682737350464,102.83609924316406,0.09381103515625,0.2,0.00024479616,0.00883200000000001,0.026495999999999957,0.00883200000000001,0.026495999999999957,0.026495999999999957
22118400,0.0013363199999999978,0.0,-0.33926014043861313,-3.479412199316293e-05,-0.22818882057874226,0.5050982193779243,0.0,3711,0.0,-0.16574120960317174,0.0,-0.05130878884951859,0.1267966332965082,1.8485488581419682,0.0,401.56,0.1565212673611111,0.026726399999999956,0.0,-0.13381724644021342,-0.10295682029740698,-0.5016139474880215,257.50281858999995,-0.00035985366770427825,0.7803940201520599,0.0,0.0031180800000000035,0.005594752,0.0,-5.344668384318312e-06,0.15063825012070536,0.0,0.699287296,0.10690559999999982,0.0,0.11338975694444445,0.0,5958,-0.05907639684891562,-0.02898159757937408,0.0,0.0,0.0,-0.4456435716342335,0.0,0.0,1200,-0.06104849517513574,-0.07432429659540511,2.389470034349644,-0.005913628472222276,-0.12477414281585353,0.00992027,-0.0149532311828807,54.24587631225586,60997,-36.88550796508789,0.9892247915267944,1.0000765323638916,130.3629051208496,0.08802490234375,0.2,0.00024475008,0.00890880000000001,0.026726399999999956,0.00890880000000001,0.026726399999999956,0.026726399999999956
22136832,0.0013478399999999977,0.0,-0.25639312358590105,-3.430535989152626e-05,-0.1678987802956649,0.504720905825181,0.0,3714,0.0,-0.14192328765316545,0.0,-0.03859655055863651,0.10822465644506743,1.8915744583954404,0.0,398.29,0.1343315972222222,0.026956799999999954,0.0,-0.09890033468610993,-0.1042488957526109,-0.4794636425540889,255.41769517,-0.00036563084887579,0.8028796267223931,0.0,0.0031449600000000035,0.0055910656,0.0,-5.040536932362791e-06,0.25239915703276217,0.0,0.699281152,0.10782719999999982,0.0,0.0827907986111111,0.0,5959,-0.044375279222393135,-0.022389734228171095,0.0,0.0,0.0,-0.4087973333359638,0.0,0.0,1201,-0.061587578093909245,-0.06896713992265958,2.521762914294355,-0.00540364583333338,-0.10568105130662381,0.0111247925,-0.015612415445502847,45.79441833496094,61001,-36.88868160247803,0.9917087554931641,1.0001800060272217,104.02450370788574,0.09903564453125,0.2,0.000244704,0.00898560000000001,0.026956799999999954,0.00898560000000001,0.026956799999999954,0.026956799999999954
22155264,0.0013478399999999977,0.0,-0.32168832957965166,-3.3783525263000065e-05,-0.22382524760439104,0.5050867161144004,0.0,3717,0.0,-0.1273615912043551,0.0,-0.04787782110296562,0.12084632252548665,1.8288282855990738,0.0,416.2,0.15087890625,0.026956799999999954,0.0,-0.1352686634688814,-0.10335212324260773,-0.49058603596193884,268.93852883,-0.0003625569015082521,0.8358105975127579,0.0,0.0031449600000000035,0.0055873792,0.0,-4.942406992945623e-06,0.39336427964320086,0.0,0.699281152,0.10782719999999982,0.0,0.11664496527777778,0.0,5959,-0.07613587948998464,-0.029664718789872313,0.0,0.0,0.0,-0.44726686092225126,0.0,0.0,1202,-0.06377122173210095,-0.07026438737706457,2.3489307174487677,-0.005729166666666716,-0.1253499244500886,0.009961138,-0.015777769358828665,35.31899642944336,61005,-36.88930530548096,0.9905766248703003,1.0001530647277832,99.84261741638184,0.0858642578125,0.2,0.00024465791999999997,0.00898560000000001,0.026956799999999954,0.00898560000000001,0.026956799999999954,0.026956799999999954
22173696,0.0013593599999999978,0.0,-0.2918137206544061,-3.522114224923037e-05,-0.19159743353753386,0.5040779928494356,0.0,3720,0.0,-0.11441542396598083,0.0,-0.0499957203980932,0.11621841839345308,1.8493079998859001,0.0,410.21,0.15055338541666669,0.027187199999999953,0.0,-0.12107352076031812,-0.10330633770837153,-0.4954042506787651,257.06807261,-0.0003770235770231979,0.942157024965498,0.0,0.0031718400000000035,0.0055836928,0.0,-5.2289815189340956e-06,0.17694467940288844,0.0,0.699275008,0.10874879999999981,0.0,0.10975477430555555,0.0,5959,-0.06676392264310262,-0.025315459574345223,0.0,0.0,0.0,-0.4194361253926007,0.0,0.0,1203,-0.06322016009155178,-0.07187137418791292,2.4380296408453255,-0.005653211805555606,-0.12132454936567923,0.01259951,-0.015038738201837987,45.41206741333008,61009,-36.88849563598633,0.9899818301200867,1.0000836849212646,115.73792304992676,0.130322265625,0.2,0.00024461184,0.00906240000000001,0.027187199999999953,0.00906240000000001,0.027187199999999953,0.027187199999999953
22192128,0.0013708799999999977,0.0,-0.3437700181215634,-3.537985303298389e-05,-0.22476081470093717,0.5044651863023609,0.0,3723,0.0,-0.16062489240189498,0.0,-0.052255886247640944,0.11090970883359645,1.8384921265814376,0.0,394.59,0.14854600694444445,0.02741759999999995,0.0,-0.1303101857301917,-0.10307380290386065,-0.49856286910284386,251.88246226000004,-0.00037049666210213256,0.817550439927157,0.0,0.0031987200000000034,0.0055800064,0.0,-5.257395740670006e-06,0.1558739502148463,0.0,0.699268864,0.1096703999999998,0.0,0.09971788194444445,0.0,5959,-0.05828988487535802,-0.02884785683111059,0.0,0.0,0.0,-0.43149166578333253,0.0,0.0,1204,-0.05874438920276484,-0.07467372972102265,2.4081798678316426,-0.005696614583333383,-0.12462418288587372,0.015328327,-0.017464387248037384,39.95962905883789,61013,-36.88833351135254,0.9913486242294312,1.0001418590545654,100.18324279785156,0.134619140625,0.2,0.00024456576,0.00913920000000001,0.02741759999999995,0.00913920000000001,0.02741759999999995,0.02741759999999995
22210560,0.0013708799999999977,0.0,-0.30423157793856614,-3.578153548134419e-05,-0.18936789009099855,0.5049634532947425,0.0,3726,0.0,-0.1448960094844436,0.0,-0.04699989719307184,0.10610020101735607,1.8750583629904867,0.0,401.37,0.1442328559027778,0.02741759999999995,0.0,-0.10988795806140692,-0.10335136071817806,-0.494889111281261,265.81090484,-0.0003719788755775787,0.7616535337745152,0.0,0.0031987200000000034,0.00557632,0.0,-5.165559788797623e-06,0.3930079989941105,0.0,0.699268864,0.1096703999999998,0.0,0.10416666666666667,0.0,5959,-0.05303256311947114,-0.023453986996018875,0.0,0.0,0.0,-0.41135901500099903,0.0,0.0,1205,-0.06369215406707594,-0.07141463809418386,2.3985829571584385,-0.0055881076388889376,-0.11513920955361573,0.011892845,-0.01663081702427007,37.83424377441406,61017,-36.88941917419434,0.9914377331733704,1.0001766681671143,90.01400299072266,0.1142333984375,0.2,0.00024451968,0.00913920000000001,0.02741759999999995,0.00913920000000001,0.02741759999999995,0.02741759999999995
22228992,0.0013823999999999976,0.0,-0.30392379192661567,-3.4735453987086326e-05,-0.20912850351932866,0.5049611698528231,0.0,3729,0.0,-0.09977846096254252,0.0,-0.041214115998323884,0.11167387644675664,1.835031603558248,0.0,402.14,0.1503363715277778,0.02764799999999995,0.0,-0.13108145803782345,-0.10344212219727336,-0.49450469798888896,250.56373099,-0.0003582520141520933,0.8144994418967056,0.0,0.0032256000000000034,0.0055726336,0.0,-5.281685423346254e-06,0.28945587047112176,0.0,0.69926272,0.1105919999999998,0.0,0.11029730902777778,0.0,5959,-0.07068015688511047,-0.027838796184450225,0.0,0.0,0.0,-0.4412454229722294,0.0,0.0,1206,-0.06204210105581233,-0.07060536094210935,2.3528840481689985,-0.00540364583333338,-0.12348404217594647,0.012455118,-0.01702193629462272,36.33919906616211,61021,-36.89291915893555,0.9923429489135742,1.00028395652771,78.12145252227783,0.11717529296875,0.2,0.0002444736,0.00921600000000001,0.02764799999999995,0.00921600000000001,0.02764799999999995,0.02764799999999995
