reward_terms/stop,est/vel_rmse,reward_terms/step_rate,curriculum/stance_ratio,curriculum/ctrl_jitter_ms,reward_terms/overrun,reward_terms/angmom,reward_terms/action_rate,reward_terms/stand_drift,reward_terms/torque,reward_terms/residual,reward_terms/clearance,reward_terms/hip_roll,curriculum/eff_scale,reward_terms/motor_vel,time/time_elapsed,reward_terms/duty_sym,curriculum/ent_coef,time/total_timesteps,reward_terms/fwd_speed,reward_terms/ang_xy,reward_terms/track_yaw,reward_terms/coef_rate,reward_terms/residual_rate,reward_terms/upright,ankle/ankle_spring_energy_peak,reward_terms/stance_time,rollout/ep_rew_mean,reward_terms/assist_pen,reward_terms/alive,curriculum/cmd_scale,reward_terms/lat_vel,ankle/ankle_spring_trq_peak,curriculum/swing_frac_mean,rollout/ep_len_mean,reward_terms/time,time/fps,reward_terms/stand,curriculum/ctrl_drop_prob,curriculum/cmd_track_err,reward_terms/foot_slip,reward_terms/energy,reward_terms/foot_ahead,ankle/ankle_defl_peak,time/iterations,reward_terms/stance,reward_terms/phase_contact,curriculum/dr_scale,reward_terms/vz,reward_terms/height,reward_terms/air_time,curriculum/swing_frac_min,reward_terms/track_lin,train/entropy_loss,train/loss,train/learning_rate,train/clip_range,train/explained_variance,train/std,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_fraction,train/approx_kl,curriculum/ctrl_drop_prob_progress,curriculum/ctrl_jitter_ms_progress,curriculum/eff_scale_progress,curriculum/stance_ratio_progress,curriculum/dr_scale_progress
0.0,0.13128571308270667,-0.01018880208333322,0.695416576,0.6875135999999983,0.0,-0.06346024085141781,-0.10248135181441138,-0.03314891140203122,-0.0030223819560301493,-0.0968963562445782,0.05855027389437331,-0.07400354703798923,0.020052480000000115,-3.807247648087015e-05,3525,-9.637923072730508e-05,0.0060961024,21252096,0.0,-0.07201338592003996,1.9999311751162676,-0.6761951101270444,0.0,-0.029655046959479917,0.0,-0.0016474008168895831,386.23989239999986,0.0,0.0,0.7999999999999999,-1.735104598918642e-08,0.0,0.3081597222222222,849.91,0.0,6028,0.37640558524725615,0.008593919999999979,0.23298285388159382,-0.5227185625454033,-0.00026335850107682673,0.0,0.5049308077370142,1153,-0.011124478790748796,-0.13444267730124804,0.17187839999999957,-0.02692523726757162,-0.006495615851928045,7.0528961562862e-06,0.12255859375,1.788342010229081,-36.90256958007812,46.895320892333984,0.00024691584,0.2,0.9842807650566101,1.0010433197021484,-0.02456673579872586,140.18808097839354,26088,0.22994384765625,0.022310266,0.17187839999999957,0.17187839999999957,0.05729280000000033,0.05729280000000033,0.17187839999999957
0.0,0.131672008463637,-0.0099609374999999,0.695410432,0.6884351999999982,0.0,-0.07937798891820075,-0.10268795622368598,-0.025102719267690837,-0.003043988618440871,-0.09654196209445659,0.06330684044255537,-0.06623481358115797,0.020079360000000115,-3.886858194030128e-05,3528,-0.0026121609257875435,0.006092416,21270528,0.0,-0.07645703283992057,1.9999208258600605,-0.6972486354203554,0.0,-0.044030542335173936,0.0,-0.0010375944790818419,379.96965637999995,0.0,0.0,0.7999999999999999,-1.6819649389969537e-08,0.0,0.33637152777777773,845.12,0.0,6028,0.2310942942844171,0.008605439999999978,0.2963332909910684,-0.49931785539972434,-0.0002681995901552463,0.0,0.5045329801839653,1154,-0.012912078459256031,-0.13275409324153642,0.17210879999999956,-0.033894276933106114,-0.0077092208027208335,5.4253323469311e-06,0.12027994791666667,1.7910151026570813,-36.90053310394287,52.358890533447266,0.00024686976,0.2,0.9789798855781555,1.000725507736206,-0.022655229142401367,175.5891269683838,26092,0.1817138671875,0.017093714,0.17210879999999956,0.17210879999999956,0.05736960000000033,0.05736960000000033,0.17210879999999956
0.0,0.13588118126442278,-0.010590277777777641,0.695404288,0.6893567999999982,0.0,-0.06703691283481847,-0.09864055639450585,-0.015654132483358927,-0.0030674860475358085,-0.09711761269698176,0.058916120600578395,-0.07332424608170887,0.020106240000000115,-3.910978737474145e-05,3531,-0.0007580334897850734,0.0060887296,21288960,0.0,-0.07306028428496916,1.9999257419808256,-0.6700993783018953,0.0,-0.04168710292640651,0.0,-0.004732526656072069,389.35488742999996,0.0,0.0,0.7999999999999999,-1.8410050146681728e-08,0.0,0.3246527777777778,867.53,0.0,6028,0.21574725366044936,0.008616959999999977,0.2955773088006095,-0.5429234180570588,-0.0002703675053675618,0.0,0.5017827609863662,1155,-0.019183731795564103,-0.1342011410607624,0.17233919999999955,-0.029059972452855336,-0.006986321985346818,1.302077240931491e-05,0.11805555555555555,1.8259137663133294,-36.90293426513672,38.00352478027344,0.00024682368,0.2,0.9839322566986084,1.0009968280792236,-0.02532636624528095,138.5464988708496,26096,0.1960205078125,0.020986471,0.17233919999999955,0.17233919999999955,0.057446400000000335,0.057446400000000335,0.17233919999999955
0.0,0.13048502769119688,-0.009667968749999917,0.6953981439999999,0.6902783999999982,0.0,-0.060812052432026524,-0.1050775800555978,-0.02270036768829987,-0.002985291982000848,-0.09641585747855917,0.047235138080708915,-0.07188692648006145,0.020133120000000115,-3.5363515743100496e-05,3534,-0.00019538690887159848,0.0060850432,21307392,0.0,-0.06881618310147407,1.9999335038519805,-0.6862794330611833,0.0,-0.03172040325486228,0.0,-0.002685268894614031,422.6651608200001,0.0,0.0,0.7999999999999999,-1.6349356112776647e-08,0.0,0.3056911892361111,915.16,0.0,6028,0.3645035157610803,0.008628479999999978,0.26936270005978613,-0.5279405545768214,-0.0002502068344017786,0.0,0.5041640369882671,1156,-0.008575543889855533,-0.11786845944892071,0.17256959999999955,-0.023070378247481545,-0.006208352586516554,8.680537575855851e-06,0.10747612847222222,1.713381845141251,-36.900179100036624,38.1418342590332,0.0002467776,0.2,0.9874154329299927,1.000585675239563,-0.024136871472001074,106.25724334716797,26100,0.1998046875,0.01962011,0.17256959999999955,0.17256959999999955,0.05752320000000034,0.05752320000000034,0.17256959999999955
0.0,0.13971855830642496,-0.009906684027777682,0.6953919999999999,0.6911999999999981,0.0,-0.068804703187451,-0.10450776342884437,-0.04677033455968847,-0.0029834859606848716,-0.0964189064330663,0.047813387476929994,-0.07569910883425368,0.02016000000000012,-3.6587059684003833e-05,3537,0.0,0.0060813568,21325824,0.0,-0.0729627991930197,1.9999304245195555,-0.6960151487590047,0.0,-0.039320002738960524,0.0,-3.6349196711348166e-05,485.5768613300001,0.0,0.0,0.7999999999999999,-1.487769938564133e-08,0.0,0.3150770399305556,1009.49,0.0,6028,0.38659519899131284,0.008639999999999978,0.21200115877123402,-0.5167836823149923,-0.000255640529461014,0.0,0.5041168151494598,1157,-0.015492089164661497,-0.10573653498690966,0.17279999999999954,-0.025477658051022034,-0.005500570411606198,5.4253323469311e-06,0.1282009548611111,1.8060402596440106,-36.89510269165039,117.9716796875,0.00024673152,0.2,0.9756582379341125,1.0006428956985474,-0.022694905754178762,224.5876350402832,26104,0.214697265625,0.021423463,0.17279999999999954,0.17279999999999954,0.05760000000000034,0.05760000000000034,0.17279999999999954
0.0,0.14073982451713307,-0.010145399305555447,0.6953858559999999,0.6921215999999981,0.0,-0.06592907005000763,-0.1027665958516151,-0.02695008160992776,-0.0030061269300590237,-0.09594150387985957,0.04609511748973587,-0.07140198036181133,0.02018688000000012,-3.572052254107745e-05,3540,-1.9951547917459104e-05,0.0060776704,21344256,0.0,-0.0735065628001704,1.9999311794365637,-0.6830434531867613,0.0,-0.0266425032963175,0.0,-0.0015548987834740223,560.17410193,0.0,0.0,0.7999999999999999,-1.4884219051132689e-08,0.0,0.3183051215277778,1114.86,0.0,6028,0.25763857960354786,0.008651519999999977,0.2512933720673935,-0.5368661714568594,-0.00025237291718200765,0.0,0.5072944990960625,1158,-0.01414855100800856,-0.10941618305369241,0.17303039999999953,-0.02435945691671459,-0.005208737364789614,2.1701271180063486e-06,0.1169704861111111,1.651246528064022,-36.89465389251709,37.67808151245117,0.00024668544,0.2,0.9899792671203613,1.0006234645843506,-0.02453304922673851,104.28589134216308,26108,0.18411865234375,0.019194435,0.17303039999999953,0.17303039999999953,0.05767680000000034,0.05767680000000034,0.17303039999999953
0.0,0.16861531657953868,-0.01047092013888876,0.6953797119999999,0.6930431999999981,0.0,-0.07380360366144247,-0.10422912197106739,-0.014341316624028195,-0.0031495743266462457,-0.09626435611601912,0.052792626426459814,-0.06690137178471998,0.02021376000000012,-3.7608859033772375e-05,3543,-0.00042750145202437404,0.006073984,21362688,0.0,-0.07915009985684548,1.9999207913844055,-0.7060863820955467,0.0,-0.03692393031067452,0.0,-3.2687271919308434e-05,505.6270310599999,0.0,0.0,0.7999999999999999,-1.5118763226506876e-08,0.0,0.3393012152777778,1031.82,0.0,6028,0.27593774884333233,0.008663039999999976,0.22647787525507068,-0.49713186193181325,-0.0002663356153157386,0.0,0.50675819633204,1159,-0.023423663094953452,-0.10419636202077967,0.17326079999999952,-0.026286745659662384,-0.00602778912217084,1.2478247905770937e-05,0.13758680555555555,1.7849574819404574,-36.897431182861325,58.01594924926758,0.00024663935999999997,0.2,0.9851073622703552,1.0006937980651855,-0.022966553235892206,152.96514015197755,26112,0.2073486328125,0.01768456,0.17326079999999952,0.17326079999999952,0.05775360000000034,0.05775360000000034,0.17326079999999952
0.0,0.1433690681090963,-0.010253906249999886,0.6953735679999999,0.693964799999998,0.0,-0.06947266576372792,-0.10612059295985968,-0.03057286199700427,-0.0030165236469070216,-0.09573187250750897,0.04595528092035375,-0.06969130686757635,0.02024064000000012,-3.625205604072983e-05,3546,-0.005134999129239413,0.0060702976,21381120,0.0,-0.07449386089262074,1.9999154982036513,-0.696786054501314,0.0,-0.044566318147504114,0.0,-0.0027562046501164636,524.4146462,0.0,0.0,0.7999999999999999,-1.5870732215204967e-08,0.0,0.325927734375,1070.62,0.0,6028,0.17843132182739227,0.008674559999999975,0.19660879949326496,-0.5376212020835206,-0.00025627244232971635,0.0,0.5048943150100418,1160,-0.0245145494403965,-0.11124267806323261,0.1734911999999995,-0.027749447982092636,-0.006649098507103899,7.052915558839838e-06,0.1279839409722222,1.9237665476439751,-36.90048809051514,52.840660095214844,0.00024659328,0.2,0.9835142493247986,1.0009543895721436,-0.024290739023126662,141.49614791870118,26116,0.20089111328125,0.020948369,0.1734911999999995,0.1734911999999995,0.057830400000000344,0.057830400000000344,0.1734911999999995
0.0,0.14930826068862282,-0.009874131944444349,0.695367424,0.694886399999998,0.0,-0.07462449685098607,-0.107074580600582,-0.04552898469451249,-0.002924817226500856,-0.09590898966585262,0.04661187587400583,-0.07640733322602292,0.02026752000000012,-3.5829564592360486e-05,3549,-0.004837663735155075,0.0060666112000000005,21399552,0.0,-0.07206204069036691,1.9999211472748,-0.7108966043356673,0.0,-0.054079295087960694,0.0,-0.0026110795588465407,595.11048377,0.0,0.0,0.7999999999999999,-1.65734934576282e-08,0.0,0.3262532552083333,1201.67,0.0,6028,0.2564249801745408,0.008686079999999976,0.2019966125143212,-0.5277617088908486,-0.00025038429617318714,0.0,0.5040782562254809,1161,-0.01957563157939834,-0.11248918303474187,0.1737215999999995,-0.030578151334773526,-0.007587233420483548,1.4105860221510133e-05,0.12939453125,1.7433788224964968,-36.90779895782471,53.691776275634766,0.0002465472,0.2,0.9878230690956116,1.0014395713806152,-0.02053914531134069,134.74280128479003,26120,0.19119873046875,0.018467445,0.1737215999999995,0.1737215999999995,0.057907200000000346,0.057907200000000346,0.1737215999999995
0.0,0.13872086640092907,-0.009819878472222128,0.69536128,0.695807999999998,0.0,-0.07421207439300415,-0.10513168282661774,-0.02784811427921023,-0.0030715362653055407,-0.0959461137034832,0.05104243233947488,-0.07440012441927023,0.020294400000000122,-3.840167331004638e-05,3553,-0.0037992272385728443,0.0060629248,21417984,0.0,-0.07523272428468776,1.99992678290372,-0.7171502763829924,0.0,-0.045961859179259226,0.0,-0.0035972670884802938,588.8109564199999,0.0,0.0,0.7999999999999999,-1.6464264834006258e-08,0.0,0.32023111979166663,1189.49,0.0,6028,0.18773905496508336,0.008697599999999975,0.28551062724289666,-0.5581228043971829,-0.0002689508325924196,0.0,0.5073771707843885,1162,-0.029171409562811383,-0.12219446543874196,0.1739519999999995,-0.03201518487251869,-0.007217994625161507,2.17011741672953e-06,0.1237521701388889,1.8140988091588075,-36.91069278717041,40.561988830566406,0.00024650112,0.2,0.986036479473114,1.0014381408691406,-0.021287920844042674,139.5823486328125,26124,0.20787353515625,0.020662716,0.1739519999999995,0.1739519999999995,0.05798400000000035,0.05798400000000035,0.1739519999999995
0.0,0.1354077080978921,-0.009657118055555473,0.695355136,0.696729599999998,0.0,-0.08949935717779976,-0.10514068459230384,-0.030373915249629117,-0.0030548533227720315,-0.0960200464372364,0.052915733411044455,-0.0720259707108693,0.020321280000000122,-3.8096952707776286e-05,3556,-0.00019205824899957288,0.0060592384,21436416,0.0,-0.07962839426482345,1.9999202283228992,-0.6736832625829516,0.0,-0.06412749882608246,0.0,-0.008257777284597978,522.9610453,0.0,0.0,0.7999999999999999,-1.5800390506944204e-08,0.0,0.3394639756944445,1120.02,0.0,6028,0.1572990750372642,0.008709119999999975,0.21154966108874088,-0.5096957105093421,-0.0002673823810812019,0.0,0.5036166882936326,1163,-0.02806712711510108,-0.11922422713342165,0.1741823999999995,-0.0340924921581022,-0.008402836354580836,1.5733472537249327e-05,0.12630208333333334,1.6556309344050508,-36.90438327789307,44.11197280883789,0.00024645504,0.2,0.9877938628196716,1.0009244680404663,-0.02546489906962961,131.63018569946288,26128,0.20322265625,0.020290902,0.1741823999999995,0.1741823999999995,0.05806080000000035,0.05806080000000035,0.1741823999999995
0.0,0.14307020787731173,-0.010633680555555415,0.6953489919999999,0.6976511999999979,0.0,-0.08544999624074502,-0.10520197287251944,-0.04330571514285115,-0.0032595020320122896,-0.09611149069338105,0.0571674695923153,-0.0705866586994296,0.020348160000000122,-3.8783930527677154e-05,3559,-0.000966234645122905,0.0060555520000000005,21454848,0.0,-0.0807441874786989,1.999922010767016,-0.7048891454628539,0.0,-0.048468192105069696,0.0,-0.0010264712958208595,451.2878258399999,0.0,0.0,0.7999999999999999,-1.6687676958118945e-08,0.0,0.3340928819444445,1024.68,0.0,6028,0.21477312236382085,0.008720639999999974,0.2555071227926405,-0.5040512533932603,-0.00027577677327667634,0.0,0.5051928313544213,1164,-0.01660335152440268,-0.12752995508702472,0.17441279999999948,-0.032471396235907335,-0.007057636137855668,5.4253323469311e-06,0.14491102430555555,1.7562134481643912,-36.90245304107666,50.7811393737793,0.00024640896,0.2,0.9883264303207397,1.0011056661605835,-0.024714517034590246,135.92474746704102,26132,0.22835693359375,0.023471942,0.17441279999999948,0.17441279999999948,0.05813760000000035,0.05813760000000035,0.17441279999999948
0.0,0.1408533057662958,-0.010156249999999888,0.6953428479999999,0.6985727999999979,0.0,-0.08124763861477075,-0.10840743597194785,-0.038029053604700325,-0.0031942328138504436,-0.09558716041106065,0.058135467743987035,-0.06408966371785024,0.020375040000000122,-3.741204783136562e-05,3562,-0.00784064720490896,0.0060518656,21473280,0.0,-0.08300412827901497,1.9999180291568068,-0.6942261641622073,0.0,-0.05922258937077453,0.0,-0.0007492373066876704,429.60592167999994,0.0,0.0,0.7999999999999999,-1.7177081183049678e-08,0.0,0.3357747395833333,1001.03,0.0,6027,0.2753147759175285,0.008732159999999973,0.24081949856668805,-0.5068511353259372,-0.0002648713469709255,0.0,0.5062030895424066,1165,-0.01768451936649497,-0.11567979913789712,0.17464319999999947,-0.03127261651451184,-0.007120356670116909,6.184891551836497e-05,0.12906901041666666,1.722236159901492,-36.90164165496826,67.84806060791016,0.00024636288,0.2,0.9855324029922485,1.000869870185852,-0.022084713215008378,167.97875328063964,26136,0.2290283203125,0.02038138,0.17464319999999947,0.17464319999999947,0.05821440000000035,0.05821440000000035,0.17464319999999947
0.0,0.15178434049261108,-0.010221354166666564,0.6953367039999999,0.6994943999999979,0.0,-0.08221622341722949,-0.10441694584957696,-0.029763700087179552,-0.0031107297748428756,-0.09602111722219159,0.05582033647734382,-0.06804474846345081,0.020401920000000122,-3.854634337486156e-05,3565,-0.0005309634296377421,0.0060481792,21491712,0.0,-0.08145044143561149,1.9999157358620563,-0.6906077630745675,0.0,-0.04967218885845018,0.0,-0.0026730621369400374,336.93725599000004,0.0,0.0,0.7999999999999999,-1.7453709266249423e-08,0.0,0.3434787326388889,848.93,0.0,6027,0.22189587295352006,0.008743679999999974,0.23960635937506608,-0.5159273922800762,-0.00026962907871399595,0.0,0.5040113545526398,1166,-0.014296767382711954,-0.12575049860485576,0.17487359999999946,-0.032213135814642295,-0.007149168027445286,1.898864866234362e-05,0.14046223958333334,1.6466788448654808,-36.901956748962405,54.0611457824707,0.0002463168,0.2,0.9878146052360535,1.0010368824005127,-0.023618747550062835,145.3608497619629,26140,0.21417236328125,0.023303907,0.17487359999999946,0.17487359999999946,0.058291200000000355,0.058291200000000355,0.17487359999999946
