reward_terms/step_rate,rollout/ep_len_mean,reward_terms/energy,curriculum/ctrl_drop_prob,reward_terms/air_time,reward_terms/upright,curriculum/ent_coef,reward_terms/foot_slip,reward_terms/clearance,reward_terms/motor_vel,curriculum/ctrl_jitter_ms,reward_terms/torque,reward_terms/angmom,reward_terms/assist_pen,reward_terms/foot_ahead,curriculum/sprint_dist_m,curriculum/eff_scale,reward_terms/stance,time/fps,time/total_timesteps,reward_terms/alive,reward_terms/residual_rate,reward_terms/vz,reward_terms/overrun,time/iterations,curriculum/stance_ratio,reward_terms/hip_roll,reward_terms/stop,reward_terms/time,reward_terms/phase_contact,reward_terms/height,time/time_elapsed,reward_terms/lat_vel,rollout/ep_rew_mean,reward_terms/coef_rate,reward_terms/ang_xy,reward_terms/action_rate,reward_terms/residual,reward_terms/fwd_speed,reward_terms/stance_time,train/clip_range,train/approx_kl,train/entropy_loss,train/learning_rate,train/explained_variance,train/std,train/clip_fraction,train/n_updates,train/loss,train/value_loss,train/policy_gradient_loss
0.0,197.02,-0.0016046036761987212,0.0,0.00014648437111948928,-0.19399273601317335,0.01,-0.13762245741679657,0.05454090159426772,-0.00024321362631911017,0.0,-0.02439674957475699,-0.1132820623697902,0.0,0.0,32.3152,0.048768,-0.0005463986504655623,4261,11722752,0.0,0.0,-0.3211595149589287,0.0,636,0.63878336,-0.057989409797271754,0.0,-0.5,-0.09606910025975618,-0.08189664209227523,2750,-2.7081401310194094e-08,-111.32772132,-0.08111670832485683,-0.22190179121483097,-0.020797829808204785,-0.110628897525387,1.2454796376756803,0.0,0.2,0.01685876,-19.87845468521118,0.00029414784,0.996275782585144,1.0022820234298706,0.20009765625,17714,-0.09697531908750534,0.3205886848270893,-0.009019869612529874
0.0,197.62,-0.0016319653929514895,0.0,9.277338782946269e-05,-0.1990157658540595,0.01,-0.1393007157483252,0.05553159038060712,-0.00024912696947559525,0.0,-0.024722089913428776,-0.11688518480858955,0.0,0.0,32.32672,0.0488448,-0.00029409107001717767,4261,11741184,0.0,0.0,-0.3214362562099611,0.0,637,0.638765696,-0.060032401864452495,0.0,-0.5,-0.09178428337066352,-0.08213643876920118,2754,-2.88309671950001e-08,-111.35319125999999,-0.07968580732371705,-0.2285365337290114,-0.020773955206968363,-0.1107875746476495,1.2365986678020713,0.0,0.2,0.014672855,-19.877614879608153,0.000294138624,0.9960967302322388,1.0017566680908203,0.1862548828125,17718,-0.07480475306510925,0.35417697578668594,-0.00834188589360565
0.0,197.52,-0.0016199585908716905,0.0,0.00014648437111948928,-0.19581383179944645,0.01,-0.14222598999419975,0.05466314609376921,-0.0002476210576711082,0.0,-0.0248143680462299,-0.11609662683344281,0.0,0.0,32.33824,0.0489216,-0.0002838984390770479,4261,11759616,0.0,0.0,-0.3207521044085645,0.0,638,0.638748032,-0.06158437249361991,0.0,-0.5,-0.09502911531548845,-0.08196818014787223,2759,-2.853097470669192e-08,-111.74360892,-0.0796257492429226,-0.22498576464923806,-0.02106546104872077,-0.11047073913478894,1.2352541644083732,0.0,0.2,0.017234812,-19.873261070251466,0.000294129408,0.9962379336357117,1.0014417171478271,0.1871337890625,17722,-0.062425777316093445,0.3632954001426697,-0.009422750188969075
0.0,197.49,-0.0016473839546946574,0.0,4.882812370649642e-05,-0.19696031373973394,0.01,-0.13971379790892408,0.054217333147871374,-0.0002475753162434411,0.0,-0.02489724937475804,-0.10894208644623657,0.0,0.0,32.34976,0.0489984,-0.0003147953855384561,4261,11778048,0.0,0.0,-0.3262383917588074,0.0,639,0.638730368,-0.059493821708278466,0.0,-0.5,-0.09344095671364472,-0.08367125835370479,2763,-2.7582646770228873e-08,-110.72047065999998,-0.08013993032892514,-0.2236192215663167,-0.020698305030022006,-0.1106263657771328,1.249987512240776,0.0,0.2,0.021175683,-19.878589057922362,0.000294120192,0.9952426552772522,1.002532958984375,0.20347900390625,17726,-0.020297452807426453,0.46144942194223404,-0.006732921977527439
0.0,197.39,-0.0016498301888325621,0.0,0.0,-0.20383041834789073,0.01,-0.13849875212821106,0.05448877023684353,-0.00025097198713129083,0.0,-0.024382759325592678,-0.10433387636926149,0.0,0.0,32.36128,0.0490752,-0.00030626730571414496,4261,11796480,0.0,0.0,-0.32838588046825007,0.0,640,0.638712704,-0.0594544716595354,0.0,-0.5,-0.09239113962845703,-0.08635348162511217,2767,-2.8075468928860408e-08,-110.98396806999999,-0.07954376068740487,-0.22618707554452935,-0.02098995846254299,-0.11061654400149158,1.2743196985995073,0.0,0.2,0.01711705,-19.880826568603517,0.000294110976,0.9958814382553101,1.0021607875823975,0.1830078125,17730,-0.07830590009689331,0.3244767114520073,-0.007442539068870246
0.0,197.18,-0.001642945182409413,0.0,4.3945254421689446e-05,-0.1968886909022624,0.01,-0.13800308243387877,0.054127272810942234,-0.0002482721078980062,0.0,-0.02440554065128065,-0.10856178877645238,0.0,0.0,32.3728,0.049152,-0.0004105000340924736,4261,11814912,0.0,0.0,-0.3187148793772448,0.0,641,0.63869504,-0.0594268415920926,0.0,-0.5,-0.09430475079436372,-0.0823304237661752,2772,-2.7915360787015125e-08,-111.04942868999997,-0.07943109696406986,-0.22005277253477773,-0.020431663348671223,-0.11076323789055265,1.2467925243520575,0.0,0.2,0.020678109,-19.87852611541748,0.00029410175999999995,0.9969884157180786,1.0020614862442017,0.1755615234375,17734,-0.12155800312757492,0.25416378006339074,-0.01180757379042916
0.0,196.91,-0.0016531367750845817,0.0,0.0001247828477062285,-0.18584233100431077,0.01,-0.1382524120912728,0.0545739302943529,-0.00025244077646794,0.0,-0.024578198471875312,-0.11166382522904897,0.0,0.0,32.38432,0.0492288,-0.0004904540688959,4261,11833344,0.0,0.0,-0.3121392981705206,0.0,642,0.638677376,-0.059859086949057394,0.0,-0.5,-0.09713302406481938,-0.07994303621272965,2776,-2.8207647061205132e-08,-110.95943475000001,-0.07847620460322498,-0.22223211245394156,-0.020320822756508462,-0.11098811793911453,1.2354753235552542,-4.068747835440768e-07,0.2,0.017768685,-19.875408458709718,0.00029409254399999997,0.9942371249198914,1.0016100406646729,0.2071533203125,17738,0.030461415648460388,0.5183172449469566,-0.008888826693873853
0.0,197.31,-0.0016472125634376953,0.0,4.82855377615326e-05,-0.20211845718863575,0.01,-0.14453895347723597,0.054196474869470976,-0.0002500176455391887,0.0,-0.024261395330316234,-0.11010518815328713,0.0,0.0,32.39584,0.0493056,-0.00048435199211653405,4261,11851776,0.0,0.0,-0.320883233923581,0.0,643,0.638659712,-0.05909298543240141,0.0,-0.5,-0.09722551947733951,-0.0834424906091756,2780,-2.792985195674238e-08,-111.13741175000001,-0.07940202671476032,-0.22741753978827534,-0.020284067888977922,-0.11094229538222668,1.2444360843048063,-1.3562837719089455e-06,0.2,0.01524449,-19.872916507720948,0.000294083328,0.9950442910194397,1.0012365579605103,0.1369384765625,17742,-0.03758075833320618,0.47076065838336945,-0.0095157666830346
0.0,197.3,-0.0016610779455397135,0.0,9.114578521500032e-05,-0.1988453345160958,0.01,-0.1406139006249912,0.05583529688542605,-0.0002528363748248497,0.0,-0.02444009518966739,-0.11044831653432069,0.0,0.0,32.40736,0.0493824,-0.0004935409003185377,4262,11870208,0.0,0.0,-0.32111742850466674,0.0,644,0.638642048,-0.059216261635807683,0.0,-0.5,-0.09148721440475333,-0.08343205839696115,2785,-2.7290346406851778e-08,-110.99385908000001,-0.08030515839659075,-0.2267979260539219,-0.020513073550378347,-0.1108757067207958,1.2405356085353039,0.0,0.2,0.019303503,-19.87566394805908,0.000294074112,0.9955192804336548,1.0018947124481201,0.1871337890625,17746,-0.09804444015026093,0.36870679408311846,-0.01171858935849741
0.0,196.43,-0.001654323473652264,0.0,9.711366146802902e-05,-0.18837641370110264,0.01,-0.13872066409405856,0.05450319349474842,-0.00025185509193008203,0.0,-0.024812020196669855,-0.11007417205194153,0.0,0.0,32.41888,0.0494592,-0.0003722874395900599,4262,11888640,0.0,0.0,-0.3117485140278015,0.0,645,0.638624384,-0.05907209462180401,0.0,-0.5,-0.09575992933263366,-0.08092183866915044,2789,-2.7035760304156043e-08,-110.82996635,-0.08043758475322632,-0.2257332048740271,-0.020561104503159518,-0.11090776988933257,1.2293931182051558,0.0,0.2,0.01714073,-19.879245662689208,0.000294064896,0.9968866109848022,1.0019769668579102,0.20838623046875,17750,-0.042021870613098145,0.32092430740594863,-0.009103329596109688
