reward_terms/phase_contact,reward_terms/stop,reward_terms/time,reward_terms/air_time,reward_terms/stance_time,curriculum/eff_scale,reward_terms/foot_slip,reward_terms/foot_ahead,reward_terms/step_rate,reward_terms/alive,reward_terms/action_rate,curriculum/sprint_dist_m,reward_terms/angmom,reward_terms/ang_xy,reward_terms/residual_rate,curriculum/ent_coef,reward_terms/height,reward_terms/assist_pen,reward_terms/torque,reward_terms/motor_vel,reward_terms/energy,reward_terms/overrun,reward_terms/fwd_speed,reward_terms/residual,reward_terms/stance,curriculum/stance_ratio,reward_terms/hip_roll,reward_terms/coef_rate,reward_terms/clearance,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,reward_terms/vz,reward_terms/lat_vel,time/fps,reward_terms/upright,time/total_timesteps,train/n_updates,train/entropy_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/std,train/clip_range,train/learning_rate,train/loss
-0.36307705967900694,0.0024186126505021457,-0.5,0.0021598281972627672,-3.2550914006100764e-05,1.0,-0.9556039296542327,0.0,0.0,0.0,-0.018830250776947523,100.0,0.0,-3.5614284694800756e-05,0.0,0.003081856,-0.01810832350648557,0.0,-0.48385485710407533,-0.009250730293307648,-0.05979739839886311,0.0,4.629550412940946,-0.1127888135408257,0.0,0.42,-0.05589178689365058,-0.09879970035765487,0.14240555046693545,9673.76,4476.18638422,7218,1649,-0.09350759221114963,-1.6437941142208422e-07,4210,-5.249897324208216e-07,30394368,19143,-19.805115604400633,0.010712634,0.13126220703125,9.117436838150024,-0.004714613384567201,0.9967304468154907,0.9958455562591553,0.2,0.00019874688,5.669510841369629
-0.3152070752962568,0.03940316352658516,-0.5,0.001978621818125248,-3.6484364601266054e-05,1.0,-0.8696876117455189,0.0,0.0,0.0,-0.020791502944995134,100.0,0.0,-3.059757682080712e-05,0.0,0.003069568,-0.015250336011504828,0.0,-0.44148379596050163,-0.008374824808871296,-0.05336307516241628,0.0,3.9999418193294756,-0.11123356051438815,-9.52637041937976e-08,0.42,-0.04807013553659492,-0.09363766035297773,0.12126364141924613,9668.64,4474.41727401,7222,1650,-0.08404561758407869,-1.367615170649526e-07,4210,-4.684702889770896e-07,30412800,19147,-19.805806636810303,0.010830225,0.102392578125,9.293534743785859,-0.006513184448704123,0.9955287575721741,0.9957869648933411,0.2,0.00019868544,1.6502629518508911
-0.28000010262698216,0.07239306567268693,-0.5,0.0018939865209783118,-1.3155794780080518e-05,1.0,-0.7872619170318083,0.0,0.0,0.0,-0.02133358984492824,100.0,0.0,-2.948486477408212e-05,0.0,0.0030572800000000008,-0.013842395777376816,0.0,-0.4099173397865619,-0.007607269691338318,-0.048649265468010496,0.0,3.676117099886307,-0.11063487539675643,0.0,0.42,-0.04454831421792211,-0.08646544638213133,0.11527418488253373,9678.95,4473.366865530001,7226,1651,-0.07699814176000387,-1.3120189312001742e-07,4210,-4.405994880832737e-07,30431232,19151,-19.802535438537596,0.009449942,0.1114990234375,5.454624283313751,-0.005211401684209705,0.9992270469665527,0.9954848289489746,0.2,0.000198624,1.7895363569259644
-0.2528491928795169,0.09868499130439867,-0.5,0.001617836646295877,-1.2748855321357647e-05,1.0,-0.7428131152301202,0.0,0.0,0.0,-0.02229017303716255,100.0,0.0,-2.824654083207838e-05,0.0,0.003044992,-0.013317467734528847,0.0,-0.3901681448402639,-0.007026035311201505,-0.04552092782272538,0.0,3.2396660163044206,-0.10980694748573991,0.0,0.42,-0.04130811210711525,-0.0866937879167227,0.10009708758355366,9682.18,4474.27787678,7231,1652,-0.06852662800871945,-1.1260367976222107e-07,4210,-4.072388074517081e-07,30449664,19155,-19.80091619491577,0.009603856,0.0878662109375,8.718636417388916,-0.005960564594715834,0.9990296363830566,0.9955058693885803,0.2,0.00019856256,0.9703589677810669
-0.28085339284411864,0.06815818776477761,-0.5,0.0017974154454552466,-2.0887114159348937e-05,1.0,-0.7682941160939883,0.0,0.0,0.0,-0.0206961896599704,100.0,0.0,-2.869614471662613e-05,0.0,0.0030327039999999998,-0.01290880907047411,0.0,-0.39753212950185296,-0.00762270087904842,-0.04829696720476983,0.0,3.596815506411085,-0.11084600123151261,-1.1592715145088656e-05,0.42,-0.04292274550197573,-0.09611389250197772,0.11616454209202225,9582.53,4431.5917119099995,7235,1653,-0.07759713914226708,-1.2445111904231977e-07,4211,-4.3335315039051474e-07,30468096,19159,-19.80189437866211,0.007668817,0.05963134765625,16.456487798690794,-0.004433772887568921,0.998528778553009,0.9956055879592896,0.2,0.00019850112,4.203359603881836
-0.29926205912975884,0.05725750117632707,-0.5,0.0018505837813588893,-1.0985864921369486e-05,1.0,-0.8417825101198185,0.0,0.0,0.0,-0.020424781097189322,100.0,0.0,-3.080012668490035e-05,0.0,0.0030204159999999997,-0.014467246401104944,0.0,-0.42649004675303437,-0.008056183043972783,-0.051597163030547157,0.0,3.8563123345022126,-0.11128452777756327,0.0,0.42,-0.04639140763658897,-0.09542698586688307,0.11875402644784391,9607.22,4428.72546159,7239,1654,-0.08056231520743296,-1.4191705382446555e-07,4211,-4.4517016017354504e-07,30486528,19163,-19.803285217285158,0.009730269,0.0606201171875,73.34290828704835,-0.004668153217062354,0.9906073808670044,0.9956178665161133,0.2,0.00019843968,45.95172119140625
-0.2904686432303686,0.06752524218863037,-0.5,0.0018684874165854934,-7.323823714007934e-06,1.0,-0.8139194967578172,0.0,0.0,0.0,-0.02069409121544599,100.0,0.0,-2.973702416850644e-05,0.0,0.0030081280000000005,-0.01363926244626152,0.0,-0.4157331907524254,-0.007842270254813216,-0.05004884827992037,0.0,3.8003915442357705,-0.11106430491541067,0.0,0.42,-0.04403834962171144,-0.0908147816621646,0.11977978254685816,9607.22,4428.72546159,7245,1655,-0.07749632166734194,-1.2644503046150664e-07,4210,-4.4305360611765366e-07,30504960,19167,-19.805435752868654,0.011009075,0.11661376953125,9.447707629203796,-0.006613937439396977,0.9989601969718933,0.9959257245063782,0.2,0.00019837824,3.588778257369995
-0.3193633230603752,0.03277781186404933,-0.5,0.002001408270896516,-1.8852481540913384e-05,1.0,-0.8546433708681376,0.0,0.0,0.0,-0.01925193845031552,100.0,0.0,-3.2845216519575016e-05,0.0,0.0029958400000000005,-0.014976873829397865,0.0,-0.4409510830932406,-0.008621788252309293,-0.05483592378265803,0.0,4.183562297394341,-0.11203310451135756,0.0,0.42,-0.04845521979726395,-0.09633171211564154,0.13533588400943952,9633.19,4428.498369280001,7249,1656,-0.08722454593334639,-1.3889825172023803e-07,4210,-4.770809240910896e-07,30523392,19171,-19.8065749168396,0.012252003,0.1187744140625,1.517015129327774,-0.009504191402811557,0.9997643828392029,0.9958480000495911,0.2,0.0001983168,0.5068873763084412
-0.35494630770439667,0.007805564200771127,-0.5,0.002286238654050976,-4.4893851736560464e-05,1.0,-0.9319394260463076,0.0,0.0,0.0,-0.018744966761926628,100.0,0.0,-3.628500500736173e-05,0.0,0.0029835520000000004,-0.017156379746639774,0.0,-0.47506891028073717,-0.009220983570160044,-0.05900909268083528,0.0,4.603950324591547,-0.11285457470081665,0.0,0.42,-0.05503713475501146,-0.10091628103006813,0.1423729504235069,9633.19,4428.498369280001,7253,1657,-0.09093047811577401,-1.5928424302300427e-07,4210,-5.149279334672563e-07,30541824,19175,-19.803361034393312,0.011077889,0.1249267578125,34.82660274505615,-0.004219993390142918,0.99378502368927,0.9955779314041138,0.2,0.00019825536,14.235563278198242
-0.34000934680269357,0.019293285035989545,-0.5,0.002220049500465393,-1.2070713435403175e-05,1.0,-0.904743500132918,0.0,0.0,0.0,-0.01914537119209054,100.0,0.0,-3.464133598764588e-05,0.0,0.0029712639999999995,-0.016174985737089007,0.0,-0.45779831965931017,-0.009030006783457604,-0.057202310634956274,0.0,4.487269931258975,-0.11251980951676638,0.0,0.42,-0.0510113895365601,-0.0933512507300884,0.1386511259716424,9633.19,4428.498369280001,7258,1658,-0.08940160243265347,-1.55094696443764e-07,4210,-4.949736308949224e-07,30560256,19179,-19.802791118621826,0.015176317,0.1539306640625,2.328717756271362,-0.010589031735435128,0.9990721940994263,0.9957586526870728,0.2,0.00019819392,0.8985755443572998
