reward_terms/time,reward_terms/angmom,reward_terms/upright,reward_terms/foot_slip,reward_terms/height,reward_terms/hip_roll,reward_terms/clearance,curriculum/ent_coef,reward_terms/overrun,reward_terms/ang_xy,curriculum/stance_ratio,reward_terms/air_time,reward_terms/motor_vel,reward_terms/stance,reward_terms/alive,reward_terms/action_rate,time/fps,rollout/ep_len_mean,time/time_elapsed,curriculum/pitch_assist,time/iterations,reward_terms/stop,reward_terms/energy,curriculum/eff_scale,reward_terms/coef_rate,reward_terms/vz,reward_terms/phase_contact,rollout/ep_rew_mean,reward_terms/fwd_speed,time/total_timesteps,reward_terms/lat_vel,reward_terms/stance_time,reward_terms/residual,reward_terms/torque,train/loss,train/entropy_loss,train/n_updates,train/std,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/approx_kl
0.0,-0.1841421009782264,-0.4381626044379233,-0.4928443946715892,-0.08888852727261048,-0.053278937466199175,0.19366764440169956,0.01,0.0,-0.32252672558568674,0.613904,0.00038194371801283624,-0.0015634760064672584,-0.0001484778052003652,0.5,-0.11135644685185146,3066,98.81,7069,0.45855999999999997,1176,0.0,-0.008602895211043328,0.144384,-0.5513388773640087,-0.1747779655033571,-0.39022709091209407,-85.71673179,2.0698954778608067,21676032,-1.4240739846628803e-08,0.0,-0.5374874699355905,-0.1128673343937502,3.932978630065918,-34.07711887359619,37815,1.0020594596862793,0.0003,0.3542724609375,0.2,-0.008879940572660417,9.109816789627075,0.9884940385818481,0.038892694
0.0,-0.18154412426363625,-0.4259685794513928,-0.49585081144939824,-0.08478748228572237,-0.0522098876057353,0.18995744590876223,0.01,0.0,-0.32208134148539647,0.6138732800000001,0.0004079853889480647,-0.0015448304676726344,-0.00022875379527153978,0.5,-0.1103987810276787,3066,96.45,7075,0.45809920000000004,1177,0.0,-0.0084417618398105,0.14450688,-0.5500912820045866,-0.16920446376961182,-0.39373306671281455,-85.21491502999999,2.0423156651221706,21694464,-1.3062791486992711e-08,0.0,-0.5378038417609301,-0.1117206887939175,3.2159945964813232,-34.06809825897217,37819,1.0014115571975708,0.0003,0.28282470703125,0.2,-0.012770197563804686,6.738969922065735,0.9915457367897034,0.030321617
0.0,-0.18201768421592057,-0.4214413393866429,-0.4801750524258972,-0.08192007693607956,-0.0527074133171451,0.1944190769282622,0.01,0.0,-0.3211053714108447,0.61384256,0.00038845412847068574,-0.0015504832427615668,-0.0002318318607544732,0.5,-0.11045878026768849,3066,97.38,7081,0.4576384,1178,0.0,-0.008499799370007093,0.14462976,-0.5501221412067316,-0.16598986284155817,-0.3883425245590364,-84.63664034,2.0649873515067823,21712896,-1.3198459768778233e-08,0.0,-0.5382271418537665,-0.11196672838888191,3.768472194671631,-34.072039413452146,37823,1.002014398574829,0.0003,0.2937744140625,0.2,-0.011096433782950044,9.184400129318238,0.9880244135856628,0.033340774
0.0,-0.18243369759689085,-0.4251798546011586,-0.4861814087806012,-0.08404706529630188,-0.05278945094950555,0.1929835568064812,0.01,0.0,-0.32232714472798524,0.61381184,0.0003743482132752736,-0.0015521381131669003,-0.0002566089175653202,0.5,-0.11087085134017344,3066,98.6,7087,0.45717759999999996,1179,0.0,-0.008494909650332902,0.14475264,-0.547836417896298,-0.1689597003357929,-0.39054049598994234,-85.2232579,2.059014789280374,21731328,-1.3729774006400444e-08,0.0,-0.5385798793464365,-0.112162800919482,4.626435279846191,-34.07590789794922,37827,1.0019904375076294,0.0003,0.29290771484375,0.2,-0.012671121570747346,9.2210862159729,0.9885359406471252,0.03188256
0.0,-0.18536552089586936,-0.4365755106067234,-0.4969904697426316,-0.08708628298379889,-0.05300469996328468,0.19227700934472056,0.01,0.0,-0.32394938635124393,0.6137811200000001,0.00039170936280344095,-0.0015619217476905377,-0.0002532587381044086,0.5,-0.11126491390244991,3066,98.07,7093,0.45671680000000003,1180,0.0,-0.008617715406129343,0.14487552,-0.5488645293423117,-0.17061135224622415,-0.38965049754325054,-85.63582913,2.0648919595376714,21749760,-1.3707539945146355e-08,0.0,-0.5381578173730419,-0.11315251987551275,2.618802070617676,-34.06957740783692,37831,1.0018205642700195,0.0003,0.33555908203125,0.2,-0.010536058282013983,8.02104880809784,0.9898301362991333,0.043874163
0.0,-0.18354876651522659,-0.43246159771693526,-0.4973266616662395,-0.08742295775565122,-0.05297526896098,0.19164712738599401,0.01,0.0,-0.3240524277886065,0.6137504,0.00040147496878893837,-0.0015552711590711408,-0.0002219886037328227,0.5,-0.11061200935427923,3066,97.85,7099,0.456256,1181,0.0,-0.008550351578017874,0.1449984,-0.5483634614626985,-0.17497324660565414,-0.3925053345172509,-86.65713343000002,2.052787471367955,21768192,-1.3951519496150143e-08,0.0,-0.5377094206305727,-0.11291754624875389,2.5664432048797607,-34.07436466217041,37835,1.002112627029419,0.0003,0.36141357421875,0.2,-0.009400823840405793,6.399658155441284,0.9921544790267944,0.03663927
0.0,-0.1828541095475317,-0.43104622504497325,-0.49248820477166494,-0.08565944433058838,-0.05326123140422677,0.19340622877452252,0.01,0.0,-0.32170423124986447,0.61371968,0.0003819436986102826,-0.0015563932140818819,-0.0002897841253325025,0.5,-0.11090107881343425,3066,98.41,7105,0.45579519999999996,1182,0.0,-0.008532691933425042,0.14512128,-0.5494399645027523,-0.17040199829551503,-0.39143188958514324,-86.1601544,2.0605287231175167,21786624,-1.3854792931730025e-08,0.0,-0.5378568339098455,-0.11259414528646117,3.0509328842163086,-34.05753665500217,37837,1.0006827116012573,0.0003,0.2757975260416667,0.2,0.00041598697296447225,7.717331144544813,0.9906299710273743,0.04055755
0.0,-0.1823113372390742,-0.4310643463724989,-0.4980264622415982,-0.08601541852681918,-0.0542648306166875,0.19424203135881515,0.01,0.0,-0.3206828073485854,0.6136889600000001,0.00036566768216693564,-0.001563414480446972,-0.0002036719685495994,0.5,-0.11103886071870697,3066,98.76,7111,0.45533440000000003,1183,0.0,-0.00858528280992424,0.14524416,-0.5505683183871093,-0.17208731258339918,-0.3897904323307373,-86.40069366,2.063996286691854,21805056,-1.3903570650397379e-08,0.0,-0.5386470153883224,-0.1128452609373865,4.404809951782227,-34.070610270780676,37841,1.001861810684204,0.0003,0.33981502757352944,0.2,-0.006341749418746023,8.637118732227998,0.9890245795249939,0.04389735
0.0,-0.18025554746457984,-0.422220640116232,-0.494599018560202,-0.08393678874478555,-0.053086697868433994,0.19030833282402074,0.01,0.0,-0.3195827811621233,0.61365824,0.0003710929983450721,-0.0015458507281974029,-0.0002659352019744229,0.5,-0.11019433945664522,3066,95.53,7117,0.4548736,1184,0.0,-0.008473544684026483,0.14536704,-0.5489298547606215,-0.1674962238922251,-0.39401260101166424,-85.56757585999999,2.0456427030846345,21823488,-1.3002179136287383e-08,0.0,-0.5376578120200106,-0.11242064902190774,4.440722942352295,-34.072706413269046,37845,1.0018738508224487,0.0003,0.31268310546875,0.2,-0.011296246433630586,8.151649856567383,0.9898318648338318,0.029664725
0.0,-0.18402363625049756,-0.4396289706643627,-0.5018082598642841,-0.08948177057542046,-0.05365507280592373,0.19323691709300456,0.01,0.0,-0.32209289037403294,0.61362752,0.0003602423174824152,-0.0015609124437963018,-0.0002683689719129869,0.5,-0.11076744591301617,3066,98.86,7123,0.45441279999999995,1185,0.0,-0.008618069152777338,0.14548992,-0.5511207270674837,-0.1750434404406409,-0.39120668511582163,-86.51090141,2.0632245936363276,21841920,-1.3779282704913375e-08,0.0,-0.5382055541485182,-0.11367242110782011,5.766915321350098,-34.069976043701175,37849,1.0016491413116455,0.0003,0.28446044921875,0.2,-0.012247062311507762,12.968874883651733,0.9835615754127502,0.033605415
