time/iterations,curriculum/ent_coef,reward_terms/lat_vel,reward_terms/vz,curriculum/ctrl_jitter_ms,time/fps,rollout/ep_len_mean,reward_terms/motor_vel,reward_terms/residual,reward_terms/action_rate,reward_terms/energy,reward_terms/angmom,reward_terms/residual_rate,reward_terms/duty_sym,reward_terms/stop,time/time_elapsed,reward_terms/hip_roll,reward_terms/fwd_speed,ankle/ankle_defl_peak,reward_terms/ang_xy,reward_terms/upright,reward_terms/stance,curriculum/ctrl_drop_prob,reward_terms/torque,reward_terms/assist_pen,reward_terms/alive,reward_terms/foot_slip,reward_terms/coef_rate,reward_terms/height,reward_terms/foot_ahead,reward_terms/air_time,reward_terms/overrun,reward_terms/clearance,curriculum/eff_scale,curriculum/sprint_dist_m,reward_terms/phase_contact,reward_terms/stance_time,rollout/ep_rew_mean,curriculum/stance_ratio,reward_terms/time,time/total_timesteps,ankle/ankle_spring_trq_peak,reward_terms/step_rate,ankle/ankle_spring_energy_peak,train/approx_kl,train/n_updates,train/learning_rate,train/entropy_loss,train/explained_variance,train/std,train/policy_gradient_loss,train/clip_fraction,train/loss,train/clip_range,train/value_loss
21,0.01,-9.31000429302663e-09,-0.14569111867892412,0.0,2767,50.27,-1.1831512230179585e-06,-0.060939215240602466,-0.21577406482110809,-1.0845755780751681e-05,-0.26760378436508553,0.0,0.0,0.0,139,-0.0029966424506857356,-1.589554351316071,0.11671159456652358,-0.15505670303532304,-0.3392963934207416,-6.257741998405067e-06,0.0,-0.0003226925398338674,0.0,0.0,-0.03732100519027925,-1.5638620871168012,-0.04098003413668608,0.0,0.0,0.0,0.030539535764924877,0.006144,25.9216,-0.5412433534095074,-0.010531661068348007,-150.15661133,0.64858688,-0.5,387072,40.84905809828325,-0.010644531249999927,2.383809752217148,0.0022862698,80,0.00029926272,-34.06709442138672,0.0007748603820800781,1.0012162923812866,-0.0065049893106333915,0.00328369140625,356.92327880859375,0.2,768.3739624023438
22,0.01,-9.65936421020407e-09,-0.13997829007954185,0.0,2767,50.57,-1.24737049805082e-06,-0.06091588866530311,-0.213737962450452,-1.1316274634242861e-05,-0.2602891420761502,0.0,0.0,0.0,146,-0.0028863337407283723,-1.5721526600831148,0.11236767019780064,-0.1509303650255009,-0.3250432540616653,-3.893822234416296e-06,0.0,-0.0003388094462275773,0.0,0.0,-0.03958254686497184,-1.5583615930327994,-0.03922533643772346,0.0,0.0,0.0,0.029091593028914176,0.0064512,25.96768,-0.5428738931060839,-0.010447567933523614,-150.46321729,0.648516224,-0.5,405504,39.32868456923023,-0.01063368055555549,2.218111870965608,0.002088381,84,0.00029922585599999996,-34.06851081848144,-0.002626776695251465,1.001278281211853,-0.006056211527902633,0.00240478515625,334.4630126953125,0.2,725.2217742919922
23,0.01,-1.0165948991076728e-08,-0.14087510155112437,0.0,2768,50.58,-1.3666222674320854e-06,-0.061041880451654956,-0.21362436178739397,-1.255231951274361e-05,-0.26392740188482655,0.0,0.0,0.0,153,-0.002911773758537681,-1.5704331551182613,0.11382180178245815,-0.15534183353053313,-0.3283461407688289,-8.031094268712518e-07,0.0,-0.0003656962447529651,0.0,0.0,-0.04231257433025176,-1.565700259924779,-0.03907010432124916,0.0,8.68055051089161e-06,0.0,0.028227944104949165,0.0067584,26.01376,-0.5424766443599748,-0.010666751503271775,-150.47722296,0.648445568,-0.5,423936,39.837630623860356,-0.01121961805555547,2.267514426978657,0.002411873,88,0.000299188992,-34.06687297821045,-0.009115457534790039,1.0011131763458252,-0.006513234903104603,0.0041015625,318.6477355957031,0.2,675.5182342529297
24,0.01,-9.668327812283408e-09,-0.14359912436479083,0.0,2769,51.16,-1.3759853287786503e-06,-0.06099743075923874,-0.214998599984796,-1.2820355463222641e-05,-0.2682387269921851,0.0,0.0,0.0,159,-0.0028954163293088107,-1.5892806808206439,0.1095540734482954,-0.15609652231267,-0.3382502221159751,-1.9207909960526984e-05,0.0,-0.00038931394675115026,0.0,0.0,-0.03792427661817029,-1.5614875873895342,-0.040503559553196664,0.0,0.0,0.0,0.029623881386808177,0.0070656,26.05984,-0.5410044670056391,-0.010661326182243,-151.05030834000002,0.648374912,-0.5,442368,38.34392570690339,-0.010698784722222143,2.1926984376343093,0.0021179602,92,0.000299152128,-34.06288585662842,-0.014182090759277344,1.0007795095443726,-0.006472950440365821,0.0019287109375,286.65496826171875,0.2,621.5921142578125
25,0.01,-9.811184554103027e-09,-0.14288880979823002,0.0,2770,50.7,-1.4299414336025143e-06,-0.061259844883771536,-0.21632791028172782,-1.3402992098804382e-05,-0.26393077942260995,0.0,0.0,0.0,166,-0.002893055504514044,-1.5773569255588198,0.11693432048938407,-0.15131601104914633,-0.33387768744087026,-2.6879421978905592e-05,0.0,-0.0004037873588723773,0.0,0.0,-0.03605545535593122,-1.5645539528904178,-0.040350994967553094,0.0,0.0,0.0,0.02965229608809659,0.0073728,26.10592,-0.5435178895970877,-0.010427494239087941,-150.5895079,0.648304256,-0.5,460800,40.927012171284424,-0.01112196180555546,2.3929489428039115,0.0029212441,96,0.000299115264,-34.061276245117185,0.03099048137664795,1.000760793685913,-0.007329782075248659,0.00465087890625,265.955078125,0.2,573.5798370361329
26,0.01,-1.045380718412563e-08,-0.1495210738247824,0.0,2770,52.2,-1.5347376036593061e-06,-0.061147980598767644,-0.2157125333583783,-1.425502699098261e-05,-0.27989671378105824,0.0,0.0,0.0,172,-0.002922776204237677,-1.6241279565730764,0.11699392506888817,-0.16281103330336072,-0.3572108697441132,-2.1847473706246876e-05,0.0,-0.0004087063839557551,0.0,0.0,-0.041203226735326046,-1.5639288425492344,-0.042880795630146455,0.0,0.0,0.0,0.030610607983981224,0.00768,26.152,-0.5387870240613728,-0.011377471036717502,-152.0963552,0.6482336000000001,-0.5,479232,40.94787377411086,-0.011002604166666576,2.4022377463634217,0.0033594116,100,0.0002990784,-34.063060188293456,0.009173929691314697,1.00101637840271,-0.007786155841313302,0.00709228515625,252.25401306152344,0.2,532.2420135498047
27,0.01,-9.902224412402406e-09,-0.14616619657585,0.0,2770,51.34,-1.576866061878428e-06,-0.06114713738948939,-0.21401102210983436,-1.4779462269274113e-05,-0.27540646569431476,0.0,0.0,0.0,179,-0.00285729706717115,-1.620097033521827,0.11030378710178143,-0.15697142532253938,-0.354402103560812,-1.8161660605988368e-06,0.0,-0.00041730734088510027,0.0,0.0,-0.036947071144273376,-1.5551469114918035,-0.04271993445831029,0.0,3.2552052289247513e-06,0.0,0.03009179289739937,0.0079872,26.19808,-0.5389197982320622,-0.009650585783270394,-151.23743874,0.6481629440000001,-0.5,497664,38.6063254856235,-0.011762152777777677,2.1711493399836903,0.0032859475,104,0.00029904153599999997,-34.06575984954834,0.005588412284851074,1.0011775493621826,-0.007699677412165329,0.00643310546875,225.3676300048828,0.2,485.3393020629883
28,0.01,-1.0489435158689207e-08,-0.146518216537689,0.0,2751,51.95,-1.6391510805367693e-06,-0.061532401078477496,-0.21608565643089392,-1.5391448549785194e-05,-0.27903227535292574,0.0,0.0,0.0,187,-0.0031006847159396208,-1.6189651491218688,0.11451382584344844,-0.15613865167729288,-0.36310727384540303,-2.2351382477593777e-06,0.0,-0.00045090578811650655,0.0,0.0,-0.03788107035671164,-1.5602837059072217,-0.04305314963741559,0.0,7.595485335008965e-06,0.0,0.03161384347205141,0.0082944,26.24416,-0.534557088042574,-0.010315732495251318,-151.83886109,0.6480922880000001,-0.5,516096,40.07983904520695,-0.011360677083333222,2.305248860525432,0.004254201,108,0.000299004672,-34.07004013061523,-0.004902839660644531,1.0015394687652588,-0.008815758116543292,0.0121337890625,206.65911865234375,0.2,449.4762588500977
29,0.01,-9.318260005291552e-09,-0.14806532148082707,0.0,2752,51.11,-1.6738205034148157e-06,-0.06142247777148074,-0.21482599464880023,-1.5844250345588372e-05,-0.2748165214085311,0.0,0.0,0.0,194,-0.0029531842324916195,-1.616869179842369,0.1243171510522381,-0.15493830283441526,-0.35517188486630463,-6.247785450143904e-06,0.0,-0.0004657027628987905,0.0,0.0,-0.034653517200327034,-1.5582727234508849,-0.043303448652944034,0.0,3.2552052289247513e-06,0.0,0.030187100838147105,0.0086016,26.29024,-0.5451940629877186,-0.01081215056991722,-151.00914133999999,0.6480216320000001,-0.5,534528,43.511002868283335,-0.010970052083333242,2.7046073172451908,0.0046541397,112,0.000298967808,-34.07295150756836,0.002235233783721924,1.0017286539077759,-0.009258266282267868,0.01544189453125,196.65499877929688,0.2,415.03818969726564
30,0.01,-9.349935561212003e-09,-0.1510044899181326,0.0,2753,51.71,-1.7692350373552343e-06,-0.06110956056013997,-0.21592029264090085,-1.6508669996267862e-05,-0.28616234108384275,0.0,0.0,0.0,200,-0.0030436499337419976,-1.6394883962108273,0.10908481342871848,-0.1608461596708979,-0.3669559849882584,-7.530863512979649e-06,0.0,-0.00048153888059391424,0.0,0.0,-0.040546051733329584,-1.5511187363166021,-0.04417258909230299,0.0,0.0,0.0,0.03101304642663823,0.0089088,26.33632,-0.5343310157705271,-0.010600562682763362,-151.61101266,0.6479509760000001,-0.5,552960,38.17968470005147,-0.011425781249999902,2.1209192163590647,0.0042238208,116,0.000298930944,-34.07094802856445,0.00153350830078125,1.0015010833740234,-0.008842938882298767,0.0119384765625,172.530517578125,0.2,385.35555877685545
