curriculum/ctrl_jitter_ms,rollout/ep_rew_mean,time/fps,reward_terms/energy,reward_terms/motor_vel,reward_terms/duty_sym,reward_terms/phase_contact,time/time_elapsed,reward_terms/clearance,reward_terms/foot_slip,reward_terms/foot_ahead,reward_terms/overrun,curriculum/ent_coef,curriculum/stance_ratio,reward_terms/coef_rate,reward_terms/stance,reward_terms/air_time,time/total_timesteps,reward_terms/residual_rate,reward_terms/lat_vel,ankle/ankle_spring_trq_peak,reward_terms/action_rate,reward_terms/height,reward_terms/stop,reward_terms/step_rate,reward_terms/time,rollout/ep_len_mean,curriculum/eff_scale,reward_terms/residual,reward_terms/fwd_speed,curriculum/sprint_dist_m,ankle/ankle_defl_peak,reward_terms/stance_time,curriculum/ctrl_drop_prob,reward_terms/upright,reward_terms/angmom,reward_terms/ang_xy,reward_terms/hip_roll,reward_terms/vz,time/iterations,reward_terms/assist_pen,reward_terms/torque,ankle/ankle_spring_energy_peak,reward_terms/alive,train/explained_variance,train/std,train/clip_range,train/approx_kl,train/entropy_loss,train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/n_updates
0.0,-18.808291829999998,3939,-0.02508724197741626,-0.004367857375677024,0.0,-0.2728304061513004,107,0.2300656782389966,-0.5619268071106934,0.0,0.0,0.01,0.5930702907500001,-0.37780810198574705,0.0,0.0006054675808021178,59423346,0.0,-4.941869404240242e-08,26.405883908540485,-0.0469639806472046,-0.026113560513841078,0.0,-0.013530815972221931,-0.5,273.6,0.247520475,-0.10642859270246266,2.999712661720806,62.12807125,0.9216713406122333,0.0,0.0,-0.23884776824142534,-0.06590173352353625,-0.28475268519889463,-0.040098075187991654,-0.19218246779301915,23,0.0,-0.2754127129067674,12.196644144782434,0.0,0.9885848760604858,1.0018590688705444,0.2,0.04207763,-34.07641356331961,0.00027029754299999996,4.401604652404785,-0.0058611011731305295,12.245617696217128,0.26656668526785715,12778
0.0,-18.29620598,3948,-0.024900391984720032,-0.004372679691867811,0.0,-0.27555050188936037,112,0.2268879370799155,-0.5552014241350559,0.0,0.0,0.01,0.59305262675,-0.38881491279452135,0.0,0.0006043825414963067,59441778,0.0,-4.6806979558396836e-08,26.595631338695913,-0.04652657732659538,-0.024972182667820968,0.0,-0.013726128472221925,-0.5,273.64,0.247597275,-0.10674865374394298,2.9527630927858226,62.13959125,0.9282942875635573,0.0,0.0,-0.2316799889359507,-0.06454304701267044,-0.29167896687859557,-0.03996477700094803,-0.18957022381264912,24,0.0,-0.27383189148420173,12.37407488014811,0.0,0.9698224067687988,1.0017169713974,0.2,0.022750266,-34.0764518737793,0.000270288327,12.535123825073242,-0.008814127964433283,28.437832355499268,0.226953125,12782
0.0,-15.759280560000002,3957,-0.02497322803199949,-0.004363415008320725,0.0,-0.27346923657211636,116,0.23328054063888798,-0.552275950069671,0.0,0.0,0.01,0.59303496275,-0.38523777132169945,0.0,0.0006917304805635164,59460210,0.0,-4.6380730387952786e-08,26.68477065997251,-0.04686004498935474,-0.024720616826065592,0.0,-0.013313802083333047,-0.5,276.58,0.247674075,-0.10695543957306469,2.9707105626009187,62.15111125,0.9314056076779237,0.0,0.0,-0.23421628574169853,-0.06527268973718854,-0.2875125220171033,-0.04058037023928938,-0.18683251368438192,25,0.0,-0.2773546890129321,12.42718580240312,0.0,0.9711310267448425,1.0013575553894043,0.2,0.018065345,-34.070442581176756,0.000270279111,15.399115562438965,-0.01267221556045115,27.600088024139403,0.16480712890625,12786
0.0,-17.781544710000002,3965,-0.025035383241648883,-0.004378826945047203,0.0,-0.27961802317365064,120,0.21962310103150137,-0.5776937078847487,0.0,0.0,0.01,0.59301729875,-0.3904031374508105,0.0,0.0005908191960770637,59478642,0.0,-4.751548151706979e-08,27.088815466296666,-0.04629999991584163,-0.026128391940469273,0.0,-0.0138454861111108,-0.5,274.23,0.247750875,-0.10663768234540472,2.92070530171932,62.162631250000004,0.9455083932389762,0.0,0.0,-0.2379737292014119,-0.06642353064225189,-0.29582581649920336,-0.039440262306831786,-0.18773827556783984,26,0.0,-0.2757499568046605,12.80850948649757,0.0,0.9806342720985413,1.0012859106063843,0.2,0.0149282515,-34.068581199646,0.000270269895,5.947460651397705,-0.014477373636327683,17.00718221664429,0.13773193359375,12790
0.0,-19.77065351,3972,-0.024863751641736792,-0.004388037756726185,0.0,-0.27501654856197394,125,0.23077448130448713,-0.559871316379945,0.0,0.0,0.01,0.5929996347500001,-0.38332813572150887,0.0,0.0006868476436162988,59497074,0.0,-4.895479077518472e-08,27.044357093741187,-0.04653998341959021,-0.02677769691255066,0.0,-0.013986545138888577,-0.5,272.23,0.247827675,-0.10671279857751824,3.0005713770778453,62.17415125,0.9439566175825894,0.0,0.0,-0.243924746974965,-0.064682950766613,-0.2931426504285566,-0.03811114598894663,-0.19772917111973132,27,0.0,-0.26901312457430604,12.791317283222675,0.0,0.9708744883537292,1.001204490661621,0.2,0.018426849,-34.068012428283694,0.000270260679,13.925745010375977,-0.012536359496880322,29.441461086273193,0.15953369140625,12794
0.0,-19.63771132,3924,-0.02541985492881646,-0.004450998168675364,0.0,-0.27543522265578096,131,0.22398548024780773,-0.5659057399866734,0.0,0.0,0.01,0.59298197075,-0.3845633040416241,0.0,0.0006629761677080145,59515506,0.0,-4.805532948009329e-08,26.272130351430597,-0.04661272194224053,-0.027125053066547944,0.0,-0.01445312499999967,-0.5,272.57,0.247904475,-0.10663255021491756,2.9535664521352523,62.18567125,0.9170028045874554,0.0,0.0,-0.24638856616934207,-0.06754221628346575,-0.29340529809333327,-0.03959374548539121,-0.18203362184456914,28,0.0,-0.2809855616582102,12.053347777992844,0.0,0.9824673533439636,1.0011719465255737,0.2,0.021254301,-34.06695919036865,0.000270251463,8.375396728515625,-0.014324221084825695,16.9097092628479,0.15843505859375,12798
0.0,-15.925330760000001,3932,-0.024843912538696142,-0.004356735322430863,0.0,-0.2742199275457851,135,0.22966674916901436,-0.5603993438801883,0.0,0.0,0.01,0.59296430675,-0.37998512801429785,0.0,0.000699868454830721,59533938,0.0,-4.674698472975649e-08,26.507893376380903,-0.046636455765090845,-0.027813935731454686,0.0,-0.013552517361110817,-0.5,275.41,0.247981275,-0.10687505607832859,3.0215010084222182,62.19719125,0.9252318805019513,0.0,0.0,-0.24807149844405188,-0.06657688643608384,-0.2874896092177433,-0.0378886585412411,-0.19537394145406237,29,0.0,-0.2718083022696719,12.26301182970292,0.0,0.9711677432060242,1.0017528533935547,0.2,0.017855402,-34.072651100158694,0.000270242247,11.155461311340332,-0.01189168351702392,27.58778953552246,0.15123291015625,12802
0.0,-15.471027020000001,3939,-0.024980266092734925,-0.004361662388493835,0.0,-0.2692533104495795,140,0.2310981415051901,-0.55644866243714,0.0,0.0,0.01,0.59294664275,-0.37172832995821237,0.0,0.0006684015097562224,59552370,0.0,-4.760112380075988e-08,26.525103356466932,-0.045836046523449296,-0.028186323408191234,0.0,-0.013400607638888605,-0.5,275.93,0.248058075,-0.10704946963934735,3.0574802973185107,62.20871125,0.925832577887153,0.0,0.0,-0.25019937652509494,-0.0651349580876845,-0.27999322484487044,-0.039639624298745874,-0.1935366762944108,30,0.0,-0.27241165984925453,12.27899604429585,0.0,0.9881614446640015,1.001464605331421,0.2,0.0491129,-34.07151246070862,0.00027023303099999997,3.3301186561584473,-0.012636826468224172,11.034265249967575,0.22515869140625,12806
0.0,-23.67055217,3945,-0.025770536547382133,-0.0045149185704636535,0.0,-0.27878336553719213,144,0.2116404208329208,-0.5846754789590487,0.0,0.0,0.01,0.5929289787500001,-0.3975768707093288,0.0,0.0006022123949757466,59570802,0.0,-5.1052066768026605e-08,26.462748065762483,-0.04743107625245565,-0.028863397925756578,0.0,-0.013823784722221913,-0.5,264.98,0.248134875,-0.10664093000160647,2.914207350568293,62.22023125,0.9236561279498249,0.0,0.0,-0.2525167219515405,-0.06848663756375332,-0.3006495804840097,-0.041118262828623776,-0.17642420908703382,31,0.0,-0.2843193860123957,12.226695777451337,0.0,0.9864510893821716,1.0028278827667236,0.2,0.033896018,-34.084215354919436,0.000270223815,8.43588924407959,-0.009519661433296278,13.5683669090271,0.29052734375,12810
0.0,-17.880831120000003,3951,-0.024998485661272433,-0.004399173779505378,0.0,-0.27491189346010886,149,0.21774897767842602,-0.578208630713614,0.0,0.0,0.01,0.59291131475,-0.38151367019636023,0.0,0.0006060101150069386,59589234,0.0,-4.868177926835947e-08,26.390519369595157,-0.04623713310974016,-0.028380910200367093,0.0,-0.013519965277777489,-0.5,273.16,0.248211675,-0.1066234945672091,2.964238560881722,62.23175125,0.921135056530372,0.0,0.0,-0.24666174448582734,-0.0671192511204013,-0.2950080160985693,-0.03938079802419314,-0.18699125271697928,32,0.0,-0.273490359240393,12.156303278140928,0.0,0.959453821182251,1.0018737316131592,0.2,0.022134887,-34.07848644256592,0.000270214599,20.98771095275879,-0.010921126487664879,39.081117725372316,0.2055908203125,12814
