curriculum/eff_scale,reward_terms/action_rate,reward_terms/duty_sym,curriculum/ctrl_drop_prob,reward_terms/air_time,reward_terms/residual_rate,reward_terms/step_rate,reward_terms/alive,curriculum/ctrl_jitter_ms,reward_terms/fwd_speed,reward_terms/stop,reward_terms/torque,reward_terms/coef_rate,rollout/ep_len_mean,reward_terms/height,curriculum/stance_ratio,reward_terms/foot_ahead,reward_terms/angmom,reward_terms/hip_roll,reward_terms/energy,reward_terms/overrun,reward_terms/upright,reward_terms/clearance,reward_terms/phase_contact,reward_terms/assist_pen,reward_terms/stance_time,reward_terms/foot_slip,reward_terms/vz,rollout/ep_rew_mean,reward_terms/residual,reward_terms/time,reward_terms/ang_xy,ankle/ankle_spring_trq_peak,reward_terms/stance,ankle/ankle_defl_peak,curriculum/sprint_dist_m,time/time_elapsed,reward_terms/lat_vel,time/fps,reward_terms/motor_vel,time/total_timesteps,ankle/ankle_spring_energy_peak,curriculum/ent_coef,time/iterations,train/value_loss,train/n_updates,train/clip_range,train/learning_rate,train/loss,train/explained_variance,train/std,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction
0.29350425,-0.04069542294262707,-0.049074740338090325,0.0,0.00419487426471379,0.0,-0.00753038194444448,0.0,0.0,1.3608123248865354,0.0,-0.08287575117888495,-0.20128794731458258,195.22,-0.03659415586451115,0.5824940225,0.0,-0.11383823720157221,-0.019223021468444693,-0.00881914479345762,0.0,-0.1513963778900069,0.10177274262470445,-0.10173990652086161,0.0,-0.008585560329568883,-0.13079049018072117,-0.12432919946157729,-91.53675455000003,-0.10486672030489524,-0.5,-0.14779621083765826,0.0,-0.000439749674014888,0.519348909457818,69.0256375,3096,-2.370321218066055e-08,4023,-0.0013538043110168183,70459452,0.0,0.01,676,0.048104758374392986,15147,0.2,0.00026477949,-0.3398715853691101,0.9996893405914307,0.9822801351547241,-0.014943018509075045,-33.46052799224854,0.019994546,0.20321044921875
0.29358105,-0.0411924799218008,-0.04998856076722237,0.0,0.004157981951721013,0.0,-0.007660590277777805,0.0,0.0,1.3543655532569865,0.0,-0.08469417071721007,-0.20895448232891112,195.11,-0.0372590924776109,0.5824763585,0.0,-0.1140753088819457,-0.020272297844272067,-0.009019347087811332,0.0,-0.1507072949202309,0.1024164362271161,-0.10452167603544456,0.0,-0.008738825543938825,-0.13654702427546112,-0.12425127500089883,-91.49844713000002,-0.10478521477102191,-0.5,-0.15176610163106644,0.0,-0.000785440973004584,0.5193313460801117,69.0371575,3101,-2.3519890075867947e-08,4023,-0.0013899322450058003,70477884,0.0,0.01,677,0.027360870596021415,15151,0.2,0.000264770274,-0.34579288959503174,0.9998317360877991,0.9819061160087585,-0.015727568697184325,-33.45658664703369,0.02105131,0.212109375
0.29365785,-0.040856517450491674,-0.04814314212444664,0.0,0.004267031417435242,0.0,-0.007552083333333368,0.0,0.0,1.3538254943766395,0.0,-0.0830545088904028,-0.20532968378390593,195.15,-0.03640839671238872,0.5824586945,0.0,-0.11427109800182772,-0.01967343271403716,-0.008871503446234124,0.0,-0.15087684731216874,0.10241510535261138,-0.10271262302324598,0.0,-0.008572404172607802,-0.13014387213940037,-0.12311191649281288,-91.53381363,-0.10472737265516634,-0.5,-0.149686886730666,0.0,-0.0005043399568732601,0.5195900254877733,69.0486775,3105,-2.4040884461925516e-08,4024,-0.0013618505398332057,70496316,0.0,0.01,678,0.0290662937797606,15155,0.2,0.000264761058,-0.34579992294311523,0.9998108744621277,0.9817465543746948,-0.015421806112863123,-33.4488410949707,0.020957483,0.22086181640625
0.29373465,-0.04067853356427532,-0.04595738730557722,0.0,0.0041639498215065235,0.0,-0.007519531250000037,0.0,0.0,1.3514328524019135,0.0,-0.08380915709361034,-0.20657159313479478,192.86,-0.036472242494161616,0.5824410305000001,0.0,-0.11497867079274313,-0.019153175161732212,-0.008923427178942414,0.0,-0.15179371705421252,0.10168959070137402,-0.10350429534665179,0.0,-0.008515302583368288,-0.13372831167798516,-0.12388473017687465,-91.5873642,-0.104991477649109,-0.5,-0.1505001578991972,0.0,-0.0005449491372398398,0.5202432434051758,69.0601975,3111,-2.3857626198498393e-08,4021,-0.0013607265642833644,70514748,0.0,0.01,679,0.023166130855679513,15159,0.2,0.00026475184199999997,-0.3499963581562042,0.9998582601547241,0.9811930656433105,-0.016263148351572453,-33.441748428344724,0.021947188,0.20836181640625
0.29381145,-0.040713854853560424,-0.04820401211224773,0.0,0.004217118335266908,0.0,-0.007519531250000037,0.0,0.0,1.3461769230068747,0.0,-0.08322588671455561,-0.20581587348921238,195.57,-0.036357293241337275,0.5824233665,0.0,-0.11359274111016242,-0.018711051303190222,-0.008916871801531548,0.0,-0.14949869531629964,0.10176892239062378,-0.10427936887771054,0.0,-0.009061497542360384,-0.13757024179366142,-0.12231381247214107,-91.5636607,-0.1048213777905545,-0.5,-0.1500065751143725,0.0,-0.0005307508946210034,0.5187602448297509,69.0717175,3116,-2.343056092094961e-08,4021,-0.0013749952848057952,70533180,0.0,0.01,680,1.082330928184092,15163,0.2,0.000264742626,0.3156057894229889,0.9939274787902832,0.9830791354179382,-0.00551106808707118,-33.45149478912354,0.031945337,0.21690673828125
0.29388825,-0.040738630458064945,-0.05298936203666499,0.0,0.004180769119153006,0.0,-0.00744357638888893,0.0,0.0,1.3493110870110034,0.0,-0.08339901905180193,-0.20289462965791585,196.5,-0.03636336756669159,0.5824057025,0.0,-0.1144831801940083,-0.019523497557412558,-0.008907847975808998,0.0,-0.14932129027359353,0.1007848505203292,-0.1037154452527108,0.0,-0.00953092426708382,-0.1312284222715587,-0.1222520405919621,-91.81856716,-0.10476117172765798,-0.5,-0.14882537092580891,0.0,-0.000394449951398377,0.5191190445254685,69.0832375,3120,-2.3240421281550784e-08,4021,-0.001370475738427097,70551612,0.0,0.01,681,0.03305778102949262,15167,0.2,0.00026473341,-0.3546106815338135,0.9997833371162415,0.9830169081687927,-0.017889339639805258,-33.46903247833252,0.021870736,0.1903564453125
0.29396505,-0.040631312611585285,-0.04752118237434375,0.0,0.004171002817909337,0.0,-0.007649739583333361,0.0,0.0,1.3516740075401463,0.0,-0.08374929512118606,-0.2032892331852435,195.51,-0.03649425807680656,0.5823880385,0.0,-0.11428144586299166,-0.01910493881350253,-0.008892263094062401,0.0,-0.15069212567959359,0.10266833920940205,-0.10359229466230722,0.0,-0.00862665725677895,-0.13115163663734164,-0.12295364718697759,-91.64805037999997,-0.10488591347050916,-0.5,-0.14861958146507762,0.0,-0.00038245224697917445,0.5191334581921414,69.0947575,3125,-2.3637491799270916e-08,4022,-0.001365080885569502,70570044,0.0,0.01,682,0.05302879102528095,15171,0.2,0.00026472419399999997,-0.3406258821487427,0.999648928642273,0.9822992086410522,-0.013706110860221088,-33.4560209274292,0.023553807,0.23817138671875
0.29404185,-0.041632532636559576,-0.051962941996161534,0.0,0.0040983036160469055,0.0,-0.007562934027777813,0.0,0.0,1.339611075851711,0.0,-0.08381162547059326,-0.20723790393421979,196.26,-0.0362457436777887,0.5823703745,0.0,-0.1125175054288676,-0.019698617607457745,-0.008953407189922763,0.0,-0.1479501705601191,0.10090900021624562,-0.1034867418070601,0.0,-0.009325439980279447,-0.1282349471900601,-0.12113397141799008,-91.70935969,-0.10458034196792616,-0.5,-0.15156835778249966,0.0,-0.0003099702513160824,0.5202510575152329,69.1062775,3129,-2.3847468354549955e-08,4022,-0.0013790264357070893,70588476,0.0,0.01,683,0.026081455033272506,15175,0.2,0.000264714978,-0.3575439453125,0.9998418092727661,0.9820107221603394,-0.018210546229965985,-33.45544624328613,0.021956932,0.2022216796875
0.29411865,-0.040660820793249654,-0.044354626900003996,0.0,0.0041899915668182075,0.0,-0.007595486111111143,0.0,0.0,1.3482346166587353,0.0,-0.08409339522841744,-0.20403927918790576,194.68,-0.03623280467360646,0.5823527105,0.0,-0.11404940653632327,-0.019150520475253632,-0.008929189105475143,0.0,-0.14977698757860625,0.10216115950556591,-0.10354420075658494,0.0,-0.008427547578725757,-0.136474277708865,-0.12193652750521711,-91.28307887000003,-0.10487221728046282,-0.5,-0.14941131849270117,0.0,-0.0005111510121340348,0.520592647140212,69.1177975,3134,-2.3452308087921692e-08,4022,-0.0013650704295621163,70606908,0.0,0.01,684,0.03288533994928002,15179,0.2,0.000264705762,-0.34662961959838867,0.9998005628585815,0.9814709424972534,-0.015569300507195294,-33.442989921569826,0.021466222,0.2205078125
0.29419545,-0.041266837805743695,-0.04814352794609398,0.0,0.004266488676269849,0.0,-0.007617187500000031,0.0,0.0,1.3598248918927036,0.0,-0.08363526784013635,-0.20412037942773967,195.27,-0.036948174325136224,0.5823350465,0.0,-0.11585152927791853,-0.01890606010904766,-0.008951161361570464,0.0,-0.1531961146480031,0.1018456534566674,-0.10329033544708573,0.0,-0.008645239027423991,-0.13478697369103415,-0.12503724147440481,-91.53328911999998,-0.10481356177425757,-0.5,-0.1497693457483183,0.0,-0.00024095678935298886,0.5203092910299042,69.12931750000001,3139,-2.5024778263740046e-08,4022,-0.0013745782390468585,70625340,0.0,0.01,685,0.02607978815212846,15183,0.2,0.000264696546,-0.3489079475402832,0.9998430609703064,0.9815686941146851,-0.01606025145156309,-33.44075603485108,0.021769265,0.2093505859375
