reward_terms/residual_rate,curriculum/ctrl_jitter_ms,reward_terms/stand,reward_terms/torque,curriculum/ctrl_drop_prob,time/iterations,curriculum/eff_scale,reward_terms/clearance,reward_terms/track_lin,ankle/ankle_spring_energy_peak,reward_terms/foot_slip,curriculum/ent_coef,reward_terms/angmom,curriculum/cmd_scale,reward_terms/stand_drift,reward_terms/fwd_speed,reward_terms/alive,reward_terms/step_rate,reward_terms/lat_vel,time/time_elapsed,reward_terms/foot_ahead,reward_terms/hip_roll,reward_terms/stance,reward_terms/motor_vel,reward_terms/residual,est/vel_rmse,curriculum/dr_scale,rollout/ep_len_mean,reward_terms/assist_pen,reward_terms/stance_time,curriculum/swing_frac_min,reward_terms/height,time/total_timesteps,ankle/ankle_defl_peak,reward_terms/time,ankle/ankle_spring_trq_peak,curriculum/swing_frac_mean,curriculum/stance_ratio,reward_terms/phase_contact,reward_terms/vz,reward_terms/stop,reward_terms/energy,rollout/ep_rew_mean,reward_terms/ang_xy,reward_terms/overrun,reward_terms/duty_sym,curriculum/cmd_track_err,reward_terms/action_rate,time/fps,reward_terms/air_time,reward_terms/coef_rate,reward_terms/upright,reward_terms/track_yaw,train/clip_range,train/n_updates,train/explained_variance,train/std,train/approx_kl,train/entropy_loss,train/loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,curriculum/stance_ratio_progress,curriculum/dr_scale_progress,curriculum/ctrl_drop_prob_progress,curriculum/ctrl_jitter_ms_progress,curriculum/eff_scale_progress
0.0,2.6081279999999767,2.0537614867485967,-0.01708912659753592,0.03260159999999971,3234,0.07607039999999562,0.0,2.748928070196121,0.0,-0.445776057106451,0.002,-0.0438271426782134,0.0,-0.02733106118330422,0.0,0.0,-0.006011284722222278,-2.989762456024331e-09,10163,0.0,-0.07822446392698186,-0.039857693790928315,-0.00010088225422740222,-0.10023126049787302,0.16264326584264607,0.6520319999999942,790.64,0.0,0.0,0.04823133680555555,-0.005717422718202012,59609088,0.5051531969434414,0.0,0.0,0.2084689670138889,0.682612480000001,0.0,-0.020698927098660794,0.0,-0.0007783232534123318,909.02508139,-0.05594231483253943,0.0,-0.02976828091316316,0.6224480651504949,-0.08601746690729102,5865,0.0,-0.6405582784767379,-0.06106681744945348,1.9999543107849433,0.2,34589,0.9469173550605774,0.9989039897918701,0.007431358,-36.862552070617674,1003.3915405273438,2161.785968017578,-0.006666919199051336,0.00015102336,0.0429443359375,0.21734399999998752,0.6520319999999942,0.6520319999999942,0.6520319999999942,0.21734399999998752
0.0,2.6090495999999765,2.0290507524339634,-0.016686867693476343,0.03261311999999971,3235,0.07609727999999562,0.0,2.713864842405316,0.0,-0.4381683318582697,0.002,-0.058657951026460875,0.0,-0.044027842651533984,0.0,0.0,-0.006477864583333396,-5.696174585559078e-09,10166,0.0,-0.08191629054439573,-0.03781930917091527,-0.0001031626235269155,-0.09980189023599956,0.16605379563376785,0.6522623999999941,801.98,0.0,0.0,0.05919053819444445,-0.007070053644290051,59627520,0.5045708254608187,0.0,0.0,0.22249348958333331,0.682606336000001,0.0,-0.026498578208063846,0.0,-0.0007849826700875793,916.1038755900001,-0.06340639454543058,0.0,-0.011255814632819647,0.4058522061837185,-0.08681804765533936,5865,0.0,-0.6423420540851297,-0.06718930656724462,1.9998836110166691,0.2,34593,0.9534671306610107,0.9988621473312378,0.011273107,-36.862178802490234,537.2254028320312,1501.0880493164063,-0.012093711545458064,0.00015097728,0.07337646484375,0.2174207999999875,0.6522623999999941,0.6522623999999941,0.6522623999999941,0.2174207999999875
0.0,2.6099711999999764,1.9355501667174084,-0.016222425644471683,0.032624639999999705,3236,0.07612415999999562,0.0,2.609595750073252,0.0,-0.4437338751934552,0.002,-0.061893205844673754,0.0,-0.03834160841576309,0.0,0.0,-0.006076388888888945,-3.574541079260307e-09,10169,0.0,-0.07460225902817205,-0.04764424496839011,-0.00011151584550267782,-0.09943670996639187,0.1817096353509895,0.6524927999999941,817.98,0.0,0.0,0.08501519097222222,-0.0069787198303867025,59645952,0.5126781918892975,0.0,0.0,0.230224609375,0.682600192000001,0.0,-0.032283981543117436,0.0,-0.0008168234628025977,948.6845232100001,-0.06728317161104648,0.0,-0.02456472332014787,0.2593271749547714,-0.08779067848340334,5865,0.0,-0.6585983017697628,-0.08444246486453458,1.9999445803304345,0.2,34597,0.9528688192367554,0.998883843421936,0.009260683,-36.861506652832034,529.85546875,1570.3869934082031,-0.010433820920297876,0.0001509312,0.0589111328125,0.2174975999999875,0.6524927999999941,0.6524927999999941,0.6524927999999941,0.2174975999999875
0.0,2.6108927999999763,1.9778234837895015,-0.016651316491895975,0.032636159999999706,3237,0.07615103999999562,0.0,2.6497766328044974,0.0,-0.4847916135397798,0.002,-0.06011842407537546,0.0,-0.041504221144318586,0.0,0.0,-0.0061089409722222794,-3.2908480250538187e-09,10172,0.0,-0.07629644503031824,-0.057329922149820814,-0.00011207128534707159,-0.09975201503602872,0.18834947837737612,0.6527231999999941,854.02,0.0,0.0,0.08745659722222222,-0.006746440973308224,59664384,0.5144204448054004,0.0,0.0,0.2038302951388889,0.682594048000001,0.0,-0.025761585616961805,0.0,-0.0008210467979701518,1007.43074107,-0.06672255012178668,0.0,-0.009927573281251705,0.30091177725681945,-0.08599807326347067,5865,0.0,-0.6599058341014402,-0.07557985743501608,1.9999424239510093,0.2,34601,0.9479546546936035,0.9989334940910339,0.007975712,-36.86296463012695,998.1006469726562,2176.970574951172,-0.00877667432068847,0.00015088512,0.04229736328125,0.21757439999998748,0.6527231999999941,0.6527231999999941,0.6527231999999941,0.21757439999998748
0.0,2.611814399999976,1.8473612069424705,-0.016026959768512303,0.0326476799999997,3238,0.07617791999999561,0.0,2.483488849834934,0.0,-0.4704539274680346,0.002,-0.06977137400113544,0.0,-0.06308056031526009,0.0,0.0,-0.006098090277777835,-5.1147484269722544e-09,10175,0.0,-0.07782877353580121,-0.027150616242036702,-0.00010150281086630988,-0.09917554662441425,0.1946736281980653,0.652953599999994,685.4,0.0,0.0,0.09244791666666667,-0.008520484879248984,59682816,0.5100060045126364,0.0,0.0,0.21202256944444445,0.6825879040000009,0.0,-0.03891349018438435,0.0,-0.0007718965510808726,724.19020697,-0.06434892652665963,0.0,-0.03631307932398622,0.42977624649501434,-0.08717792031962261,5865,0.0,-0.6621803072819697,-0.09541291433021955,1.9999095435921395,0.2,34605,0.9385384321212769,0.9989482164382935,0.009581198,-36.86412010192871,1043.3641357421875,2010.9381774902345,-0.009152991196606309,0.00015083904,0.060888671875,0.21765119999998747,0.652953599999994,0.652953599999994,0.652953599999994,0.21765119999998747
0.0,2.612735999999976,1.9628380396463296,-0.01705055390533532,0.0326591999999997,3239,0.0762047999999956,0.0,2.6187622890219053,0.0,-0.4493631927537989,0.002,-0.048810536372719995,0.0,-0.05608341947596602,0.0,0.0,-0.0059678819444445,-3.1638448257479582e-09,10179,0.0,-0.07758430018599485,-0.05539481140251393,-0.00010156330258289448,-0.09996825297832762,0.16737326146299056,0.653183999999994,676.37,0.0,0.0,0.06646050347222222,-0.006154830507581415,59701248,0.5121290291497145,0.0,0.0,0.21229383680555555,0.6825817600000009,0.0,-0.0207034450112564,0.0,-0.0007856948207513205,725.0317821099999,-0.05803187568283705,0.0,-0.019345682534643225,0.30525844105372735,-0.086426848246726,5865,0.0,-0.6560356767163589,-0.07223156413759385,1.999950351228007,0.2,34609,0.947744607925415,0.9988990426063538,0.007014142,-36.86324043273926,623.5680541992188,2195.2764099121096,-0.009435507911257445,0.00015079296,0.04066162109375,0.21772799999998746,0.653183999999994,0.653183999999994,0.653183999999994,0.21772799999998746
0.0,2.613657599999976,1.8333301959022776,-0.016430033045506387,0.0326707199999997,3240,0.0762316799999956,0.0,2.491935083738051,0.0,-0.48277554754305413,0.002,-0.0678957533101791,0.0,-0.08489746906950928,0.0,0.0,-0.006358506944444505,-4.75826078855935e-09,10182,0.0,-0.07229296996423473,-0.05072550511343395,-0.00010223602024083509,-0.09925570596673917,0.19212715473096026,0.653414399999994,640.96,0.0,0.0,0.08582899305555555,-0.008302515191863303,59719680,0.5126553125753924,0.0,0.0,0.205810546875,0.6825756160000009,0.0,-0.03323190747785834,0.0,-0.0007805727287506574,655.6595021400001,-0.06914381320606816,0.0,-0.01579028172552789,0.3215953875767079,-0.08734216859297675,5865,0.0,-0.6544823049900612,-0.09058482186515289,1.9999244832855168,0.2,34613,0.9407395124435425,0.9989456534385681,0.00793531,-36.86323013305664,873.1932983398438,1857.129705810547,-0.009249128238297998,0.00015074688,0.03922119140625,0.21780479999998745,0.653414399999994,0.653414399999994,0.653414399999994,0.21780479999998745
0.0,2.6145791999999757,1.925679723416719,-0.016171295110319693,0.032682239999999696,3241,0.0762585599999956,0.0,2.620529532683201,0.0,-0.47668748586305415,0.002,-0.0545147760564578,0.0,-0.08118925356942172,0.0,0.0,-0.006260850694444504,-6.241202830917461e-09,10185,0.0,-0.08031816664693253,-0.06767504285707562,-0.0001059531373272135,-0.09960502704824878,0.2090879255067089,0.6536447999999939,620.41,0.0,0.0,0.0793185763888889,-0.006918912168828605,59738112,0.5078694528082296,0.0,0.0,0.21443684895833334,0.682569472000001,0.0,-0.02794931520243464,0.0,-0.0007832799747918606,611.5412885,-0.06941378641590029,0.0,-0.008621394598182694,0.3109683070563493,-0.08763255971397285,5865,0.0,-0.6663901977432363,-0.07632455183430398,1.9999032864104018,0.2,34617,0.9467138051986694,0.9989461302757263,0.010151343,-36.863871002197264,987.51416015625,2166.3013305664062,-0.010544140730053187,0.00015070079999999998,0.05753173828125,0.21788159999998744,0.6536447999999939,0.6536447999999939,0.6536447999999939,0.21788159999998744
0.0,2.6155007999999755,2.025175846325796,-0.017074337124403646,0.0326937599999997,3242,0.0762854399999956,0.0,2.725086732565292,0.0,-0.4601163821661232,0.002,-0.05162157360685005,0.0,-0.0858571937260603,0.0,0.0,-0.006087239583333391,-3.1141755983513483e-09,10188,0.0,-0.07699901667567537,-0.03754797690103408,-0.00010493428130645985,-0.09968259876181834,0.16909567255419303,0.6538751999999939,655.09,0.0,0.0,0.0764431423611111,-0.00724067497246807,59756544,0.5068031430436637,0.0,0.0,0.2096896701388889,0.682563328000001,0.0,-0.02596562342593167,0.0,-0.0007902206194118826,671.4880334100001,-0.05934737999994626,0.0,-0.019885327505639965,0.29345029633489267,-0.08565263964974919,5865,0.0,-0.6581059551223546,-0.07450565821987008,1.9999326449731916,0.2,34621,0.9522103071212769,0.99888014793396,0.008429011,-36.862416458129886,786.9984130859375,1655.8466857910157,-0.008970485319150612,0.00015065472,0.049365234375,0.21795839999998742,0.6538751999999939,0.6538751999999939,0.6538751999999939,0.21795839999998742
0.0,2.6164223999999754,1.9163585475831963,-0.01720669683275937,0.03270527999999969,3243,0.07631231999999559,0.0,2.573234308695564,0.0,-0.45706711506450987,0.002,-0.054525214091446284,0.0,-0.08153751126495123,0.0,0.0,-0.005772569444444497,-3.2159258907495375e-09,10191,0.0,-0.0729354308066464,-0.04720372252912741,-9.510983483863453e-05,-0.09982224527533543,0.17288457156588827,0.6541055999999938,698.96,0.0,0.0,0.06081814236111111,-0.007236927340831488,59774976,0.5046382696166076,0.0,0.0,0.20654296875,0.682557184000001,0.0,-0.02647161810971628,0.0,-0.0007540635640964956,727.5769512,-0.06121673037812826,0.0,-0.02203001757098783,0.2856312747081,-0.08582638772966472,5865,0.0,-0.636025551065083,-0.08706750796674964,1.9999438203310227,0.2,34625,0.9269996285438538,0.9989587068557739,0.00809557,-36.862815284729,1299.1400146484375,2312.248406982422,-0.008485088765155524,0.00015060864,0.04051513671875,0.2180351999999874,0.6541055999999938,0.6541055999999938,0.6541055999999938,0.2180351999999874
0.0,2.6173439999999752,2.025182557672917,-0.017188483902358234,0.03271679999999969,3244,0.07633919999999558,0.0,2.738158021883154,0.0,-0.4420603141822043,0.002,-0.05475699573655163,0.0,-0.07441695898539673,0.0,0.0,-0.006152343750000057,-4.090313736183912e-09,10194,0.0,-0.07662135624438811,-0.06547651631622527,-0.00010158256284546874,-0.09997006393558508,0.16623505508143183,0.6543359999999938,697.55,0.0,0.0,0.08968098958333333,-0.00728805307384911,59793408,0.5102727109829331,0.0,0.0,0.2036404079861111,0.682551040000001,0.0,-0.022776356648919065,0.0,-0.0007661469757299532,724.3772606699999,-0.06057616201615738,0.0,-0.016127795548357533,0.24583955447919076,-0.08485238990319138,5865,0.0,-0.639071646383748,-0.07087765612697618,1.9999537762712667,0.2,34629,0.9533979892730713,0.9989957809448242,0.0074131144,-36.864731788635254,715.99609375,1544.3105590820312,-0.008236108673736453,0.00015056255999999998,0.03641357421875,0.2181119999999874,0.6543359999999938,0.6543359999999938,0.6543359999999938,0.2181119999999874
0.0,2.618265599999975,2.0727233077960134,-0.01791973323175093,0.03272831999999969,3245,0.07636607999999558,0.0,2.8014618682381167,0.0,-0.47387146508400335,0.002,-0.04357204831106998,0.0,-0.07243280660417714,0.0,0.0,-0.005750868055555608,-2.002182341147096e-09,10197,0.0,-0.06871261016559098,-0.05694880377041552,-9.55487933329152e-05,-0.09977187428184425,0.17554415501659087,0.6545663999999938,686.06,0.0,0.0,0.07579210069444445,-0.007215394225387766,59811840,0.5101071576705586,0.0,0.0,0.17325846354166669,0.682544896000001,0.0,-0.028889334161250953,0.0,-0.0007728044263122935,711.9675848800001,-0.05772576823198447,0.0,-0.0041140194609287795,0.30711739675670335,-0.08695730516007569,5865,0.0,-0.6417871484244121,-0.0762674963497623,1.9999669016984387,0.2,34633,0.948160707950592,0.9990272521972656,0.008042087,-36.865502548217776,724.8944091796875,1746.9181396484375,-0.00990026448853314,0.00015051647999999999,0.04803466796875,0.2181887999999874,0.6545663999999938,0.6545663999999938,0.6545663999999938,0.2181887999999874
0.0,2.619187199999975,1.9179152750291542,-0.01710675715553098,0.03273983999999969,3246,0.07639295999999558,0.0,2.656090061706803,0.0,-0.45338688942755223,0.002,-0.05904311591158272,0.0,-0.08455840560538327,0.0,0.0,-0.006141493055555613,-2.809235083955359e-09,10200,0.0,-0.06617027708774455,-0.05296438363444747,-0.00010450320101510082,-0.09946556948240873,0.182114823029539,0.6547967999999937,798.32,0.0,0.0,0.08783637152777778,-0.006951316423209288,59830272,0.5074952183263145,0.0,0.0,0.20638020833333334,0.682538752000001,0.0,-0.027340957152841766,0.0,-0.0008017891659781915,897.9726755699999,-0.06282727486379405,0.0,-0.016726528915903937,0.22107756314059163,-0.08696647050004763,5865,0.0,-0.6639382921012085,-0.08884118852148261,1.9999392199862156,0.2,34637,0.9279568791389465,0.9990869164466858,0.007960996,-36.866728973388675,1087.9937744140625,2170.3386291503907,-0.008562693290878087,0.00015047040000000002,0.049267578125,0.21826559999998738,0.6547967999999937,0.6547967999999937,0.6547967999999937,0.21826559999998738
0.0,2.620108799999975,1.9180780145396608,-0.016829466636612184,0.03275135999999969,3247,0.07641983999999558,0.0,2.605988282757172,0.0,-0.4866359723551155,0.002,-0.06249811145381237,0.0,-0.08264458430045657,0.0,0.0,-0.006141493055555613,-3.0275889869117937e-09,10203,0.0,-0.06683692112762696,-0.06195808982790867,-0.00011229237969003172,-0.09979314091510688,0.20048378420476565,0.6550271999999937,790.43,0.0,0.0,0.11002604166666667,-0.00698872377432962,59848704,0.5097829081152037,0.0,0.0,0.21256510416666669,0.6825326080000009,0.0,-0.028273387479933805,0.0,-0.0008346186284001763,918.5382767799998,-0.07516383054142071,0.0,-0.024470093368912513,0.3019697116207047,-0.08714439993695872,5865,0.0,-0.6670343351484305,-0.07870475697844442,1.9999513427374316,0.2,34641,0.9579882621765137,0.9991296529769897,0.009400638,-36.86725196838379,584.1561279296875,1675.3227600097657,-0.010275977570563555,0.00015042432,0.07281494140625,0.21834239999998736,0.6550271999999937,0.6550271999999937,0.6550271999999937,0.21834239999998736
0.0,2.6210303999999747,2.0120150596218007,-0.017784284154800455,0.03276287999999968,3248,0.07644671999999557,0.0,2.7667992844756006,0.0,-0.484978424266842,0.002,-0.06597653263684972,0.0,-0.07729395169949715,0.0,0.0,-0.006391059027777839,-2.8708675821768805e-09,10206,0.0,-0.07182047909161553,-0.055664583223392676,-0.0001077799779333387,-0.0998765088484575,0.18526706678973698,0.6552575999999937,695.78,0.0,0.0,0.09733072916666667,-0.007459276553061413,59867136,0.5092002951873033,0.0,0.0,0.20694986979166669,0.6825264640000009,0.0,-0.029160227789639098,0.0,-0.0008359424501414503,782.25624132,-0.07319714493103517,0.0,-0.016534961099072352,0.28341005832897426,-0.08635078380635325,5865,0.0,-0.6686334213713558,-0.08608312246421577,1.9999393430745467,0.2,34645,0.9489441514015198,0.9990867376327515,0.008863071,-36.8676197052002,829.604736328125,2019.827734375,-0.008761488902382552,0.00015037824,0.06141357421875,0.21841919999998735,0.6552575999999937,0.6552575999999937,0.6552575999999937,0.21841919999998735
