reward_terms/overrun,reward_terms/clearance,ankle/ankle_spring_energy_peak,curriculum/sprint_dist_m,reward_terms/air_time,reward_terms/coef_rate,reward_terms/phase_contact,ankle/ankle_defl_peak,rollout/ep_len_mean,reward_terms/stance_time,ankle/ankle_spring_trq_peak,reward_terms/stop,reward_terms/step_rate,curriculum/eff_scale,reward_terms/duty_sym,rollout/ep_rew_mean,reward_terms/energy,time/total_timesteps,curriculum/stance_ratio,reward_terms/motor_vel,reward_terms/vz,curriculum/ctrl_jitter_ms,time/fps,reward_terms/alive,reward_terms/height,reward_terms/lat_vel,reward_terms/assist_pen,reward_terms/residual,reward_terms/upright,reward_terms/torque,reward_terms/stance,reward_terms/foot_ahead,reward_terms/action_rate,time/iterations,curriculum/ctrl_drop_prob,reward_terms/foot_slip,reward_terms/residual_rate,reward_terms/ang_xy,time/time_elapsed,reward_terms/time,reward_terms/angmom,curriculum/ent_coef,reward_terms/hip_roll,reward_terms/fwd_speed,train/loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/learning_rate,train/clip_range,train/std,train/n_updates,train/value_loss,train/entropy_loss,train/policy_gradient_loss
0.0,0.13357298912544407,0.0,66.81949,0.003379987543060755,-0.30994490380908096,-0.1478416209336282,0.5232436969074123,215.31,-0.005596615648957797,0.0,0.0,-0.00910373263888884,0.2787966,-0.016984654314927437,-81.81691375,-0.013347622327156253,66929616,0.585876782,-0.0023950224953818784,-0.13986169165345677,0.0,4063,0.0,-0.031189609777657192,-2.6696389474038126e-08,0.0,-0.10760544087865076,-0.1761242817382268,-0.1412868438649373,-0.014620080098627518,0.0,-0.04383491541167485,593,0.0,-0.20291224149080805,0.0,-0.2680307693120254,2690,-0.5,-0.11019428861209048,0.01,-0.007912841454378068,1.481860919442037,-0.25624364614486694,0.9980953335762024,0.17369384765625,0.022802806,0.00026654440799999996,0.2,1.0015939474105835,14430,0.31344686895608903,-34.06980609893799,-0.014225235802587121
0.0,0.13229779988071003,0.0,66.83100999999999,0.0033577439090650943,-0.30806296240789355,-0.146008062554585,0.5261780715567221,213.68,-0.005812001172065114,0.0,0.0,-0.009016927083333286,0.2788734,-0.01636729412316547,-81.94246790000001,-0.01309825206741477,66948048,0.585859118,-0.0023668169981223477,-0.13323405853811834,0.0,4063,0.0,-0.029296314522142614,-2.6261753365581436e-08,0.0,-0.10758721874653836,-0.1675367288245597,-0.13831670893348533,-0.01437087685064641,0.0,-0.04319719539071349,594,0.0,-0.20051127800906632,0.0,-0.2628222387446794,2694,-0.5,-0.10775191438743104,0.01,-0.007623049347904286,1.4524184631974595,-0.2903590798377991,0.9989709258079529,0.26273193359375,0.027184863,0.000266535192,0.2,1.0022112131118774,14434,0.20334769263863564,-34.07994556427002,-0.016976706287823617
0.0,0.13090372939294348,0.0,66.84253,0.0034884943678561184,-0.30851043898942376,-0.14777496694288195,0.5268013632918638,213.4,-0.005771446054697865,0.0,0.0,-0.009223090277777717,0.2789502,-0.013228640413661997,-81.63714776,-0.013343049389162205,66966480,0.585841454,-0.002399651267748529,-0.13479005500819355,0.0,4063,0.0,-0.03018681215514136,-2.673060771448411e-08,0.0,-0.10749613807321975,-0.16880054242876186,-0.14099475869608205,-0.012446139210131633,0.0,-0.043794650612486496,595,0.0,-0.20012436777339931,0.0,-0.26708071626885704,2698,-0.5,-0.109102564054052,0.01,-0.0074532875042776624,1.4745148881239178,0.749656081199646,0.9929152131080627,0.24940185546875,0.033229876,0.000266525976,0.2,1.0027589797973633,14438,1.6755273014307022,-34.081340599060056,-0.003941944544203579
0.0,0.13341208012509964,0.0,66.85405,0.0033414676694923807,-0.2983628625391589,-0.14311284675188612,0.5260393291894607,214.53,-0.005177916158572771,0.0,0.0,-0.00920138888888883,0.279027,-0.015078458456863116,-81.40051553,-0.013061420884929629,66984912,0.5858237900000001,-0.0023462668644626283,-0.1372114367095396,0.0,4063,0.0,-0.030824009293710417,-2.6540163550434266e-08,0.0,-0.10738923196072449,-0.17100952884807955,-0.1379328018139373,-0.012767177966089612,0.0,-0.04334540327318053,596,0.0,-0.19709931404285003,0.0,-0.2598807496586351,2703,-0.5,-0.10719269526034243,0.01,-0.007787411982707883,1.4835159171103343,-0.1556968241930008,0.9932820200920105,0.19432373046875,0.0294499,0.00026651676,0.2,1.0023016929626465,14442,1.4249954268336296,-34.082952690124515,-0.0048984245746396485
0.0,0.1306655116515135,0.0,66.86557,0.0034456343402982587,-0.30044380332636345,-0.1450241872267897,0.5231372597628587,217.15,-0.005649784423035776,0.0,0.0,-0.009244791666666604,0.2791038,-0.016841260358929737,-81.83987533000001,-0.012984010848205295,67003344,0.585806126,-0.0023276535712725126,-0.1354765222332984,0.0,4061,0.0,-0.030007565861272054,-2.6226942778960183e-08,0.0,-0.10772010680290472,-0.17124199613485272,-0.13807096572360272,-0.013800381316217468,0.0,-0.043030267953442065,597,0.0,-0.20213026369966955,0.0,-0.261852749877999,2709,-0.5,-0.10899781930448801,0.01,-0.007727108531892035,1.4695496817138085,-0.29175299406051636,0.9985511898994446,0.198583984375,0.02434554,0.000266507544,0.2,1.0026906728744507,14446,0.25024853721261026,-34.082187461853025,-0.016165619005914778
0.0,0.13097461488112175,0.0,66.87709000000001,0.003428815999844422,-0.3026813408494933,-0.14538248046034438,0.5230069463044243,218.72,-0.005940988950897008,0.0,0.0,-0.008908420138888847,0.2791806,-0.021893956730953196,-82.41176755999999,-0.012921356048262361,67021776,0.585788462,-0.0023242037055080907,-0.13145662433086874,0.0,4061,0.0,-0.029134729415943274,-2.6317237539642305e-08,0.0,-0.1075725822627093,-0.16916062562932793,-0.13598657732947692,-0.013302045798273347,0.0,-0.04294549583245951,598,0.0,-0.19431205373114308,0.0,-0.25782466560839423,2714,-0.5,-0.1045087788977363,0.01,-0.0076342017706160226,1.447989723456474,-0.31135475635528564,0.9992684125900269,0.26451416015625,0.030140424,0.000266498328,0.2,1.001976490020752,14450,0.1434050217270851,-34.079469871521,-0.016508497088216244
0.0,0.13437199855600357,0.0,66.88861,0.0034331560018472373,-0.3096396869221984,-0.14668573648391436,0.5303660599939164,217.28,-0.005627946831130733,0.0,0.0,-0.009157986111111053,0.2792574,-0.018825072029174064,-82.34613719999999,-0.013191179492648851,67040208,0.585770798,-0.0023698965185606122,-0.1349031881841437,0.0,4061,0.0,-0.029702627791349072,-2.6715982145178747e-08,0.0,-0.10757172779028851,-0.17410901280755883,-0.1388401365887898,-0.011878925797804382,0.0,-0.04352288534410853,599,0.0,-0.20745843004650769,0.0,-0.264204218262698,2718,-0.5,-0.11090355887206334,0.01,-0.00777888209719949,1.461830566161114,-0.2803393006324768,0.9991201162338257,0.27344970703125,0.0321623,0.000266489112,0.2,1.0020098686218262,14454,0.18983191698789598,-34.07587928771973,-0.017454867146443575
0.0,0.13193130392784477,0.0,66.90012999999999,0.0035422054158213236,-0.310337577475645,-0.14731090842715214,0.5216208246300046,215.17,-0.006030641402402479,0.0,0.0,-0.009190538194444386,0.2793342,-0.019664545600995856,-82.6366847,-0.013232982397108363,67058640,0.5857531340000001,-0.0023716799045442097,-0.13831206515966216,0.0,4061,0.0,-0.030683985521873,-2.6479521722738567e-08,0.0,-0.10761984020308679,-0.17578222885907438,-0.14034965072162148,-0.012401816402391023,0.0,-0.043264345429330595,600,0.0,-0.20464838669509358,0.0,-0.2655127651401291,2722,-0.5,-0.10871207222266024,0.01,-0.008015433019364242,1.4740193786885887,-0.30725160241127014,0.9991292357444763,0.28060302734375,0.03164187,0.00026647989599999996,0.2,1.0024365186691284,14458,0.18928898721933365,-34.07975769042969,-0.017471857101190834
0.0,0.13453340322410784,0.0,66.91165000000001,0.0034347836497343248,-0.3082755357767117,-0.14626284122599145,0.5248166858434237,212.35,-0.005347050233265488,0.0,0.0,-0.00906032986111106,0.279411,-0.018617028122180274,-82.58284475999999,-0.013285961569885022,67077072,0.58573547,-0.002380501453437363,-0.1378688588681075,0.0,4061,0.0,-0.030830045255707945,-2.686855545804893e-08,0.0,-0.10759195397392257,-0.17411494703957656,-0.1407687800888811,-0.011410585679509515,0.0,-0.044093114267350825,601,0.0,-0.2052518254491389,0.0,-0.26604283810026297,2727,-0.5,-0.11142184627865277,0.01,-0.0079010362532868,1.4817592381924143,0.7240287065505981,0.9918051958084106,0.30823974609375,0.032946724,0.00026647068,0.2,1.0026650428771973,14462,1.976214748620987,-34.08344497680664,-0.007101464434526861
0.0,0.13339567782186115,0.0,66.92317,0.0033902957673288053,-0.3034096447754139,-0.14591468605663505,0.5239584136993234,217.69,-0.006228259531781077,0.0,0.0,-0.009006076388888843,0.2794878,-0.020594303175751987,-82.22522361,-0.013057366446668174,67095504,0.585717806,-0.0023506784666926634,-0.13899846755872985,0.0,4061,0.0,-0.03092968782052318,-2.599181992253391e-08,0.0,-0.10748742642482462,-0.17592657330160072,-0.13779984345222543,-0.011531076012487422,0.0,-0.04316719369300007,602,0.0,-0.20559650441954694,0.0,-0.26031960595295195,2731,-0.5,-0.10663856528808843,0.01,-0.007565460321800311,1.4698148303823555,0.7709813117980957,0.9871939420700073,0.184765625,0.021943545,0.000266461464,0.2,1.001778483390808,14466,2.457305598258972,-34.0772310256958,-0.006616702966857702
