reward_terms/overrun,rollout/ep_rew_mean,reward_terms/stance_time,reward_terms/angmom,reward_terms/air_time,time/total_timesteps,reward_terms/hip_roll,curriculum/ctrl_drop_prob,reward_terms/motor_vel,reward_terms/lat_vel,reward_terms/ang_xy,time/fps,curriculum/sprint_dist_m,reward_terms/vz,reward_terms/height,reward_terms/stance,reward_terms/time,reward_terms/upright,rollout/ep_len_mean,curriculum/ctrl_jitter_ms,reward_terms/foot_slip,reward_terms/phase_contact,reward_terms/coef_rate,reward_terms/energy,reward_terms/action_rate,curriculum/eff_scale,reward_terms/clearance,reward_terms/stop,curriculum/ent_coef,curriculum/stance_ratio,time/time_elapsed,reward_terms/residual,reward_terms/torque,reward_terms/fwd_speed,reward_terms/alive,reward_terms/assist_pen,time/iterations,train/entropy_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/std,train/n_updates,train/value_loss,train/loss
0.0,-167.52865151000003,-0.12411145823554964,-0.19743003893159192,1.627600674207012e-05,442368,-0.05338332186680659,0.0,-8.044246153993642e-06,-2.2136434287595988e-08,-0.31826574514490674,4512,25.26496,-0.13454096022037773,-0.02449237145568465,-0.0032981526721341113,-0.5,-0.3969409877276492,271.47,0.0,-0.5853205564241079,-0.6825825738420961,-1.4760404694410523,-6.526061556330907e-05,-0.1467457317518388,0.0017664,0.009681608108222162,0.0,0.01,0.649593728,98,-0.09866715590703296,-0.0007223604786607819,-0.8316540090135477,0.0,0.0,24,-34.097050189971924,0.048282698,0.8048044443130493,-0.01564194241655059,0.3181304931640625,0.2,0.000299894016,1.0036379098892212,6376,3.0763380229473114,0.7334755659103394
0.0,-166.68071076,-0.15135413067602915,-0.18644697683228975,0.0,460800,-0.06237980345131558,0.0,-8.415604772512288e-06,-2.4579168177361594e-08,-0.30389211581143494,4517,25.27648,-0.1384098285507522,-0.024613746258371476,-7.140764370052504e-05,-0.5,-0.4036467785712329,268.51,0.0,-0.5674043934311448,-0.68107009657292,-1.4443946784007176,-6.676722906498538e-05,-0.14599209120326156,0.0018432,0.007774563865487475,0.0,0.01,0.649576064,102,-0.09825784465877568,-0.0007265363055496902,-1.0281566836557499,0.0,0.0,25,-34.06520156860351,0.025373686,0.8059266805648804,0.01708392850123346,0.290234375,0.2,0.00029988940799999996,1.0008796453475952,6377,3.706623649597168,1.3461813926696777
0.0,-167.3911182,-0.13380778221956766,-0.1749680626816024,0.0,479232,-0.07334303183889818,0.0,-9.161836499752205e-06,-2.6146074890585057e-08,-0.29887007422843204,4520,25.288,-0.12098325018387178,-0.02332729347127096,-0.00010516598943961867,-0.5,-0.37128916936686024,271.63,0.0,-0.5315322529539237,-0.6802257756300883,-1.3881975709321286,-7.114477644936742e-05,-0.14385730720038456,0.00192,0.007838417797226016,0.0,0.01,0.6495584,106,-0.09747978467285547,-0.000765772929396785,-0.7954845723139458,0.0,0.0,26,-34.10068488121033,0.054497737,0.8153563141822815,-0.02305454629822634,0.3011932373046875,0.2,0.0002998848,1.004018783569336,6381,2.5476745069026947,0.5699842572212219
0.0,-164.93780158,-0.12331772725156043,-0.19001626901049085,0.0,497664,-0.06854459871381609,0.0,-8.853344288433708e-06,-2.5675369266384042e-08,-0.28267700331852097,4525,25.29952,-0.13997537150547557,-0.02459438544737075,-0.0035092807478944743,-0.5,-0.43831406048543936,261.18,0.0,-0.5329147458624675,-0.6731507141711427,-1.403983146834865,-6.977330651915036e-05,-0.1408382882191076,0.0019968,0.008244909647066607,0.0,0.01,0.6495407360000001,109,-0.09827236492612533,-0.000754480076718497,-0.9762747356288377,0.0,0.0,27,-34.07610321044922,0.046126284,0.7995894551277161,0.010925978156072753,0.3284388950892857,0.2,0.000299880192,1.0018343925476074,6383,2.987739290509905,0.9682826995849609
0.0,-163.71481506,-0.10942628124353683,-0.17597523233930293,0.0,516096,-0.0621392580098517,0.0,-9.458174683612056e-06,-2.8020200026242103e-08,-0.29182267596383527,4518,25.31104,-0.1252023573131945,-0.023312340386885008,-0.0008340899005070214,-0.5,-0.4204207237029728,256.42,0.0,-0.5487686087408804,-0.6740825256944349,-1.3818108463364265,-7.475898376533209e-05,-0.14546737428289808,0.0020736,0.006347299368805413,0.0,0.01,0.649523072,114,-0.0972593417329148,-0.0008411828647097293,-0.8335182563403748,0.0,0.0,28,-34.07246335347494,0.05758181,0.7833929061889648,0.008905608401012918,0.2687174479166667,0.2,0.000299875584,1.0015289783477783,6385,2.655497431755066,0.8705059885978699
0.0,-163.52295078,-0.13648654792147377,-0.1686343817730892,0.0,534528,-0.08804811991724236,0.0,-1.002889985748616e-05,-2.642605121587835e-08,-0.2883400993127141,4511,25.32256,-0.11645656450297198,-0.023725381909627544,-0.00993467712991708,-0.5,-0.3601121459773935,256.17,0.0,-0.5405127760703081,-0.66317114985951,-1.3687261137873514,-7.722736775313552e-05,-0.13979808218092116,0.0021504,0.00785625913394254,0.0,0.01,0.649505408,118,-0.0983058634230815,-0.0008233902639852189,-0.7056310877950394,0.0,0.0,29,-34.09461625417074,0.049406514,0.7064405679702759,0.0013955954733925562,0.3940226236979167,0.2,0.000299870976,1.0035011768341064,6388,2.420601417620977,0.6356226801872253
0.0,-165.08338435,-0.11463108768415016,-0.18904512962360726,0.0,552960,-0.09970575476667554,0.0,-9.562600704806506e-06,-2.466825879017762e-08,-0.28564986952936666,4513,25.33408,-0.1268962492445108,-0.026448188390439158,-0.02139794195708374,-0.5,-0.42724052381950944,262.59,0.0,-0.5280204513670583,-0.6578069747201132,-1.3696392114955465,-7.498669611361409e-05,-0.13050133708943298,0.0022272,0.008029744781611895,0.0,0.01,0.649487744,122,-0.10023551946981742,-0.0007869571830071918,-0.8404852973741284,0.0,0.0,30,-34.06414540608724,0.03881674,0.6439585089683533,0.022749611486991245,0.3284505208333333,0.2,0.00029986636799999997,1.0007977485656738,6389,2.6268652280171714,1.0010454654693604
0.0,-162.46736277999997,-0.10238257290297446,-0.19374237658209667,1.410587962406377e-05,571392,-0.12081850840903262,0.0,-1.0002340565369807e-05,-2.3856459097710266e-08,-0.29128867674617465,4517,25.3456,-0.12653441371377222,-0.027362089593862535,-0.010913750829174472,-0.5,-0.3632228185885721,250.8,0.0,-0.5016691470996135,-0.6689474619505443,-1.373910044934559,-7.751536932045519e-05,-0.13062911357446652,0.002304,0.006561749030415499,0.0,0.01,0.6494700800000001,126,-0.10057992642081978,-0.0008022498041668399,-1.0263123749934644,0.0,0.0,31,-34.09627183278402,0.044182785,0.6572693586349487,0.003584317668961982,0.3713785807291667,0.2,0.00029986176,1.0033084154129028,6392,1.9601027568181355,0.41184186935424805
0.0,-163.67241526,-0.1311590049347918,-0.18108959272740668,4.882798142110308e-06,589824,-0.1414378604431361,0.0,-1.0953842764955302e-05,-2.4675986024978367e-08,-0.2889075797148916,4520,25.35712,-0.12182063196602372,-0.029098591345188756,-0.06275505722514511,-0.5,-0.38241252714143087,256.24,0.0,-0.5259595794350286,-0.6547078350531405,-1.3471308846042787,-8.433607003713618e-05,-0.13179435267987874,0.0023808,0.007958225077285268,0.0,0.01,0.649452416,130,-0.10057631534701729,-0.0008558981179139114,-0.8076874492294062,0.0,0.0,32,-34.091461499532066,0.04852682,0.5888359546661377,-0.0015146637063783903,0.3726399739583333,0.2,0.000299857152,1.0031392574310303,6395,1.5568884015083313,0.27717238664627075
0.0,-167.83983324999997,-0.13638877246315437,-0.1953358371311901,0.0,608256,-0.13506891635235485,0.0,-1.0885783892426642e-05,-2.3212154910210742e-08,-0.2913421401152442,4525,25.36864,-0.135180960329032,-0.030210888233194726,-0.012565684907292736,-0.5,-0.33219698918793594,273.0,0.0,-0.5229756825791915,-0.6593910554113158,-1.3815498889817444,-8.370902957059576e-05,-0.1297903385795229,0.0024576,0.008002229885416691,0.0,0.01,0.649434752,134,-0.10104183431105798,-0.0008556202222044512,-0.9820211135364441,0.0,0.0,33,-34.07836151123047,0.044423934,0.5282834768295288,0.008465473340558154,0.32094029017857145,0.2,0.000299852544,1.0021257400512695,6397,1.6722760370799474,0.38955026865005493
0.0,-166.45564344,-0.12361273913605449,-0.1931484354569935,5.967856850475073e-06,626688,-0.1297021996069549,0.0,-1.1742544645190009e-05,-2.5387637437513136e-08,-0.29087209224764415,4527,25.38016,-0.1370426808374824,-0.03045107753072239,-0.023429140915108625,-0.5,-0.3705273201022144,268.02,0.0,-0.5428513637665293,-0.6432143859548549,-1.3603696908108704,-9.016362763009664e-05,-0.1345261197003779,0.0025344,0.01205862103931498,0.0,0.01,0.649417088,138,-0.10000546362901123,-0.0009235836671354422,-0.8883755864363554,0.0,0.0,34,-34.07349624633789,0.027303766,0.46428197622299194,0.016741050872951746,0.310107421875,0.2,0.000299847936,1.0017132759094238,6398,1.2230698585510253,0.26591628789901733
