reward_terms/ang_xy,reward_terms/foot_slip,reward_terms/yaw_rate,reward_terms/stance_time,time/total_timesteps,time/time_elapsed,reward_terms/alive,curriculum/ent_coef,rollout/ep_rew_mean,reward_terms/track_vx,reward_terms/upright,reward_terms/pos_pen,reward_terms/fwd_speed,reward_terms/vz,reward_terms/stance,reward_terms/height,reward_terms/hip_roll,rollout/ep_len_mean,reward_terms/torque,reward_terms/progress,time/fps,reward_terms/lat_vel,time/iterations,curriculum/cmd_vx_frac,reward_terms/air_time,reward_terms/track_yaw,reward_terms/heading_pen,reward_terms/action_rate,reward_terms/clearance,reward_terms/track_heading,reward_terms/track_pos,train/learning_rate,train/std,train/explained_variance,train/clip_fraction,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/value_loss,train/entropy_loss,train/loss
-0.05563644112601413,-0.6142150866853394,0.0,0.0,8822784,6986,0.5,0.01,-105.43016714000001,0.0,-0.012440387993627733,0.0,0.10954096307111534,-0.0881455871067799,-0.00021923242029182375,-0.0021866092472893166,-0.006591744811932947,10.1,-0.3175477033282593,0.0,1262,-2.1171327413261537e-09,359,1.0,0.0,0.0,0.0,-0.13126686395677348,0.09158148916444842,0.0,0.0,0.0001900224,0.20794908702373505,0.5994374752044678,0.20152791341145834,1432,0.015537896,-0.0013165579657652415,0.2,0.9889569679896036,1.0610004663467407,0.5514698624610901
-0.054357337119444925,-0.6176608126480416,0.0,0.0,8847360,7006,0.5,0.01,-105.13810062999997,0.0,-0.010376212471428135,0.0,0.10798587962344247,-0.08582662873811613,-0.00010161661222013072,-0.002093428818552784,-0.00634412692378988,10.0,-0.31999196413716235,0.0,1262,-2.1322945512849747e-09,360,1.0,0.0,0.0,0.0,-0.13134050836353314,0.09097089280201683,0.0,0.0,0.00018971519999999998,0.2076374739408493,0.597342848777771,0.21051025390625,1436,0.01742491,-0.0029915752820670605,0.2,0.9911166702707609,1.0716033428907394,0.46814483404159546
-0.051900326094827615,-0.6132514984233258,0.0,0.0,8871936,7025,0.5,0.01,-105.83028731,0.0,-0.009046498298058335,0.0,0.10446645978545653,-0.08576765030916944,-0.00013811410076141137,-0.0021273997167377636,-0.006317194639042671,10.26,-0.3207519822348438,0.0,1262,-2.241308243674651e-09,361,1.0,0.0,0.0,0.0,-0.1309524733470052,0.09137726239406095,0.0,0.0,0.000189408,0.20729081332683563,0.6558377742767334,0.19545491536458334,1440,0.013605423,-0.0006944600803156694,0.2,0.6982663770516714,1.0820787250995636,0.3275914788246155
-0.05033677102711326,-0.6163874698348529,0.0,0.0,8896512,7045,0.5,0.01,-105.23519205999999,0.0,-0.0079768055914623,0.0,0.10475593738015115,-0.08451593368902215,-0.00010237694881557987,-0.002072788706556103,-0.006182423635418791,10.01,-0.3230891832020855,0.0,1262,-2.204612686195702e-09,362,1.0,0.0,0.0,0.0,-0.1307496596783091,0.09072542818789342,0.0,0.0,0.0001891008,0.2068772315979004,0.6975089311599731,0.19818115234375,1444,0.011947448,-0.0006805232357388983,0.2,0.5413542166352272,1.0945298274358113,0.2747446894645691
-0.05436675624698855,-0.6137765470784945,0.0,0.0,8921088,7064,0.5,0.01,-105.46236120000002,0.0,-0.010116068070617159,0.0,0.10824013873984366,-0.08577252468978867,-0.00023670138321296326,-0.002151736599960758,-0.006589203772685324,10.06,-0.3206942241237701,0.0,1262,-2.205559513340355e-09,363,1.0,0.0,0.0,0.0,-0.13060354878889366,0.09166723569496055,0.0,0.0,0.00018879360000000002,0.20622624456882477,0.7437704205513,0.15247599283854166,1448,0.011423987,-0.0010943544815139223,0.2,0.4058280711372693,1.1105750451485317,0.19495980441570282
-0.05372324178768864,-0.6179999048198217,0.0,0.0,8945664,7084,0.5,0.01,-105.17713235000001,0.0,-0.011274405559045575,0.0,0.11041129229568208,-0.08671735739522325,-0.0002840626328139719,-0.0021421473324211722,-0.006547516995491912,10.0,-0.31857715143027643,0.0,1262,-2.128433868470621e-09,364,1.0,0.0,0.0,0.0,-0.130592353687731,0.09071259494283451,0.0,0.0,0.0001884864,0.20570914447307587,0.6619001626968384,0.20128377278645834,1452,0.015445772,-0.0014468741283053532,0.2,0.6651273767153422,1.1298390924930573,0.40415504574775696
-0.05057813180056347,-0.6138698554981593,0.0,0.0,8970240,7103,0.5,0.01,-105.03157304999999,0.0,-0.00953728664100023,0.0,0.10564598335076757,-0.08667160235228884,-0.00013350781422742254,-0.0021268903503573063,-0.006645272865301856,10.0,-0.31885534566777146,0.0,1262,-2.2398969736613008e-09,365,1.0,0.0,0.0,0.0,-0.12983039384118097,0.0911933790116365,0.0,0.0,0.00018817919999999998,0.2052568793296814,0.6285401582717896,0.189453125,1456,0.014273844,-0.0028890448690314465,0.2,0.8028133511543274,1.1441635340452194,0.42329666018486023
-0.05203442506988884,-0.6174114809086841,0.0,0.0,8994816,7123,0.5,0.01,-105.24732214999999,0.0,-0.00961155338993075,0.0,0.10763462282303292,-0.08594260504186411,-0.00018624418464305192,-0.002120856735649617,-0.006619960217009356,10.0,-0.31962286533266987,0.0,1262,-2.211461200469617e-09,366,1.0,0.0,0.0,0.0,-0.13056171742317155,0.09109921907899148,0.0,0.0,0.000187872,0.20470820367336273,0.6725191473960876,0.16820271809895834,1460,0.012337033,-0.001792654210779195,0.2,0.6099093370139599,1.1580635259548824,0.3428482115268707
-0.055080662911166006,-0.6163547933405454,0.0,0.0,9019392,7142,0.5,0.01,-105.20828291999999,0.0,-0.01061173511339436,0.0,0.11103764067904091,-0.08549484541590967,-0.0001965557106819062,-0.002137728866480172,-0.0065291102807617145,10.0,-0.32029977809221116,0.0,1262,-2.1886889715417137e-09,367,1.0,0.0,0.0,0.0,-0.13068516903847685,0.09132378591908295,0.0,0.0,0.00018756479999999998,0.20417775213718414,0.6780898571014404,0.14789835611979166,1464,0.0107871145,-0.00191553941112943,0.2,0.6042147452632586,1.1752882301807404,0.33162713050842285
-0.052159443971262875,-0.6141905337663486,0.0,0.0,9043968,7161,0.5,0.01,-104.99014398,0.0,-0.008659943771431046,0.0,0.10859127276809975,-0.08464363555363667,-0.00013645090225868626,-0.0020898483998534056,-0.006465445203740663,10.0,-0.3200212551609271,0.0,1262,-2.2278543119920357e-09,368,1.0,0.0,0.0,0.0,-0.13045624112261844,0.09121642754404397,0.0,0.0,0.00018725760000000001,0.2036425620317459,0.644351601600647,0.183502197265625,1468,0.014571599,-0.002909515741824483,0.2,0.7536089718341827,1.1917961488167446,0.3661465048789978
