curriculum/cmd_scale,curriculum/dr_scale,curriculum/cmd_track_err,curriculum/stance_ratio,reward_terms/stop,reward_terms/fwd_speed,reward_terms/step_rate,reward_terms/vz,reward_terms/residual_rate,reward_terms/overrun,ankle/ankle_defl_peak,reward_terms/upright,reward_terms/lat_vel,reward_terms/torque,reward_terms/action_rate,reward_terms/angmom,reward_terms/track_yaw,time/total_timesteps,reward_terms/clearance,curriculum/eff_scale,reward_terms/energy,reward_terms/track_lin,reward_terms/foot_slip,reward_terms/stance_time,reward_terms/stand_drift,reward_terms/phase_contact,reward_terms/ang_xy,ankle/ankle_spring_energy_peak,reward_terms/residual,time/time_elapsed,time/iterations,time/fps,curriculum/ctrl_jitter_ms,reward_terms/motor_vel,reward_terms/hip_roll,reward_terms/coef_rate,reward_terms/alive,reward_terms/duty_sym,reward_terms/assist_pen,reward_terms/stand,reward_terms/air_time,curriculum/ent_coef,reward_terms/foot_ahead,curriculum/ctrl_drop_prob,ankle/ankle_spring_trq_peak,reward_terms/height,reward_terms/stance,reward_terms/time,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/entropy_loss,train/approx_kl,train/loss,train/std,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/explained_variance,train/value_loss
0.0,0.0,0.8569806556035012,0.7,0.0,0.0,0.0,-0.2699883256934585,0.0,0.0,0.5211931048734412,-0.5240984412977311,-0.5624266354957235,0.0,-0.07624562611765685,-0.3017106961498033,0.3432079713220083,221184,0.03421185562883436,0.0,0.0,0.6118501812364205,-0.3518047537979506,-0.00327228308985165,-0.02732243225663288,-0.12146683536973533,-0.25319352925670163,0.0,-0.11061787353158557,55,12,3962,0.0,0.0,-0.060700452316428684,-0.5201342720065251,0.5,0.0,0.0,0.10042232886487805,8.680547923884458e-05,0.01,0.0,0.0,0.0,-0.06052314155547592,-0.1421158234509125,0.0,-96.96372241999998,194.14,229816,-36.90145492553711,0.029079398,45.103179931640625,1.0007156133651733,0.024072618534167606,0.2,0.000299932416,0.2960611979166667,0.6925638318061829,93.81665547688802
0.0,0.0,1.0044987851742435,0.7,0.0,0.0,0.0,-0.27668769418453404,0.0,0.0,0.5186049977404841,-0.5234806395387633,-0.5818154400995131,0.0,-0.07485114204297165,-0.29927064997968766,0.35482586382179165,239616,0.029513561050906197,0.0,0.0,0.5961215300173701,-0.36141362203310345,-0.0021069238993934253,-0.03644160380490996,-0.09506776120096243,-0.2568333400434475,0.0,-0.1109875123234948,60,13,3967,0.0,0.0,-0.07282907506199268,-0.5584407837161213,0.5,0.0,0.0,0.1262088691416727,6.944432000940044e-05,0.01,0.0,0.0,0.0,-0.060864171413971636,-0.13511027485424915,0.0,-96.37504494999997,194.46,229817,-36.902512868245445,0.032303195,47.143089294433594,1.0007884502410889,0.020108168944716454,0.2,0.000299926272,0.308349609375,0.662408709526062,99.21559397379558
0.0,0.0,0.850084601365683,0.7,0.0,0.0,0.0,-0.2661368716733295,0.0,0.0,0.5193980565651326,-0.49616521277256936,-0.4828987549478048,0.0,-0.07110797773666315,-0.28300193325001843,0.34880181408281224,258048,0.027046013728333415,0.0,0.0,0.6691084743044848,-0.3746354489171159,-0.0026703449418871766,-0.038347995528378816,-0.09600121789231826,-0.2513272295528515,0.0,-0.11103074842378673,64,14,3972,0.0,0.0,-0.06879594463253313,-0.5194067836028062,0.5,0.0,0.0,0.12211101610421234,2.0616251276805997e-05,0.01,0.0,0.0,0.0,-0.05489501245913927,-0.11988653341006517,0.0,-92.75240907999999,191.86,229818,-36.90288162231445,0.026878318,42.252357482910156,1.0007998943328857,0.02071780152618885,0.2,0.000299920128,0.2837727864583333,0.689326286315918,89.49803415934245
0.0,0.0,0.9733716626281751,0.7,0.0,0.0,0.0,-0.2668703664078426,0.0,0.0,0.5242133811374727,-0.49966690113458806,-0.49149469578486166,0.0,-0.07503588874978187,-0.2921843338895479,0.3429818689644799,276480,0.029298208888695516,0.0,0.0,0.668204664396593,-0.36757548808593526,-0.0020524003597933594,-0.022015546394343763,-0.09741787343834835,-0.2546724850306131,0.0,-0.11090476407794944,69,15,3978,0.0,0.0,-0.06443164511835163,-0.5279174923225108,0.5,0.0,0.0,0.10171517195540143,9.223052378123006e-06,0.01,0.0,0.0,0.0,-0.05775664655659921,-0.12875966583538886,0.0,-87.92625378999999,188.73,229819,-36.903368631998696,0.024805361,41.69747543334961,1.000855803489685,0.01871539986071487,0.2,0.000299913984,0.2706705729166667,0.6794397234916687,88.29478200276692
0.0,0.0,0.8719362142674567,0.7,0.0,0.0,0.0,-0.2476181347337484,0.0,0.0,0.51891446031469,-0.5205351575753383,-0.509277611953034,0.0,-0.07170921137458316,-0.2690416721158142,0.36587209353043026,294912,0.026753561291449717,0.0,0.0,0.5891351597497236,-0.3535563926091945,-0.0025703840365167707,-0.031895794939445665,-0.09619609124042004,-0.2596342461134995,0.0,-0.11091715108480323,74,16,3980,0.0,0.0,-0.0691026517866035,-0.544385132153861,0.5,0.0,0.0,0.12343794347674344,4.0690016855175294e-05,0.01,0.0,0.0,0.0,-0.05772591430677264,-0.11857414883037715,0.0,-93.69049671,192.15,229820,-36.909470558166504,0.03796787,39.595882415771484,1.0013113021850586,0.030200902954675257,0.2,0.00029990784,0.35369873046875,0.6484113931655884,85.37038040161133
0.0,0.0,1.006925862078609,0.7,0.0,0.0,0.0,-0.26063371393015233,0.0,0.0,0.519330486306338,-0.5023431678883722,-0.5131213291910668,0.0,-0.07772208654214711,-0.31211609817130315,0.3677902315861315,313344,0.03327088029956972,0.0,0.0,0.5878524721748862,-0.3836404645571665,-0.0013810147647745907,-0.03345077800959016,-0.10442563650609733,-0.2505973966166785,0.0,-0.11087464570038881,78,17,3984,0.0,0.0,-0.06529495617542543,-0.5593051520134558,0.5,0.0,0.0,0.11413677635213361,5.0455655178262125e-05,0.01,0.0,0.0,0.0,-0.059688076977789675,-0.11693236406402735,0.0,-94.99810946000001,195.75,229821,-36.903151194254555,0.024350494,42.594688415527344,1.0008271932601929,0.01693189035480221,0.2,0.00029990169599999997,0.268798828125,0.642012357711792,88.92817942301433
0.0,0.0,0.918954409152189,0.7,0.0,0.0,0.0,-0.25045806734772763,0.0,0.0,0.5192883946251952,-0.5012056364503485,-0.4819442710373798,0.0,-0.0696075572168565,-0.274166646717207,0.3644197243663261,331776,0.026693809068849578,0.0,0.0,0.6836929752607205,-0.3683472146057268,-0.0010130417164570342,-0.031261874726225006,-0.07638913327301522,-0.2704551555157011,0.0,-0.11116656752620559,83,18,3987,0.0,0.0,-0.06904893274213914,-0.5116705728437031,0.5,0.0,0.0,0.09909954744082054,1.1393189197406173e-05,0.01,0.0,0.0,0.0,-0.05726026133255116,-0.16589904487683158,0.0,-88.76611481000003,191.89,229822,-36.90762901306152,0.032744467,42.94346237182617,1.0011698007583618,0.023118639830499887,0.2,0.00029989555199999996,0.32525634765625,0.6427346467971802,91.69562530517578
0.0,0.0,0.9455284823583937,0.7,0.0,0.0,0.0,-0.25924858956362334,0.0,0.0,0.5196463978289038,-0.4734869627752045,-0.4880353904721879,0.0,-0.0720128682538157,-0.2954856270859747,0.3686571198390661,350208,0.025580738745321987,0.0,0.0,0.6808534013275014,-0.37233150263004955,-0.002236182311510978,-0.03472381395332834,-0.09441026870738081,-0.26241093483775435,0.0,-0.1108975977489738,87,19,3990,0.0,0.0,-0.06589814591083482,-0.5294834710862193,0.5,0.0,0.0,0.14267058349917763,2.2786407498642802e-05,0.01,0.0,0.0,0.0,-0.05600719351912774,-0.13611633236448203,0.0,-90.30919171,189.39,229823,-36.902610778808594,0.024735922,39.354862213134766,1.000775694847107,0.018341958212355774,0.2,0.00029988940799999996,0.27197265625,0.7039152979850769,82.23814900716145
0.0,0.0,0.9230650438600766,0.7,0.0,0.0,0.0,-0.28060476629260456,0.0,0.0,0.5190180017899106,-0.5288695992578133,-0.5346292701666459,0.0,-0.07526408482345082,-0.3201268293607239,0.344728051170641,368640,0.026874485550295323,0.0,0.0,0.7615834562175768,-0.37128619775307486,-0.002785090832427765,-0.050665477761189626,-0.07559522966495083,-0.2567953693492869,0.0,-0.11086594347654216,92,20,3993,0.0,0.0,-0.08158226258451554,-0.5604125400554336,0.5,0.0,0.0,0.12058570977160982,2.6584127529834706e-05,0.01,0.0,0.0,0.0,-0.0645063332452806,-0.2237878347603005,0.0,-87.49480349,200.22,229824,-36.901973724365234,0.02456216,37.27082061767578,1.0007375478744507,0.018577092016736668,0.2,0.000299883264,0.26904296875,0.7482118606567383,77.66475168863933
0.0,0.0,1.0275768026170302,0.7,0.0,0.0,0.0,-0.26690635565996707,0.0,0.0,0.5202816333323045,-0.4953422955736115,-0.5292862875182549,0.0,-0.07364170065974161,-0.3299846660947906,0.3547773721158113,387072,0.02761139791715956,0.0,0.0,0.6139345465653128,-0.3949125313989789,-0.0013386969383443808,-0.042348367268738876,-0.09105740802143032,-0.2571840904722824,0.0,-0.11084364018639237,96,21,3994,0.0,0.0,-0.06977248357650405,-0.5311761665979553,0.5,0.0,0.0,0.1391684136354279,4.9370554431031145e-05,0.01,0.0,0.0,0.0,-0.060842644821874035,-0.13662106585950273,0.0,-93.44520745,193.7,229825,-36.90107981363932,0.027907848,46.73261642456055,1.000664234161377,0.020072984353949625,0.2,0.00029987712,0.2774251302083333,0.7212242484092712,92.54136403401692
