time/iterations,reward_terms/hip_roll,reward_terms/pos_pen,reward_terms/ang_xy,reward_terms/foot_slip,time/fps,reward_terms/height,reward_terms/overrun,reward_terms/stop,reward_terms/air_time,reward_terms/time,curriculum/ent_coef,reward_terms/track_vx,reward_terms/track_pos,rollout/ep_rew_mean,reward_terms/lat_vel,reward_terms/clearance,reward_terms/progress,reward_terms/alive,rollout/ep_len_mean,reward_terms/fwd_speed,reward_terms/torque,reward_terms/vz,reward_terms/track_heading,reward_terms/action_rate,reward_terms/upright,time/time_elapsed,reward_terms/stance_time,reward_terms/yaw_rate,time/total_timesteps,reward_terms/track_yaw,curriculum/sprint_dist_m,reward_terms/heading_pen,reward_terms/stance,train/loss,train/entropy_loss,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range,train/std
28,-0.043607196351698366,0.0,-4.2380107377315595e-07,-0.3716990437909092,148,-0.07883367853036136,0.0,0.0,0.00012941319390200037,-0.5,0.01,0.0,0.0,-107.84638049000003,-4.020665694110408e-09,0.014426896410800317,0.0,0.0,5.62,0.5618547329857412,-0.4603633361627554,-0.18809360029461208,0.0,-0.007270618201459895,-3.022775420150299e-07,725,-0.3289316557734618,0.0,107520,0.0,44.44,0.0,-0.027408976894698494,82.495849609375,-25.365581393241882,0.000297408,248.6404938697815,-0.042320364475017413,108,0.021206921,-0.16031205654144287,0.15716552734375,0.2,0.9921200275421143
29,-0.04855518812670521,0.0,-3.6468933765030843e-07,-0.373626526510701,148,-0.0725303337172441,0.0,0.0,0.0002652874240109772,-0.5,0.01,0.0,0.0,-108.56765087000002,-3.5863896164852873e-09,0.014154831738197534,0.0,0.0,6.07,0.5457061583416876,-0.4490313543207478,-0.18467817985253307,0.0,-0.007027977258014984,-2.981014640501264e-07,750,-0.33570420459225886,0.0,111360,0.0,45.16,0.0,-0.0386722013654209,83.04170227050781,-25.34662228822708,0.000297312,198.2545223236084,-0.04148048223578371,112,0.022536296,-0.1351463794708252,0.17620849609375,0.2,0.9901053309440613
30,-0.047114329368822525,0.0,-3.7986751588603565e-07,-0.375037097001916,148,-0.0720815079228416,0.0,0.0,0.0002704035977104401,-0.5,0.01,0.0,0.0,-109.08519333,-3.295319359749825e-09,0.014228746943218646,0.0,0.0,6.22,0.5441750975223015,-0.44734176440987933,-0.1820529756900144,0.0,-0.00727970278915429,-2.9850461539793025e-07,776,-0.3397417600449365,0.0,115200,0.0,45.879999999999995,0.0,-0.03148641115110676,55.0539665222168,-25.342183589935303,0.000297216,142.43889570236206,-0.050554699992062524,116,0.032790598,0.03500014543533325,0.23541259765625,0.2,0.9909632205963135
31,-0.049388426876080915,0.0,-3.6109724460528517e-07,-0.38358346304494384,148,-0.07592833027393052,0.0,0.0,0.0001661621745253919,-0.5,0.01,0.0,0.0,-109.17271484000001,-2.5816464447212557e-09,0.014311406997781688,0.0,0.0,6.28,0.5557976287855035,-0.4609549137710587,-0.18359605764701878,0.0,-0.007486884562170255,-3.0086341045298056e-07,801,-0.34067230263762577,0.0,119040,0.0,46.599999999999994,0.0,-0.04763054564141282,52.066070556640625,-25.323641538619995,0.00029712,118.5117917060852,-0.05034253079793416,120,0.038534008,0.00840306282043457,0.264404296875,0.2,0.989558756351471
32,-0.049291765727959964,0.0,-4.364120576260193e-07,-0.36290377860501805,148,-0.07410274445059109,0.0,0.0,0.00011370743612180553,-0.5,0.01,0.0,0.0,-109.23431774999997,-3.533036638023422e-09,0.014053723875608187,0.0,0.0,6.36,0.5360464633302873,-0.44352324033514046,-0.18323841503172156,0.0,-0.007420156049055776,-2.906478834735023e-07,826,-0.3486011305606883,0.0,122880,0.0,47.31999999999999,0.0,-0.034679485179368225,45.05492401123047,-25.31601187388102,0.000297024,112.98083318074545,-0.038769331915924944,124,0.036205187,-0.044280171394348145,0.2220703125,0.2,0.9894421100616455
33,-0.05197175976517446,0.0,-3.453289444340884e-07,-0.3766841051503169,148,-0.06871327773723317,0.0,0.0,0.00017002475738930187,-0.5,0.01,0.0,0.0,-109.65809288999999,-3.735379855658442e-09,0.012538291744483183,0.0,0.0,6.56,0.5341185905247674,-0.44903599946030187,-0.16883051029675872,0.0,-0.007542321532184271,-2.931798724993157e-07,852,-0.35330918446364024,0.0,126720,0.0,48.04,0.0,-0.052185701825993074,33.74491882324219,-25.29523253440857,0.00029692799999999996,84.34377026557922,-0.04850171718499041,128,0.040992666,0.20227009057998657,0.28466796875,0.2,0.9878363013267517
34,-0.051124734341971935,0.0,-3.5383711816176267e-07,-0.39498507480006817,148,-0.07288458010982075,0.0,0.0,0.00019252878196948759,-0.5,0.01,0.0,0.0,-110.50816588000002,-3.138581079735838e-09,0.013003131078495773,0.0,0.0,6.99,0.5554840627548006,-0.47349242636085,-0.17238481330902683,0.0,-0.007444655819214338,-3.069360051108134e-07,876,-0.36352939665098843,0.0,130560,0.0,48.760000000000005,0.0,-0.05028703247638042,34.653221130371094,-25.256475660536026,0.000296832,77.78237999810113,-0.02783585013821721,131,0.041267715,0.29900193214416504,0.2613932291666667,0.2,0.9854352474212646
35,-0.055486344818396406,0.0,-4.08869360119543e-07,-0.37294961884500866,149,-0.06985953500105828,0.0,0.0,0.00023066890482832957,-0.5,0.01,0.0,0.0,-111.14642574000001,-3.882419014725682e-09,0.013857993485710403,0.0,0.0,7.26,0.5251870438937487,-0.45063244083947424,-0.17712210202093934,0.0,-0.007390857126086736,-2.9539336961411884e-07,901,-0.36626289624624475,0.0,134400,0.0,49.480000000000004,0.0,-0.05641148949487269,34.398250579833984,-25.24053582691011,0.00029673599999999997,83.85415122622535,-0.034573822792264675,134,0.041306425,0.2669684886932373,0.24776785714285715,0.2,0.9846023917198181
36,-0.05377735676248066,0.0,-3.95010137273513e-07,-0.37295936801615615,149,-0.0721296118476109,0.0,0.0,0.00029712943892500434,-0.5,0.01,0.0,0.0,-111.33155984000001,-4.516718322268848e-09,0.014040848773325712,0.0,0.0,7.3,0.5153298958003584,-0.4587832210923852,-0.180410214091101,0.0,-0.00758537756511827,-2.998339144451905e-07,925,-0.37840945848230134,0.0,138240,0.0,50.2,0.0,-0.04540044860401645,37.2844123840332,-25.218826362064906,0.00029664,81.57136562892369,-0.043820810288057795,138,0.041898675,0.2564017176628113,0.25795200892857145,0.2,0.9837243556976318
37,-0.05738218546437963,0.0,-3.9731455093702717e-07,-0.3763280204174554,149,-0.07500582885647414,0.0,0.0,0.0004984279761576944,-0.5,0.01,0.0,0.0,-112.41161847999997,-3.820629885809797e-09,0.014723284256470983,0.0,0.0,7.8,0.5070193455014483,-0.46327141484032786,-0.1834880064006255,0.0,-0.007845008554363386,-3.024374202548888e-07,949,-0.3830674779618102,0.0,142080,0.0,50.92,0.0,-0.05112448285812794,34.50865173339844,-25.20385942004976,0.000296544,84.34976995558966,-0.037842300665077,141,0.041783456,0.32039594650268555,0.22581845238095238,0.2,0.9824059009552002
