reward_terms/overrun,reward_terms/motor_vel,reward_terms/stance_time,reward_terms/ang_xy,curriculum/ent_coef,reward_terms/foot_ahead,reward_terms/coef_rate,time/fps,reward_terms/residual,time/time_elapsed,reward_terms/air_time,rollout/ep_rew_mean,reward_terms/fwd_speed,reward_terms/torque,reward_terms/phase_contact,curriculum/eff_scale,reward_terms/foot_slip,reward_terms/lat_vel,rollout/ep_len_mean,time/total_timesteps,reward_terms/step_rate,reward_terms/upright,reward_terms/energy,reward_terms/clearance,reward_terms/vz,curriculum/sprint_dist_m,reward_terms/residual_rate,reward_terms/stance,reward_terms/action_rate,reward_terms/stop,curriculum/stance_ratio,reward_terms/time,reward_terms/hip_roll,reward_terms/height,curriculum/ctrl_jitter_ms,curriculum/ctrl_drop_prob,reward_terms/angmom,reward_terms/alive,time/iterations,reward_terms/assist_pen,train/explained_variance,train/clip_range,train/std,train/approx_kl,train/learning_rate,train/n_updates,train/entropy_loss,train/value_loss,train/loss,train/clip_fraction,train/policy_gradient_loss
0.0,-0.005695115144123364,-0.036934438924719065,-0.23164995330608434,0.002,0.0,-0.0665101568766367,4209,-0.10829172106416218,13531,0.0,-115.32018641999998,0.9812478499863038,-0.24533092082924257,-0.24693868404828465,1.0,-0.13417344090298006,-1.8697315079672117e-08,313.8,56954880,0.0,-0.22752593850111044,-0.02806592645644432,0.03994993788964115,-0.25742582044914947,100.0,0.0,-0.04954160466592964,-0.013486084885534162,0.0,0.42,-0.5,-0.07379744212940159,-0.061748643491499604,0.0,0.0,-0.08633943999943812,0.0,3090,0.0,0.9994637370109558,0.2,0.8528865575790405,0.016642224,0.00011021184,37799,-16.791744709014893,0.10196323059499264,-0.0066926851868629456,0.15435791015625,-0.00985177155234851
0.0,-0.005398456906308167,-0.03860910582685998,-0.22285130494444103,0.002,0.0,-0.0619694866860204,4209,-0.10807421058157292,13535,0.0,-115.05943477000001,0.9846448805821891,-0.22792972259047298,-0.2384193586324009,1.0,-0.13278548444167057,-1.6223951558456136e-08,313.41,56973312,0.0,-0.22321129149650146,-0.026286695692222632,0.03779170071011058,-0.2558814164963214,100.0,0.0,-0.04780402174779788,-0.012724220244378335,0.0,0.42,-0.5,-0.06892907102559818,-0.06162993258906254,0.0,0.0,-0.08468210701195905,0.0,3091,0.0,0.9998041391372681,0.2,0.8528710007667542,0.016451266,0.00011015040000000001,37803,-16.788856315612794,0.038953655026853086,-0.037105992436409,0.15306396484375,-0.010151916567701846
0.0,-0.005450721584033028,-0.04113025837674892,-0.22071364028904056,0.002,0.0,-0.06024991141291184,4209,-0.10819539094949761,13539,0.0,-115.19156440000002,1.000941089691823,-0.2305804631529085,-0.2374957963662227,1.0,-0.1304088726663785,-1.6654484083700156e-08,315.94,56991744,0.0,-0.22165742934159727,-0.026627502971032675,0.037131399583472446,-0.25693936079853563,100.0,0.0,-0.046850222025633145,-0.012458823106388609,0.0,0.42,-0.5,-0.06951545567423324,-0.06163996299950136,0.0,0.0,-0.08411113019019831,0.0,3092,0.0,0.9998568892478943,0.2,0.8526791334152222,0.014257187,0.00011008895999999999,37807,-16.788187408447264,0.029830637201666833,-0.039164043962955475,0.16060791015625,-0.006333517434541136
0.0,-0.005573791945097097,-0.04072091812203224,-0.22931906673090507,0.002,0.0,-0.06530430812687245,4208,-0.10818219258018759,13545,0.0,-115.24720285000001,1.0121560181796707,-0.23553090706882468,-0.24507443959725275,1.0,-0.13824837566306428,-1.788131787266943e-08,315.2,57010176,0.0,-0.23311398752629053,-0.02728784186035665,0.03785243200418971,-0.2686663337956169,100.0,0.0,-0.04754486823671731,-0.012960444601269936,0.0,0.42,-0.5,-0.06962319363203955,-0.06496325580854682,0.0,0.0,-0.08803548938898512,0.0,3093,0.0,0.9998707175254822,0.2,0.8526509404182434,0.015631035,0.00011002752,37811,-16.785811328887938,0.027911284752190114,-0.03715800866484642,0.1546875,-0.009506278554908931
0.0,-0.00575179115535772,-0.03775610686473859,-0.23242625300261854,0.002,0.0,-0.06384159372048362,4208,-0.10833603317390048,13549,0.0,-115.19573149999998,0.9569453784989547,-0.24478718802434482,-0.24883887342024724,1.0,-0.13426244816065397,-1.8343779952464453e-08,313.63,57028608,0.0,-0.22410941881262655,-0.02823439678816816,0.03978878430402631,-0.25300485373258375,100.0,0.0,-0.048191592282468824,-0.013273030249079791,0.0,0.42,-0.5,-0.07480376840739449,-0.06044099483212601,0.0,0.0,-0.0876543684011473,0.0,3094,0.0,0.9996152520179749,0.2,0.8527259230613708,0.017333332,0.00010996608000000002,37815,-16.785180187225343,0.07794891502708197,-0.0034070685505867004,0.16353759765625,-0.0073014285415411
0.0,-0.005202468639803892,-0.03907039528227566,-0.2125329766507319,0.002,0.0,-0.05906222055235945,4208,-0.10830962523436104,13554,4.882812370649642e-05,-115.69225879000001,0.9635003916520765,-0.2230656108566017,-0.23525856110128107,1.0,-0.1261478552349885,-1.5455015367044936e-08,315.52,57047040,0.0,-0.21881988074692962,-0.025342461484482794,0.03877824622005673,-0.24686866347502237,100.0,0.0,-0.04615316424306684,-0.01242587538655865,0.0,0.42,-0.5,-0.06888780008046876,-0.05895215449943365,0.0,0.0,-0.08152958580141435,0.0,3095,0.0,0.9996562600135803,0.2,0.8527682423591614,0.017506724,0.00010990464,37819,-16.785566806793213,0.056847923621535304,-0.026186548173427582,0.15794677734375,-0.00800457454752177
0.0,-0.005394546325304089,-0.040443817645104393,-0.22255702169163033,0.002,0.0,-0.06307506313909225,4208,-0.10829027477196365,13558,0.0,-115.69285076,1.0081956835072545,-0.2286159896798237,-0.24061877865360395,1.0,-0.13194082236412183,-1.7502336769634393e-08,316.15,57065472,0.0,-0.2298977323112671,-0.02638360384242884,0.037137702036387034,-0.2602215157675412,100.0,0.0,-0.04427693508009661,-0.012811769823832843,0.0,0.42,-0.5,-0.0695045261249107,-0.06264520912657623,0.0,0.0,-0.08679255196985215,0.0,3096,0.0,0.9996055364608765,0.2,0.8528374433517456,0.0137313055,0.00010984320000000001,37823,-16.786491680145264,0.06708930786699056,-0.02483246475458145,0.1416015625,-0.008858906337991357
0.0,-0.0053528984427057775,-0.04413603291161255,-0.21588808250978547,0.002,0.0,-0.058065863753514795,4208,-0.1083692133842477,13562,0.0,-115.72130845000001,0.9859052649087668,-0.22281560627834487,-0.23599426864740025,1.0,-0.13012632025115553,-1.841353903475153e-08,317.49,57083904,0.0,-0.22901004746755374,-0.02571592925962532,0.03740506761004936,-0.2615481913461365,100.0,0.0,-0.04269338967661825,-0.012561836860265073,0.0,0.42,-0.5,-0.07071166564990415,-0.06256301798867131,0.0,0.0,-0.08593447055533408,0.0,3097,0.0,0.999737560749054,0.2,0.852735698223114,0.015073126,0.00010978176,37827,-16.786492919921876,0.050331917218863965,-0.033698320388793945,0.14644775390625,-0.009309784672223032
0.0,-0.005594947018695029,-0.03904543904193108,-0.22380435613530963,0.002,0.0,-0.06125507529930579,4208,-0.10859529920220866,13566,0.0,-115.89831776,0.9669834948678466,-0.23531060981781612,-0.24469883611209076,1.0,-0.13466253312773924,-1.6213238249843916e-08,318.06,57102336,0.0,-0.22097263826301608,-0.027183437147786985,0.039260025608473685,-0.2507977334730209,100.0,0.0,-0.05496351891341094,-0.012898742244626855,0.0,0.42,-0.5,-0.07455583858394654,-0.05974509936477532,0.0,0.0,-0.08459260401707275,0.0,3098,0.0,0.9998502731323242,0.2,0.8524027466773987,0.020476097,0.00010972032000000001,37831,-16.782895660400392,0.03152287798002362,-0.030682265758514404,0.164599609375,-0.008110315492376684
0.0,-0.0054178640728424305,-0.04009022264896581,-0.22554192052745506,0.002,0.0,-0.06318762561341827,4208,-0.10811256345633238,13571,0.0,-115.52579582999999,0.9802130575693216,-0.23304484626915561,-0.2417128047880183,1.0,-0.1328685642460913,-1.9858940350860598e-08,315.78,57120768,0.0,-0.22940330592783065,-0.02680259762519624,0.037879086557775006,-0.2594213921894652,100.0,0.0,-0.04853371479241057,-0.012917805067938807,0.0,0.42,-0.5,-0.06906879535626292,-0.06257667336354647,0.0,0.0,-0.08683122353897993,0.0,3099,0.0,0.9997362494468689,0.2,0.8522304892539978,0.020780494,0.00010965887999999999,37835,-16.778047561645508,0.05071954522281885,-0.02476361021399498,0.17088623046875,-0.007119956926908344
