reward_terms/residual_rate,reward_terms/lat_vel,reward_terms/overrun,reward_terms/air_time,reward_terms/motor_vel,reward_terms/height,reward_terms/ang_xy,time/time_elapsed,reward_terms/stop,curriculum/stance_ratio,reward_terms/fwd_speed,curriculum/sprint_dist_m,reward_terms/action_rate,reward_terms/torque,reward_terms/energy,reward_terms/phase_contact,rollout/ep_rew_mean,reward_terms/step_rate,time/fps,reward_terms/upright,reward_terms/assist_pen,reward_terms/foot_slip,reward_terms/time,reward_terms/stance_time,reward_terms/hip_roll,curriculum/ctrl_drop_prob,reward_terms/vz,reward_terms/residual,rollout/ep_len_mean,curriculum/ctrl_jitter_ms,reward_terms/stance,curriculum/eff_scale,reward_terms/foot_ahead,reward_terms/alive,reward_terms/clearance,reward_terms/angmom,curriculum/ent_coef,reward_terms/coef_rate,time/total_timesteps,time/iterations,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/loss,train/clip_fraction,train/explained_variance,train/value_loss,train/n_updates,train/entropy_loss,train/std,train/learning_rate
-0.9872411716794952,-7.339642790545709e-08,0.0,0.0019146036065649241,-0.002471176589670029,-0.033626212527236576,-0.45700346886366666,4397,0.0,0.631117184,4.310135461831766,37.31488,-0.05714859802804379,-0.055771017816783224,-0.010663875653059391,-0.24642281387357257,65.22955083,0.0,4484,-0.09425402480342226,0.0,-0.6171818646529255,-0.5,0.0,-0.3724016239728884,0.0,-0.12390942403387371,-0.11449786700907885,853.86,0.0,0.0,0.0820992,0.0,0.0,0.14995085235369732,-0.12735439403451998,0.01,-0.9460979486376577,19722240,1070,0.02619049,0.2,-0.02473887975793332,84.26707458496094,0.23880615234375,0.9410063624382019,177.3226287841797,150787,-34.07289447784424,1.0016250610351562,0.0002842369536
-0.9727015825203078,-7.737379933227377e-08,0.0,0.002178818297882875,-0.0025139137280381623,-0.031628590045228853,-0.446971640003261,4401,0.0,0.63109952,4.529003358937057,37.3264,-0.0561885887775477,-0.05620959897574215,-0.01082089564399415,-0.2324938833792444,68.47426749000002,0.0,4484,-0.08906407117157951,0.0,-0.594271080033224,-0.5,0.0,-0.3712917150009296,0.0,-0.12397196342968532,-0.11462620046954616,857.84,0.0,0.0,0.082176,0.0,0.0,0.16197053688061974,-0.12446665149495804,0.01,-0.9346380991350518,19740672,1071,0.028975626,0.2,-0.027543122041970493,63.11386489868164,0.2367919921875,0.952330470085144,142.9654598236084,150791,-34.07634563446045,1.0020191669464111,0.00028422220799999997
-0.9998293134670452,-8.015028675802285e-08,0.0,0.002233614394855168,-0.0024969734656812466,-0.03354576066875366,-0.4568961397918028,4405,0.0,0.631081856,4.344804980765316,37.33792,-0.05762597755955981,-0.056549447065357944,-0.010767568808787124,-0.24128952734190928,79.56923669000001,0.0,4484,-0.09962547257309189,0.0,-0.6017615082288292,-0.5,0.0,-0.36485174343750465,0.0,-0.12940021416540382,-0.11431210917083205,876.65,0.0,0.0,0.0822528,0.0,0.0,0.15349434430032474,-0.12839553760155129,0.01,-0.9530594544475179,19759104,1072,0.03342299,0.2,-0.02544717367272824,57.50167465209961,0.2479248046875,0.9599972367286682,121.31924095153809,150795,-34.07183780670166,1.001545786857605,0.0002842074624
-0.9799933883322424,-7.552743169169162e-08,0.0,0.0022715913720377204,-0.0025065453995552463,-0.03481897992890847,-0.459967929545237,4410,0.0,0.631064192,4.587550822800592,37.34944,-0.05701794749566339,-0.054962223515093805,-0.010688799215026695,-0.2331603857590755,82.85786001999999,0.0,4484,-0.10539979068624045,0.0,-0.597102623393147,-0.5,0.0,-0.37264655649707734,0.0,-0.1274146500726635,-0.11445978438502918,893.46,0.0,0.0,0.0823296,0.0,0.0,0.16351319822696847,-0.13287228031960685,0.01,-0.9370046896687351,19777536,1073,0.041514214,0.2,-0.03244207829702646,39.39219284057617,0.29501953125,0.96711266040802,101.28459320068359,150799,-34.07597732543945,1.0018763542175293,0.0002841927168
-1.0103689974723595,-7.511845724684144e-08,0.0,0.0020426415689548272,-0.0024787645023646504,-0.03506287320290642,-0.46555996188957544,4414,0.0,0.631046528,4.335004148881346,37.36096,-0.05809375821158716,-0.055579432331779074,-0.01063088726527587,-0.2554152996407081,92.23494431000003,0.0,4484,-0.09867478860711934,0.0,-0.6237151396250105,-0.5,0.0,-0.37213244897403663,0.0,-0.11866318936641464,-0.11422932493239722,918.7,0.0,0.0,0.0824064,0.0,0.0,0.15628203485871295,-0.1286030239667449,0.01,-0.9595729143720142,19795968,1074,0.03963343,0.2,-0.02520543877617456,43.15436935424805,0.3024169921875,0.967835545539856,102.36089286804199,150803,-34.076095008850096,1.0021414756774902,0.0002841779712
-0.9859056170168452,-7.612324499464025e-08,0.0,0.002252060357326021,-0.0024544088771541552,-0.03561390583900481,-0.45738962967730235,4418,0.0,0.631028864,4.466141497492498,37.37248,-0.055866312842036504,-0.055607901540168495,-0.010627513193195071,-0.2439215400477019,91.81332909000001,0.0,4484,-0.10210537378973376,0.0,-0.6172795456788511,-0.5,0.0,-0.3773276604079727,0.0,-0.13073682896033337,-0.11449516712751381,921.86,0.0,0.0,0.0824832,0.0,0.0,0.15478337575901593,-0.12600965025872718,0.01,-0.9389075311899782,19814400,1075,0.034610905,0.2,-0.026587543671485036,56.20187759399414,0.28489990234375,0.958987295627594,130.92404747009277,150807,-34.08176403045654,1.0024269819259644,0.0002841632256
-0.980222787024887,-7.576125081899958e-08,0.0,0.002161457271237547,-0.0024964732992526113,-0.03326210490381635,-0.46260668246552505,4422,0.0,0.6310112,4.449726886621311,37.384,-0.05658499884708933,-0.056358769720207764,-0.010758254740279168,-0.23414468653600487,93.02655444,0.0,4484,-0.09492623296002589,0.0,-0.5968667026555449,-0.5,0.0,-0.3732652682333201,0.0,-0.1254751354904921,-0.11449334042740308,919.98,0.0,0.0,0.08256,0.0,0.0,0.15307630503272915,-0.13001035260160035,0.01,-0.9389427363353791,19832832,1076,0.033999346,0.2,-0.02578815686283633,49.658599853515625,0.26636962890625,0.9622098803520203,126.92698135375977,150811,-34.077796936035156,1.0019962787628174,0.00028414848
-0.9811653465496973,-7.703928517667456e-08,0.0,0.002032876441565653,-0.002506520087004584,-0.03173614087763587,-0.45723468761777664,4426,0.0,0.6309935360000001,4.453980984348323,37.39552,-0.05688071563510392,-0.05612327366469568,-0.010777158773893616,-0.23469878982186046,92.86141143,0.0,4484,-0.09002431955396514,0.0,-0.5922612288559876,-0.5,0.0,-0.37186628995434545,0.0,-0.12058285962855265,-0.11452138699076382,926.94,0.0,0.0,0.0826368,0.0,0.0,0.14840532250711108,-0.12723621012918276,0.01,-0.9456085308020739,19851264,1077,0.03162648,0.2,-0.02662112272810191,56.20687484741211,0.255859375,0.9629449844360352,114.65971183776855,150815,-34.07676620483399,1.0020431280136108,0.0002841337344
-1.024520252110758,-7.752942712593071e-08,0.0,0.002119139399534712,-0.002456538292964143,-0.03174375748284402,-0.44821785769313105,4430,0.0,0.630975872,4.23226165868479,37.40704,-0.059238881280371324,-0.055914447685331124,-0.01057268422690608,-0.25495480420488137,89.45368745,0.0,4484,-0.09419561493414359,0.0,-0.6129890027642086,-0.5,0.0,-0.36373163103658696,0.0,-0.11945918641279059,-0.1140908277367388,916.91,0.0,0.0,0.0827136,0.0,0.0,0.14735296434573275,-0.12901113953938126,0.01,-0.9680317058423292,19869696,1078,0.037160866,0.2,-0.028874675428960474,36.69687271118164,0.2836669921875,0.9699386954307556,95.8218994140625,150819,-34.07774486541748,1.0020473003387451,0.0002841189888
-0.9865562337775144,-7.873501565566638e-08,0.0,0.0022705064750173027,-0.002498481225724333,-0.03362873169311632,-0.4494428193080876,4434,0.0,0.630958208,4.529777410984276,37.41856,-0.05599747062436,-0.055922568472721285,-0.010758978532532682,-0.24536989923996025,88.27698257,0.0,4484,-0.09554068510961078,0.0,-0.6120578569766171,-0.5,0.0,-0.37604555477670476,0.0,-0.12582799432438874,-0.1144047706730925,922.2,0.0,0.0,0.0827904,0.0,0.0,0.16840203441513077,-0.12706662229713672,0.01,-0.9296199542770575,19888128,1079,0.037949026,0.2,-0.027678407542407513,67.92137908935547,0.3057861328125,0.9550431370735168,149.1367416381836,150823,-34.078583526611325,1.002347707748413,0.0002841042432
