reward_terms/action_rate,reward_terms/angmom,reward_terms/clearance,reward_terms/stop,curriculum/cmd_scale,est/vel_rmse,reward_terms/alive,time/fps,reward_terms/time,time/total_timesteps,curriculum/stance_ratio,rollout/ep_len_mean,reward_terms/foot_ahead,curriculum/ent_coef,reward_terms/vz,curriculum/eff_scale,reward_terms/foot_slip,reward_terms/torque,rollout/ep_rew_mean,reward_terms/duty_sym,ankle/ankle_spring_trq_peak,reward_terms/energy,reward_terms/stance,reward_terms/lat_vel,reward_terms/track_yaw,reward_terms/motor_vel,reward_terms/step_rate,curriculum/cmd_track_err,reward_terms/ang_xy,reward_terms/coef_rate,reward_terms/stand,reward_terms/phase_contact,time/iterations,reward_terms/upright,reward_terms/residual_rate,curriculum/swing_frac_min,curriculum/ctrl_drop_prob,reward_terms/hip_roll,curriculum/dr_scale,reward_terms/overrun,reward_terms/residual,ankle/ankle_spring_energy_peak,reward_terms/imp_rate,ankle/ankle_defl_peak,reward_terms/assist_pen,reward_terms/air_time,reward_terms/stance_time,reward_terms/fwd_speed,curriculum/ctrl_jitter_ms,curriculum/swing_frac_mean,time/time_elapsed,reward_terms/track_lin,reward_terms/stand_drift,reward_terms/height,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/std,train/entropy_loss,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/learning_rate,train/value_loss,curriculum/ctrl_drop_prob_progress,curriculum/eff_scale_progress,curriculum/stance_ratio_progress,curriculum/ctrl_jitter_ms_progress,curriculum/dr_scale_progress
-0.03821848316190482,-0.03789099491112077,0.0037453799357671535,0.0,0.0,0.1594186930975893,0.0,5817,0.0,228280320,0.6489433600000063,1252.92,0.0,0.002,-0.02134692820965921,0.2233727999999726,-0.3372667577838844,-0.04774777792676119,1087.16410025,-0.00907150181050444,0.0,-0.0020449297578462914,-0.05080357351274526,-8.44776433954343e-09,1.9999266943029117,-0.00023833153258025127,-0.0034722222222222424,0.3135635049567886,-0.04175668113221112,-0.2158330012511778,1.0163499594042358,-0.19701312125112036,12385,-0.04429358569622278,0.0,0.04226345486111111,0.05,-0.08498965641017743,1.0,0.0,-0.11410252950582349,0.0,-0.003742465412737444,0.510887587050467,0.0,6.239145942446258e-05,-0.12358720811446094,0.0,4.0,0.0947536892361111,39240,1.9615454889634825,-0.02573762979687487,-0.012876240209060872,-0.01941417590714991,138850,0.9734523892402649,0.9991558790206909,-42.539509773254395,0.2,0.11898193359375,613.6369018554688,0.01303905,0.000147825408,1174.1009674072266,1.0,0.6382079999999217,0.6382079999999217,1.0,1.0
-0.036726517826666624,-0.024248134746448057,0.0008451655957583295,0.0,0.0,0.14712385466955472,0.0,5817,0.0,228298752,0.6489372160000062,1365.64,0.0,0.002,-0.01381220224116148,0.2233996799999726,-0.32927818376653273,-0.045133228534981,1224.1025131100002,-0.0001899464651286478,0.0,-0.0017490411531433405,-0.05571460299688878,-6.527077030684794e-09,1.9999521293578881,-0.00018884381789855727,-0.0031792534722222382,0.3060618483739156,-0.029835913741151226,-0.22042124909790967,0.9830765053821369,-0.1969614488518313,12386,-0.029023406541328883,0.0,0.024576822916666668,0.05,-0.08244145557626374,1.0,0.0,-0.11463641393195169,0.0,-0.0035593106748645653,0.5068566289686062,0.0,1.8988668064897258e-05,-0.14214908370114346,0.0,4.0,0.07771809895833333,39243,1.8984032434064224,-0.0318300420206931,-0.011694181390169787,-0.019980417849728836,138854,0.9660386443138123,0.9990561604499817,-42.538326263427734,0.2,0.13590087890625,548.1205444335938,0.0151608065,0.00014781312,1411.4010620117188,1.0,0.6382847999999217,0.6382847999999217,1.0,1.0
-0.03698644959001492,-0.02422086760909538,0.002937108917259769,0.0,0.0,0.16035075123589837,0.0,5817,0.0,228317184,0.6489310720000062,1443.47,0.0,0.002,-0.015883479563991956,0.22342655999997257,-0.3568290749477102,-0.047842910970071977,1377.05846703,-0.001356899884910414,0.0,-0.0020406471490979775,-0.06130821059852191,-8.202871765830611e-09,1.9999320191270256,-0.0002251569915259402,-0.0033745659722222406,0.2757343749961329,-0.035450541873869666,-0.21931066746639025,1.0738491565510049,-0.19080860686164736,12387,-0.026193939102543928,0.0,0.024576822916666668,0.05,-0.08643383783846255,1.0,0.0,-0.11460219348884808,0.0,-0.0037717349148089613,0.5115083252307723,0.0,5.967856850475073e-06,-0.12374361089152647,0.0,4.0,0.084716796875,39246,2.0733642036153928,-0.03344115496757979,-0.011616899959323244,-0.023046524429810235,138858,0.9794955253601074,0.9990860223770142,-42.53800296783447,0.2,0.11474609375,431.9793395996094,0.013852717,0.000147800832,741.9953979492187,1.0,0.6383615999999217,0.6383615999999217,1.0,1.0
-0.037579695296822466,-0.024590846137301007,0.003997598177237099,0.0,0.0,0.1502127958422745,0.0,5817,0.0,228335616,0.6489249280000062,1383.21,0.0,0.002,-0.015579648469865684,0.22345343999997258,-0.3035379568044537,-0.04414908652998752,1364.7215816799999,-0.004389053293299224,0.0,-0.001885961353941042,-0.06486141263005744,-8.310157291759208e-09,1.999935100939069,-0.000210131494963058,-0.0032443576388889056,0.29851480553986376,-0.03487607324697001,-0.22001727689979084,1.23515454793388,-0.18607022611385673,12388,-0.03010429856658104,0.0,0.027886284722222224,0.05,-0.08797993640448633,1.0,0.0,-0.11450554542301056,0.0,-0.003697369871349097,0.507196064402244,0.0,4.340272021686865e-05,-0.1175852946309735,0.0,4.0,0.09578450520833334,39249,2.1628376036408508,-0.03361421271009909,-0.011570430331120537,-0.02045214396202937,138862,0.9635770916938782,0.9992204308509827,-42.53911209106445,0.2,0.1179931640625,580.1187133789062,0.014370206,0.000147788544,1364.9359619140625,1.0,0.6384383999999217,0.6384383999999217,1.0,1.0
-0.038807561405492644,-0.02333513763531507,0.0018777544327034353,0.0,0.0,0.14695268159400932,0.0,5817,0.0,228354048,0.6489187840000062,1389.14,0.0,0.002,-0.014112256883655408,0.22348031999997256,-0.3448525466468082,-0.044569739270091197,1378.4176729800001,-0.0013925914136043527,0.0,-0.0018331994701562047,-0.06719750589534437,-7.226753242895276e-09,1.9999453621437202,-0.00020758857263768914,-0.003591579861111133,0.3028959340047899,-0.03263550222870414,-0.2230211651828549,1.2343315263119707,-0.19427820640637739,12389,-0.03855002124254214,0.0,0.030436197916666668,0.05,-0.08866054913645455,1.0,0.0,-0.11426815769200457,0.0,-0.003738386960580289,0.5102905868472556,0.0,5.9136212156671616e-05,-0.1105453620629204,0.0,4.0,0.08797200520833333,39252,2.110993149374782,-0.028611290527251514,-0.011387365174130908,-0.021884808217873798,138866,0.9695806503295898,0.9992915391921997,-42.54226169586182,0.2,0.14022216796875,576.6539916992188,0.015039462,0.000147776256,1247.2461669921875,1.0,0.6385151999999217,0.6385151999999217,1.0,1.0
-0.03742961754905371,-0.03662816391875452,0.002365750633513705,0.0,0.0,0.15476263345699226,0.0,5817,0.0,228372480,0.6489126400000063,1313.87,0.0,0.002,-0.021402137057864278,0.22350719999997257,-0.3201486530768245,-0.044615985262202645,1250.78440521,-0.003104476157160836,0.0,-0.001866286829614369,-0.07034534070617149,-8.677301620755026e-09,1.9999381116776769,-0.0002098300864821504,-0.0035373263888889093,0.32283332760041855,-0.03947811576324192,-0.22236422237690417,1.2023081272746075,-0.17079123295856963,12390,-0.04015187640130927,0.0,0.03358289930555555,0.05,-0.0881090966125288,1.0,0.0,-0.11441617232484244,0.0,-0.003750467522056576,0.5146908767571547,0.0,2.495654431792597e-05,-0.12511526378835292,0.0,4.0,0.10142686631944445,39255,2.032217459587229,-0.043390777249198806,-0.012658823213879952,-0.021423380277701652,138870,0.9736135005950928,0.9993427991867065,-42.544951820373534,0.2,0.1307861328125,447.2293395996094,0.014411544,0.000147763968,1102.5570129394532,1.0,0.6385919999999217,0.6385919999999217,1.0,1.0
-0.03588574355677334,-0.027987146064292263,0.0014833325769817544,0.0,0.0,0.14104117296795482,0.0,5817,0.0,228390912,0.6489064960000063,1316.32,0.0,0.002,-0.01964373902095423,0.22353407999997257,-0.33637935960859,-0.0417125664955347,1253.93701601,-0.0109460161597413,0.0,-0.0017966072789824651,-0.08602018504592167,-1.0566628109869784e-08,1.999945844623789,-0.00020269913279033925,-0.0031250000000000145,0.30399821523096965,-0.03438232251995547,-0.2185672143352118,1.060145558144973,-0.17330220437713556,12391,-0.027269268018330267,0.0,0.033637152777777776,0.05,-0.09202785013158243,1.0,0.0,-0.11443549550938142,0.0,-0.0033063023752342305,0.5127579433562207,0.0,4.882798142110308e-06,-0.10129949078610581,0.0,4.0,0.08970811631944445,39258,2.043313071308733,-0.03755110114827619,-0.012511987102236024,-0.022068582038627937,138874,0.9778879880905151,0.9993530511856079,-42.54433536529541,0.2,0.1533935546875,397.3815002441406,0.015924338,0.00014775168,988.1540802001953,1.0,0.6386687999999217,0.6386687999999217,1.0,1.0
-0.03429023640298225,-0.02745345763265978,0.0030777934320866404,0.0,0.0,0.15756890243942637,0.0,5817,0.0,228409344,0.6489003520000063,1313.18,0.0,0.002,-0.016637776019818366,0.22356095999997255,-0.32368091133817445,-0.04291363160708578,1251.71031442,-0.00806209118017911,0.0,-0.0017712264100726823,-0.07392957788611365,-9.947152895266483e-09,1.9999457955190125,-0.00019748291451740505,-0.0032769097222222383,0.35876510194428163,-0.031058959264053942,-0.211944862398226,1.0620014149540422,-0.1488042973214594,12392,-0.036140332105526335,0.0,0.033745659722222224,0.05,-0.09381222908550185,1.0,0.0,-0.11487279793102795,0.0,-0.0032441261013236903,0.5054019462764965,0.0,1.627600674207012e-05,-0.09691920466947421,0.0,4.0,0.0869140625,39261,2.0228898327291773,-0.04871861822160024,-0.012947365181117406,-0.018582687136949973,138878,0.9655975699424744,0.9992581605911255,-42.54415225982666,0.2,0.134765625,597.4812622070312,0.015105446,0.00014773939199999998,1402.7599792480469,1.0,0.6387455999999216,0.6387455999999216,1.0,1.0
-0.036800271942561864,-0.027277607980948554,0.002635165951149269,0.0,0.0,0.146437211391329,0.0,5817,0.0,228427776,0.6488942080000063,1294.79,0.0,0.002,-0.015740771755458644,0.22358783999997256,-0.331789229624396,-0.04652057459992474,1253.35748721,-0.0014801044177784248,0.0,-0.0019220291042522707,-0.07790258028639287,-9.665837016670801e-09,1.9999419433602807,-0.00022343378849566434,-0.00323350694444446,0.32412519598951745,-0.03661714524873455,-0.22719352282648375,1.2231186639463005,-0.11358524815210168,12393,-0.03760306927249133,0.0,0.027669270833333332,0.05,-0.09479072664728506,1.0,0.0,-0.11452545833060992,0.0,-0.00347157965425729,0.5202712299318694,0.0,2.6041612727567554e-05,-0.06968165857122383,0.0,4.0,0.08504231770833334,39264,2.309535876250391,-0.06500107613713701,-0.012530992099499587,-0.02219296011899132,138882,0.9783185720443726,0.9992599487304688,-42.54228496551514,0.2,0.14013671875,436.0278625488281,0.015366176,0.000147727104,864.9359832763672,1.0,0.6388223999999216,0.6388223999999216,1.0,1.0
-0.03589202064099633,-0.028513435007730088,0.004090302865710691,0.0,0.0,0.15643359960745148,0.0,5817,0.0,228446208,0.6488880640000062,1286.64,0.0,0.002,-0.017373624181461534,0.22361471999997254,-0.29515794595688194,-0.042635578192834124,1206.87134143,-0.012336896490210192,0.0,-0.0016079379175616992,-0.08851643630840125,-8.23265518645846e-09,1.9999498592566043,-0.0001815853634781388,-0.002951388888888902,0.5403698872706535,-0.033721541467235834,-0.21134095409938564,1.2986036820623936,-0.07740608405695582,12394,-0.044672932000468915,0.0,0.027940538194444444,0.05,-0.10036281907869411,1.0,0.0,-0.11463969150744063,0.0,-0.0032264624078462336,0.5102462999199533,0.0,4.6657935147070224e-05,-0.058832593950986244,0.0,4.0,0.1012912326388889,39267,2.2210288472332067,-0.048668088652394664,-0.013042930238177436,-0.021438482694793492,138886,0.9685748815536499,0.9992268085479736,-42.54221878051758,0.2,0.1445556640625,618.5645751953125,0.0147900535,0.000147714816,1296.342022705078,1.0,0.6388991999999216,0.6388991999999216,1.0,1.0
-0.03462602790974453,-0.03114345054712092,0.001313076245858352,0.0,0.0,0.13864549869546647,0.0,5817,0.0,228464640,0.6488819200000062,1169.89,0.0,0.002,-0.01609146042800109,0.22364159999997255,-0.29384072131458033,-0.04112388509432233,1088.8816448000002,-0.0027140597009357634,0.0,-0.001621296744472973,-0.09736524116492731,-6.718000978843798e-09,1.9999483505773874,-0.00017952848927079468,-0.00299479166666668,0.30484983843107555,-0.033521771847619536,-0.21233444735841572,1.2496679150549914,-0.08791546060951473,12395,-0.03107417642236184,0.0,0.024251302083333332,0.05,-0.09911542383200347,1.0,0.0,-0.11467787494133543,0.0,-0.0030591128893537934,0.5132605085845001,0.0,2.4414029515658815e-05,-0.06458170182466144,0.0,4.0,0.08607313368055557,39270,2.2464324185907736,-0.05770803392078115,-0.012540557277232627,-0.020196707092691214,138890,0.9633330702781677,0.9990085363388062,-42.538584327697755,0.2,0.12418212890625,468.8194274902344,0.013286306,0.00014770252800000002,1339.3169219970703,1.0,0.6389759999999216,0.6389759999999216,1.0,1.0
-0.03435449472021541,-0.019022978074320657,0.0013707544085034202,0.0,0.0,0.12584870525860328,0.0,5817,0.0,228483072,0.6488757760000062,1084.55,0.0,0.002,-0.01408475078057025,0.22366847999997255,-0.3321935320137021,-0.040942108037311103,951.9186763399999,0.0,0.0,-0.0016381158013265703,-0.10399323606857189,-8.741480728328676e-09,1.9999540357734966,-0.00019034864315098444,-0.0032009548611111266,0.28288977813408006,-0.030249113412798415,-0.21003237650663206,1.1917608559243986,-0.14129983523836148,12396,-0.022534787173607067,0.0,0.024848090277777776,0.05,-0.09979307041685685,1.0,0.0,-0.11478930011030254,0.0,-0.0030148402862984853,0.5166559428120776,0.0,1.681855064816773e-05,-0.10314463497262397,0.0,4.0,0.0729709201388889,39273,2.217845151024719,-0.06547333762599188,-0.012737484371545127,-0.018353235139511526,138894,0.9624842405319214,0.9989191293716431,-42.5341682434082,0.2,0.10947265625,544.0834350585938,0.013645463,0.00014769023999999998,1309.907940673828,1.0,0.6390527999999216,0.6390527999999216,1.0,1.0
-0.03573014833378809,-0.026141110818760326,0.0028659592208810673,0.0,0.0,0.15452946865339492,0.0,5817,0.0,228501504,0.6488696320000062,1493.46,0.0,0.002,-0.01692510126082869,0.22369535999997253,-0.3230457412928324,-0.04356986734584975,1465.6274628300002,-0.0006351940874824961,0.0,-0.0016916432982452705,-0.07679476362653326,-7.199206066458055e-09,1.9999479826805573,-0.00019512490044261419,-0.002842881944444455,0.423316853344436,-0.032276098035811766,-0.21439442952206755,1.2329278809140514,-0.1256041167407038,12397,-0.027977602954109455,0.0,0.03211805555555555,0.05,-0.09430402160091078,1.0,0.0,-0.11433717895209242,0.0,-0.00321659252590536,0.512076078797413,0.0,3.63497626191626e-05,-0.09520451996165018,0.0,4.0,0.07598198784722222,39276,2.181643248103408,-0.0653636073371933,-0.013081150811804079,-0.023277465207502245,138898,0.9751619100570679,0.9988800287246704,-42.533315086364745,0.2,0.1395751953125,356.3859558105469,0.014691694,0.000147677952,918.2342559814454,1.0,0.6391295999999216,0.6391295999999216,1.0,1.0
-0.03558086697640304,-0.023845102505395913,0.0012332046586368463,0.0,0.0,0.1462388396793658,0.0,5817,0.0,228519936,0.6488634880000063,1514.17,0.0,0.002,-0.01741749175869957,0.22372223999997254,-0.3455299031841995,-0.04248330683233209,1476.6695018100002,-0.008613860417987729,0.0,-0.0016273872218153542,-0.07475818849364087,-6.500303717498937e-09,1.9999534512386288,-0.0001763784165031712,-0.00339626736111113,0.30998247866250256,-0.030676115660283373,-0.20777528856351105,1.1590130151041735,-0.09917464351453524,12398,-0.02741399102784174,0.0,0.020724826388888888,0.05,-0.09572890377068909,1.0,0.0,-0.11453575930729837,0.0,-0.0031165959501156196,0.5092987625079016,0.0,5.42524503543973e-07,-0.0715094597075626,0.0,4.0,0.08466254340277778,39282,2.15096443838233,-0.04951048025270413,-0.01295586246272856,-0.015454490744741634,138902,0.9598731994628906,0.9989209771156311,-42.532721519470215,0.2,0.12890625,601.5067749023438,0.01437672,0.000147665664,1701.8148864746095,1.0,0.6392063999999216,0.6392063999999216,1.0,1.0
-0.03447642410607774,-0.021579729999584574,0.0016500093446931124,0.0,0.0,0.13824850923258714,0.0,5817,0.0,228538368,0.6488573440000063,1528.72,0.0,0.002,-0.013497901250664374,0.22374911999997252,-0.36123690795488383,-0.0438182882571109,1478.4606211100004,-0.005835113181753816,0.0,-0.0016483253075412782,-0.06750016034792762,-6.005689256682193e-09,1.9999536377276206,-0.00017022030210001678,-0.003135850694444459,0.245332368048252,-0.028765899250057743,-0.201746284457872,1.0309419121792927,-0.15052556705708403,12399,-0.02309634446459046,0.0,0.019911024305555556,0.05,-0.08954891938386213,1.0,0.0,-0.11472609327744362,0.0,-0.003091403145745112,0.5074725959642348,0.0,1.6818521544337273e-05,-0.1075020144457489,0.0,4.0,0.0886501736111111,39286,2.0706940158276277,-0.04518957479216429,-0.011982114733384265,-0.02247269587824121,138906,0.9697006344795227,0.9987789988517761,-42.53173599243164,0.2,0.1401611328125,419.46722412109375,0.015992083,0.000147653376,1031.9559631347656,1.0,0.6392831999999216,0.6392831999999216,1.0,1.0
