curriculum/ctrl_drop_prob,curriculum/ent_coef,reward_terms/assist_pen,reward_terms/clearance,reward_terms/torque,reward_terms/stance,reward_terms/action_rate,reward_terms/residual,reward_terms/stop,reward_terms/time,reward_terms/height,reward_terms/foot_slip,reward_terms/hip_roll,curriculum/ctrl_jitter_ms,reward_terms/angmom,rollout/ep_rew_mean,reward_terms/stance_time,reward_terms/vz,curriculum/stance_ratio,time/time_elapsed,reward_terms/alive,time/total_timesteps,reward_terms/air_time,reward_terms/lat_vel,reward_terms/energy,curriculum/sprint_dist_m,reward_terms/overrun,reward_terms/upright,reward_terms/fwd_speed,time/iterations,curriculum/eff_scale,reward_terms/motor_vel,reward_terms/ang_xy,reward_terms/phase_contact,time/fps,reward_terms/coef_rate,rollout/ep_len_mean,train/learning_rate,train/loss,train/value_loss,train/clip_range,train/entropy_loss,train/n_updates,train/approx_kl,train/std,train/clip_fraction,train/policy_gradient_loss,train/explained_variance
0.0,0.01,0.0,0.1076627777420372,-0.015564306937467985,0.0,-0.1101800533260948,-0.10198297096027237,0.0,-0.5,-0.15187576772450076,-0.26961422524015544,-0.3433399422404008,0.0,-0.35274889976627527,-110.57260322999998,-0.04670939371054475,-0.30198760615847253,0.642528128,1697,0.0,7815168,0.0012179887562524527,-2.4580090355709466e-08,-0.001119079340269823,29.87296,0.0,-0.1739737218927386,1.7191060223954306,424,0.0324864,-0.00013313058814255904,-0.20930497656918154,-0.382297936636673,4603,-0.6784863891807293,230.48,0.000298050816,-0.039103686809539795,0.6799148917198181,0.2,-33.965961647033694,7865,0.014829999,0.997160792350769,0.1468994140625,-0.0197937571676448,0.9953668117523193
0.0,0.01,0.0,0.10663266354517001,-0.015531058849248028,0.0,-0.108908525764923,-0.10172982887634881,0.0,-0.5,-0.14895677654915188,-0.2588498603880195,-0.3501275336855378,0.0,-0.347414707890201,-111.86856736999998,-0.04624593473757462,-0.3025277960744213,0.642510464,1701,0.0,7833600,0.0013547073791010512,-2.443090754160836e-08,-0.001116871343631775,29.88448,0.0,-0.17440488621300587,1.7059110257717363,425,0.0325632,-0.00013437924827860114,-0.20727762844458839,-0.3896630120781386,4603,-0.6817825633782282,228.86,0.000298046208,0.16090869903564453,1.3332864969968796,0.2,-33.96724948883057,7869,0.01570555,0.9973078966140747,0.1750244140625,-0.015990954043809326,0.9912479519844055
0.0,0.01,0.0,0.11358645203048871,-0.01611967466630068,0.0,-0.10955995397349848,-0.10184314676548048,0.0,-0.5,-0.1630502747939797,-0.2770753542843042,-0.3399602501807472,0.0,-0.3660137476932339,-109.37239226,-0.04313748488170353,-0.30524378617794007,0.6424928,1705,0.0,7852032,0.0016075282118334952,-2.4481584176544463e-08,-0.0011453004809731122,29.896,0.0,-0.18154638720201904,1.7940369178922078,426,0.03264,-0.00013660753956332654,-0.21313555700902417,-0.3923899124621057,4603,-0.6869641731253648,226.5,0.00029804159999999996,0.1199026107788086,1.8333022385835647,0.2,-33.96748428344726,7873,0.022921536,0.997169017791748,0.2314453125,-0.014705203287303448,0.988010585308075
0.0,0.01,0.0,0.1119821201439988,-0.016167314263714205,0.0,-0.10991176024044395,-0.1015707695581789,0.0,-0.5,-0.15912592413544227,-0.2696230435520428,-0.35272703640277336,0.0,-0.3457268339225309,-109.64058818,-0.04190471400539132,-0.2957418628533715,0.6424751360000001,1709,0.0,7870464,0.0010541434457991272,-2.5324861932560602e-08,-0.0011469463797813989,29.907519999999998,0.0,-0.16782679777766052,1.7305280827164424,427,0.0327168,-0.000136137978861884,-0.20887819921636475,-0.3889105601034032,4603,-0.6872437702861852,228.04,0.000298036992,0.21856459975242615,1.3709065526723863,0.2,-33.96393966674805,7877,0.01853654,0.9970592260360718,0.19349365234375,-0.015252565802074968,0.9908769726753235
0.0,0.01,0.0,0.10902357175260506,-0.015681584867035664,0.0,-0.1090046260107492,-0.10221534180843062,0.0,-0.5,-0.15532237981090136,-0.25892465920194574,-0.3472848873683134,0.0,-0.3565306444172792,-110.96449226000003,-0.048760305402942725,-0.3054673285695386,0.642457472,1713,0.0,7888896,0.001425779259686048,-2.4502440212697753e-08,-0.0011078871418828207,29.91904,0.0,-0.18110623304073,1.7820033171634602,428,0.0327936,-0.00012925572614718556,-0.20297916125590335,-0.3845712529142684,4603,-0.6682509206463866,230.49,0.000298032384,0.48991087079048157,1.3905367493629455,0.2,-33.9618314743042,7881,0.014688827,0.9969598054885864,0.15897216796875,-0.013576842495240271,0.9907657504081726
0.0,0.01,0.0,0.1105481122625279,-0.015785415607997667,0.0,-0.1095167267522308,-0.10156774352412297,0.0,-0.5,-0.1541624673908557,-0.27657700031011934,-0.3517541141176359,0.0,-0.3589841390941059,-110.77076672,-0.04455417802253376,-0.3083858288957661,0.642439808,1717,0.0,7907328,0.0014442254485200262,-2.546433590227743e-08,-0.0011401952376371381,29.93056,0.0,-0.1852655658117139,1.7293024369947074,429,0.0328704,-0.0001364435861141986,-0.21562297791330715,-0.38673530631807984,4603,-0.6882338272132995,231.75,0.000298027776,-0.06776025891304016,0.7547551840543747,0.2,-33.95466537475586,7885,0.016721409,0.9963315725326538,0.1844482421875,-0.022216913575539364,0.9951433539390564
0.0,0.01,0.0,0.11019002078662837,-0.015803479108913974,0.0,-0.10821418497673502,-0.10191533141620074,0.0,-0.5,-0.14922990290895352,-0.25947723985269777,-0.35346490984723045,0.0,-0.3504716535505334,-110.44202397999999,-0.046655952392029576,-0.306007204315524,0.642422144,1721,0.0,7925760,0.0016335698860024826,-2.4527727664558686e-08,-0.001115393515681013,29.94208,0.0,-0.1776783078338554,1.7580658334310297,430,0.0329472,-0.0001329944695658249,-0.20427113478711292,-0.38007567338178705,4604,-0.670174388186803,233.44,0.000298023168,-0.07296904921531677,0.6450337707996369,0.2,-33.95632190704346,7889,0.026495764,0.9970331192016602,0.2259765625,-0.023370970471296458,0.9957647919654846
0.0,0.01,0.0,0.11028726452755948,-0.016031885482967065,0.0,-0.1095569738212019,-0.10179881218750886,0.0,-0.5,-0.1512090884237957,-0.2691051713004181,-0.35106340001934605,0.0,-0.36946744651832336,-110.93024221,-0.04535332980837362,-0.31506818379710055,0.64240448,1725,0.0,7944192,0.0013688132069849719,-2.5233834332941728e-08,-0.0011611225064639492,29.9536,0.0,-0.1817080819679625,1.7505180077746503,431,0.033024,-0.00013988793267921185,-0.21802289824868062,-0.38497522639125364,4604,-0.6830407027809913,232.1,0.00029801856,-0.13033315539360046,0.6144703179597855,0.2,-33.965834617614746,7893,0.022313703,0.9975680112838745,0.22384033203125,-0.02613274655304849,0.9959982633590698
0.0,0.01,0.0,0.10807219428717137,-0.015905417114758968,0.0,-0.1090618378849561,-0.10195800070948503,0.0,-0.5,-0.1504904171947562,-0.2510442039201928,-0.354085165105086,0.0,-0.3576826735812095,-110.19664546999998,-0.04428453929883997,-0.3069556465064775,0.642386816,1729,0.0,7962624,0.001321070206662019,-2.4919816035264154e-08,-0.0011244840491983227,29.96512,0.0,-0.17974991824943218,1.7264587645248801,432,0.0331008,-0.0001339115686870422,-0.20923486046948295,-0.3994068656725831,4604,-0.6848752704469829,230.91,0.000298013952,-0.0938321053981781,0.6493882983922958,0.2,-33.968916702270505,7897,0.021306226,0.9977828860282898,0.22274169921875,-0.022446776588913052,0.9959988594055176
0.0,0.01,0.0,0.11155254135098217,-0.015787745437666145,0.0,-0.10887419731967592,-0.10179126452456905,0.0,-0.5,-0.15128597126553653,-0.24511584639870965,-0.35370328863799033,0.0,-0.35875748802978275,-111.00503642,-0.049909527491157256,-0.31436232492996186,0.642369152,1733,0.0,7981056,0.0013514522191447516,-2.493941370450929e-08,-0.0010962710049463758,29.97664,0.0,-0.1858755377818899,1.7733303102345586,433,0.0331776,-0.00012868005722972616,-0.20313208608892896,-0.38553475363289796,4604,-0.66616710402032,234.83,0.000298009344,-0.14128093421459198,0.5314513921737671,0.2,-33.9637336730957,7901,0.02428537,0.9974133372306824,0.22213134765625,-0.02247727573849261,0.9965536594390869
