rollout/ep_rew_mean,curriculum/sprint_dist_m,reward_terms/overrun,reward_terms/vz,reward_terms/residual,reward_terms/coef_rate,time/time_elapsed,reward_terms/foot_slip,reward_terms/clearance,reward_terms/action_rate,ankle/ankle_defl_peak,reward_terms/torque,ankle/ankle_spring_trq_peak,reward_terms/upright,curriculum/ctrl_drop_prob,reward_terms/phase_contact,reward_terms/stance,reward_terms/energy,time/total_timesteps,reward_terms/time,ankle/ankle_spring_energy_peak,reward_terms/duty_sym,reward_terms/stance_time,reward_terms/assist_pen,reward_terms/step_rate,curriculum/eff_scale,reward_terms/lat_vel,reward_terms/height,curriculum/stance_ratio,time/fps,time/iterations,reward_terms/air_time,reward_terms/stop,curriculum/ent_coef,curriculum/ctrl_jitter_ms,reward_terms/alive,reward_terms/hip_roll,rollout/ep_len_mean,reward_terms/fwd_speed,reward_terms/ang_xy,reward_terms/motor_vel,reward_terms/angmom,reward_terms/foot_ahead,reward_terms/residual_rate,train/explained_variance,train/n_updates,train/value_loss,train/entropy_loss,train/std,train/approx_kl,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/loss,train/clip_fraction
-148.68795925,25.2304,0.0,-0.10364028613499886,-0.06060991148634102,-1.5822878648533871,96,-0.20540166368297363,0.011297390446746193,-0.2144495935197496,0.5191108694219647,-5.95625020270816e-05,0.0,-0.1318496654944678,0.0,-0.5955866128086357,-0.003468487925078553,-2.0045367443536396e-06,387072,-0.5,0.0,0.0,-0.025707768478443742,0.0,-0.0027452256944444546,0.001536,-2.175256795554685e-09,-0.026247421241010593,0.64964672,3999,21,0.00011447458139931162,0.0,0.01,0.0,0.0,-0.004390688177826419,195.62,-1.2828237681701642,-0.0572867655140331,-1.859509992310154e-07,-0.17490301327178384,0.0,0.0,0.22857004404067993,80,196.8550178527832,-34.07852478027344,1.0021474361419678,0.00543459,0.2,0.00029981568,-0.009549568558577448,89.35372161865234,0.0204833984375
-148.99731334,25.24192,0.0,-0.1216800330670965,-0.06065674904396671,-1.5713912966132746,101,-0.2092982992836942,0.011708763591024116,-0.21219664567190444,0.5190809134529725,-6.400435270178554e-05,0.0,-0.16527671488287257,0.0,-0.5975255878958498,-0.001842280194170746,-2.2139827772416606e-06,405504,-0.5,0.0,0.0,-0.026089034930919297,0.0,-0.0028754340277777897,0.0016128,-2.136511827884968e-09,-0.03134040658793698,0.649629056,4001,22,9.27731841026495e-05,0.0,0.01,0.0,0.0,-0.004555995632973789,196.75,-1.3525352489481037,-0.06563108501541061,-2.013700995973305e-07,-0.20476396095613986,0.0,0.0,0.19571995735168457,84,168.5957000732422,-34.08325901031494,1.0026819705963135,0.005478902,0.2,0.000299806464,-0.009825835109222681,74.70697784423828,0.0194091796875
-148.74104619000002,25.25344,0.0,-0.1140667349293531,-0.06065930500297366,-1.5750860656747505,105,-0.20533519709117412,0.010969623926727078,-0.21334764615464075,0.5193705376542437,-6.52873860732755e-05,0.0,-0.15331537137139184,0.0,-0.6004661541388265,-0.0019039033197055548,-2.0933105899568704e-06,423936,-0.5,0.0,0.0,-0.0245098564773798,0.0,-0.0026584201388888972,0.0016896,-2.1151420539692097e-09,-0.029256419776718903,0.6496113920000001,4003,23,0.00011013429805946846,0.0,0.01,0.0,0.0,-0.003752682043562293,195.71,-1.3285890186523153,-0.05788749207406316,-1.9431996378861092e-07,-0.19424374439069408,0.0,0.0,0.17825442552566528,88,162.44114532470704,-34.086602783203126,1.0028001070022583,0.0066301613,0.2,0.000299797248,-0.009765128616709261,76.55297088623047,0.02900390625
-146.90341329999998,25.26496,0.0,-0.10302618971233252,-0.060591448539960936,-1.5848495859627414,110,-0.22122786609998957,0.011598269888076825,-0.21102297794254637,0.5194731643356943,-7.571116316088309e-05,0.0,-0.1368973503950353,0.0,-0.5929568849133923,-0.0019456508492503354,-2.261654043921044e-06,442368,-0.5,0.0,0.0,-0.024266664622700773,0.0,-0.002452256944444449,0.0017664,-2.0639849612804337e-09,-0.02649071132952608,0.649593728,4006,24,5.6965945987030864e-05,0.0,0.01,0.0,0.0,-0.003410977967523749,188.42,-1.2714692914951649,-0.053655453267731947,-2.09255900652521e-07,-0.17501918134997335,0.0,0.0,0.14338648319244385,92,149.55523147583008,-34.08037624359131,1.00224769115448,0.006476011,0.2,0.000299788032,-0.01072973954724148,70.10547637939453,0.03023681640625
-147.4148029,25.27648,0.0,-0.10587420611000872,-0.0607270869811723,-1.5762471347999205,114,-0.21450104125395025,0.011683792016219528,-0.21376208640629354,0.5189484929886968,-7.614377379707282e-05,0.0,-0.14078524118092905,0.0,-0.5931968604010442,-0.001728195122018416,-2.5124660389555852e-06,460800,-0.5,0.0,0.0,-0.024010589005128067,0.0,-0.0025282118055555626,0.0018432,-2.1374745999693677e-09,-0.026947069611068786,0.649576064,4008,25,2.983931335620582e-05,0.0,0.01,0.0,0.0,-0.0037085927484943287,190.54,-1.2728926647394831,-0.05692550172794973,-2.2954083172240399e-07,-0.17432354323006852,0.0,0.0,0.11762350797653198,96,147.16657409667968,-34.072953605651854,1.001615285873413,0.0057932823,0.2,0.000299778816,-0.009482040721923112,63.60072708129883,0.02490234375
-148.26734664,25.288,0.0,-0.10571122002028352,-0.06087599562123829,-1.5683753646886909,119,-0.22214172115710953,0.012398473523782032,-0.2133357447061079,0.5191424644026038,-8.63680728666191e-05,0.0,-0.14055291787063742,0.0,-0.5962502597086616,-0.004905429389540902,-2.778512478335572e-06,479232,-0.5,0.0,0.0,-0.02278066332413194,0.0,-0.0027018229166666757,0.00192,-1.971697798577986e-09,-0.02752031561197514,0.6495584,4010,26,0.00010525151285239392,0.0,0.01,0.0,0.0,-0.004188265030649004,193.88,-1.2712655796430625,-0.05294203098187436,-2.4169134685825243e-07,-0.16980319061213664,0.0,0.0,0.11009609699249268,100,135.32573013305665,-34.07221870422363,1.0018963813781738,0.0057940935,0.2,0.00029976959999999996,-0.01054529482498765,61.3375244140625,0.02470703125
-149.23303097000002,25.29952,0.0,-0.11538383757878945,-0.060782429293592774,-1.5770787703192193,124,-0.21317533112856268,0.011787355918341774,-0.21117740584850928,0.5194294737007721,-7.577341052824247e-05,0.0,-0.14439481650012512,0.0,-0.5925999427960482,-0.00172994510361437,-2.5708774882522543e-06,497664,-0.5,0.0,0.0,-0.024476625203129113,0.0,-0.002864583333333344,0.0019968,-2.2050496845182278e-09,-0.03015591779422812,0.6495407360000001,4012,27,5.750854810078939e-05,0.0,0.01,0.0,0.0,-0.004095689149736719,197.71,-1.3388625649415822,-0.054040224553891375,-2.461495561792356e-07,-0.18737906270640575,0.0,0.0,0.1011512279510498,104,126.28285446166993,-34.080342864990236,1.002476453781128,0.006939195,0.2,0.000299760384,-0.010864421480800957,60.73868942260742,0.03443603515625
-147.11854914999998,25.31104,0.0,-0.10036589936275878,-0.06053668971378881,-1.5657933603889733,129,-0.2256635485039017,0.011559911722676147,-0.21153234138914953,0.5190758177183075,-9.150847267372424e-05,0.0,-0.11918483996083758,0.0,-0.5961347811256702,-0.001983825325149361,-2.9992080028738327e-06,516096,-0.5,0.0,0.0,-0.02286557384650223,0.0,-0.0029079861111111233,0.0020736,-2.2529930697234875e-09,-0.02551247699990709,0.649523072,3970,28,9.385824281101425e-05,0.0,0.01,0.0,0.0,-0.003951357940273959,189.28,-1.2548860084616686,-0.049992316227242595,-2.6452549441616525e-07,-0.1541049096743033,0.0,0.0,0.08715474605560303,108,114.92903366088868,-34.080912017822264,1.00246262550354,0.007040187,0.2,0.000299751168,-0.01152641922235489,50.314605712890625,0.0355712890625
-148.56309454,25.32256,0.0,-0.12936046550584962,-0.06097728944946247,-1.5854837116619858,134,-0.2078066998215379,0.013283605997303048,-0.2134265508006033,0.519250390940912,-8.903955903316542e-05,0.0,-0.17296220293079811,0.0,-0.5916202786478182,-0.003583187664375228,-2.9978268359700314e-06,534528,-0.5,0.0,0.0,-0.02276398391728031,0.0,-0.0026041666666666743,0.0021504,-2.2808306623017036e-09,-0.03383848734747054,0.649505408,3968,29,8.680535958976382e-05,0.0,0.01,0.0,0.0,-0.003985290914687227,195.01,-1.3687725365351981,-0.06039655481125424,-2.7676751052800156e-07,-0.20568985398849418,0.0,0.0,0.09168004989624023,112,113.38743896484375,-34.08282890319824,1.002554178237915,0.007112737,0.2,0.000299741952,-0.011436546221375465,51.96432876586914,0.03558349609375
-149.41491657999998,25.33408,0.0,-0.12424980426872634,-0.06116748411254293,-1.5878643726166912,139,-0.24198288206663487,0.01450321509689013,-0.2121891315601595,0.5183350434049738,-9.35516020069531e-05,0.0,-0.16976536043721124,0.0,-0.5874205994357289,-0.004860249305431104,-3.0655660394058246e-06,552960,-0.5,0.0,0.0,-0.026261290194169205,0.0,-0.0028320312500000108,0.0022272,-2.4157326726920225e-09,-0.032811781496344866,0.649487744,3968,30,0.00010091116807113092,0.0,0.01,0.0,0.0,-0.004335302626076259,198.44,-1.3477695869834603,-0.06245789066092741,-2.8054384529151186e-07,-0.2012385672413147,0.0,0.0,0.08594948053359985,116,99.66174621582032,-34.08462333679199,1.0026808977127075,0.0080251675,0.2,0.000299732736,-0.012604870891664177,42.19864273071289,0.04107666015625
