reward_terms/ang_xy,reward_terms/foot_ahead,reward_terms/clearance,reward_terms/vz,reward_terms/torque,reward_terms/stance_time,reward_terms/action_rate,curriculum/stance_ratio,curriculum/ent_coef,time/total_timesteps,curriculum/sprint_dist_m,curriculum/eff_scale,rollout/ep_len_mean,reward_terms/assist_pen,reward_terms/hip_roll,reward_terms/stop,reward_terms/air_time,reward_terms/overrun,time/time_elapsed,reward_terms/foot_slip,reward_terms/step_rate,reward_terms/residual,time/iterations,reward_terms/fwd_speed,reward_terms/stance,curriculum/ctrl_drop_prob,reward_terms/angmom,reward_terms/residual_rate,reward_terms/phase_contact,reward_terms/upright,reward_terms/motor_vel,rollout/ep_rew_mean,reward_terms/energy,reward_terms/alive,curriculum/ctrl_jitter_ms,reward_terms/coef_rate,reward_terms/height,time/fps,reward_terms/lat_vel,reward_terms/time,train/learning_rate,train/std,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/clip_range,train/explained_variance,train/value_loss,train/loss
-0.28048600530167145,0.0,0.07848422245030155,-0.08332980821933589,-0.03381291348966576,0.0,-0.049142251448578304,0.636292736,0.01,14321664,33.93952,0.0595968,1200.67,0.0,-0.3056250998110924,0.0,0.0012499992573995972,0.0,3199,-0.5585629758597147,0.0,-0.112263384674658,777,4.54941566165529,0.0,0.0,-0.09895719826638641,0.0,-0.2206874240422003,-0.05624027307446011,-0.0014558462846543815,455.59033123999995,-0.006300234744355617,0.0,0.0,-0.8134831777828552,-0.021268187790182014,4476,-5.3852548861919e-08,-0.5,0.0002885574144,1.0026888847351074,-0.021299886819906532,-34.084716796875,154855,0.033594035,0.27220458984375,0.2,0.9717868566513062,169.3132553100586,77.14815521240234
-0.2724862510645891,0.0,0.08280171655620089,-0.08095858041107418,-0.03360636937759583,-0.0004073065857584071,-0.04874532777702155,0.636275072,0.01,14340096,33.95104,0.0596736,1224.24,0.0,-0.30484029965755804,0.0,0.0012250425772637958,0.0,3203,-0.5614890737403677,0.0,-0.11279181727829792,778,4.3048856528752415,0.0,0.0,-0.09543679382251061,0.0,-0.228251604838007,-0.048717851539213125,-0.0014322946790723823,469.94955574000005,-0.00624407963421562,0.0,0.0,-0.8137243533077831,-0.020629503949456778,4476,-4.915667942989757e-08,-0.5,0.0002885426688,1.0025227069854736,-0.02541057534981519,-34.083564376831056,154859,0.027789924,0.2331298828125,0.2,0.970211386680603,200.10308837890625,94.34664154052734
-0.2918710209557274,0.0,0.0929629463872173,-0.09277520644787905,-0.03435854890335813,0.0,-0.05065311371228551,0.636257408,0.01,14358528,33.962559999999996,0.0597504,1167.76,0.0,-0.2987851865678868,0.0,0.0013503680238500237,0.0,3207,-0.5710780524990641,0.0,-0.11180741829594126,779,4.246691205379743,-2.413567418788457e-07,0.0,-0.10052776770115895,0.0,-0.2332953346782869,-0.07102644336996788,-0.001429333028921385,441.37592533,-0.006249908985642181,0.0,0.0,-0.8254512833863685,-0.025115292137291963,4476,-5.440788660168018e-08,-0.5,0.00028852792319999996,1.0022037029266357,-0.027391822764184327,-34.07930221557617,154863,0.028076787,0.243408203125,0.2,0.9756581783294678,169.7105869293213,58.77949142456055
-0.2603993954117274,0.0,0.06833694292010815,-0.0854808276217961,-0.03336105275242,0.0,-0.04763579668893284,0.636239744,0.01,14376960,33.97408,0.0598272,1150.68,0.0,-0.30272189416621337,0.0,0.0009201383832583411,0.0,3211,-0.536682785237899,0.0,-0.11270084636030367,780,4.40607701245166,0.0,0.0,-0.09324606587646506,0.0,-0.22236770253571253,-0.05052906208028229,-0.001451478266694876,430.2191201499999,-0.006290193921500498,0.0,0.0,-0.7959279738180554,-0.019809381099508635,4477,-4.965168945256726e-08,-0.5,0.0002885131776,1.002183437347412,-0.024769245437346397,-34.07941951751709,154867,0.026693964,0.22718505859375,0.2,0.966921865940094,257.0878761291504,103.7978286743164
-0.2754553977853183,0.0,0.07799654324499271,-0.08670194137851477,-0.03374791475626151,-3.3907986815190976e-05,-0.0511174991713563,0.63622208,0.01,14395392,33.9856,0.059904,1085.75,0.0,-0.2955747321807104,0.0,0.0012136494204039788,0.0,3215,-0.5576927118403626,0.0,-0.11191111762084069,781,4.097693925625629,0.0,0.0,-0.09423613429901045,0.0,-0.22986057778149466,-0.06382467346028603,-0.0014092133810890352,389.14596968999996,-0.006182085415608516,0.0,0.0,-0.8406931734778055,-0.023881624482214852,4477,-4.984030593996315e-08,-0.5,0.000288498432,1.0023683309555054,-0.022089460748247802,-34.08092365264893,154871,0.029320803,0.2383544921875,0.2,0.9708632230758667,201.57533798217773,72.48558044433594
-0.28426529518525545,0.0,0.08402368219721906,-0.09086267955988397,-0.03416471555435965,-8.951672094149722e-06,-0.04897362321792149,0.636204416,0.01,14413824,33.99712,0.0599808,995.86,0.0,-0.2967027631939786,0.0,0.0012830937177770669,0.0,3219,-0.5568379516922658,0.0,-0.11242862493018897,782,4.089311740534704,0.0,0.0,-0.09865057861761416,0.0,-0.22819489006740104,-0.06298938440741368,-0.0014150881968357358,324.88659364999995,-0.006229592807318249,0.0,0.0,-0.8216452990842893,-0.023308942219552115,4477,-4.9725855340875474e-08,-0.5,0.00028848368639999996,1.0024595260620117,-0.026140558009501547,-34.082747077941896,154875,0.02708692,0.23046875,0.2,0.9708427786827087,224.80723724365234,100.75636291503906
-0.27426833038518594,0.0,0.07393517103928449,-0.0870478764596325,-0.03404319191560899,-0.0010188771589633285,-0.04880534822828192,0.636186752,0.01,14432256,34.00864,0.0600576,1028.78,0.0,-0.31058103479181853,0.0,0.0011035149056826616,0.0,3223,-0.5564817408622759,0.0,-0.11226308670836763,783,4.614360430782353,0.0,0.0,-0.09122290267005081,0.0,-0.21379880195865866,-0.05313204250068798,-0.0014764079746512442,341.85209813,-0.00639628773450871,0.0,0.0,-0.812964779192529,-0.02109469890059205,4477,-5.5692628408513775e-08,-0.5,0.0002884689408,1.001732587814331,-0.0231916093849577,-34.07535724639892,154879,0.021473253,0.1918212890625,0.2,0.9670808911323547,270.47820205688475,101.7677230834961
-0.2729268088290006,0.0,0.08635750754043404,-0.08187497684225144,-0.03353068993801461,-7.4597159659283025e-06,-0.049183702422429774,0.636169088,0.01,14450688,34.02016,0.0601344,1064.77,0.0,-0.3067612908423772,0.0,0.0013178159165868743,0.0,3227,-0.5662563795401009,0.0,-0.11219254954710786,784,4.26640248381506,0.0,0.0,-0.09442835562605886,0.0,-0.2275046394135021,-0.054754918117654976,-0.0014298105753880526,366.51128663000003,-0.006231052190066479,0.0,0.0,-0.8246480596289932,-0.023776272198942943,4477,-5.073456072474879e-08,-0.5,0.0002884541952,1.0017844438552856,-0.02465539800468832,-34.0739164352417,154883,0.026359314,0.22850341796875,0.2,0.9608659148216248,266.7327247619629,108.31864929199219
-0.2517371102429911,0.0,0.06996103320144388,-0.07147442385212649,-0.03378026309282339,0.0,-0.04686106108719238,0.636151424,0.01,14469120,34.03168,0.0602112,1086.43,0.0,-0.3070134723392558,0.0,0.0007638884643610152,0.0,3231,-0.5443129599822902,0.0,-0.11290085215319341,785,4.485062023475294,0.0,0.0,-0.0830319830146955,0.0,-0.20701106911114484,-0.03800269352150856,-0.0014821900998936738,377.05395179,-0.006441676878006668,0.0,0.0,-0.8010875100750933,-0.015721189172970714,4477,-5.2706969034270004e-08,-0.5,0.0002884394496,1.0019073486328125,-0.02329622032120824,-34.07675361633301,154887,0.022283634,0.204150390625,0.2,0.9657332897186279,267.8891960144043,128.4758758544922
-0.2714627234714522,0.0,0.08623862577934248,-0.08276261979542568,-0.03431556933919535,-0.00036024139262735844,-0.051995248402804596,0.63613376,0.01,14487552,34.0432,0.060288,1100.81,0.0,-0.29472332625756203,0.0,0.0013590484126729684,0.0,3235,-0.5664502651589974,0.0,-0.11197197613820846,786,4.202207477762245,0.0,0.0,-0.09392339907237901,0.0,-0.23439011854193048,-0.054824960429090804,-0.0014301621701021264,381.4849697999999,-0.006283212978159148,0.0,0.0,-0.8325063122078965,-0.021566473796959845,4477,-5.1872598834293434e-08,-0.5,0.00028842470399999997,1.0020499229431152,-0.0230428914364893,-34.077325439453126,154891,0.023921654,0.2193115234375,0.2,0.9620360732078552,208.4163604736328,100.5438461303711
