reward_terms/action_rate,reward_terms/time,reward_terms/step_rate,curriculum/ctrl_jitter_ms,reward_terms/motor_vel,reward_terms/foot_ahead,curriculum/sprint_dist_m,curriculum/ctrl_drop_prob,reward_terms/clearance,reward_terms/lat_vel,reward_terms/residual,rollout/ep_rew_mean,reward_terms/energy,reward_terms/air_time,time/time_elapsed,reward_terms/ang_xy,curriculum/ent_coef,reward_terms/hip_roll,rollout/ep_len_mean,reward_terms/overrun,reward_terms/residual_rate,reward_terms/stance,reward_terms/assist_pen,curriculum/eff_scale,time/iterations,reward_terms/angmom,time/fps,reward_terms/upright,reward_terms/stance_time,reward_terms/vz,curriculum/stance_ratio,reward_terms/fwd_speed,reward_terms/foot_slip,reward_terms/coef_rate,reward_terms/stop,reward_terms/torque,reward_terms/height,reward_terms/phase_contact,time/total_timesteps,reward_terms/alive,train/approx_kl,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/std,train/clip_range,train/n_updates,train/explained_variance,train/clip_fraction
-0.0033123061923621866,-0.5,0.0,0.4847616,-0.0001449526337644183,0.0,39.04288,0.0060595200000000005,0.019090465185114633,-3.4917747972531245e-08,0.0,-1529.77738493,-0.0009382602328100666,0.0010454627336002886,5279,-3.4994559463373836e-06,0.01,-0.0906651490019294,7761.64,0.0,0.0,-0.0008582746736446709,0.0,0.0936192,1220,0.0,4259,-1.3742669785182095e-07,-0.4785588634792172,-0.01394746376161666,0.628467584,0.24599619703473355,-0.37047936213524524,-0.2548626973145937,0.0,-0.01747783156262983,-0.00562246869992335,-0.24656638276900297,22487040,0.0,0.015733596,-11.356798076629639,-0.11033403873443604,-0.013459250726737083,0.07510212212800979,0.000288765696,1.0015476942062378,0.2,4876,0.9833313822746277,0.1333740234375
-0.003186475843507333,-0.5,0.0,0.4856832,-0.00014478211974411218,0.0,39.0544,0.00607104,0.018695850544894876,-3.371867641475439e-08,0.0,-1530.3462112999996,-0.0009439331278638098,0.00116590524946029,5284,-3.672666447325555e-06,0.01,-0.09001850131577607,7764.15,0.0,0.0,-0.002231585817271968,0.0,0.093696,1221,0.0,4259,-1.3649155962547035e-07,-0.4764642769344694,-0.011128596594240703,0.62844992,0.25915887213068906,-0.382282218090162,-0.25298432122162534,0.0,-0.01734661863022192,-0.004434061362167617,-0.24437610727050085,22505472,0.0,0.014928904,-11.359106206893921,-0.10353096574544907,-0.013064342527650296,0.08423338495194913,0.00028875648,1.0023572444915771,0.2,4880,0.9960399866104126,0.14898681640625
-0.003434507996950789,-0.5,0.0,0.4866048,-0.0001398266252611888,0.0,39.06592,0.006082560000000001,0.016418001852396977,-3.2772340312498036e-08,0.0,-1530.19800888,-0.000908257092117927,0.0009602848731447011,5288,-3.24228239718102e-06,0.01,-0.09023980686019634,7763.46,0.0,0.0,-0.0013660438611062579,0.0,0.0937728,1222,0.0,4259,-1.3626208914783844e-07,-0.4643848679503814,-0.011357704080264451,0.628432256,0.28063624276177684,-0.3850951961436424,-0.2618265860569064,0.0,-0.01725727799616638,-0.004451503600592081,-0.25569245629808973,22523904,0.0,0.012320194,-11.357996892929076,-0.08251193165779114,-0.010907420027069747,0.16921702437102795,0.000288747264,1.0019787549972534,0.2,4884,0.9871239066123962,0.12635498046875
-0.003448574369600553,-0.5,0.0,0.4875264,-0.00014517065171795252,0.0,39.07744,0.006094080000000001,0.01630215206128208,-3.51816179151994e-08,0.0,-1549.7840151400003,-0.00093787383637598,0.0010508880562459428,5292,-3.581025203670382e-06,0.01,-0.09005523415759621,7870.5,0.0,0.0,0.0,0.0,0.0938496,1223,0.0,4259,-1.354018991998876e-07,-0.48988401027357514,-0.007599280694471138,0.628414592,0.2917061677407726,-0.383889088146424,-0.2534730806071276,0.0,-0.017063246562225784,-0.0034630076865392826,-0.24727969541106143,22542336,0.0,0.011517542,-11.355744791030883,-0.02499566227197647,-0.010484722524415702,0.3354189358651638,0.000288738048,1.0015552043914795,0.2,4888,0.9761543869972229,0.10013427734375
-0.0034254016598744596,-0.5,0.0,0.488448,-0.00014720374949419063,0.0,39.08896,0.0061056,0.01860536294735321,-3.587454153987863e-08,0.0,-1552.8336824,-0.0009439099386334172,0.0012679017284729828,5296,-3.396046001488734e-06,0.01,-0.09034993675812018,7892.17,0.0,0.0,0.0,0.0,0.0939264,1224,0.0,4259,-1.3773993265241551e-07,-0.4943847397678635,-0.006792438473073179,0.628396928,0.30114668491224916,-0.36044063831314826,-0.24782866920523455,0.0,-0.016941005467918012,-0.003280569831761542,-0.24001746678716168,22560768,0.0,0.010983335,-11.354310607910156,-0.03934507071971893,-0.009515515994280577,0.259862145036459,0.00028872883199999996,1.0009998083114624,0.2,4892,0.9638124108314514,0.10057373046875
-0.0032628180180270293,-0.5,0.0,0.4893696,-0.00014672748181490818,0.0,39.10048,0.00611712,0.017891050524898876,-3.8659948667424217e-08,0.0,-1552.8195999000004,-0.0009429593063542656,0.001132810701771329,5301,-3.397051437695486e-06,0.01,-0.09078418994482194,7892.17,0.0,0.0,0.0,0.0,0.0940032,1225,0.0,4259,-1.3755563293456867e-07,-0.48802176288962884,-0.0076511045642885,0.628379264,0.3031336516644821,-0.36098055270841656,-0.2518054033412965,0.0,-0.017168875767080493,-0.0034674518158980426,-0.2461008500387061,22579200,0.0,0.013016316,-11.357700681686401,-0.06952635943889618,-0.013293725345283747,0.14618929103016853,0.000288719616,1.0017099380493164,0.2,4896,0.9785934090614319,0.1249267578125
-0.0034412391445545814,-0.5,0.0,0.4902912,-0.0001485372390632284,0.0,39.112,0.00612864,0.017700019635453132,-4.2572417841852186e-08,0.0,-1552.6855312500002,-0.0009553073888709617,0.0011572247409882646,5305,-3.769538349838982e-06,0.01,-0.0902170851269593,7892.17,0.0,0.0,0.0,0.0,0.09408,1226,0.0,4259,-1.39722286752406e-07,-0.4942941505157958,-0.007323180593625735,0.6283616000000001,0.28774830804126983,-0.37385910737916317,-0.24958059425220774,0.0,-0.017080686413478312,-0.0034313213901406426,-0.2500448056052368,22597632,0.0,0.015354976,-11.358970308303833,-0.10676676034927368,-0.012605588661972433,0.09001469612121582,0.0002887104,1.0020053386688232,0.2,4900,0.9855971336364746,0.1486083984375
-0.0033147627788617496,-0.5,0.0,0.4912128,-0.00014665071564260205,0.0,39.12352,0.00614016,0.020231201191927436,-3.935263163079311e-08,0.0,-1532.07640995,-0.0009326166806935231,0.0012689867095711331,5309,-3.4476949607394424e-06,0.01,-0.09005371792867124,7777.29,0.0,0.0,0.0,0.0,0.0941568,1227,0.0,4259,-1.3398911296261857e-07,-0.4923536354067942,-0.0105297331496512,0.628343936,0.2522512771682852,-0.3646076351071309,-0.2628797107209122,0.0,-0.01682504907178321,-0.004413203450531034,-0.24615121860798272,22616064,0.0,0.014951508,-11.357438087463379,-0.06582552194595337,-0.0073221166850999,0.12183669358491897,0.000288701184,1.001717209815979,0.2,4904,0.9840255379676819,0.146337890625
-0.0033314616678050825,-0.5,0.0,0.4921344,-0.00014584132021981634,0.0,39.135040000000004,0.0061516800000000005,0.019486979589401297,-4.307359932288716e-08,0.0,-1511.41915013,-0.0009388169839131717,0.0011838088911544117,5314,-3.527615665211075e-06,0.01,-0.09089847747229268,7663.19,0.0,0.0,0.0,0.0,0.0942336,1228,0.0,4259,-1.3503036419068618e-07,-0.48533269225218745,-0.010001889838539795,0.628326272,0.27539086672394997,-0.38244437487110655,-0.2593972923964028,0.0,-0.016824680524985966,-0.004479032798919478,-0.24772041507432066,22634496,0.0,0.012702681,-11.355067586898803,-0.09524475038051605,-0.01079450430115685,0.10251367464661598,0.00028869196799999997,1.0005890130996704,0.2,4908,0.9866287708282471,0.12882080078125
-0.0033012653497737268,-0.5,0.0,0.493056,-0.0001467630929102949,0.0,39.14656,0.006163200000000001,0.01965328787268063,-3.5471305389136454e-08,0.0,-1490.8105262299996,-0.000949146412352953,0.0012293817320217688,5318,-3.562288582413767e-06,0.01,-0.09006605122028392,7547.72,0.0,0.0,0.0,0.0,0.0943104,1229,0.0,4259,-1.3801125551519474e-07,-0.4875475945138735,-0.011475180903787244,0.628308608,0.2692981524474949,-0.3866971590020781,-0.2669607261021568,0.0,-0.017009009069611346,-0.004564319420352261,-0.2494192156516897,22652928,0.0,0.010984315,-11.354869031906128,-0.08279941976070404,-0.009894680720753968,0.13176025003194808,0.000288682752,1.001448631286621,0.2,4912,0.9882631301879883,0.1134033203125
