reward_terms/energy,reward_terms/ang_xy,reward_terms/stance_time,reward_terms/action_rate,curriculum/ctrl_drop_prob,reward_terms/fwd_speed,reward_terms/foot_slip,rollout/ep_len_mean,reward_terms/hip_roll,reward_terms/alive,rollout/ep_rew_mean,reward_terms/stop,time/fps,reward_terms/lat_vel,reward_terms/angmom,reward_terms/clearance,reward_terms/height,time/time_elapsed,curriculum/stance_ratio,reward_terms/air_time,reward_terms/residual_rate,time/total_timesteps,curriculum/sprint_dist_m,reward_terms/time,reward_terms/step_rate,curriculum/ctrl_jitter_ms,reward_terms/assist_pen,reward_terms/vz,curriculum/ent_coef,reward_terms/torque,time/iterations,reward_terms/residual,reward_terms/upright,curriculum/eff_scale,reward_terms/foot_ahead,reward_terms/stance,reward_terms/coef_rate,reward_terms/overrun,reward_terms/motor_vel,reward_terms/phase_contact,train/entropy_loss,train/std,train/loss,train/value_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/learning_rate
-2.5087076150706613e-05,-9.618565862833502e-06,-0.06436400954973781,-0.12982618323464878,0.0,-1.7090617365509628,-0.5942745924713756,404.55,-0.008032005511584592,0.0,-200.76402135,0.0,4102,-3.961312512358658e-08,0.0,0.04499842606616745,-0.049255560461303534,94,0.64964672,0.0,0.0,387072,25.2304,-0.5,0.0,0.0,0.0,-0.1728101518989379,0.01,-0.00032501316190083147,21,-0.06172396005518029,-7.373630048774732e-08,0.001536,0.0,-1.1840375741109408e-05,-1.2870139531759588,0.0,-2.4281392643460322e-06,-0.5083368680393501,-19.88077869415283,1.0023630857467651,36.08327865600586,91.80011596679688,0.2,0.004393123,0.01116943359375,0.3002716898918152,-0.006408024314441718,80,0.00029981568
-2.6782737025425017e-05,-9.525293884271754e-06,-0.0604157079505967,-0.12965670002392182,0.0,-1.7387895131868658,-0.5773688879277389,403.78,-0.008069369011154418,0.0,-200.56015270000003,0.0,4109,-3.991605211828454e-08,0.0,0.0498427470222399,-0.05432343587369986,98,0.649629056,0.0,0.0,405504,25.24192,-0.5,0.0,0.0,0.0,-0.19149594825037175,0.01,-0.0003455270618546514,22,-0.06187824195702617,-7.228149837726439e-08,0.0016128,0.0,-2.017042461728973e-05,-1.2775301239683141,0.0,-2.5887636598037717e-06,-0.49926359762121947,-19.878864192962645,1.0020415782928467,36.75465393066406,83.05594482421876,0.2,0.005245269,0.01629638671875,0.2531290054321289,-0.0069712754455395045,84,0.000299806464
-2.7174596947053306e-05,-9.915853241840179e-06,-0.05049642576260441,-0.1295961943418649,0.0,-1.6821917733606122,-0.6122678532184045,408.15,-0.009521908148378793,0.0,-201.64645761000003,0.0,4116,-3.957157335208166e-08,0.0,0.04195176698718766,-0.047402850171431296,102,0.6496113920000001,0.0,0.0,423936,25.25344,-0.5,0.0,0.0,0.0,-0.16507965280350684,0.01,-0.0003532405390788221,23,-0.061724978546536996,-7.279619627345054e-08,0.0016896,0.0,-1.4302628135372402e-05,-1.2826941949526909,0.0,-2.6106990396281434e-06,-0.5196056780594686,-19.876329803466795,1.001633882522583,37.962181091308594,86.4411392211914,0.2,0.0042565973,0.01072998046875,0.23456352949142456,-0.005900862719863653,88,0.000299797248
-2.842456615775774e-05,-9.739185635159638e-06,-0.057388102774792865,-0.13004435579341803,0.0,-1.678924764981934,-0.5500861192858022,401.45,-0.008589843915792698,0.0,-199.94590527,0.0,4122,-3.8722044619545324e-08,0.0,0.04712206292858476,-0.05187289496871671,107,0.649593728,0.0,0.0,442368,25.26496,-0.5,0.0,0.0,0.0,-0.18065477804650149,0.01,-0.0003669590171890425,24,-0.06193840478946493,-7.168663006340693e-08,0.0017664,0.0,-1.799044603323109e-07,-1.2638049051083504,0.0,-2.7602612202133596e-06,-0.5024393162597669,-19.87789659500122,1.002418041229248,34.90948486328125,71.6371732711792,0.2,0.0057410877,0.0216796875,0.1937718391418457,-0.007575244107283652,92,0.000299788032
-3.045080677534881e-05,-9.362569652700705e-06,-0.05985161039118086,-0.12934530044549733,0.0,-1.7576407005800547,-0.5924389786505584,395.54,-0.008970652204179122,0.0,-198.45264692,0.0,4128,-3.88395884404426e-08,0.0,0.04666319883701873,-0.05080581627006365,111,0.649576064,0.0,0.0,460800,25.27648,-0.5,0.0,0.0,0.0,-0.17962102298694446,0.01,-0.0003955743630889738,25,-0.06203892513032742,-7.069663764819537e-08,0.0018432,0.0,-1.1285100295024677e-06,-1.2711808059495004,0.0,-2.9149920672660786e-06,-0.508580521001493,-19.88285608291626,1.0029282569885254,35.830902099609375,75.80476226806641,0.2,0.0054071965,0.01776123046875,0.1702689528465271,-0.007469622290227562,96,0.000299778816
-3.1826486018542276e-05,-9.372379010561211e-06,-0.05299317301897746,-0.13109516134599883,0.0,-1.7279531037206868,-0.5474861557339483,403.91,-0.009447245442104632,0.0,-200.52977383,0.0,4133,-3.752444787796633e-08,0.0,0.04791892017564022,-0.052108816888104446,115,0.6495584,0.0,0.0,479232,25.288,-0.5,0.0,0.0,0.0,-0.18781227486721191,0.01,-0.00041072802345925734,26,-0.061943097045722505,-7.134072256480872e-08,0.00192,0.0,-2.0335885008661155e-07,-1.254883837145703,0.0,-3.1256483568247452e-06,-0.5003366060035396,-19.88502655029297,1.003395438194275,25.47636604309082,65.92033386230469,0.2,0.005549542,0.01998291015625,0.12750869989395142,-0.007707498467061669,100,0.00029976959999999996
-3.259800940650391e-05,-9.53578406310923e-06,-0.06802474612292524,-0.12865197768112985,0.0,-1.6852520614872217,-0.5903632084097424,405.78,-0.009064882407223342,0.0,-201.00481787999996,0.0,4138,-3.657851311338486e-08,0.0,0.044909870000818086,-0.04980567323483623,120,0.6495407360000001,0.0,0.0,497664,25.29952,-0.5,0.0,0.0,0.0,-0.17410939389698704,0.01,-0.00042492006367040767,27,-0.06205055181653569,-7.232415998320515e-08,0.0019968,0.0,-5.611469688876414e-05,-1.2505273504907586,0.0,-3.192841425956191e-06,-0.5106279796660265,-19.88469886779785,1.0028343200683594,27.211414337158203,63.96429710388183,0.2,0.006063835,0.0228759765625,0.1010892391204834,-0.00825738164712675,104,0.000299760384
-3.4450338985228414e-05,-9.425987667870473e-06,-0.047107082180446014,-0.12985107447147345,0.0,-1.744777291300224,-0.5805285432934951,403.2,-0.00917832272324434,0.0,-200.37904673,0.0,4138,-4.008820903488828e-08,0.0,0.04742465545042676,-0.050561366083734495,124,0.649523072,0.0,0.0,516096,25.31104,-0.5,0.0,0.0,0.0,-0.18270025430982326,0.01,-0.00044642636197198975,28,-0.06197841796118733,-7.24120516779806e-08,0.0020736,0.0,-3.4533843789779614e-05,-1.2470522598682197,0.0,-3.310921967636005e-06,-0.498511044439176,-19.88173065185547,1.0026613473892212,21.9783935546875,55.69179553985596,0.2,0.005367411,0.02098388671875,0.094032883644104,-0.008138559194048867,108,0.000299751168
-3.5412569876371955e-05,-9.421986819710501e-06,-0.057817666018511064,-0.12982359469450178,0.0,-1.7341746003601286,-0.5476815691774446,394.28,-0.009012195911741065,0.0,-198.16707713000002,0.0,4141,-3.723654550900412e-08,0.0,0.047915386609878846,-0.052955354847740464,129,0.649505408,0.0,0.0,534528,25.32256,-0.5,0.0,0.0,0.0,-0.18572796382084159,0.01,-0.0004662954108233602,29,-0.06200869988672989,-7.176639387945969e-08,0.0021504,0.0,-6.100458483364872e-05,-1.2623236405808547,0.0,-3.4345673670492922e-06,-0.5008146467636614,-19.886589908599852,1.0034584999084473,26.754867553710938,54.54359436035156,0.2,0.0062153162,0.026904296875,0.08221429586410522,-0.009091850440017878,112,0.000299741952
-3.635059458192552e-05,-9.511923485345234e-06,-0.05481526553275115,-0.1297428774744259,0.0,-1.7221712737649801,-0.5764615504893478,391.6,-0.009656985354943401,0.0,-197.48978803000003,0.0,4145,-4.1025024139248874e-08,0.0,0.04682083192648111,-0.05080333601609875,133,0.649487744,3.2551955276479325e-06,0.0,552960,25.33408,-0.5,0.0,0.0,0.0,-0.1782101970493236,0.01,-0.0004791554846070633,30,-0.06192707116528627,-7.376178209587171e-08,0.0022272,0.0,0.0,-1.2590006141115127,0.0,-3.5124750187548356e-06,-0.4979413652396144,-19.889853286743165,1.0037205219268799,24.6870059967041,51.72352142333985,0.2,0.0057539963,0.02431640625,0.0785599946975708,-0.009082193241920323,116,0.000299732736
